ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
SrcIpAddr,string,,,,,direct mapping
SrcOriginalRiskLevel,string,,,,,direct mapping
SrcOriginalUserType,string,,,,,direct mapping
SrcPortNumber,int,,,,,direct mapping
SrcProcessGuid,string,,,,,direct mapping
SrcProcessId,string,,,,,direct mapping
SrcProcessName,string,,,,,direct mapping
SrcRiskLevel,int,,,,,direct mapping
SrcUserAadId,string,,,,,direct mapping
SrcUserAWSId,string,,,,,direct mapping
SrcUserId,string,,,,,direct mapping
SrcUserIdType,string,,,,,direct mapping
SrcUsername,string,,,,,direct mapping
SrcUsernameType,string,,,,,direct mapping
SrcUserOktaId,string,,,,,direct mapping
SrcUserScope,string,,,,,direct mapping
SrcUserScopeId,string,,,,,direct mapping
SrcUserSessionId,string,,,,,direct mapping
SrcUserSid,string,,,,,direct mapping
SrcUserType,string,,,,,direct mapping
SrcUserUid,string,,,,,direct mapping
TenantId,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIpAddr,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
TransactionIdHex,string,,,,,direct mapping
Type,string,,,,,direct mapping
UrlCategory,string,,,,,direct mapping
User,string,,,,,direct mapping
