Publish time,Attribute keys,Message body,Body JSON keys,Ordering key,body.httpRequest.latency,body.httpRequest.remoteIp,body.httpRequest.requestMethod,body.httpRequest.requestSize,body.httpRequest.requestUrl,body.httpRequest.responseSize,body.httpRequest.serverIp,body.httpRequest.status,body.insertId,body.jsonPayload.@type,body.jsonPayload.backendTargetProjectNumber,body.jsonPayload.cacheDecision[0],body.jsonPayload.cacheDecision[1],body.jsonPayload.cacheDecision[2],body.jsonPayload.enforcedSecurityPolicy.configuredAction,body.jsonPayload.enforcedSecurityPolicy.name,body.jsonPayload.enforcedSecurityPolicy.outcome,body.jsonPayload.enforcedSecurityPolicy.priority,body.jsonPayload.remoteIp,body.jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,Ack
,,,jsonPayload.backendTargetProjectNumber,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[0],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[1],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[2],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.configuredAction,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.name,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.outcome,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.priority,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.regionCode,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.tlsJa3Fingerprint,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.statusDetails,,,,,,,,,,,,,,,,,,,,,,
,,,logName,,,,,,,,,,,,,,,,,,,,,,
,,,receiveTimestamp,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.backend_service_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.forwarding_rule_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.project_id,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.target_proxy_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.url_map_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.zone,,,,,,,,,,,,,,,,,,,,,,
,,,resource.type,,,,,,,,,,,,,,,,,,,,,,
,,,severity,,,,,,,,,,,,,,,,,,,,,,
,,,spanId,,,,,,,,,,,,,,,,,,,,,,
,,,timestamp,,,,,,,,,,,,,,,,,,,,,,
,,,trace,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.024195s"",""remoteIp"":""106.195.72.238"",""requestMethod"":""GET"",""requestSize"":""74"",""requestUrl"":""https://kornea.techmahindra.com/CS_INIS/CorneaService.svc"",""responseSize"":""3714"",""serverIp"":""10.90.1.2"",""status"":200},""insertId"":""118cn2jf6pc55v"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_HAS_CONTENT_TYPE"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""korneagoogle-glb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""106.195.72.238"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":45609,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6a5d235ee78c6aede6a61448b4e9ff1e""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.267258649Z"",""resource"":{""labels"":{""backend_service_name"":""kornea-backend"",""forwarding_rule_name"":""kornea-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-12"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""0b3a62df681b4e86"",""timestamp"":""2024-10-08T05:48:40.478735Z"",""trace"":""projects/landing-zone-prod/traces/39a4e57a3edf4c4cc7deec96f1405b3f""}",httpRequest.latency,—,0.024195s,106.195.72.238,GET,74,https://kornea.techmahindra.com/CS_INIS/CorneaService.svc,3714,10.90.1.2,200,118cn2jf6pc55v,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_HAS_CONTENT_TYPE,CACHE_MODE_USE_ORIGIN_HEADERS,ALLOW,korneagoogle-glb-waf,ACCEPT,2147483647,106.195.72.238,45609,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestUrl,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.responseSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.serverIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.status,,,,,,,,,,,,,,,,,,,,,,
,,,insertId,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.@type,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.backendTargetProjectNumber,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[0],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[1],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[2],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.configuredAction,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.name,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.outcome,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.priority,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.regionCode,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.tlsJa3Fingerprint,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.statusDetails,,,,,,,,,,,,,,,,,,,,,,
,,,logName,,,,,,,,,,,,,,,,,,,,,,
,,,receiveTimestamp,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.backend_service_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.forwarding_rule_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.project_id,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.target_proxy_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.url_map_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.zone,,,,,,,,,,,,,,,,,,,,,,
,,,resource.type,,,,,,,,,,,,,,,,,,,,,,
,,,severity,,,,,,,,,,,,,,,,,,,,,,
,,,spanId,,,,,,,,,,,,,,,,,,,,,,
,,,timestamp,,,,,,,,,,,,,,,,,,,,,,
,,,trace,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.031349s"",""remoteIp"":""1.38.104.64"",""requestMethod"":""GET"",""requestSize"":""74"",""requestUrl"":""https://kornea.techmahindra.com/CS_INIS/CorneaService.svc"",""responseSize"":""3714"",""serverIp"":""10.90.1.2"",""status"":200},""insertId"":""l0fy5f70sahg"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_HAS_CONTENT_TYPE"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""korneagoogle-glb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""1.38.104.64"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":38266,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6a5d235ee78c6aede6a61448b4e9ff1e""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.147911022Z"",""resource"":{""labels"":{""backend_service_name"":""kornea-backend"",""forwarding_rule_name"":""kornea-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-12"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""025e8e9de18832fa"",""timestamp"":""2024-10-08T05:48:39.826441Z"",""trace"":""projects/landing-zone-prod/traces/50acd3e070fb917b755aaa0443cf63b5""}",httpRequest.latency,—,0.031349s,1.38.104.64,GET,74,https://kornea.techmahindra.com/CS_INIS/CorneaService.svc,3714,10.90.1.2,200,l0fy5f70sahg,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_HAS_CONTENT_TYPE,CACHE_MODE_USE_ORIGIN_HEADERS,ALLOW,korneagoogle-glb-waf,ACCEPT,2147483647,1.38.104.64,38266,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestUrl,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.responseSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.serverIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.status,,,,,,,,,,,,,,,,,,,,,,
,,,insertId,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.@type,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.backendTargetProjectNumber,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[0],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[1],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[2],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.configuredAction,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.name,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.outcome,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.priority,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.regionCode,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.tlsJa3Fingerprint,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.statusDetails,,,,,,,,,,,,,,,,,,,,,,
,,,logName,,,,,,,,,,,,,,,,,,,,,,
,,,receiveTimestamp,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.backend_service_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.forwarding_rule_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.project_id,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.target_proxy_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.url_map_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.zone,,,,,,,,,,,,,,,,,,,,,,
,,,resource.type,,,,,,,,,,,,,,,,,,,,,,
,,,severity,,,,,,,,,,,,,,,,,,,,,,
,,,spanId,,,,,,,,,,,,,,,,,,,,,,
,,,timestamp,,,,,,,,,,,,,,,,,,,,,,
,,,trace,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.029727s"",""remoteIp"":""124.123.165.239"",""requestMethod"":""POST"",""requestSize"":""621"",""requestUrl"":""https://vewmapi.techmahindra.com/token"",""responseSize"":""783"",""serverIp"":""10.90.1.3"",""status"":200},""insertId"":""1cl9qxzf7ub8rs"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_CACHE_CONTROL_NO_CACHE"",""RESPONSE_HAS_EXPIRES"",""RESPONSE_HAS_CONTENT_TYPE"",""REQUEST_HAS_AUTHORIZATION"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""sensitivity-level-1-blb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""124.123.165.239"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":18209,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6ad69cecca55b3321a3261b1ae4aaab1""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.217778124Z"",""resource"":{""labels"":{""backend_service_name"":""vewmapi-backend"",""forwarding_rule_name"":""vewmapi-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-52"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""82d606542b925200"",""timestamp"":""2024-10-08T05:48:40.381549Z"",""trace"":""projects/landing-zone-prod/traces/6e4992374b3f1d219fbb7242757cfff3""}",httpRequest.latency,—,0.029727s,124.123.165.239,POST,621,https://vewmapi.techmahindra.com/token,783,10.90.1.3,200,1cl9qxzf7ub8rs,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_CACHE_CONTROL_NO_CACHE,RESPONSE_HAS_EXPIRES,ALLOW,sensitivity-level-1-blb-waf,ACCEPT,2147483647,124.123.165.239,18209,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestUrl,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.responseSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.serverIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.status,,,,,,,,,,,,,,,,,,,,,,
,,,insertId,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.@type,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.backendTargetProjectNumber,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[0],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[1],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[2],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[3],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[4],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[5],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.configuredAction,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.name,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.outcome,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.priority,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.asn,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.remoteIpInfo.regionCode,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.securityPolicyRequestData.tlsJa3Fingerprint,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.statusDetails,,,,,,,,,,,,,,,,,,,,,,
,,,logName,,,,,,,,,,,,,,,,,,,,,,
,,,receiveTimestamp,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.backend_service_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.forwarding_rule_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.project_id,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.target_proxy_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.url_map_name,,,,,,,,,,,,,,,,,,,,,,
,,,resource.labels.zone,,,,,,,,,,,,,,,,,,,,,,
,,,resource.type,,,,,,,,,,,,,,,,,,,,,,
,,,severity,,,,,,,,,,,,,,,,,,,,,,
,,,spanId,,,,,,,,,,,,,,,,,,,,,,
,,,timestamp,,,,,,,,,,,,,,,,,,,,,,
,,,trace,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.022783s"",""remoteIp"":""106.195.72.238"",""requestMethod"":""GET"",""requestSize"":""74"",""requestUrl"":""https://kornea.techmahindra.com/CS_INIS/CorneaService.svc"",""responseSize"":""3714"",""serverIp"":""10.90.1.2"",""status"":200},""insertId"":""118cn2jf6pc6kl"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_HAS_CONTENT_TYPE"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""korneagoogle-glb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""106.195.72.238"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":45609,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6a5d235ee78c6aede6a61448b4e9ff1e""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.267258649Z"",""resource"":{""labels"":{""backend_service_name"":""kornea-backend"",""forwarding_rule_name"":""kornea-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-12"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""cbb82f7f2c02245c"",""timestamp"":""2024-10-08T05:48:41.55851Z"",""trace"":""projects/landing-zone-prod/traces/085e8be18ae1c5b1812fb271d42b0468""}",httpRequest.latency,—,0.022783s,106.195.72.238,GET,74,https://kornea.techmahindra.com/CS_INIS/CorneaService.svc,3714,10.90.1.2,200,118cn2jf6pc6kl,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_HAS_CONTENT_TYPE,CACHE_MODE_USE_ORIGIN_HEADERS,ALLOW,korneagoogle-glb-waf,ACCEPT,2147483647,106.195.72.238,45609,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Oct 8, 2024, 11:18:42 AM",logging.googleapis.com/timestamp,"{""httpRequest"":{""latency"":""0.034159s"",""remoteIp"":""124.123.165.239"",""requestMethod"":""POST"",""requestSize"":""1001"",""requestUrl"":""https://vewmapi.techmahindra.com/VoyagerEWM/SaveMouseSuspectActivityDetails"",""responseSize"":""629"",""serverIp"":""10.90.1.3"",""status"":200},""insertId"":""1cl9qxzf7uba3s"",""jsonPayload"":{""@type"":""type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry"",""backendTargetProjectNumber"":""projects/316259834507"",""cacheDecision"":[""RESPONSE_HAS_CACHE_CONTROL"",""RESPONSE_CACHE_CONTROL_NO_CACHE"",""RESPONSE_HAS_EXPIRES"",""RESPONSE_HAS_CONTENT_TYPE"",""REQUEST_HAS_AUTHORIZATION"",""CACHE_MODE_USE_ORIGIN_HEADERS""],""enforcedSecurityPolicy"":{""configuredAction"":""ALLOW"",""name"":""sensitivity-level-1-blb-waf"",""outcome"":""ACCEPT"",""priority"":2147483647},""remoteIp"":""124.123.165.239"",""securityPolicyRequestData"":{""remoteIpInfo"":{""asn"":18209,""regionCode"":""IN""},""tlsJa3Fingerprint"":""6ad69cecca55b3321a3261b1ae4aaab1""},""statusDetails"":""response_sent_by_backend""},""logName"":""projects/landing-zone-prod/logs/requests"",""receiveTimestamp"":""2024-10-08T05:48:42.217778124Z"",""resource"":{""labels"":{""backend_service_name"":""vewmapi-backend"",""forwarding_rule_name"":""vewmapi-frontend"",""project_id"":""landing-zone-prod"",""target_proxy_name"":""gcpin-mu-glb-01-target-proxy-52"",""url_map_name"":""gcpin-mu-glb-01"",""zone"":""global""},""type"":""http_load_balancer""},""severity"":""INFO"",""spanId"":""e700ce62f4fcf7ba"",""timestamp"":""2024-10-08T05:48:41.327031Z"",""trace"":""projects/landing-zone-prod/traces/6775564020471a4ceef3f0c198952d9b""}",httpRequest.latency,—,0.034159s,124.123.165.239,POST,1001,https://vewmapi.techmahindra.com/VoyagerEWM/SaveMouseSuspectActivityDetails,629,10.90.1.3,200,1cl9qxzf7uba3s,type.googleapis.com/google.cloud.loadbalancing.type.LoadBalancerLogEntry,projects/316259834507,RESPONSE_HAS_CACHE_CONTROL,RESPONSE_CACHE_CONTROL_NO_CACHE,RESPONSE_HAS_EXPIRES,ALLOW,sensitivity-level-1-blb-waf,ACCEPT,2147483647,124.123.165.239,18209,Deadline exceeded
,,,httpRequest.remoteIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestMethod,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.requestUrl,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.responseSize,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.serverIp,,,,,,,,,,,,,,,,,,,,,,
,,,httpRequest.status,,,,,,,,,,,,,,,,,,,,,,
,,,insertId,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.@type,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.backendTargetProjectNumber,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[0],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[1],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[2],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[3],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[4],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.cacheDecision[5],,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.configuredAction,,,,,,,,,,,,,,,,,,,,,,
,,,jsonPayload.enforcedSecurityPolicy.name,,,,,,,,,,,,,,,,,,,,,,
