"TimeGenerated [Local Time]",Type,"_ResourceId",Operation,ObjectType,Object,EventType,EventSeverity,EventResult,NewValue,EventMessage,SrcIpAddr,ActorUsername,ActorUsernameType,EventCount,"EventStartTime [Local Time]","EventEndTime [Local Time]",EventProduct,EventVendor,EventSchemaVersion,EventSchema,Dvc,EventOriginalUid,IpAddr,User,Value
"9/24/2024, 7:59:09.960 PM","Illumio_Auditable_Events_CL",,"Agent missed heartbeats","Cloud Resource","System_task",Other,Medium,Success,,,Unknown,System,Simple,1,"9/24/2024, 7:59:09.960 PM","9/24/2024, 7:59:09.960 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/0189af94-c031-491a-8b45-b4d808bb8d91",Unknown,System,
"9/24/2024, 7:59:09.960 PM","Illumio_Auditable_Events_CL",,"Agent missed heartbeats","Cloud Resource","System_task",Other,Medium,Success,,,FILTERED,System,Simple,1,"9/24/2024, 7:59:09.960 PM","9/24/2024, 7:59:09.960 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/0189af94-c031-491a-8b45-b4d808bb8d91",FILTERED,System,
"9/24/2024, 7:53:09.622 PM","Illumio_Auditable_Events_CL",,"User session terminated","Cloud Resource",User,Other,Informational,NA,,,Unknown,System,Simple,1,"9/24/2024, 7:53:09.622 PM","9/24/2024, 7:53:09.622 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/4d29591b-1a06-4544-bfbe-c80484805128",Unknown,System,
"9/24/2024, 7:53:09.664 PM","Illumio_Auditable_Events_CL",,"User session terminated","Cloud Resource",User,Other,Informational,NA,,,Unknown,System,Simple,1,"9/24/2024, 7:53:09.664 PM","9/24/2024, 7:53:09.664 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/01902be4-7e8f-42f8-a620-5d1cdf41d70d",Unknown,System,
"9/24/2024, 7:53:09.698 PM","Illumio_Auditable_Events_CL",,"User session terminated","Cloud Resource",User,Other,Informational,NA,,,Unknown,System,Simple,1,"9/24/2024, 7:53:09.698 PM","9/24/2024, 7:53:09.698 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/0e18efe2-479e-48e6-bbef-6c007f21374f",Unknown,System,
"9/24/2024, 7:54:17.789 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:54:17.789 PM","9/24/2024, 7:54:17.789 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/fe720b7d-e27a-487b-b988-c990b5ea6ada",Unknown,System,
"9/24/2024, 7:54:49.632 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:54:49.632 PM","9/24/2024, 7:54:49.632 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/b2a0e14d-956a-4886-9f35-783f0736b341",Unknown,System,
"9/24/2024, 7:55:18.563 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:55:18.563 PM","9/24/2024, 7:55:18.563 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/2b96fc34-5fe5-43f4-a373-2a46703a1a11",Unknown,System,
"9/24/2024, 7:55:44.966 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,Unknown,"self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:55:44.966 PM","9/24/2024, 7:55:44.966 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/a65b94df-9502-4f8a-b666-f24eb7076dd3",Unknown,"self-serve-mnc-1-vm01",
"9/24/2024, 7:55:44.966 PM","Illumio_Auditable_Events_CL",,"Agent firewall tampered","Cloud Resource",Agent,Other,High,Success,,,"10.2.20.240","self-serve-mnc-1-vm01",Simple,1,"9/24/2024, 7:55:44.966 PM","9/24/2024, 7:55:44.966 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/a65b94df-9502-4f8a-b666-f24eb7076dd3","10.2.20.240","self-serve-mnc-1-vm01",
"9/24/2024, 7:56:35.243 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:56:35.243 PM","9/24/2024, 7:56:35.243 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/841be879-31ad-49b4-9e85-9f2038b3cc19",Unknown,System,
"9/24/2024, 7:56:45.932 PM","Illumio_Auditable_Events_CL",,"User session terminated","Cloud Resource",User,Other,Informational,NA,,,Unknown,System,Simple,1,"9/24/2024, 7:56:45.932 PM","9/24/2024, 7:56:45.932 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/e47fb8bd-43c9-441e-8092-bfd46c9e623b",Unknown,System,
"9/24/2024, 7:57:57.853 PM","Illumio_Auditable_Events_CL",,"API request authentication failed",Other,Request,Other,High,Failure,,,Unknown,System,Simple,1,"9/24/2024, 7:57:57.853 PM","9/24/2024, 7:57:57.853 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/d87d5e99-c844-4a81-b8bc-6c0537d72a04",Unknown,System,
"9/24/2024, 7:34:57.433 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":186,""after"":187}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}",Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:34:57.433 PM","9/24/2024, 7:34:57.433 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/2722795d-83c4-4ba0-a715-1482ddb69db4",Unknown,"selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":186,""after"":187}}"
"9/24/2024, 7:34:57.433 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":186,""after"":187}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}",Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:34:57.433 PM","9/24/2024, 7:34:57.433 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/2722795d-83c4-4ba0-a715-1482ddb69db4",Unknown,"selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":186,""after"":187}}"
"9/24/2024, 7:34:57.433 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":186,""after"":187}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:34:57.433 PM","9/24/2024, 7:34:57.433 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/2722795d-83c4-4ba0-a715-1482ddb69db4","10.6.16.64","selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":186,""after"":187}}"
"9/24/2024, 7:35:00.841 PM","Illumio_Auditable_Events_CL",,"User logged in","Cloud Resource",User,Other,Informational,Success,,,Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:00.841 PM","9/24/2024, 7:35:00.841 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/7441dada-37f5-4c84-b2f6-2e15e9228e10",Unknown,"selfserve@illumio.com",
"9/24/2024, 7:35:00.841 PM","Illumio_Auditable_Events_CL",,"User logged in","Cloud Resource",User,Other,Informational,Success,,,"10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:00.841 PM","9/24/2024, 7:35:00.841 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/7441dada-37f5-4c84-b2f6-2e15e9228e10","10.6.16.64","selfserve@illumio.com",
"9/24/2024, 7:35:01.775 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}",Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:01.775 PM","9/24/2024, 7:35:01.775 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/e4fb7664-7950-4c13-b8da-3a76741b95d7",Unknown,"selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}"
"9/24/2024, 7:35:01.775 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}",Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:01.775 PM","9/24/2024, 7:35:01.775 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/e4fb7664-7950-4c13-b8da-3a76741b95d7",Unknown,"selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}"
"9/24/2024, 7:35:01.775 PM","Illumio_Auditable_Events_CL",,"User authenticated","Cloud Resource",User,Other,Informational,Success,"{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}","{""user"":{""href"":""/users/1"",""type"":""local"",""username"":""selfserve@illumio.com""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:01.775 PM","9/24/2024, 7:35:01.775 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/e4fb7664-7950-4c13-b8da-3a76741b95d7","10.6.16.64","selfserve@illumio.com","{""sign_in_attempts_count"":{""before"":187,""after"":188},""last_sign_in_ip"":{""before"":""192.168.125.116"",""after"":""10.6.16.64""}}"
"9/24/2024, 7:35:02.434 PM","Illumio_Auditable_Events_CL",,"User logged in","Cloud Resource",User,Other,Informational,Success,,,Unknown,"selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:02.434 PM","9/24/2024, 7:35:02.434 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/61907a7f-d015-4c82-88ea-d2da10fdeddb",Unknown,"selfserve@illumio.com",
"9/24/2024, 7:35:02.434 PM","Illumio_Auditable_Events_CL",,"User logged in","Cloud Resource",User,Other,Informational,Success,,,"10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:02.434 PM","9/24/2024, 7:35:02.434 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/61907a7f-d015-4c82-88ea-d2da10fdeddb","10.6.16.64","selfserve@illumio.com",
"9/24/2024, 7:35:03.558 PM","Illumio_Auditable_Events_CL",,"Label created","Cloud Resource",Label,Create,Informational,Success,"{""key"":{""before"":null,""after"":""role""},""value"":{""before"":null,""after"":""Role39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/315bcb12-3c71-4fad-8047-65917af0aedc""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}","{""label"":{""href"":""/orgs/1/labels/231"",""key"":""role"",""value"":""Role39176""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:03.558 PM","9/24/2024, 7:35:03.558 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/62ddfa87-e350-4ac5-a0c9-1847e7874221","10.6.16.64","selfserve@illumio.com","{""key"":{""before"":null,""after"":""role""},""value"":{""before"":null,""after"":""Role39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/315bcb12-3c71-4fad-8047-65917af0aedc""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}"
"9/24/2024, 7:35:04.412 PM","Illumio_Auditable_Events_CL",,"Label created","Cloud Resource",Label,Create,Informational,Success,"{""key"":{""before"":null,""after"":""app""},""value"":{""before"":null,""after"":""App39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/e48631e0-8e3f-46aa-b83d-3527186342ea""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}","{""label"":{""href"":""/orgs/1/labels/232"",""key"":""app"",""value"":""App39176""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:04.412 PM","9/24/2024, 7:35:04.412 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/d27909e1-e550-4fa6-b352-2ca5dc2c00d8","10.6.16.64","selfserve@illumio.com","{""key"":{""before"":null,""after"":""app""},""value"":{""before"":null,""after"":""App39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/e48631e0-8e3f-46aa-b83d-3527186342ea""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}"
"9/24/2024, 7:35:04.672 PM","Illumio_Auditable_Events_CL",,"Label created","Cloud Resource",Label,Create,Informational,Success,"{""key"":{""before"":null,""after"":""env""},""value"":{""before"":null,""after"":""Env39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/9d4231de-1de4-4abe-a2ee-f43dddd2cb08""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}","{""label"":{""href"":""/orgs/1/labels/233"",""key"":""env"",""value"":""Env39176""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:04.672 PM","9/24/2024, 7:35:04.672 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/91c8e64c-9803-4f93-85e8-cbaeff2abf2e","10.6.16.64","selfserve@illumio.com","{""key"":{""before"":null,""after"":""env""},""value"":{""before"":null,""after"":""Env39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/9d4231de-1de4-4abe-a2ee-f43dddd2cb08""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}"
"9/24/2024, 7:35:04.812 PM","Illumio_Auditable_Events_CL",,"Label created","Cloud Resource",Label,Create,Informational,Success,"{""key"":{""before"":null,""after"":""loc""},""value"":{""before"":null,""after"":""Loc39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/c38b96e2-f630-41ea-8d17-a4935295f7c8""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}","{""label"":{""href"":""/orgs/1/labels/234"",""key"":""loc"",""value"":""Loc39176""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:04.812 PM","9/24/2024, 7:35:04.812 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/4897840c-c7ca-4142-826c-3c8962139f61","10.6.16.64","selfserve@illumio.com","{""key"":{""before"":null,""after"":""loc""},""value"":{""before"":null,""after"":""Loc39176""},""label_dimension"":{""before"":null,""after"":{""href"":""/orgs/1/label_dimensions/c38b96e2-f630-41ea-8d17-a4935295f7c8""}},""deleted"":{""before"":null,""after"":false},""visible"":{""before"":null,""after"":true}}"
"9/24/2024, 7:35:05.706 PM","Illumio_Auditable_Events_CL",,"Pairing profile created","Cloud Resource","Pairing_profile",Create,Informational,Success,"{""name"":{""before"":null,""after"":""Gatling-Utils-Created-Pairing-Profile39176""},""description"":{""before"":null,""after"":""""},""enabled"":{""before"":null,""after"":true},""enforcement_mode"":{""before"":null,""after"":""visibility_only""},""is_default"":{""before"":null,""after"":false},""env_label_lock"":{""before"":null,""after"":true},""loc_label_lock"":{""before"":null,""after"":true},""role_label_lock"":{""before"":null,""after"":true},""app_label_lock"":{""before"":null,""after"":true},""mode_lock"":{""before"":null,""after"":true},""log_traffic"":{""before"":null,""after"":false},""log_traffic_lock"":{""before"":null,""after"":true},""visibility_level"":{""before"":null,""after"":""flow_summary""},""visibility_level_lock"":{""before"":null,""after"":true},""label_ids_array"":{""before"":null,""after"":[]},""ven_type"":{""before"":null,""after"":""specified_during_activation""},""labels"":{""created"":[{""href"":""/orgs/1/labels/232"",""key"":""app"",""value"":""App39176""},{""href"":""/orgs/1/labels/234"",""key"":""loc"",""value"":""Loc39176""},{""href"":""/orgs/1/labels/231"",""key"":""role"",""value"":""Role39176""},{""href"":""/orgs/1/labels/233"",""key"":""env"",""value"":""Env39176""}]}}","{""pairing_profile"":{""href"":""/orgs/1/pairing_profiles/101"",""name"":""Gatling-Utils-Created-Pairing-Profile39176""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:05.706 PM","9/24/2024, 7:35:05.706 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/5ab0c6e3-9de1-4622-96ab-276c62d3c059","10.6.16.64","selfserve@illumio.com","{""name"":{""before"":null,""after"":""Gatling-Utils-Created-Pairing-Profile39176""},""description"":{""before"":null,""after"":""""},""enabled"":{""before"":null,""after"":true},""enforcement_mode"":{""before"":null,""after"":""visibility_only""},""is_default"":{""before"":null,""after"":false},""env_label_lock"":{""before"":null,""after"":true},""loc_label_lock"":{""before"":null,""after"":true},""role_label_lock"":{""before"":null,""after"":true},""app_label_lock"":{""before"":null,""after"":true},""mode_lock"":{""before"":null,""after"":true},""log_traffic"":{""before"":null,""after"":false},""log_traffic_lock"":{""before"":null,""after"":true},""visibility_level"":{""before"":null,""after"":""flow_summary""},""visibility_level_lock"":{""before"":null,""after"":true},""label_ids_array"":{""before"":null,""after"":[]},""ven_type"":{""before"":null,""after"":""specified_during_activation""},""labels"":{""created"":[{""href"":""/orgs/1/labels/232"",""key"":""app"",""value"":""App39176""},{""href"":""/orgs/1/labels/234"",""key"":""loc"",""value"":""Loc39176""},{""href"":""/orgs/1/labels/231"",""key"":""role"",""value"":""Role39176""},{""href"":""/orgs/1/labels/233"",""key"":""env"",""value"":""Env39176""}]}}"
"9/24/2024, 7:35:06.210 PM","Illumio_Auditable_Events_CL",,"Pairing profile pairing key created","Cloud Resource","Pairing_profile",Create,Informational,Success,,,"10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:06.210 PM","9/24/2024, 7:35:06.210 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/53563dc3-f4ff-462b-80e6-d42f26f0dbc2","10.6.16.64","selfserve@illumio.com",
"9/24/2024, 7:35:06.694 PM","Illumio_Auditable_Events_CL",,"IP list created","Cloud Resource","Ip_list",Create,Informational,Success,"{""name"":{""before"":null,""after"":""Gatling-IPList-57365""},""description"":{""before"":null,""after"":""Gatling Test Data""},""ip_ranges"":{""created"":[{""name"":null,""from_ip"":""195.74.228.83"",""exclusion"":false},{""name"":null,""from_ip"":""106.102.193.144"",""exclusion"":false}]}}","{""ip_list"":{""href"":""/orgs/1/sec_policy/draft/ip_lists/77"",""name"":""Gatling-IPList-57365""}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:06.694 PM","9/24/2024, 7:35:06.694 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/10d6a5a5-ce41-4ad1-867e-e16d1f3555a9","10.6.16.64","selfserve@illumio.com","{""name"":{""before"":null,""after"":""Gatling-IPList-57365""},""description"":{""before"":null,""after"":""Gatling Test Data""},""ip_ranges"":{""created"":[{""name"":null,""from_ip"":""195.74.228.83"",""exclusion"":false},{""name"":null,""from_ip"":""106.102.193.144"",""exclusion"":false}]}}"
"9/24/2024, 7:35:07.517 PM","Illumio_Auditable_Events_CL",,"Security policy created",Other,"Sec_policy",Create,Informational,Success,"{""commit_message"":{""before"":null,""after"":""ProvisionNewIpList""},""version"":{""before"":null,""after"":191},""workloads_affected"":{""before"":null,""after"":0},""object_counts"":{""before"":null,""after"":{""rule_sets"":10,""services"":106,""ip_lists"":5,""firewall_settings"":1,""label_groups"":5,""secure_connect_gateways"":0,""virtual_servers"":0,""enforcement_boundaries"":4,""virtual_services"":3,""essential_service_rules"":1}}}","{""sec_policy"":{""href"":""/orgs/1/sec_policy/191"",""commit_message"":""ProvisionNewIpList"",""version"":191,""modified_objects"":{""rulesets"":{},""services"":{},""ip_lists"":{""/orgs/1/sec_policy/draft/ip_lists/77"":{""action"":""created"",""name"":""Gatling-IPList-57365"",""description"":""Gatling Test Data""}},""firewall_settings"":{},""label_groups"":{},""secure_connect_gateways"":{},""bound_services"":{},""virtual_servers"":{},""selective_enforcement_rules"":{},""essential_service_rules"":{}}}}","10.6.16.64","selfserve@illumio.com",UPN,1,"9/24/2024, 7:35:07.517 PM","9/24/2024, 7:35:07.517 PM",Core,Illumio,"0.1.0",AuditEvent,"2x2testvc308.ilabs.io","/orgs/1/events/9182a999-dba3-451c-a8d0-9c2bb3f3f17c","10.6.16.64","selfserve@illumio.com","{""commit_message"":{""before"":null,""after"":""ProvisionNewIpList""},""version"":{""before"":null,""after"":191},""workloads_affected"":{""before"":null,""after"":0},""object_counts"":{""before"":null,""after"":{""rule_sets"":10,""services"":106,""ip_lists"":5,""firewall_settings"":1,""label_groups"":5,""secure_connect_gateways"":0,""virtual_servers"":0,""enforcement_boundaries"":4,""virtual_services"":3,""essential_service_rules"":1}}}"
