"TimeGenerated [UTC]",EventCount,EventVendor,EventProduct,EventSchema,EventSchemaVersion,EventUid,"EventStartTime [UTC]","EventEndTime [UTC]",TargetUsername,TargetUserId,DvcFQDN,DvcIpAddr,DvcDomainType,DvcId,DvcAction,EventMessage,EventOriginalResultDetails,EventProductVersion,EventOriginalType,TargetIpAddr,HttpUserAgent,TargetAppName,TargetAppType,Type,EventResult,EventType,EventResultDetails,EventSeverity,EventSubType,TargetUsernameType,TargetUserType,Dvc,DvcHostname,Dst,SrcIpAddr,Src,IpAddr,DvcDomain,Application
"4/26/2024, 5:40:00.857 AM",1,Okta,Auth0,Authentication,"0.1.3","6b21e472-038f-11ef-b626-0050f259483e","4/26/2024, 5:35:00.363 AM","4/26/2024, 5:40:00.857 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.45.57",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.45.57","172.171.45.57","172.171.45.57","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 7:10:02.378 AM",1,Okta,Auth0,Authentication,"0.1.3","fe85ba2d-039b-11ef-b626-0050f2590a0d","4/26/2024, 7:05:00.304 AM","4/26/2024, 7:10:02.378 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.72.84",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.72.84","4.255.72.84","4.255.72.84","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:10:01.210 AM",1,Okta,Auth0,Authentication,"0.1.3","9cea6c16-0393-11ef-b626-cc60c88d9a20","4/26/2024, 6:05:00.322 AM","4/26/2024, 6:10:01.210 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.46.112",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.46.112","172.171.46.112","172.171.46.112","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 7:15:01.260 AM",1,Okta,Auth0,Authentication,"0.1.3","b1a80e2d-039c-11ef-b626-cc60c88dd011","4/26/2024, 7:10:00.411 AM","4/26/2024, 7:15:01.260 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.87.169",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.87.169","4.255.87.169","4.255.87.169","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:25:02.082 AM",1,Okta,Auth0,Authentication,"0.1.3","b5f13d90-0395-11ef-b626-14cb655b0437","4/26/2024, 6:20:00.357 AM","4/26/2024, 6:25:02.082 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.20.210",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.20.210","4.156.20.210","4.156.20.210","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 7:05:03.410 AM",1,Okta,Auth0,Authentication,"0.1.3","4d32daf6-039b-11ef-b626-cc60c88dd011","4/26/2024, 7:00:00.329 AM","4/26/2024, 7:05:03.410 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.72.84",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.72.84","4.255.72.84","4.255.72.84","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 7:20:00.877 AM",1,Okta,Auth0,Authentication,"0.1.3","63298e65-039d-11ef-b626-14cb655b35b2","4/26/2024, 7:15:00.369 AM","4/26/2024, 7:20:00.877 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.87.169",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.87.169","4.255.87.169","4.255.87.169","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:15:00.771 AM",1,Okta,Auth0,Authentication,"0.1.3","8bea336b-0383-11ef-b626-cc60c860bd05","4/26/2024, 4:10:00.283 AM","4/26/2024, 4:15:00.771 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.164.157",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.164.157","172.171.164.157","172.171.164.157","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:20:01.250 AM",1,Okta,Auth0,Authentication,"0.1.3","3e8548c8-0384-11ef-b626-a88c3ef9ed9e","4/26/2024, 4:15:00.286 AM","4/26/2024, 4:20:01.250 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.93.200",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.93.200","4.156.93.200","4.156.93.200","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:25:01.250 AM",1,Okta,Auth0,Authentication,"0.1.3","f1fed4ab-0384-11ef-b626-0050f2598659","4/26/2024, 4:20:00.253 AM","4/26/2024, 4:25:01.250 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.93.200",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.93.200","4.156.93.200","4.156.93.200","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:30:01.387 AM",1,Okta,Auth0,Authentication,"0.1.3","a4cc3be2-0385-11ef-b626-14cb655b4325","4/26/2024, 4:25:00.371 AM","4/26/2024, 4:30:01.387 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.87.254",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.87.254","4.255.87.254","4.255.87.254","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:05:00.794 AM",1,Okta,Auth0,Authentication,"0.1.3","879a2308-038a-11ef-b626-14cb652f26df","4/26/2024, 5:00:00.387 AM","4/26/2024, 5:05:00.794 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.90.133",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.90.133","172.171.90.133","172.171.90.133","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:10:01.356 AM",1,Okta,Auth0,Authentication,"0.1.3","3b3784ac-038b-11ef-b626-a88c3ef9e020","4/26/2024, 5:05:00.306 AM","4/26/2024, 5:10:01.356 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.45.170",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.45.170","4.255.45.170","4.255.45.170","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:15:00.857 AM",1,Okta,Auth0,Authentication,"0.1.3","eddaa7b5-038b-11ef-b626-a88c3ef9fb2b","4/26/2024, 5:10:00.289 AM","4/26/2024, 5:15:00.857 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.45.170",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.45.170","4.255.45.170","4.255.45.170","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:20:00.946 AM",1,Okta,Auth0,Authentication,"0.1.3","a0c4742d-038c-11ef-b626-0050f25971a1","4/26/2024, 5:15:00.365 AM","4/26/2024, 5:20:00.946 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.93.116",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.93.116","172.171.93.116","172.171.93.116","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:25:00.906 AM",1,Okta,Auth0,Authentication,"0.1.3","5338fa9c-038d-11ef-b626-14cb655b50a5","4/26/2024, 5:20:00.364 AM","4/26/2024, 5:25:00.906 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.93.116",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.93.116","172.171.93.116","172.171.93.116","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:45:00.993 AM",1,Okta,Auth0,Authentication,"0.1.3","1eb77e00-0390-11ef-b626-501ac58dd7d7","4/26/2024, 5:40:00.295 AM","4/26/2024, 5:45:00.993 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.45.57",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.45.57","172.171.45.57","172.171.45.57","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:15:01.030 AM",1,Okta,Auth0,Authentication,"0.1.3","4f9ce23b-0394-11ef-b626-cc60c88d8c9c","4/26/2024, 6:10:00.350 AM","4/26/2024, 6:15:01.030 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","20.242.137.16",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"20.242.137.16","20.242.137.16","20.242.137.16","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:20:01.383 AM",1,Okta,Auth0,Authentication,"0.1.3","02b8888f-0395-11ef-b626-14cb655b35b2","4/26/2024, 6:15:00.293 AM","4/26/2024, 6:20:01.383 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","20.242.137.16",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"20.242.137.16","20.242.137.16","20.242.137.16","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:10:00.953 AM",1,Okta,Auth0,Authentication,"0.1.3","d9593eeb-0382-11ef-b626-cc60c88df881","4/26/2024, 4:05:00.292 AM","4/26/2024, 4:10:00.953 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.164.157",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.164.157","172.171.164.157","172.171.164.157","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 6:55:00.605 AM",1,Okta,Auth0,Authentication,"0.1.3","e5228dbc-0399-11ef-b626-0050f259865d","4/26/2024, 6:50:00.352 AM","4/26/2024, 6:55:00.605 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.57.253",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.57.253","4.156.57.253","4.156.57.253","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:35:00.933 AM",1,Okta,Auth0,Authentication,"0.1.3","5760d557-0386-11ef-b626-14cb652f14d3","4/26/2024, 4:30:00.359 AM","4/26/2024, 4:35:00.933 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.255.87.254",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.255.87.254","4.255.87.254","4.255.87.254","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 4:40:01.154 AM",1,Okta,Auth0,Authentication,"0.1.3","0a31bd35-0387-11ef-b626-14cb652f346b","4/26/2024, 4:35:00.432 AM","4/26/2024, 4:40:01.154 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","4.156.88.122",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"4.156.88.122","4.156.88.122","4.156.88.122","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
"4/26/2024, 5:00:01.949 AM",1,Okta,Auth0,Authentication,"0.1.3","d61c17de-0389-11ef-b626-14cb652f38d7","4/26/2024, 4:55:00.358 AM","4/26/2024, 5:00:01.949 AM",,,"dev-zxaq10bu05yo8dsk.us.auth0.com","172.171.90.133",FQDN,cHFgORyP43YVOyZ0C8ZH09UiHCBEYNZh,"read:logs read:logs_users read:log_streams update:log_streams",,seccft,"4.3.1",,,"Python Requests 2.31.0 / Other 0.0.0",Auth0,"Saas application","Auth0AM_CL",Success,Logon,Other,Informational,Remote,,,"dev-zxaq10bu05yo8dsk.us.auth0.com","dev-zxaq10bu05yo8dsk.us.auth0.com",,"172.171.90.133","172.171.90.133","172.171.90.133","dev-zxaq10bu05yo8dsk.us.auth0.com",Auth0
