"TimeGenerated [UTC]",AwsEventId,EventVersion,EventSource,EventTypeName,EventName,UserIdentityType,UserIdentityPrincipalid,UserIdentityArn,UserIdentityAccountId,UserIdentityInvokedBy,UserIdentityAccessKeyId,UserIdentityUserName,SessionMfaAuthenticated,"SessionCreationDate [UTC]",SessionIssuerType,SessionIssuerPrincipalId,SessionIssuerArn,SessionIssuerAccountId,SessionIssuerUserName,AWSRegion,SourceIpAddress,UserAgent,ErrorCode,ErrorMessage,RequestParameters,ResponseElements,AdditionalEventData,AwsRequestId,"AwsRequestId_",Resources,APIVersion,ReadOnly,RecipientAccountId,ServiceEventDetails,SharedEventId,VpcEndpointId,ManagementEvent,TenantId,SourceSystem,OperationName,Category,EC2RoleDelivery,TlsVersion,CipherSuite,ClientProvidedHostHeader,IpProtocol,SourcePort,DestinationPort,CidrIp,UserIdentityUserId,UserIdentityStoreArn,Type
"04/04/2025, 12:30:00.000","uuid-0011","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE010,"arn:aws:iam::222222222201:user/appuser01",222222222201,,,appuser01,,,,,,,,"us-east-1","44.201.10.10","Mozilla/5.0 Chrome/121.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222201,,,,true,"tenant-010",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"04/04/2025, 18:45:00.000","uuid-0012","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE010,"arn:aws:iam::222222222201:user/appuser01",222222222201,,,appuser01,,,,,,,,"us-east-1","44.201.10.10","Mozilla/5.0 Chrome/121.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222201,,,,true,"tenant-010",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"05/04/2025, 09:15:00.000","uuid-0013","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE020,"arn:aws:iam::222222222202:user/devuser02",222222222202,,,devuser02,,,,,,,,"us-west-2","54.70.22.20","Mozilla/5.0 Firefox/118.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222202,,,,true,"tenant-020",,,,,"TLSv1.2","TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"05/04/2025, 14:00:00.000","uuid-0014","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE020,"arn:aws:iam::222222222202:user/devuser02",222222222202,,,devuser02,,,,,,,,"us-west-2","54.70.22.20","Mozilla/5.0 Firefox/118.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222202,,,,true,"tenant-020",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"05/04/2025, 22:10:00.000","uuid-0015","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE020,"arn:aws:iam::222222222202:user/devuser02",222222222202,,,devuser02,,,,,,,,"us-west-2","54.70.22.20","Mozilla/5.0 Firefox/118.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222202,,,,true,"tenant-020",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"06/04/2025, 08:40:00.000","uuid-0016","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,Root,222222222203,"arn:aws:iam::222222222203:root",222222222203,,,,,,,,,"eu-west-1","18.135.33.30","Mozilla/5.0 Chrome/122.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222203,,,,true,"tenant-030",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"06/04/2025, 08:45:00.000","uuid-0017","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,Root,222222222203,"arn:aws:iam::222222222203:root",222222222203,,,,,,,,,"eu-west-1","18.135.33.30","Mozilla/5.0 Chrome/122.0",,,,"{""ConsoleLogin"":""Failure""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222203,,,,true,"tenant-030",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"06/04/2025, 09:05:00.000","uuid-0018","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,Root,222222222203,"arn:aws:iam::222222222203:root",222222222203,,,,,,,,,"eu-west-1","18.135.33.30","Mozilla/5.0 Chrome/122.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222203,,,,true,"tenant-030",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"07/04/2025, 11:00:00.000","uuid-0019","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE040,"arn:aws:iam::222222222204:user/secops04",222222222204,,,secops04,,,,,,,,"ap-south-1","13.233.99.40","Mozilla/5.0 Chrome/124.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222204,,,,true,"tenant-040",,,,,"TLSv1.3","TLS_AES_128_GCM_SHA256","signin.aws.amazon.com",,,,,,,AWSCloudTrail
"07/04/2025, 16:20:00.000","uuid-0020","1.09","signin.amazonaws.com",AwsConsoleSignIn,ConsoleLogin,IAMUser,AIDAFAKE040,"arn:aws:iam::222222222204:user/secops04",222222222204,,,secops04,,,,,,,,"ap-south-1","13.233.99.40","Mozilla/5.0 Chrome/124.0",,,,"{""ConsoleLogin"":""Success""}","{""LoginTo"":""https://console.aws.amazon.com""}",,,,,false,222222222204,,,,true,"tenant-040",,,,,"TLSv1.3","TLS_AES_256_GCM_SHA384","signin.aws.amazon.com",,,,,,,AWSCloudTrail
