TenantId,TimeGenerated [Local Time],DeviceVendor,DeviceProduct,DeviceVersion,DeviceEventClassID,Activity,LogSeverity,OriginalLogSeverity,AdditionalExtensions,DeviceAction,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,CommunicationDirection,DeviceDnsDomain,DeviceExternalID,DeviceFacility,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DestinationPort,DestinationIP,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceAddress,DeviceName,DeviceMacAddress,ProcessID,EndTime [Local Time],ExternalID,ExtID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePath,FilePermission,FileType,FileName,FileSize,ReceivedBytes,Message,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,EventOutcome,Protocol,Reason,RequestURL,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,ReceiptTime,SourceHostName,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,SourcePort,SourceIP,StartTime [Local Time],SourceUserID,SourceUserName,EventType,DeviceEventCategory,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,FieldDeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,FieldDeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,FieldDeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,Computer,SourceSystem,SimplifiedDeviceAction,CollectorHostName,Type,_ResourceId,_ItemId
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 3:44:47 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_STARTURL,6,,method=GET,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disallow Illegal URL.,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/login.html,,,,,,,,,,,,,,,,47606,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,1340,,,653,,,,,pr_ffc,,PPE1,,EsdGd3VD0OaaURLcZnj05Y6DOmE0002,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba15
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 3:46:13 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_SAFECOMMERCE,6,,method=GET,transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximum number of potential credit card numbers seen,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/CreditCardMind.html,,,,,,,,,,,,,,,,34041,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,1470,,,708,,,,,pr_ffc,,PPE1,,Ycby5IvjL6FoVa6Ah94QFTIUpC80001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,transformed,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba16
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 3:50:30 PM",Citrix,NetScaler,NS13.0,APPFW,APPFW_XML_ERR_NOT_WELLFORMED,4,,method=GET,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XML Format check failed: Message is not a well-formed XML.Error string is 'unclosed token'. Offset:-517597,,,,,,,,,,,,,,https://wifiuae.duwifi.ae/publishApplications/en/5dafe3e74fa8015599009bc1/images/fallback_photo.svg,,,,,,,,,,,,,,,,20644,5.31.100.129,,,,,,,,,,,,,,,,,,,,,,,547290214,,,974226675,,,,,WIFI_UAE_AppFw,,PPE0,,,,ERROR,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba17
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 4:36:07 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_FIELDCONSISTENCY,6,,method=GET;http://aaron.stratum8.net/FFC/login.php?login_name=;abc&passwd=;123456789234&drinking_pref=;on&text_area=;&loginButton=;ClickToLogin&as_sfid=;AAAAAAWIahZuYoIFbjBhYMP05mJLTwEfIY0a7AKGMg3jIBaKmwtK4t7M7lNxOgj7Gmd3SZc8KUj6CR6a7W5kIWDRHN8PtK1Zc-txHkHNx1WknuG9DzTuM7t1THhluevXu9I4kp8%3D&as_fid=feeec8758b41740eedeeb6b35b85dfd3d5def30c,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field consistency check failed for field passwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,1401,,,707,,,,,pr_ffc,,PPE1,,Ycby5IvjL6FoVa6Ah94QFTIUpC80001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,not blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba18
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 1:16:20 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_STARTURL,6,,geolocation=NorthAmerica.US.Arizona.Tucson.*.*;method=GET,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disallow Illegal URL.,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/login.html,,,,,,,,,,,,,,,,18655,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,77,,,1547,,,,,test_pr_adv,,PPE1,,KDynjg1pbFtfhC/nt0rBU1o/Tyg0001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,OpsManager,not blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba19
1a0e2567-2e58-4989-ad18-206108185325,"8/23/2023, 4:31:32 PM",Citrix,NetScaler,NS11.0,APPFW,APPFW_FIELDCONSISTENCY,6,,method=GET;http://aaron.stratum8.net/FFC/login.php?login_name=;abc&passwd=;123456789234&drinking_pref=;on&text_area=;&loginButton=;ClickToLogin&as_sfid=;AAAAAAWIahZuYoIFbjBhYMP05mJLTwEfIY0a7AKGMg3jIBaKmwtK4t7M7lNxOgj7Gmd3SZc8KUj6CR6a7W5kIWDRHN8PtK1Zc-txHkHNx1WknuG9DzTuM7t1THhluevXu9I4kp8%3D&as_fid=feeec8758b41740eedeeb6b35b85dfd3d5def30c,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field consistency check failed for field passwd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,1401,,,707,,,,,pr_ffc,,PPE1,,Ycby5IvjL6FoVa6Ah94QFTIUpC80001,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,not blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba20
1a0e2567-2e58-4989-ad18-206108185325,"8/22/2023, 10:41:18 AM",Citrix,NetScaler,NS10.0,APPFW,APPFW_STARTURL,6,,method=GET,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disallow Illegal URL.,,,,,,,,,,,,,,http://vpx247.example.net/FFC/login.html,,,,,,,,,,,,,,,,53743,10.217.253.78,,,,,,,,,,,,,,,,,,,,,,,233,,,205,,,,,profile1,,PPE0,,AjSZM26h2M+xL809pON6C8joebUA000,,ALERT,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba21
1a0e2567-2e58-4989-ad18-206108185325,"8/25/2023, 5:07:50 AM",Citrix,NetScaler,NS11.0,APPFW,APPFW_FIELDFORMAT,6,,method=POST;text_area=,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Field format check failed for field,,,,,,,,,,,,,,http://aaron.stratum8.net/FFC/maxlen_post.php,,,,,,,,,,,,,,,,27076,10.217.253.62,,,,,,,,,,,,,,,,,,,,,,,108,,,644,,,,,pr_ffc,,PPE0,,GaUROfl1Nx1jJTvja5twH5BBqI0000,,ALERT,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,localhost,OpsManager,blocked,,CommonSecurityLog,,b9b77a83-419e-11ee-94cf-002248291ba21
1a0e2567-2e58-4989-ad18-206108185326,"8/29/2023, 5:41:16 PM",Citrix,NetScaler,NS13.1,APPFW,APPFW_SAFECOMMERCE,6,,method=GET;AAA7Ed_tZDt0AAAAAAAAADt3IiRtSWoLHKctOwPKcVqWWpykwiK_zaB0MSUCZHb3Ow=,transformed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maximum number of potential credit card numbers seen,,,,,,,,,,,,,,http://10.50.6.213/cc.html,,,,,,,,,,,,,,,,31937,172.20.240.212,,,,,,,,,,,,,,,,,,,,,,,47202,,,38864,,,,,Credit_Card,,PPE0,,,,ALERT,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50.5.11,OpsManager,transformed,,CommonSecurityLog,,
1a0e2567-2e58-4989-ad18-206108185327,"8/29/2023, 5:40:56 PM",Citrix,NetScaler,NS13.1,APPFW,APPFW_SAFECOMMERCE_XFORM,6,,method=GET;AAA7Ed_tZDt0AAAAAAAAADt3IiRtSWoLHKctOwPKcVqWWpykwiK_zaB0MSUCZHb3Ow=,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformed (xout) potential credit card numbers seen in server response,,,,,,,,,,,,,,http://10.50.6.213/cc.html,,,,,,,,,,,,,,,,31937,172.20.240.212,,,,,,,,,,,,,,,,,,,,,,,47197,,,38862,,,,,Credit_Card,,PPE0,,,,ALERT,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50.5.11,OpsManager,transformed,,CommonSecurityLog,,
1a0e2567-2e58-4989-ad18-206108185328,"8/29/2023, 2:50:11 PM",Citrix,NetScaler,NS13.1,APPFW,APPFW_REFERER_HEADER,6,,method=GET,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Referer header check failed: referer header not present,,,,,,,,,,,,,,http://10.50.6.177:8080/,,,,,,,,,,,,,,,,6639,172.20.240.212,,,,,,,,,,,,,,,,,,,,,,,41026,,,31407,,,,,Test-StartURL,,PPE0,,,,ALERT,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50.5.11,OpsManager,not blocked,,CommonSecurityLog,,
1a0e2567-2e58-4989-ad18-206108185329,"8/29/2023, 2:50:31 PM",Citrix,NetScaler,NS13.1,APPFW,APPFW_BUFFEROVERFLOW_URL,6,,method=GET,not blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL length(53) is greater than maximum allowed(10).,,,,,,,,,,,,,,http://10.50.6.177:8080/http:/10.50.6.177:8080/topics,,,,,,,,,,,,,,,,11247,172.20.240.212,,,,,,,,,,,,,,,,,,,,,,,41045,,,31425,,,,,Test-StartURL,,PPE0,,,,ALERT,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50.5.11,OpsManager,blocked,,CommonSecurityLog,,
1a0e2567-2e58-4989-ad18-206108185330,"8/29/2023, 5:41:36 PM",Citrix,NetScaler,NS13.1,APPFW,APPFW_STARTURL,6,,method=GET;AAA7Ed_tZDt0AAAAAAAAADt3IiRtSWoLHKctOwPKcVqWWpykwiK_zaB0MSUCZHb3Ow=,**not blocked**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disallow Illegal URL.,,,,,,,,,,,,,,http://10.50.6.213/cc.html/hook,,,,,,,,,,,,,,,,31937,172.20.240.212,,,,,,,,,,,,,,,,,,,,,,,47204,,,38867,,,,,Credit_Card,,PPE0,,,,ALERT,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50.5.11,OpsManager,not blocked,,CommonSecurityLog,,
