"action_s","TimeGenerated [UTC]",TenantId,SourceSystem,MG,ManagementGroupName,Computer,RawData,"modload_md5_s","fileless_scriptload_hash_s","fileless_scriptload_cmdline_length_d","fileless_scriptload_cmdline_s","scriptload_hash_s","scriptload_content_length_d","scriptload_content_s","incidentId_g","alert_id_g","securityEventCode_g","process_fork_pid_d","scriptload_effective_reputation_s","scriptload_publisher_s","scriptload_count_d","scriptload_reputation_s","scriptload_name_s","childproc_publisher_s","crossproc_name_s","crossproc_hash_s","crossproc_guid_s","crossproc_action_s","crossproc_publisher_s","crossproc_target_b","crossproc_reputation_s","process_publisher_s","filemod_name_s","filemod_hash_s","netconn_community_id_s","modload_md5_g","modload_publisher_s","modload_hash_s","modload_effective_reputation_s","modload_name_s","modload_sha256_s","modload_count_d","process_duration_d","crossproc_api_s","regmod_name_s","target_cmdline_s","childproc_username_s","childproc_pid_d","childproc_name_s","childproc_reputation_s","childproc_guid_s","childproc_hash_s","processDetails_targetCommandLine_s","local_ip_s","parent_reputation_s","netconn_inbound_b","createTime_s","eventTime_s","process_username_s","processDetails_parentName_s","type_s","device_name_s","process_path_s","event_origin_s","longDescription_s","parent_cmdline_s","processDetails_fullUserName_s","parent_pid_d","parent_path_s","backend_timestamp_s","device_external_ip_s","device_os_s","processDetails_parentPid_d","deviceDetails_deviceIpAddress_s","parent_hash_s","local_port_d","deviceDetails_msmGroupName_s","deviceDetails_deviceName_s","device_group_s","sensor_action_s","org_key_s","remote_ip_s","processDetails_processId_d","event_description_s","process_terminated_b","processDetails_commandLine_s","event_id_g","device_timestamp_s","deviceDetails_deviceType_s","process_cmdline_s","deviceDetails_deviceId_s","shortDescription_s","process_hash_s","process_guid_s","device_id_s","netconn_protocol_s","schema_d","eventType_s","remote_port_d","processDetails_parentCommandLine_s","eventId_g","process_reputation_s","netFlow_peerFqdn_s","netconn_domain_s","deviceDetails_deviceIpV4Address_s","process_pid_d","parent_guid_s","netFlow_peerIpAddress_s",Type,"_ResourceId"
"ACTION_FILE_WRITE | ACTION_FILE_TRUNCATE","8/9/2023, 4:09:51.272 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\system32\tasks\microsoft\windows\updateorchestrator\schedule work","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:52:19 +0000 UTC","2023-08-09 03:50:49.0580824 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\services.exe","endpoint.event.filemod","RTEST\CB-RC-01","c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\SYSTEM",744,"c:\windows\system32\services.exe","2023-08-09 03:52:19 +0000 UTC","11.12.11.12",WINDOWS,744,"11.12.11.12","[""14b88ff4833012512278a5f3a5712bd2"",""e6fe9a94e8686e957dbcec2b89c1c1ddcf8e75d76e9200d0cbef74d510c71317""]",,,"RTEST\CB-RC-01",,"ACTION_ALLOW",7DESJ9GN,,1956,,false,"C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule",,"2023-08-09 03:50:49.0580824 +0000 UTC",WINDOWS,"C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule",6768287,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-0067469f-000007a4-00000000-1d9ca6bb7f0f162",6768287,,1,"endpoint.event.filemod",,"C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule",,"REP_WHITE",,,"11.12.11.12",1956,"7DESJ9GN-0067469f-000002e8-00000000-1d9ca6bb680de6a",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE","8/9/2023, 4:11:01.849 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\logs\windowsupdate\windowsupdate.20230808.205750.046.1.etl","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:59:41 +0000 UTC","2023-08-09 03:57:50.0670301 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\services.exe","endpoint.event.filemod",carbonblack,"c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\SYSTEM",624,"c:\windows\system32\services.exe","2023-08-09 03:59:41 +0000 UTC","10.2.3.40",WINDOWS,624,"10.2.3.40","[""14b88ff4833012512278a5f3a5712bd2"",""e6fe9a94e8686e957dbcec2b89c1c1ddcf8e75d76e9200d0cbef74d510c71317""]",,,carbonblack,,"ACTION_ALLOW",7DESJ9GN,,8696,,false,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"2023-08-09 03:57:50.0670301 +0000 UTC",WINDOWS,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",5765373,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-0057f8fd-000021f8-00000000-1d9ca75aa0876c9",5765373,,1,"endpoint.event.filemod",,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"REP_WHITE",,,"10.2.3.40",8696,"7DESJ9GN-0057f8fd-00000270-00000000-1d9c8880e61c0f5",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_DELETE | ACTION_FILE_MOD_OPEN | ACTION_FILE_TRUNCATE | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:05:52.124 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Google LLC"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.rs","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:55:51 +0000 UTC","2023-08-09 03:55:17.2321791 +0000 UTC","NT AUTHORITY\SYSTEM","c:\program files\google\osconfig\google_osconfig_agent.exe","endpoint.event.filemod","carbon-black-integration-endpoint","c:\programdata\googet\googet.exe",EDR,,"""C:\Program Files\Google\OSConfig\google_osconfig_agent.exe""","NT AUTHORITY\SYSTEM",676,"c:\program files\google\osconfig\google_osconfig_agent.exe","2023-08-09 03:55:51 +0000 UTC","10.20.3.40",WINDOWS,676,"10.20.3.40","[""d079966ec978118d6547cfcdacda57b0"",""9e82895b77964f0644041a9c36644906d376e89eab2a66fe0c7d4971bca23175""]",,,"carbon-black-integration-endpoint",,"ACTION_ALLOW",7DESJ9GN,,4552,,false,"C:\ProgramData\GooGet\googet.exe update",,"2023-08-09 03:55:17.2321791 +0000 UTC",WINDOWS,"C:\ProgramData\GooGet\googet.exe update",3925348,,"[""115d95ca05b9ef778e557ad88b1ef6fb"",""34aaa1f501d83c5bc36ac5e3f28b32a9830b8ec84d377c0d7a6743b51eae7e74""]","7DESJ9GN-003be564-000011c8-00000000-1d9ca754eed692e",3925348,,1,"endpoint.event.filemod",,"C:\ProgramData\GooGet\googet.exe update",,"REP_WHITE",,,"10.20.3.40",4552,"7DESJ9GN-003be564-000002a4-00000000-1d9bd4cd707048f",,"CarbonBlackEvents_CL",
"ACTION_FILE_WRITE","8/9/2023, 4:05:52.124 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Google LLC"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:55:51 +0000 UTC","2023-08-09 03:55:17.2399707 +0000 UTC","NT AUTHORITY\SYSTEM","c:\program files\google\osconfig\google_osconfig_agent.exe","endpoint.event.filemod","carbon-black-integration-endpoint","c:\programdata\googet\googet.exe",NGAV,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.","""C:\Program Files\Google\OSConfig\google_osconfig_agent.exe""","NT AUTHORITY\SYSTEM",676,"c:\program files\google\osconfig\google_osconfig_agent.exe","2023-08-09 03:55:51 +0000 UTC","10.20.3.40",WINDOWS,676,"10.20.3.40","[""d079966ec978118d6547cfcdacda57b0"",""9e82895b77964f0644041a9c36644906d376e89eab2a66fe0c7d4971bca23175""]",,,"carbon-black-integration-endpoint",,"ACTION_ALLOW",7DESJ9GN,,4552,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.",false,"C:\ProgramData\GooGet\googet.exe update","30e8a51d-3668-11ee-b0ac-ac634bf2743f","2023-08-09 03:55:17.2399707 +0000 UTC",WINDOWS,"C:\ProgramData\GooGet\googet.exe update",3925348,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.","[""115d95ca05b9ef778e557ad88b1ef6fb"",""34aaa1f501d83c5bc36ac5e3f28b32a9830b8ec84d377c0d7a6743b51eae7e74""]","7DESJ9GN-003be564-000011c8-00000000-1d9ca754eed692e",3925348,,1,"endpoint.event.filemod",,"C:\ProgramData\GooGet\googet.exe update","30e8a51d-3668-11ee-b0ac-ac634bf2743f","REP_WHITE",,,"10.20.3.40",4552,"7DESJ9GN-003be564-000002a4-00000000-1d9bd4cd707048f",,"CarbonBlackEvents_CL",
"ACTION_FILE_DELETE | ACTION_FILE_LAST_WRITE","8/9/2023, 3:42:40.452 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Corporation"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\users\jcrumpe\appdata\local\temp\wctf30.tmp","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:30:58 +0000 UTC","2023-08-09 03:28:50.8245467 +0000 UTC","EIP\JCrumpe","c:\windows\system32\svchost.exe","endpoint.event.filemod","EIP\WW-20001","c:\users\jcrumpe\appdata\local\microsoft\onedrive\onedrivestandaloneupdater.exe",EDR,,"C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule","EIP\JCrumpe",1896,"c:\windows\system32\svchost.exe","2023-08-09 03:30:58 +0000 UTC","1.2.3.4",WINDOWS,1896,"1.2.3.4","[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]",,,"EIP\WW-20001",,"ACTION_ALLOW",7DESJ9GN,,828,,false,"""C:\Users\JCrumpe\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe"" /reporting",,"2023-08-09 03:28:50.8245467 +0000 UTC",WINDOWS,"""C:\Users\JCrumpe\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe"" /reporting",6612372,,"[""a145e171a25961a74a8e3bad0a3024ff"",""fe48441594ab0d03feed4b44364c5170fc3a12a1192fe24d8ee8748f2ab2df4d""]","7DESJ9GN-0064e594-0000033c-00000000-1d9ca719a17653d",6612372,,1,"endpoint.event.filemod",,"""C:\Users\JCrumpe\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe"" /reporting",,"REP_WHITE",,,"1.2.3.4",828,"7DESJ9GN-0064e594-00000768-00000000-1d9ca4af0531439",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_READ | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:11:09.719 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c:\windows\system32\smi\store\machine\schema.dat{53b39e93-18c4-11ea-a811-000d3aa4692b}.txr.11.regtrans-ms","["""",""""]",,,,,,,,,,,,,,,,,,,,,,,"2023-08-09 03:56:51 +0000 UTC","2023-08-09 03:56:36.200003 +0000 UTC","NT AUTHORITY\SYSTEM",,"endpoint.event.filemod","RTEST\bvpthrashbox001",SYSTEM,EDR,,,"NT AUTHORITY\SYSTEM",,,"2023-08-09 03:56:51 +0000 UTC","11.12.11.12",WINDOWS,,"11.12.11.12",,,,"RTEST\bvpthrashbox001",,"ACTION_ALLOW",7DESJ9GN,,4,,false,,,"2023-08-09 03:56:36.200003 +0000 UTC",WINDOWS,,6982429,,"["""",""""]","7DESJ9GN-006a8b1d-00000004-00000000-1d9b521fd11e38e",6982429,,1,"endpoint.event.filemod",,,,"REP_RESOLVING",,,"11.12.11.12",4,,,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_WRITE","8/9/2023, 4:10:30.273 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/etc/resolv.conf","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_RESOLVING",,"2023-08-09 03:56:15 +0000 UTC","2023-08-09 03:53:48.4340611 +0000 UTC",root,"/usr/lib/systemd/systemd","endpoint.event.filemod","centos7-trn-cb1","/usr/sbin/NetworkManager",EDR,,"/usr/lib/systemd/systemd --switched-root --system --deserialize 22",root,1,"/usr/lib/systemd/systemd","2023-08-09 03:56:15 +0000 UTC","10.20.30.40",LINUX,1,"10.20.30.40","["""",""""]",,,"centos7-trn-cb1",,"ACTION_ALLOW",7DESJ9GN,,31216,,false,"/usr/sbin/NetworkManager --no-daemon",,"2023-08-09 03:53:48.4340611 +0000 UTC",LINUX,"/usr/sbin/NetworkManager --no-daemon",4459885,,"["""",""""]","7DESJ9GN-00440d6d-000079f0-00000000-1d9ca74fc4a9317",4459885,,1,"endpoint.event.filemod",,"/usr/sbin/NetworkManager --no-daemon",,"REP_RESOLVING",,,"10.20.30.40",31216,"7DESJ9GN-00440d6d-00000001-00000000-1d8f5e021375479",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_DELETE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:05:52.124 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Google LLC"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url","[""ca2672df74854a86fd2a07993a853dd0"",""d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:55:51 +0000 UTC","2023-08-09 03:55:17.2351089 +0000 UTC","NT AUTHORITY\SYSTEM","c:\program files\google\osconfig\google_osconfig_agent.exe","endpoint.event.filemod","carbon-black-integration-endpoint","c:\programdata\googet\googet.exe",NGAV,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.","""C:\Program Files\Google\OSConfig\google_osconfig_agent.exe""","NT AUTHORITY\SYSTEM",676,"c:\program files\google\osconfig\google_osconfig_agent.exe","2023-08-09 03:55:51 +0000 UTC","10.20.3.40",WINDOWS,676,"10.20.3.40","[""d079966ec978118d6547cfcdacda57b0"",""9e82895b77964f0644041a9c36644906d376e89eab2a66fe0c7d4971bca23175""]",,,"carbon-black-integration-endpoint",,"ACTION_ALLOW",7DESJ9GN,,4552,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.",false,"C:\ProgramData\GooGet\googet.exe update","30e8a51a-3668-11ee-b0ac-ac634bf2743f","2023-08-09 03:55:17.2351089 +0000 UTC",WINDOWS,"C:\ProgramData\GooGet\googet.exe update",3925348,"The application c:\programdata\googet\googet.exe modified the shortcut file c:\programdata\googet\cache\d1113db916c9bf34f48262f24f2e7e0392d14d5409e4dcff26b3aa26ef8ea1c4.url. Adversaries may create or modify shortcuts that can execute a program during system boot or user login.","[""115d95ca05b9ef778e557ad88b1ef6fb"",""34aaa1f501d83c5bc36ac5e3f28b32a9830b8ec84d377c0d7a6743b51eae7e74""]","7DESJ9GN-003be564-000011c8-00000000-1d9ca754eed692e",3925348,,1,"endpoint.event.filemod",,"C:\ProgramData\GooGet\googet.exe update","30e8a51a-3668-11ee-b0ac-ac634bf2743f","REP_WHITE",,,"10.20.3.40",4552,"7DESJ9GN-003be564-000002a4-00000000-1d9bd4cd707048f",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE","8/9/2023, 4:10:33.677 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Dynamic Code Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\windows\assembly\nativeimages_v4.0.30319_64\system.windows.forms\f654e6f92c4b4e860526d82d3c315a6e","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:56:46 +0000 UTC","2023-08-09 03:56:27.7968267 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\microsoft.net\framework64\v4.0.30319\ngen.exe","endpoint.event.filemod","RTEST\CB-RC-03","c:\windows\microsoft.net\framework64\v4.0.30319\mscorsvw.exe",EDR,,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe"" ExecuteQueuedItems 2 /LegacyServiceBehavior","NT AUTHORITY\SYSTEM",5480,"c:\windows\microsoft.net\framework64\v4.0.30319\ngen.exe","2023-08-09 03:56:46 +0000 UTC","11.12.11.12",WINDOWS,5480,"11.12.11.12","[""b6c3fe33b436e5006514403824f17c66"",""a446d35f5e60bdae1a7117b71d90abb0fea424ee416b0e0ecd2c485dc5939a68""]",,,"RTEST\CB-RC-03",,"ACTION_ALLOW",7DESJ9GN,,4432,,false,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe -StartupEvent 378 -InterruptEvent 0 -NGENProcess 304 -Pipe 214 -Comment ""NGen Worker Process""",,"2023-08-09 03:56:27.7968267 +0000 UTC",WINDOWS,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe -StartupEvent 378 -InterruptEvent 0 -NGENProcess 304 -Pipe 214 -Comment ""NGen Worker Process""",6978457,,"[""412a3fb0c25743da59375c1e298933ea"",""da1087ba2641efd77d85e5838aeb6c333e80caa9f24c889fd2de2e0b58f8d1a5""]","7DESJ9GN-006a7b99-00001150-00000000-1d9ca756db3d220",6978457,,1,"endpoint.event.filemod",,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe -StartupEvent 378 -InterruptEvent 0 -NGENProcess 304 -Pipe 214 -Comment ""NGen Worker Process""",,"REP_WHITE",,,"11.12.11.12",4432,"7DESJ9GN-006a7b99-00001568-00000000-1d9ca74c97a70cb",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:10:37.852 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Nicholas Anderson"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED""}]","c:\program files\osquery\osquery.db\1053615.log","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_NOT_LISTED",,"2023-08-09 03:56:52 +0000 UTC","2023-08-09 03:55:03.3555633 +0000 UTC","NT AUTHORITY\SYSTEM","c:\program files\osquery\osqueryd\osqueryd.exe","endpoint.event.filemod","SKOVILLE\chilliseed","c:\program files\osquery\osqueryd\osqueryd.exe",EDR,,"""C:\Program Files\osquery\osqueryd\osqueryd.exe"" --flagfile=""C:\Program Files\osquery\osquery.flags""","NT AUTHORITY\SYSTEM",468,"c:\program files\osquery\osqueryd\osqueryd.exe","2023-08-09 03:56:52 +0000 UTC","100.20.30.40",WINDOWS,468,"100.20.30.40","[""6c89c8c657be4c21ae5ef088a14f2ac7"",""2a349e64a3f5c4841fbe2819a767ebbbf23bf2c5233782d574d66d938d8b57bb""]",,,"SKOVILLE\chilliseed",,"ACTION_ALLOW",7DESJ9GN,,16860,,false,"""C:\Program Files\osquery\osqueryd\osqueryd.exe"" ""--flagfile=C:\Program Files\osquery\osquery.flags"" ",,"2023-08-09 03:55:03.3555633 +0000 UTC",WINDOWS,"""C:\Program Files\osquery\osqueryd\osqueryd.exe"" ""--flagfile=C:\Program Files\osquery\osquery.flags"" ",6697320,,"[""6c89c8c657be4c21ae5ef088a14f2ac7"",""2a349e64a3f5c4841fbe2819a767ebbbf23bf2c5233782d574d66d938d8b57bb""]","7DESJ9GN-00663168-000041dc-00000000-1d9ca74129dff0f",6697320,,1,"endpoint.event.filemod",,"""C:\Program Files\osquery\osqueryd\osqueryd.exe"" ""--flagfile=C:\Program Files\osquery\osquery.flags"" ",,"REP_NOT_LISTED",,,"100.20.30.40",16860,"7DESJ9GN-00663168-000001d4-00000000-1d94faf5ed22459",,"CarbonBlackEvents_CL",
"ACTION_FILE_MOD_OPEN | ACTION_FILE_OPEN_DELETE","8/9/2023, 4:11:01.849 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS | FILE_SIGNATURE_STATE_CATALOG_SIGNED""}]","c:\programdata\usoshared\logs\system\mousocoreworker.3b5e8f3a-b483-4327-9391-41eb8548149e.247.etl","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:59:41 +0000 UTC","2023-0810.2.3.40TC","NT AUTHORITY\SYSTEM","c:\windows\system32\svchost.exe","endpoint.event.filemod",carbonblack,"c:\windows\system32\mousocoreworker.exe",EDR,,"C:\Windows\system32\svchost.exe -k DcomLaunch -p","NT AUTHORITY\SYSTEM",784,"c:\windows\system32\svchost.exe","2023-08-09 03:59:41 +0000 UTC","10.2.3.40",WINDOWS,784,"10.2.3.40","[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]",,,carbonblack,,"ACTION_ALLOW",7DESJ9GN,,8680,,false,"C:\Windows\System32\mousocoreworker.exe -Embedding",,"2023-08-09 03:57:49.1503169 +0000 UTC",WINDOWS,"C:\Windows\System32\mousocoreworker.exe -Embedding",5765373,,"[""8e5b8f04d69c1af8444d0ca49e4ca883"",""4d99aa18848d0d2fec2064598db78e816f4135e3d56ccdfda7af01bd68e990fd""]","7DESJ9GN-0057f8fd-000021e8-00000000-1d9ca75a98205f9",5765373,,1,"endpoint.event.filemod",,"C:\Windows\System32\mousocoreworker.exe -Embedding",,"REP_WHITE",,,"10.2.3.40",8680,"7DESJ9GN-0057f8fd-00000310-00000000-1d9c88821a0d73b",,"CarbonBlackEvents_CL",
"ACTION_FILE_CREATE | ACTION_FILE_DELETE | ACTION_FILE_MOD_OPEN | ACTION_FILE_TRUNCATE | ACTION_FILE_OPEN_WRITE | ACTION_FILE_OPEN_SET_ATTRIBUTES","8/9/2023, 4:11:01.849 AM","1a0e2567-2e58-4989-ad18-206108185325",RestAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""name"":""Microsoft Windows Publisher"",""state"":""FILE_SIGNATURE_STATE_SIGNED | FILE_SIGNATURE_STATE_VERIFIED | FILE_SIGNATURE_STATE_TRUSTED | FILE_SIGNATURE_STATE_OS""}]","c:\windows\windowsupdate.log","["""",""""]",,,,,,,,,,,,,,,,,,,,,"REP_WHITE",,"2023-08-09 03:59:41 +0000 UTC","2023-08-09 03:57:50.1962152 +0000 UTC","NT AUTHORITY\SYSTEM","c:\windows\system32\services.exe","endpoint.event.filemod",carbonblack,"c:\windows\system32\svchost.exe",EDR,,"C:\Windows\system32\services.exe","NT AUTHORITY\SYSTEM",624,"c:\windows\system32\services.exe","2023-08-09 03:59:41 +0000 UTC","10.2.3.40",WINDOWS,624,"10.2.3.40","[""14b88ff4833012512278a5f3a5712bd2"",""e6fe9a94e8686e957dbcec2b89c1c1ddcf8e75d76e9200d0cbef74d510c71317""]",,,carbonblack,,"ACTION_ALLOW",7DESJ9GN,,8696,,false,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"2023-08-09 03:57:50.1962152 +0000 UTC",WINDOWS,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",5765373,,"[""b7f884c1b74a263f746ee12a5f7c9f6a"",""add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88""]","7DESJ9GN-0057f8fd-000021f8-00000000-1d9ca75aa0876c9",5765373,,1,"endpoint.event.filemod",,"C:\Windows\system32\svchost.exe -k netsvcs -p -s wuauserv",,"REP_WHITE",,,"10.2.3.40",8696,"7DESJ9GN-0057f8fd-00000270-00000000-1d9c8880e61c0f5",,"CarbonBlackEvents_CL",
