Function,TCODE
ACCREC01,FCH4
ACCREC01,FCH6
ACCREC01,FCH7
ACCREC01,FCH8
ACCREC01,FCH9
ACCREC01,FCHD
ACCREC01,FCHG
ACCREC01,FCHT
ACCREC01,FCHX
ACCREC01,FP06
ACCREC01,FPE2M
ACCREC01,FPRV
ACCREC02,F-04
ACCREC02,F-06
ACCREC02,F-26
ACCREC02,F-28
ACCREC02,F-29
ACCREC02,F-30
ACCREC02,F-36
ACCREC02,F-40
ACCREC02,F-52
ACCREC02,FBA2
ACCREC02,FBZ1
ACCREC02,FBZ3
ACCREC02,FLB1
ACCREC02,FLB2
ACCREC02,FLBP
ACCREC02,S_AL0_96000212
ACCREC02,WLFLK
ACCREC02,WLFMCK
ACCREC03,F-32
ACCREC03,F-39
ACCREC03,F.13
ACCREC03,FB1D
ACCREC03,FBA3
ACCREC03,FOAPPROC02
ACCREC04,F.28
ACCREC04,F.34
ACCREC04,FD32
ACCREC04,FD37
ACCREC04,UKM_MASS_UPD1
ACCREC04,UKM_MASS_UPD2
ACCREC04,UKM_MASS_UPD3
ACCREC04,UKM_MASS_UPD4
ACCREC05,V.07
ACCREC05,VF01
ACCREC05,VF02
ACCREC05,VF04
ACCREC05,VF06
ACCREC05,VF11
ACCREC05,VFRB
ACCREC06,F-27
ACCREC06,F-67
ACCREC06,FB75
ACCREC07,/SAPNEA/JSCR30
ACCREC07,ACACACT
ACCREC07,ACEREV
ACCREC07,F-02
ACCREC07,F-20
ACCREC07,F-22
ACCREC07,F-23
ACCREC07,F-27
ACCREC07,F-32
ACCREC07,F-64
ACCREC07,F.26
ACCREC07,F.2A
ACCREC07,F.2B
ACCREC07,FB01
ACCREC07,FB01L
ACCREC07,FB02
ACCREC07,FB09
ACCREC07,FB65
ACCREC07,FB70
ACCREC07,FB75
ACCREC07,FBL5N
ACCREC07,FBL6
ACCREC07,FBL6N
ACCREC07,FBRA
ACCREC07,FBV0
ACCREC07,FBVB
ACCREC07,FBW1
ACCREC07,FBW2
ACCREC07,FBW4
ACCREC07,FV70
ACCREC07,FV75
BASIS01,CS28
BASIS01,CVAD
BASIS01,F90ABKST
BASIS01,F9NARCH
BASIS01,FMAR_AT
BASIS01,FMAR_BE
BASIS01,FMAR_BH
BASIS01,FMAR_BT
BASIS01,FMAR_CO
BASIS01,FMAR_FI
BASIS01,FMAR_OI
BASIS01,IA24
BASIS01,J2ID
BASIS01,KA10
BASIS01,KA12
BASIS01,KA16
BASIS01,KA18
BASIS01,KA20
BASIS01,ME97
BASIS01,MEBR
BASIS01,SARA
BASIS01,SWW_SARA
BASIS01,VARK
BASIS01,VIAR
BASIS01,WAKT_SARA
BASIS01,WMF_SARA
BASIS01,WSR4
BASIS01,WTAD_SARA
BASIS01,WTY_SARA
BASIS02,CMOD
BASIS02,DMCWB
BASIS02,DMWB
BASIS02,DSA
BASIS02,DSADEV_OLD
BASIS02,KE4D
BASIS02,OODR
BASIS02,OVNN
BASIS02,OVRC
BASIS02,OVRE
BASIS02,PIMG_HRDECI01
BASIS02,RBDAPP01
BASIS02,RBDCONCH
BASIS02,RBDMANI2
BASIS02,RBDMIDOC
BASIS02,RBDMOIND
BASIS02,RBDSER01
BASIS02,RBDSTATE
BASIS02,RSARFCEX
BASIS02,RSEIDOCM
BASIS02,RSEOUT00
BASIS02,SCTS_RESNAME
BASIS02,SD11
BASIS02,SE11
BASIS02,SE13
BASIS02,SE14
BASIS02,SE15
BASIS02,SE37
BASIS02,SE38
BASIS02,SE38L
BASIS02,SE38M
BASIS02,SE38P
BASIS02,SE38Q
BASIS02,SE93
BASIS02,SENG
BASIS02,SMOD
BASIS02,SWRK
BASIS02,WBDEMO
BASIS02,WORKINGAREA
BASIS03,BCA_CUS_BK
BASIS03,CACS_VTCACSF
BASIS03,J1ITDUE
BASIS03,J1IY
BASIS03,J1IZ
BASIS03,KCS0
BASIS03,KCS5
BASIS03,KCS6
BASIS03,OKW2
BASIS03,OOW2
BASIS03,OOW3
BASIS03,OVAP
BASIS03,OVFK
BASIS03,OVNB
BASIS03,OVNE
BASIS03,OVNG
BASIS03,OVNI
BASIS03,OVNJ
BASIS03,OVNO
BASIS03,S-32
BASIS03,S-33
BASIS03,SE16
BASIS03,SE16N
BASIS03,SM30
BASIS03,SM30_TVARV
BASIS03,SM31
BASIS03,SPRO
BASIS03,SPRO_ADMIN
BASIS03,TIME
BASIS04,/ISIDEX/B005_U34_01
BASIS04,/ISIDEX/B005_U36_01
BASIS04,SCPR20
BASIS04,SE41
BASIS04,SE43
BASIS04,SE51
BASIS04,SE80
BASIS04,SE81
BASIS04,SE82
BASIS04,SE91
BASIS04,SE92
BASIS05,/SAPSLL/T000_R3
BASIS05,/SAPSLL/T000_SPI
BASIS05,BSP_WD_WORKBENCH
BASIS05,CFMCK
BASIS05,CFMCSVK
BASIS05,CFMCSVUK
BASIS05,CFMCUK
BASIS05,CSADMIN
BASIS05,FINB_TR_CCM1
BASIS05,FINB_TR_EXEC_AI
BASIS05,FOD0
BASIS05,FOD1
BASIS05,FOD2
BASIS05,JBC0
BASIS05,JBC1
BASIS05,JBC2
BASIS05,JBC3
BASIS05,JBC4
BASIS05,JBC5
BASIS05,JBC6
BASIS05,JBC7
BASIS05,JBC8
BASIS05,JBC9
BASIS05,JBCA
BASIS05,JBCB
BASIS05,JBCBCA
BASIS05,JBCC
BASIS05,JBCD
BASIS05,JBCE
BASIS05,JBCG
BASIS05,JBCH
BASIS05,JBCI
BASIS05,JBCJ
BASIS05,JBCK
BASIS05,JBCL
BASIS05,JBCM
BASIS05,JBCN
BASIS05,JBCO
BASIS05,JBCP
BASIS05,JBCQ
BASIS05,OY24
BASIS05,OY25
BASIS05,SBCA
BASIS05,SCC1
BASIS05,SCC4
BASIS05,SCC5
BASIS05,SCC7
BASIS05,SCC8
BASIS05,SCC9
BASIS05,SCCL
BASIS05,SCON
BASIS05,SCOT
BASIS05,S_ALR_87101026
BASIS05,S_B20_88000036
BASIS05,TRC0
BASIS05,TRC1
BASIS05,TRC2
BASIS05,TRC3
BASIS05,TRC4
BASIS05,TRC5
BASIS05,TRC6
BASIS05,TRC7
BASIS05,TRC8
BASIS05,TRC9
BASIS05,TRCA
BASIS05,TRCB
BASIS05,TRCC
BASIS05,TRCE
BASIS06,/ISDFPS/11000049
BASIS06,RZ04
BASIS06,RZ06
BASIS06,RZ10
BASIS06,RZ21
BASIS06,SM49
BASIS06,SM63
BASIS06,SM69
BASIS06,SMLG
BASIS06,SWDC
BASIS06,SWDC_DEFINITION
BASIS06,SWDC_INTERNAL
BASIS06,SWDC_RUNTIME
BASIS07,SE01
BASIS07,SE03
BASIS07,SE06
BASIS07,SE09
BASIS07,SE10
BASIS08,ACEPS_RUNID
BASIS08,HRGPBSSNORHR_GB_HEID
BASIS08,HRGPBSSNORP08_HESA
BASIS08,HRGPBS_SNRO_HESA
BASIS08,J1I9
BASIS08,J1IM
BASIS08,OMAD
BASIS08,OMAE
BASIS08,OYSM
BASIS08,OYSN
BASIS08,OYSO
BASIS08,OYSQ
BASIS08,SNRO
BASIS09,STMS
BASIS10,GCE1
BASIS10,LICENSE_ATTRIBUTES
BASIS10,OMDL
BASIS10,OMEH
BASIS10,OMEI
BASIS10,OMG7
BASIS10,OMWF
BASIS10,OMWG
BASIS10,OMWK
BASIS10,OOAU
BASIS10,OOPR
BASIS10,OOUS
BASIS10,OP15
BASIS10,OPF0
BASIS10,OPF1
BASIS10,OTZ1
BASIS10,OTZ2
BASIS10,OTZ3
BASIS10,OVZ6
BASIS10,OY20
BASIS10,OY21
BASIS10,OY22
BASIS10,OY27
BASIS10,OY28
BASIS10,OY29
BASIS10,OY30
BASIS10,PFCG
BASIS10,SM19
BASIS10,SU01
BASIS10,SU02
BASIS10,SU03
BASIS10,SU05
BASIS10,SU10
BASIS10,SU12
BASIS10,SU20
BASIS10,SU21
BASIS10,SU22
BASIS10,S_ALR_87003541
BASIS10,S_ALR_87005706
BASIS10,S_ALR_87007779
BASIS10,S_ALR_87007922
BASIS10,S_ALR_87009084
BASIS11,/SAPDMC/LSMW
BASIS11,CFS2
BASIS11,LSMW
BASIS11,OBR1
BASIS11,OYEA
BASIS11,RSOCONTENT
BASIS11,RSPRECADMIN
BASIS11,RSREP
BASIS11,RSTC_CUST_BIAC
BASIS11,RZ70
BASIS11,SEEF_MIGWB
BASIS11,SM01
BASIS11,SM12
BASIS11,SM13
BASIS11,SM14
BASIS11,SM50
BASIS11,SM51
BASIS11,SM54
BASIS11,SM55
BASIS11,SM56
BASIS11,SM58
BASIS11,SM59
BASIS11,SMLT
BASIS11,SMQE
BASIS11,SPAD
BASIS11,SPIA
BASIS11,SSAA
BASIS11,SSAA_TOP
BASIS11,SURL_PERS_ADMIN
BASIS11,SXDA_TOOLS
BASIS11,SXDB
BASIS11,SXMB_ADM
BASIS11,SXMB_ADM_BPE
BASIS11,S_ALR_87004251
BASIS11,S_B9R_9900
BASIS11,S_B9R_99000001
BASIS11,S_B9R_99000002
BASIS11,TREXADMIN
BASIS12,SCWB
BASIS12,SE01
BASIS12,SE03
BASIS12,SE06
BASIS12,SE09
BASIS12,SE10
BASIS12,SPAM
BASIS12,STMS
BASIS13,CRM_ROLE_COPIER
BASIS13,CRM_ROLE_MAP_ADDER
BASIS13,GCE1
BASIS13,LICENSE_ADMIN
BASIS13,OMDL
BASIS13,OMEH
BASIS13,OMWF
BASIS13,OOUS
BASIS13,OPF0
BASIS13,OTZ1
BASIS13,OVZ5
BASIS13,OY22
BASIS13,OY27
BASIS13,OY28
BASIS13,OY29
BASIS13,OY30
BASIS13,PFCG
BASIS13,SCUA
BASIS13,SCUM
BASIS13,SLICENSE
BASIS13,SSO2
BASIS13,SU01
BASIS13,SU05
BASIS13,SU10
BASIS13,SU12
BASIS13,S_ALR_87003541
BASIS13,S_ALR_87005706
BASIS13,S_ALR_87007779
BASIS13,S_ALR_87007922
BASIS13,S_ALR_87009084
BASIS14,OMEI
BASIS14,OMG7
BASIS14,OMWG
BASIS14,OMWK
BASIS14,OOAU
BASIS14,OOPR
BASIS14,OP15
BASIS14,OPF1
BASIS14,OTZ2
BASIS14,OTZ3
BASIS14,OVZ6
BASIS14,OY20
BASIS14,OY21
BASIS14,PFCG
BASIS14,SU02
BASIS14,SU03
BASIS14,SU20
BASIS14,SU21
BASIS14,SU22
BASIS14,S_ALR_87003541
BASIS14,S_ALR_87005706
BASIS14,S_ALR_87007779
BASIS14,S_ALR_87007922
BASIS14,S_ALR_87009084
BASIS15,ACLA
BASIS15,AFX_WB
BASIS15,AOBJ
BASIS15,AS_ADMIN
BASIS15,CKR3
BASIS15,CKRA
BASIS15,CS28
BASIS15,CVAD
BASIS15,F48A
BASIS15,F90ABKST
BASIS15,F9NARCH
BASIS15,FKK_CORRSPND_SARA
BASIS15,FMAR_AT
BASIS15,FMAR_BE
BASIS15,FMAR_BH
BASIS15,FMAR_BT
BASIS15,FMAR_CO
BASIS15,FMAR_FI
BASIS15,FMAR_OI
BASIS15,FTWB
BASIS15,FTWJ
BASIS15,GAR1
BASIS15,IA24
BASIS15,J2ID
BASIS15,ME97
BASIS15,MEBR
BASIS15,OAA1
BASIS15,OAAD
BASIS15,OAB4
BASIS15,OABA
BASIS15,OAD0
BASIS15,OAD2
BASIS15,OAD3
BASIS15,OAD4
BASIS15,OAD5
BASIS15,OAER
BASIS15,OAF1
BASIS15,OAOH
BASIS15,OAR1
BASIS15,OARE
BASIS15,OARK
BASIS15,OCY1
BASIS15,OKUZ
BASIS15,OMRZ
BASIS15,OV36
BASIS15,P1B5
BASIS15,P1OA
BASIS15,QAER
BASIS15,QC31
BASIS15,QC32
BASIS15,QD22
BASIS15,QD24
BASIS15,QD25
BASIS15,QSR5
BASIS15,RSARCH_ADMIN
BASIS15,RSREQARCH
BASIS15,SARA
BASIS15,SOY8
BASIS15,SU80
BASIS15,SU81
BASIS15,SU82
BASIS15,SU83
BASIS15,SU84
BASIS15,SU85
BASIS15,SWW_SARA
BASIS15,VARA
BASIS15,VARC
BASIS15,VARK
BASIS15,VARR
BASIS15,VCAR
BASIS15,VIAR
BASIS15,VKAW
BASIS15,WAKT_SARA
BASIS15,WMF_SARA
BASIS15,WSR1
BASIS15,WSR4
BASIS15,WTAD_SARA
BASIS15,WTY_SARA
BASIS16,AL11
BASIS16,AL15
BASIS16,BCA_CUS_BK
BASIS16,BD21
BASIS16,BD22
BASIS16,BD61
BASIS16,BD66
BASIS16,BD71
BASIS16,BD72
BASIS16,BD75
BASIS16,BD77
BASIS16,BD78
BASIS16,BD85
BASIS16,BD86
BASIS16,BD89
BASIS16,BDA1
BASIS16,BDM7
BASIS16,BDM8
BASIS16,BDM9
BASIS16,BDMC
BASIS16,BDRC
BASIS16,BDRL
BASIS16,BRF
BASIS16,CACS_VTCACSF
BASIS16,CFMCK
BASIS16,CFMCSVK
BASIS16,CFMCSVUK
BASIS16,CFMCUK
BASIS16,CLVL
BASIS16,DB03
BASIS16,DB20
BASIS16,EEWB
BASIS16,EHSEVAL00
BASIS16,FBN1
BASIS16,FIOTP_NRIV
BASIS16,FOD0
BASIS16,FOD1
BASIS16,FOD2
BASIS16,GCTR
BASIS16,GCTS
BASIS16,J1ITDUE
BASIS16,J1IY
BASIS16,J1IZ
BASIS16,JBC0
BASIS16,JBC1
BASIS16,JBC2
BASIS16,JBC3
BASIS16,JBC4
BASIS16,JBC5
BASIS16,JBC6
BASIS16,JBC7
BASIS16,JBC8
BASIS16,JBC9
BASIS16,JBCA
BASIS16,JBCB
BASIS16,JBCBCA
BASIS16,JBCC
BASIS16,JBCD
BASIS16,JBCE
BASIS16,JBCG
BASIS16,JBCH
BASIS16,JBCI
BASIS16,JBCJ
BASIS16,JBCK
BASIS16,JBCL
BASIS16,JBCM
BASIS16,JBCN
BASIS16,JBCO
BASIS16,JBCP
BASIS16,JBCQ
BASIS16,KCS5
BASIS16,KCS6
BASIS16,LN08
BASIS16,OKW2
BASIS16,OOW2
BASIS16,OOW3
BASIS16,OS04
BASIS16,OS05
BASIS16,OY19
BASIS16,OYEA
BASIS16,R3AC3
BASIS16,R3AC4
BASIS16,R3AC5
BASIS16,RSA1
BASIS16,RSA11
BASIS16,RSA12
BASIS16,RSA13
BASIS16,RSA14
BASIS16,RSA15
BASIS16,RSA16
BASIS16,RSA17
BASIS16,RSA18
BASIS16,RSA1OLD
BASIS16,RSADMIN
BASIS16,RSAWB
BASIS16,RSMON
BASIS16,RSQ10
BASIS16,RZ04
BASIS16,SARP
BASIS16,SART
BASIS16,SCC1
BASIS16,SCC3
BASIS16,SCC5
BASIS16,SCC7
BASIS16,SCC8
BASIS16,SCC9
BASIS16,SCCL
BASIS16,SCU0
BASIS16,SE01
BASIS16,SE03
BASIS16,SE06
BASIS16,SE09
BASIS16,SE13
BASIS16,SE36
BASIS16,SE37
BASIS16,SE41
BASIS16,SLG0
BASIS16,SM01
BASIS16,SM30
BASIS16,SM30_TVARV
BASIS16,SM31
BASIS16,SM49
BASIS16,SM54
BASIS16,SM55
BASIS16,SM56
BASIS16,SM59
BASIS16,SM62
BASIS16,SM63
BASIS16,SM64
BASIS16,SM69
BASIS16,SMLG
BASIS16,SMLT
BASIS16,SMQE
BASIS16,SMW3FDBDOC
BASIS16,SMW3FDCUST
BASIS16,SO72
BASIS16,SPAM
BASIS16,SPAU
BASIS16,SPDD
BASIS16,SPIA
BASIS16,SPPFCADM
BASIS16,SPRO
BASIS16,SQ00
BASIS16,SQ01
BASIS16,SQ02
BASIS16,SQ03
BASIS16,SQ10
BASIS16,SQ11
BASIS16,ST01
BASIS16,ST02
BASIS16,SXDA_TOOLS
BASIS16,SXDB
BASIS16,SXMB_ADM
BASIS16,SXMB_ADM_BPE
BASIS16,S_ALR_87003658
BASIS16,S_ALR_87004251
BASIS16,S_ALR_87008567
BASIS16,TIME
BASIS16,TRC0
BASIS16,TRC1
BASIS16,TRC2
BASIS16,TRC3
BASIS16,TRC4
BASIS16,TRC5
BASIS16,TRC6
BASIS16,TRC7
BASIS16,TRC8
BASIS16,TRC9
BASIS16,TRCA
BASIS16,TRCB
BASIS16,TRCC
BASIS16,TRCE
BASIS16,TREXADMIN
BASIS16,TU02
BASIS16,UCWB
BASIS16,UG_BW_RSA1
BASIS16,UG_BW_RSDMWB
BASIS16,UG_BW_RSMON
BASIS16,UG_BW_RSORBCT
BASIS16,UG_BW_RSORMDR
BASIS16,UG_BW_RSQ10
BASIS16,WE21
BASIS17,/SAPDMC/LSMW
BASIS17,/SAPSLL/T000_R3
BASIS17,/SAPSLL/T000_SPI
BASIS17,CFS2
BASIS17,DEL_IND_TMPL
BASIS17,DMCWB
BASIS17,DMWB
BASIS17,DSA
BASIS17,DSADEV_OLD
BASIS17,EWFM
BASIS17,EWFZ
BASIS17,FINB_TR_CCM1
BASIS17,FUNC_CHECK
BASIS17,GENSTATUS
BASIS17,GENSTATUS2
BASIS17,GNRSTATUSBDOC
BASIS17,GNRSTATUSPUBLI
BASIS17,GNRSTATUSREPLI
BASIS17,GNRWB
BASIS17,GN_DATE_CHECK
BASIS17,KE4D
BASIS17,LSMW
BASIS17,OODR
BASIS17,OS01
BASIS17,OS03
BASIS17,OVNM
BASIS17,OVNN
BASIS17,OVRC
BASIS17,OVRE
BASIS17,OY24
BASIS17,OY25
BASIS17,R3AC1
BASIS17,R3AC6
BASIS17,R3AC7
BASIS17,R3AR4
BASIS17,R3AS
BASIS17,R3AS4
BASIS17,RBDAPP01
BASIS17,RBDCONCH
BASIS17,RBDMANI2
BASIS17,RBDMIDOC
BASIS17,RBDMOIND
BASIS17,RBDSER01
BASIS17,RBDSTATE
BASIS17,RJB1
BASIS17,RSARFCEX
BASIS17,RSCATTAWB
BASIS17,RSEIDOCM
BASIS17,RSEOUT00
BASIS17,RZ20
BASIS17,SA38
BASIS17,SA39
BASIS17,SBCA
BASIS17,SC38
BASIS17,SCAT
BASIS17,SCC4
BASIS17,SCMA
BASIS17,SCON
BASIS17,SCOT
BASIS17,SCTS_RESNAME
BASIS17,SE11
BASIS17,SE16
BASIS17,SE16N
BASIS17,SE38
BASIS17,SE38L
BASIS17,SE38M
BASIS17,SE38P
BASIS17,SE38Q
BASIS17,SE93
BASIS17,SEEF_MIGWB
BASIS17,SENG
BASIS17,SM02
BASIS17,SM12
BASIS17,SM35
BASIS17,SM35P
BASIS17,SM36
BASIS17,SM37
BASIS17,SM51
BASIS17,SM58
BASIS17,SM65
BASIS17,SMOEAC
BASIS17,SMOECK
BASIS17,SMOGCHECK
BASIS17,SMOGCK
BASIS17,SMOGGEN
BASIS17,SMOGIND
BASIS17,SMOGLASTLOG
BASIS17,SMOGLOG
BASIS17,SMOGSYNTAX
BASIS17,SMOGTEMPL
BASIS17,SMOGTOTAL
BASIS17,SMOGTRANS
BASIS17,SMOHQUEUE
BASIS17,SMQR
BASIS17,SMW00
BASIS17,SMW10
BASIS17,SMW20
BASIS17,SO30
BASIS17,SO31
BASIS17,SP11
BASIS17,SP12
BASIS17,SPAD
BASIS17,ST11
BASIS17,SUB%
BASIS17,SWEAD
BASIS17,SWEQADM
BASIS17,SWEQADM_1
BASIS17,SWIA
BASIS17,SWRK
BASIS17,SWTFILTER
BASIS17,S_B20_88000036
BASIS17,WBDEMO
BASIS17,WE40
BASIS17,WE44
BASIS17,WE45
BASIS17,WE47
BASIS17,WE54
BASIS17,WE55
BASIS17,WE56
BASIS17,WE58
BASIS17,WE59
BASIS17,WEL0
BASIS17,WEL1
BASIS17,WORKINGAREA
BASIS18,AL02
BASIS18,AL04
BASIS18,AL05
BASIS18,AL16
BASIS18,AL17
BASIS18,AL18
BASIS18,AL19
BASIS18,BDM2
BASIS18,BDM5
BASIS18,BDM6
BASIS18,BDMO
BASIS18,BDR1
BASIS18,BDR2
BASIS18,COM_SE_ADMIN
BASIS18,CRMM_BPD
BASIS18,DB01
BASIS18,DB02
BASIS18,DB12
BASIS18,DB13
BASIS18,DB16
BASIS18,DB17
BASIS18,DB24
BASIS18,FINB_TR_CC_LOG
BASIS18,OS06
BASIS18,OS07
BASIS18,R3AM1
BASIS18,R3AR3
BASIS18,RZ01
BASIS18,RZ03
BASIS18,RZ06
BASIS18,SM04
BASIS18,SM21
BASIS18,SM50
BASIS18,SM61
BASIS18,SM66
BASIS18,SMO8FD
BASIS18,SMO8REORG
BASIS18,SMOHCK
BASIS18,SMQ1
BASIS18,SMQ2
BASIS18,SMW3FDIF
BASIS18,SMWMCOMM
BASIS18,SMWMFLOW
BASIS18,SMWMQUEUES
BASIS18,SMWMSCHEDULER
BASIS18,SMWP
BASIS18,SMWT
BASIS18,ST03
BASIS18,ST03N
BASIS18,ST04
BASIS18,ST05
BASIS18,ST06
BASIS18,ST07
BASIS18,ST10
BASIS18,STAD
BASIS18,STAT
BASIS19,CRM_ROLE_COPIER
BASIS19,CRM_ROLE_MAP_ADDER
BASIS19,EWZ5
BASIS19,FA39
BASIS19,GCE1
BASIS19,LICENSE_ADMIN
BASIS19,O037
BASIS19,OMDL
BASIS19,OMEH
BASIS19,OMEI
BASIS19,OMG7
BASIS19,OMWF
BASIS19,OMWG
BASIS19,OMWK
BASIS19,OOAU
BASIS19,OOPB
BASIS19,OOPR
BASIS19,OOSB
BASIS19,OOSP
BASIS19,OOUS
BASIS19,OP15
BASIS19,OPE9
BASIS19,OPEA
BASIS19,OPF0
BASIS19,OPF1
BASIS19,OTZ1
BASIS19,OTZ2
BASIS19,OTZ3
BASIS19,OVZ5
BASIS19,OVZ6
BASIS19,OY20
BASIS19,OY21
BASIS19,OY22
BASIS19,OY27
BASIS19,OY28
BASIS19,OY29
BASIS19,OY30
BASIS19,PFAC
BASIS19,PFCG
BASIS19,PFUD
BASIS19,SCUA
BASIS19,SCUM
BASIS19,SLAW
BASIS19,SLICENSE
BASIS19,SO52
BASIS19,SOY1
BASIS19,SSO2
BASIS19,SU01
BASIS19,SU02
BASIS19,SU03
BASIS19,SU05
BASIS19,SU10
BASIS19,SU12
BASIS19,SU20
BASIS19,SU21
BASIS19,SU22
BASIS19,SU24
BASIS19,SU25
BASIS19,SU26
BASIS19,SU50
BASIS19,SU51
BASIS19,SU52
BASIS19,SU86
BASIS19,SU87
BASIS19,SU96
BASIS19,SU97
BASIS19,SU98
BASIS19,SU99
BASIS19,SUCU
BASIS19,SUPC
BASIS19,SUPO
BASIS19,S_ALR_87003541
BASIS19,S_ALR_87005706
BASIS19,S_ALR_87007779
BASIS19,S_ALR_87007922
BASIS19,S_ALR_87009084
BASIS19,S_BCE_68000273
BASIS19,TBC5
BASIS20,KCS5
BASIS20,KCS6
BASIS20,SE16
BASIS20,SE16N
BASIS20,SM30
BASIS20,SM30_TVARV
BASIS20,SM31
CLASS01,CL01
CLASS01,CL02
CLASS01,CL04
CLASS01,CL20
CLASS01,CL20N
CLASS01,CL22
CLASS01,CL22N
CLASS01,CL24
CLASS01,CL24N
CLASS01,CL26
CLASS01,CL30
CLASS01,CL30N
CLASS01,CL6H
CLASS01,CL6K
CLASS01,CL6M
CLASS01,CT01
CLASS01,CT02
CLASS01,CT04
CLASS01,MASS
CLASS01,MASSOBJ
CLASS01,OKC3
CLASS01,WSOD
COST01,FCOEX
COST01,KSV1
COST01,KSV2
COST02,KAH1
COST02,KAH2
COST02,KSH1
COST02,KSH2
COST02,OKOH
COST03,KS01
COST03,KS02
COST03,KS12
COST03,OKEON
COST04,KSV5
COST05,KO01
COST05,KO02
COST05,KO12
COST05,KO14
COST05,KPF6
COST06,KB11
COST06,KB11N
COST06,KB14
COST06,KB14N
COST06,KB61
COST06,KB64
COST06,KO15
COST07,KO88
COST07,KO8G
ASSETS01,AB01
ASSETS01,AB02
ASSETS01,AB08
ASSETS01,ABAA
ASSETS01,ABAO
ASSETS01,ABAON
ASSETS01,ABAV
ASSETS01,ABAVN
ASSETS01,ABAW
ASSETS01,ABCO
ASSETS01,ABGF
ASSETS01,ABGL
ASSETS01,ABIF
ASSETS01,ABMA
ASSETS01,ABMR
ASSETS01,ABNAN
ASSETS01,ABNE
ASSETS01,ABNK
ASSETS01,ABSO
ASSETS01,ABSO_OLD
ASSETS01,ABUM
ASSETS01,ABUMN
ASSETS01,ABZE
ASSETS01,ABZK
ASSETS01,ABZO
ASSETS01,ABZON
ASSETS01,ABZP
ASSETS01,ABZU
ASSETS01,ABZV
ASSETS01,AFAB
ASSETS01,AFABN
ASSETS01,AIST
ASSETS01,F-90
ASSETS01,F-91
ASSETS01,F-92
ASSETS01,J1AI
ASSETS02,ABNA
ASSETS02,ABNAN
ASSETS02,AJRW
ASSETS02,AS01
ASSETS02,AS02
ASSETS02,AS05
ASSETS02,AS06
ASSETS02,AS11
ASSETS02,AS21
ASSETS02,AS22
ASSETS02,AS24
ASSETS02,AS25
ASSETS02,AS26
ASSETS02,AT01
ASSETS02,AT02
