TimeGenerated,DeviceVendor,DeviceEventClassID,LogSeverity,DestinationIP,DeviceName,SourceIP,DeviceVersion,Activity,DestinationHostName,ExternalID,SourceHostName,SourceUserName,DeviceCustomString4,FlexNumber1,FlexNumber2,AdditionalExtensions,Type
2020-05-14T04:07:21.503Z,Vectra Networks,smb_ransomware,9,192.168.12.5,x4-3-14.sc.tvec,192.168.152.194,5.7,Ransomware File Activity,,46,DJComp,user2,https://x4-3-14.sc.tvec/detections/46?detail_id\=142,90,77,cat=LATERAL MOVEMENT;start=1589423897000;end=1589429106000,CommonSecurityLog
2020-05-14T05:05:28.97Z,Vectra Networks,smash_n_grab,6,172.217.23.129,x4-3-14.sc.tvec,10.100.199.10,5.7,Smash and Grab,172.217.23.129,51,dc2-aws-us-west-01,,https://x4-3-14.sc.tvec/detections/51?detail_id\=186,60,11,cat=EXFILTRATION;start=1589430827000;end=1589432626000,CommonSecurityLog
2020-05-14T05:14:01.22Z,Vectra Networks,hidden_https_tunnel_exfil,9,172.217.23.129,x4-3-14.sc.tvec,10.100.199.10,5.7,Hidden HTTPS Tunnel,fra16s18-in-f1.1e100.net,52,dc2-aws-us-west-01,,https://x4-3-14.sc.tvec/detections/52?detail_id\=194,95,80,cat=EXFILTRATION;start=1589430827000;end=1589433101000,CommonSecurityLog
2020-05-13T21:52:29.68Z,Vectra Networks,awb,1,0.0.0.0,x4-3-14.sc.tvec,192.168.173.101,5.7,Abnormal Web Activity,,5,BThomas-Win7,user1,https://x4-3-14.sc.tvec/detections/5?detail_id\=13,10,25,cat=BOTNET ACTIVITY;start=1589405636000;end=1589406251000,CommonSecurityLog
2020-05-13T21:17:31.157Z,Vectra Networks,internal_spreading,2,10.168.173.207,x4-3-14.sc.tvec,192.168.122.49,5.7,Automated Replication,,2,IP-192.168.122.49,,https://x4-3-14.sc.tvec/detections/2?detail_id\=5,22,22,cat=LATERAL MOVEMENT;start=1589404574000;end=1589404601000,CommonSecurityLog
2020-05-13T08:31:27.43Z,Vectra Networks,out_dos,1,11.1.1.2,x4-3-14.sc.tvec,192.168.196.9,5.6,Outbound DoS,,29,IP-192.168.196.9,,https://x4-3-14.sc.tvec/detections/29?detail_id\=51,10,56,cat=BOTNET ACTIVITY;start=1589358623000;end=1589358629000,CommonSecurityLog
2020-05-13T08:54:32.61Z,Vectra Networks,shell_knocker_c2s,0,12.168.255.254,x4-3-14.sc.tvec,192.168.173.101,5.6,Shell Knocker Client,,31,BThomas-Win7,user1,https://x4-3-14.sc.tvec/detections/31?detail_id\=53,5,5,cat=LATERAL MOVEMENT;start=1589357035000;end=1589358136000,CommonSecurityLog
2020-05-13T08:54:32.617Z,Vectra Networks,shell_knocker_s2c,0,10.168.173.101,x4-3-14.sc.tvec,192.168.255.254,5.6,Shell Knocker Server,,32,edgefw01,cognito,https://x4-3-14.sc.tvec/detections/32?detail_id\=54,5,5,cat=LATERAL MOVEMENT;start=1589355953000;end=1589356635000,CommonSecurityLog
2020-05-13T09:33:34.047Z,Vectra Networks,spam,5,11.1.2.7,x4-3-14.sc.tvec,192.168.12.33,5.6,Outbound Spam,,34,IP-192.168.12.33,admin,https://x4-3-14.sc.tvec/detections/34?detail_id\=56,50,95,cat=BOTNET ACTIVITY;start=1589362339000;end=1589362372000,CommonSecurityLog
2020-05-13T16:28:22.757Z,Vectra Networks,bitcoin,1,10.243.44.230,x4-2-17.sc.tvec,192.168.173.201,5.6,Cryptocurrency Mining,api.groupfabric.com,130,IP-192.168.173.201,,https://x4-2-17.sc.tvec/detections/130?detail_id\=513,10,90,cat=BOTNET ACTIVITY;start=1589387249000;end=1589387249000,CommonSecurityLog
2020-05-13T13:07:19.903Z,Vectra Networks,http_cnc,4,10.108.142.138,x4-3-14.sc.tvec,192.168.193.15,5.6,Suspicious HTTP,data.torntv.net,41,IP-192.168.193.15,user2,https://x4-3-14.sc.tvec/detections/41?detail_id\=84,40,60,cat=COMMAND & CONTROL;start=1589375181000;end=1589375209000,CommonSecurityLog
2020-05-13T13:24:23.74Z,Vectra Networks,sql_inject,5,10.168.14.73,x4-3-14.sc.tvec,192.168.174.114,5.6,SQL Injection Activity,,42,IP-192.168.174.114,,https://x4-3-14.sc.tvec/detections/42?detail_id\=86,50,77,cat=LATERAL MOVEMENT;start=1589376192000;end=1589376215000,CommonSecurityLog
2020-05-13T21:27:33.413Z,Vectra Networks,click_fraud,3,0.0.0.0,x4-3-14.sc.tvec,192.168.173.101,5.7,Abnormal Ad Activity,,3,IP-192.168.173.101,user1,https://x4-3-14.sc.tvec/detections/3?detail_id\=7,30,10,cat=BOTNET ACTIVITY;start=1589404267000;end=1589404865000,CommonSecurityLog
2020-05-13T16:40:57.17Z,Vectra Networks,stealth_post,5,12.114.143.248,x4-3-14.sc.tvec,192.168.101.101,5.6,Stealth HTTP Post,iqingjiangmiyu.com,44,IP-192.168.101.101,,https://x4-3-14.sc.tvec/detections/44?detail_id\=89,50,94,cat=COMMAND & CONTROL;start=1589387943000;end=1589387943000,CommonSecurityLog
2020-05-13T09:05:27.903Z,Vectra Networks,out_port_sweep,5,0.0.0.0,x4-3-14.sc.tvec,192.168.152.194,5.6,Outbound Port Sweep,,33,DJComp,,https://x4-3-14.sc.tvec/detections/33?detail_id\=55,50,95,cat=BOTNET ACTIVITY;start=1589352122000;end=1589353668000,CommonSecurityLog
2020-05-11T11:22:40.99Z,Vectra Networks,rdp_recon,7,10.168.14.73,x4-2-9.sc.tvec,192.168.76.22,5.6,RDP Recon,,97,IP-192.168.76.22,,https://x4-2-9.sc.tvec/detections/97?detail_id\=483,70,95,cat=RECONNAISSANCE;start=1589195829000;end=1589196140000,CommonSecurityLog
2020-05-07T06:49:07.023Z,Vectra Networks,brute_force_i2o,1,11.1.2.18,x4-2-9.sc.tvec,172.16.199.72,5.6,Brute-Force,foo.com,129,IP-172.16.199.72,,https://x4-2-9.sc.tvec/detections/129?detail_id\=497,10,40,cat=BOTNET ACTIVITY;start=1588834052000;end=1588834053000,CommonSecurityLog
2020-05-11T16:23:29.357Z,Vectra Networks,papi_admin_peer_console,5,0.0.0.0,device9,,5.6,Privilege Anomaly: Unusual Account on Host,,111,,admin,https://x4-2-9.sc.tvec/detections/111?detail_id\=501,55,95,cat=LATERAL MOVEMENT;account=cj@corp.example.com;start=1589205383000;end=1589211865000,CommonSecurityLog
2020-05-13T17:46:04.253Z,Vectra Networks,lockdown,3,,,,5.6,Account Lockdown,,80,,cognito,https://x4-2-9.sc.tvec/accounts/80,null,null,cat=LOCKDOWN;account=sysadmin@corp.example.com;start=1589391964246;end=1589391964246,CommonSecurityLog
2020-05-12T16:28:29.81Z,Vectra Networks,smb_brute_force,7,10.168.90.131,x4-2-17.sc.tvec,192.168.196.207,5.6,SMB Brute-Force,,125,IP-192.168.196.207,,https://x4-2-17.sc.tvec/detections/125?detail_id\=499,70,54,cat=LATERAL MOVEMENT;start=1589300883000;end=1589300884000,CommonSecurityLog
2020-05-11T11:47:36.99Z,Vectra Networks,rdp_anomaly,7,10.168.12.11,x4-2-9.sc.tvec,192.168.76.22,5.6,Suspicious Remote Desktop,,98,andyb,,https://x4-2-9.sc.tvec/detections/98?detail_id\=484,70,10,cat=LATERAL MOVEMENT;start=1589197629000;end=1589197629000,CommonSecurityLog
2020-05-13T17:26:02.197Z,Vectra Networks,papi_unusual_admin_console,7,0.0.0.0,device10,,5.6,Privilege Anomaly: Unusual Host,,100,,admin,https://x4-2-9.sc.tvec/detections/100?detail_id\=691,75,95,cat=LATERAL MOVEMENT;account=sysadmin@corp.example.com;start=1589091765000;end=1589358325000,CommonSecurityLog
2020-05-11T17:13:32.003Z,Vectra Networks,threat_intel_exfil,7,10.168.236.118,x4-2-9.sc.tvec,192.168.192.194,5.6,Threat Intelligence Match,mutton-raglans.rs,112,IP-192.168.192.194,user1,https://x4-2-9.sc.tvec/detections/112?detail_id\=502,74,60,cat=EXFILTRATION;start=1589217153000;end=1589217170000,CommonSecurityLog
2020-04-28T07:12:01.66Z,Vectra Networks,rpc_recon_1to1,3,10.168.90.2,x4-3-14.sc.tvec,192.168.90.101,5.6,RPC Targeted Recon,,98,XianFS,cognito,https://x4-3-14.sc.tvec/detections/98?detail_id\=490,38,10,cat=RECONNAISSANCE;start=1588035191000;end=1588057274000,CommonSecurityLog
2020-05-13T15:22:25.577Z,Vectra Networks,p2p_cnc,2,11.1.1.7,x4-2-17.sc.tvec,192.168.196.95,5.6,Peer-To-Peer,,129,IP-192.168.196.95,user2,https://x4-2-17.sc.tvec/detections/129?detail_id\=512,20,95,cat=COMMAND & CONTROL;start=1589383283000;end=1589383320000,CommonSecurityLog
2020-05-01T17:52:33.273Z,Vectra Networks,kerberos_password_spray,3,0.0.0.0,dogfood.vectra.io,10.0.2.170,5.7,Kerberos Brute-Sweep,,44464,sjc-dc-1.vectra.io,user1,https://dogfood.vectra.io/detections/44464?detail_id\=550349,38,51,cat=RECONNAISSANCE;start=1588355149000;end=1588355402000,CommonSecurityLog
2020-05-12T08:09:47.46Z,Vectra Networks,smb_enum_user,0,10.168.7.119,dogfood.vectra.io,192.168.7.40,5.7,SMB Account Scan,,44350,sc-insightvm,cognito,https://dogfood.vectra.io/detections/44350?detail_id\=560257,0,0,cat=RECONNAISSANCE;start=1586243556000;end=1589270930000,CommonSecurityLog
2020-04-22T15:33:26.577Z,Vectra Networks,TEST,,,,,lockdown,,,null,,,,null,null,,CommonSecurityLog
2020-05-13T00:09:26.95Z,Vectra Networks,sw_o365_paaAnomaly,0,0.0.0.0,device11,,5.7,O365 Suspicious Sharepoint Operation,,44550,,user2,https://dogfood.vectra.io/detections/44550?detail_id\=560839,5,20,cat=LATERAL MOVEMENT;account=O365:derek@vectra.ai;start=1589311201000;end=1589311201000,CommonSecurityLog
