"TimeGenerated [UTC]",Source,EventLog,Computer,EventLevel,EventLevelName,EventID,UserName,RenderedDescription,MG,ManagementGroupName,Type,"_ResourceId",domains,firstFound,forestName,generationTime,likelihoodOfCompromise,numberOfResults,remediation,result,resultMessage,schedule,score,securityFrameworkTags,securityIndicatorDescription,securityIndicatorName,severity,weight,"_Empty",securityFrameworkTagsCsv
"6/2/2021, 1:14:14.883 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Built-in domain Administrator account with old password (180 days)  Generation time: 2021-06-02T13:14:14.6327872+00:00 Security indicator name: Built-in domain Administrator account with old password (180 days) Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Informational Weight: 1 Schedule: Run every hour starting on 2/21/2021 2:19:22 PM Security framework tags: Mitre:Credential Access Security indicator description: This indicator checks to see if the pwdLastSet attribute on the built-in Domain Administrator account has been changed within the last 180 days. Likelihood of compromise: If the password for the built-in Domain Administrator account is not being changed on a regular basis, this account can be vulnerable to brute force password attacks. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:14.6327872Z","If the password for the built-in Domain Administrator account is not being changed on a regular basis, this account can be vulnerable to brute force password attacks.",0,None,Pass,"No evidence of exposure","Run every hour starting on 2/21/2021 2:19:22 PM","100 A","Credential Access","This indicator checks to see if the pwdLastSet attribute on the built-in Domain Administrator account has been changed within the last 180 days.","Built-in domain Administrator account with old password (180 days)",Informational,1,,"Credential Access"
"6/2/2021, 1:14:14.977 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Built-in domain Administrator account with old password (180 days) (25) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:18.410 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Computer or user accounts with unconstrained delegation (54) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:18.670 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Computer Accounts in Privileged Groups (51) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:18.703 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Computer or user accounts with unconstrained delegation  Generation time: 2021-06-02T13:14:18.4944545+00:00 Security indicator name: Computer or user accounts with unconstrained delegation Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 2/3/2021 1:39:52 PM Security framework tags: Mitre:Lateral Movement, Mitre:Defense Evasion Security indicator description: This indicator looks for computer or user accounts that are trusted for unconstrained Kerberos delegation. These accounts store users' Kerberos TGT locally to authenticate to other systems on their behalf. Computers and users trusted with unconstrained delegation are good targets for Kerberos-based attacks. Likelihood of compromise: Attackers who control a service or user trusted for unconstrained delegation can dump local credentials and uncover cached TGT. These credentials could belong to  users that accessed the service and who may be privileged.  Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:18.4944545Z","Attackers who control a service or user trusted for unconstrained delegation can dump local credentials and uncover cached TGT. These credentials could belong to  users that accessed the service and who may be privileged. ",0,None,Pass,"No evidence of exposure","Run every hour starting on 2/3/2021 1:39:52 PM","100 A","Lateral Movement, Defense Evasion","This indicator looks for computer or user accounts that are trusted for unconstrained Kerberos delegation. These accounts store users' Kerberos TGT locally to authenticate to other systems on their behalf. Computers and users trusted with unconstrained delegation are good targets for Kerberos-based attacks.","Computer or user accounts with unconstrained delegation",Warning,1,,"Lateral Movement,Defense Evasion"
"6/2/2021, 1:14:18.763 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Computer or user accounts with unconstrained delegation (54) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:19.190 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Computer Accounts in Privileged Groups  Generation time: 2021-06-02T13:14:18.7560506+00:00 Security indicator name: Computer Accounts in Privileged Groups Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 2/3/2021 1:37:32 PM Security framework tags: Mitre:Privilege Escalation Security indicator description: This indicator looks for computer accounts that are members of built-in privileged groups. Likelihood of compromise: If a computer account is a member of a domain privileged group, then anyone that compromises that computer account (i.e. becomes administrator) can act as a member of that group. Generally speaking, there is little reason for normal computer accounts to be part of privileged groups. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:18.7560506Z","If a computer account is a member of a domain privileged group, then anyone that compromises that computer account (i.e. becomes administrator) can act as a member of that group. Generally speaking, there is little reason for normal computer accounts to be part of privileged groups.",0,None,Pass,"No evidence of exposure","Run every hour starting on 2/3/2021 1:37:32 PM","100 A","Privilege Escalation","This indicator looks for computer accounts that are members of built-in privileged groups.","Computer Accounts in Privileged Groups",Warning,1,,"Privilege Escalation"
"6/2/2021, 1:14:19.280 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Computer Accounts in Privileged Groups (51) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:19.637 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Privileged accounts with a password that never expires (65) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:19.900 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Principals with constrained delegation using protocol transition enabled for a DC service (68) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:19.903 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",2,Warning,9212,"NT AUTHORITY\SYSTEM","Security indicator found: Privileged accounts with a password that never expires  Generation time: 2021-06-02T13:14:19.6747183+00:00 Security indicator name: Privileged accounts with a password that never expires Result: Failed First found: 5/3/2021 11:15:04 AM Score: 0 F Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 4/29/2021 12:16:08 PM Security framework tags: Mitre:Privilege Escalation, Mitre:Credential Access Security indicator description: This indicator identifies privileged accounts (adminCount attribute set to 1) where the Password Never Expires flag is set. Likelihood of compromise: User accounts whose passwords never expire are ripe targets for brute force password guessing. If these users are also administrative or privileged accounts, this makes them even more of a target. Result Message: Found 3 users with password never expires. Number of results: 3 Remediation: Enforce that users with privileged access must change their passwords on a regular basis and ensure that those passwords are complex and ideally require MFA to authenticate.  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab","5/3/2021 11:15:04 AM","dsp.lab","2021-06-02T13:14:19.6747183Z","User accounts whose passwords never expire are ripe targets for brute force password guessing. If these users are also administrative or privileged accounts, this makes them even more of a target.",3,"Enforce that users with privileged access must change their passwords on a regular basis and ensure that those passwords are complex and ideally require MFA to authenticate.",Failed,"Found 3 users with password never expires.","Run every hour starting on 4/29/2021 12:16:08 PM","0 F","Privilege Escalation, Credential Access","This indicator identifies privileged accounts (adminCount attribute set to 1) where the Password Never Expires flag is set.","Privileged accounts with a password that never expires",Warning,1,,"Privilege Escalation,Credential Access"
"6/2/2021, 1:14:19.983 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Privileged accounts with a password that never expires (65) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:20.423 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Principals with constrained delegation using protocol transition enabled for a DC service  Generation time: 2021-06-02T13:14:20.0069275+00:00 Security indicator name: Principals with constrained delegation using protocol transition enabled for a DC service Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 4/29/2021 12:27:53 PM Security framework tags: Mitre:Privilege Escalation Security indicator description: This indicator looks for principals (computers or users) that have constrained delegation using protocol transition defined against a service running on a DC.  Likelihood of compromise: Protocol transition (also known as T2A4D) allows any user to authenticate to a delegated service using any protocol such as NTLM. This allows the delegated service to request a TGS from Kerberos for any user without any proof such as that user's corresponding TGT or TGS. If an attacker can create such a delegation for a service that they control or compromise an existing service, they can effectively gain a TGS for any user with privileges to the DC.  Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:20.0069275Z","Protocol transition (also known as T2A4D) allows any user to authenticate to a delegated service using any protocol such as NTLM. This allows the delegated service to request a TGS from Kerberos for any user without any proof such as that user's corresponding TGT or TGS. If an attacker can create such a delegation for a service that they control or compromise an existing service, they can effectively gain a TGS for any user with privileges to the DC. ",0,None,Pass,"No evidence of exposure","Run every hour starting on 4/29/2021 12:27:53 PM","100 A","Privilege Escalation","This indicator looks for principals (computers or users) that have constrained delegation using protocol transition defined against a service running on a DC. ","Principals with constrained delegation using protocol transition enabled for a DC service",Warning,1,,"Privilege Escalation"
"6/2/2021, 1:14:20.510 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Principals with constrained delegation using protocol transition enabled for a DC service (68) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:20.943 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Kerberos protocol transition delegation configured (2) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:21.217 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Kerberos protocol transition delegation configured  Generation time: 2021-06-02T13:14:21.0148970+00:00 Security indicator name: Kerberos protocol transition delegation configured Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Warning Weight: 1 Schedule: Run every hour starting on 2/3/2021 6:57:20 PM Security framework tags: Mitre:Credential Access, Mitre:Privilege Escalation, Mitre:Lateral Movement Security indicator description: This indicator looks for services that have been configured to allow Kerberos protocol transition. This capability enables a delegated service to use any available authentication protocol. This means that compromised services can reduce the quality of their authentication protocol to something that is more easily compromised (e.g. NTLM). Likelihood of compromise: Protocol transition is not often used but when it is, it should be monitored closely for signs of abuse. In addition to compromising the authentication strength, this setting also allows attackers to request delegations with no authentication.  Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:21.0148970Z","Protocol transition is not often used but when it is, it should be monitored closely for signs of abuse. In addition to compromising the authentication strength, this setting also allows attackers to request delegations with no authentication. ",0,None,Pass,"No evidence of exposure","Run every hour starting on 2/3/2021 6:57:20 PM","100 A","Credential Access, Privilege Escalation, Lateral Movement","This indicator looks for services that have been configured to allow Kerberos protocol transition. This capability enables a delegated service to use any available authentication protocol. This means that compromised services can reduce the quality of their authentication protocol to something that is more easily compromised (e.g. NTLM).","Kerberos protocol transition delegation configured",Warning,1,,"Credential Access,Privilege Escalation,Lateral Movement"
"6/2/2021, 1:14:21.313 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Kerberos protocol transition delegation configured (2) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:21.507 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Users with SPNs defined (12) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:21.797 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Users with SPNs defined  Generation time: 2021-06-02T13:14:21.6231087+00:00 Security indicator name: Users with SPNs defined Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Informational Weight: 1 Schedule: Run every hour starting on 2/11/2021 2:05:04 PM Security framework tags: Mitre:Privilege Escalation Security indicator description: This indicator provides a way to visually inventory all users accounts that have SPNs defined. Generally SPNs are only defined for ""Kerberized"" services, so if you see an account with an SPN that should not have one, this could be cause for concern. Likelihood of compromise: SPNs are generally only defined for service accounts or other services that use Kerberos. If you see SPNs on other accounts, they are worth investigating to determine if they are just an administrative error. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:21.6231087Z","SPNs are generally only defined for service accounts or other services that use Kerberos. If you see SPNs on other accounts, they are worth investigating to determine if they are just an administrative error.",0,None,Pass,"No evidence of exposure","Run every hour starting on 2/11/2021 2:05:04 PM","100 A","Privilege Escalation","This indicator provides a way to visually inventory all users accounts that have SPNs defined. Generally SPNs are only defined for ""Kerberized"" services, so if you see an account with an SPN that should not have one, this could be cause for concern.","Users with SPNs defined",Informational,1,,"Privilege Escalation"
"6/2/2021, 1:14:21.863 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9206,"NT AUTHORITY\SYSTEM","Completed execution of security indicator: Users with SPNs defined (12) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:22.350 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Anonymous access to Active Directory enabled (24) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:22.360 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Domain controllers with old passwords (28) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:22.533 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9205,"NT AUTHORITY\SYSTEM","Starting execution of security indicator Users with Password Never Expires flag set (15) ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,,,,,,,,,,,,,,,,,,
"6/2/2021, 1:14:22.710 PM","Semperis-DSP-Security","Semperis-DSP-Security/Operational","dsp-ms.dsp.lab",4,Information,9211,"NT AUTHORITY\SYSTEM","Security indicator passed: Domain controllers with old passwords  Generation time: 2021-06-02T13:14:22.4503405+00:00 Security indicator name: Domain controllers with old passwords Result: Pass Score: 100 A Forest name: dsp.lab Domains: dsp.lab Severity: Informational Weight: 1 Schedule: Run every hour starting on 3/3/2021 4:20:19 PM Security framework tags: Mitre:Resource Development, Mitre:Privilege Escalation Security indicator description: This indicator looks for domain controller machine accounts whose password has not been reset in over 45 days. By default, machine accounts including DCs, automatically reset their passwords every 30 days. Any machine accounts with passwords older than that could indicate a DC that is no longer functioning in the domain. Likelihood of compromise: A DC that is not updating its machine account password regularly could be more easily taken over. From an operational standpoint, it could also indicate a communication problem with the rest of the domain. Result Message: No evidence of exposure Number of results: 0 Remediation: None  ","00000000-0000-0000-0000-000000000001","AOI-cfb59d8d-0ec3-4e36-bb06-9dc063e99887",Event,,"dsp.lab",,"dsp.lab","2021-06-02T13:14:22.4503405Z","A DC that is not updating its machine account password regularly could be more easily taken over. From an operational standpoint, it could also indicate a communication problem with the rest of the domain.",0,None,Pass,"No evidence of exposure","Run every hour starting on 3/3/2021 4:20:19 PM","100 A","Resource Development, Privilege Escalation","This indicator looks for domain controller machine accounts whose password has not been reset in over 45 days. By default, machine accounts including DCs, automatically reset their passwords every 30 days. Any machine accounts with passwords older than that could indicate a DC that is no longer functioning in the domain.","Domain controllers with old passwords",Informational,1,,"Resource Development,Privilege Escalation"
