ASIMFieldName, ASIMFieldType, ProductFieldName, ProductFieldType, ProductFieldDescription, ProductSampleValue, Logic
Rule,string,,,,,direct mapping
RuleName,string,,,,,direct mapping
RuleNumber,int,,,,,direct mapping
SessionId,string,,,,,direct mapping
Src,string,,,,,direct mapping
SrcAppId,string,,,,,direct mapping
SrcAppName,string,,,,,direct mapping
SrcAppType,string,,,,,direct mapping
SrcBytes,long,,,,,direct mapping
SrcDescription,string,,,,,direct mapping
SrcDeviceType,string,,,,,direct mapping
SrcDomain,string,,,,,direct mapping
SrcDomainType,string,,,,,direct mapping
SrcDvcId,string,,,,,direct mapping
SrcDvcIdType,string,,,,,direct mapping
SrcFQDN,string,,,,,direct mapping
SrcGeoCity,string,,,,,direct mapping
SrcGeoCountry,string,,,,,direct mapping
SrcGeoLatitude,real,,,,,direct mapping
SrcGeoLongitude,real,,,,,direct mapping
SrcGeoRegion,string,,,,,direct mapping
SrcHostname,string,,,,,direct mapping
SrcInterfaceGuid,string,,,,,direct mapping
SrcInterfaceName,string,,,,,direct mapping
SrcIpAddr,string,,,,,direct mapping
SrcMacAddr,string,,,,,direct mapping
SrcNatIpAddr,string,,,,,direct mapping
SrcNatPortNumber,int,,,,,direct mapping
SrcOriginalUserType,string,,,,,direct mapping
SrcPackets,long,,,,,direct mapping
SrcPortNumber,int,,,,,direct mapping
SrcUserId,string,,,,,direct mapping
SrcUserIdType,string,,,,,direct mapping
SrcUsername,string,,,,,direct mapping
SrcUsernameType,string,,,,,direct mapping
SrcUserType,string,,,,,direct mapping
SrcVlanId,sting,,,,,direct mapping
SrcZone,string,,,,,direct mapping
ThreatCategory,string,,,,,direct mapping
ThreatConfidence,int,,,,,direct mapping
ThreatField,string,,,,,direct mapping
ThreatFirstReportedTime,datetime,,,,,direct mapping
ThreatId,string,,,,,direct mapping
ThreatIpAddr,string,,,,,direct mapping
ThreatIsActive,bool,,,,,direct mapping
ThreatLastReportedTime,datetime,,,,,direct mapping
ThreatName,string,,,,,direct mapping
ThreatOriginalConfidence,string,,,,,direct mapping
ThreatOriginalRiskLevel,string,,,,,direct mapping
ThreatRiskLevel,int,,,,,direct mapping
TimeGenerated,datetime,,,,,direct mapping
Type,string,,,,,direct mapping
Url,string,,,,,direct mapping
UrlCategory,string,,,,,direct mapping
UrlOriginal,string,,,,,direct mapping
User,string,,,,,direct mapping
UserAgent,string,,,,,direct mapping
