DNSDomain,Type,ThresholdType,Threshold,Severity,Tactic,Name,Description,Enabled
litecoinpool.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
mineshaft.ml,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
abcxyz.stream,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
moneropool.ru,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
cryptonotepool.org.uk,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
extremepool.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
extremehash.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
hashinvest.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
unipool.pro,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
crypto-pools.org,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
monero.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
backup-pool.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
mooo.com,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
freeyy.me,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
cryptonight.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
shscrypto.net,Detection,Static,0,Low,Impact,DNS events related to mining pools,Identifies IP addresses that may be performing DNS lookups associated with common currency mining pools.,TRUE
tor2web.org,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.com,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
torlink.co,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.to,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.ink,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.cab,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.nu,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.link,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.it,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.city,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.direct,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.top,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.casa,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.plus,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.rip,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.dog,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.fi,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.blutmagie.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.sh,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.lu,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.pet,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
t2w.pw,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.ae.org,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.io,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
tor2web.xyz,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
onion.lt,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
s1.tor-gateways.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
s2.tor-gateways.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
s3.tor-gateways.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
s4.tor-gateways.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
s5.tor-gateways.de,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
hiddenservice.net,Detection,Static,0,Low,Exfiltration,DNS events related to ToR proxies,Identifies IP addresses performing DNS lookups associated with common ToR proxies.,TRUE
webhook.site,Detection,Static,0,High,Exfiltration,Possible data exfiltration,Detects possible data exfiltration.,TRUE
autodiscover.com.br,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.com.cn,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.com.co,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.es,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.fr,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.in,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.it,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.sg,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.uk,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.xyz,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
autodiscover.online,Detection,Static,0,Medium,"Initial Access,Credential Access",Exchange online autodiscover,Detects possible Exchange online autodiscover abuse.,TRUE
whatismyipaddress.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ip2location.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipaddress.my,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
whatismyip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipinfo.info,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
checkmyip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
myip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
checkmyip.org,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
canireachthe.net,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipv4.icanhazip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ip.anysrc.net,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
edns.ip-api.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
wtfismyip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
checkip.dyndns.org,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
api.2ip.ua,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
icanhazip.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
api.ipify.org,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ip-api.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
checkip.amazonaws.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipecho.net,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipinfo.io,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
ipv4bot.whatismyipaddress.com,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
freegeoip.app,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
checkip.azurewebsites.net,Hunting,Static,0,Medium,Command and Control,IP check activity,Detects requests to ip lookup resources,TRUE
gentilkiwi,Detection,Static,0,High,Privilege Escalation,CVE-2021-34527 (PrintNightmare) external exploit,Detects CVE-2021-34527 (PrintNightmare) external exploit,TRUE
hidusi.com,Detection,Static,0,High,Privilege Escalation,CVE-2021-40444 exploitation,Detects CVE-2021-40444 exploitation.,TRUE
dodefoh.com,Detection,Static,0,High,Privilege Escalation,CVE-2021-40444 exploitation,Detects CVE-2021-40444 exploitation.,TRUE
joxinu.com,Detection,Static,0,High,Privilege Escalation,CVE-2021-40444 exploitation,Detects CVE-2021-40444 exploitation.,TRUE
psec.forward.io.global.prod.fastly.net,Detection,Static,0,High,Initial Access,Malicous Python packages,Detects requests to resources with malicious Python packages.,TRUE
b0a0374cd1cb4305002e.d.requestbin.net,Detection,Static,0,High,Initial Access,Malicous Python packages,Detects requests to resources with malicious Python packages.,TRUE
tornadodomain.000webhostapp.com,Detection,Static,0,High,Initial Access,Malicous Python packages,Detects requests to resources with malicious Python packages.,TRUE
yxznlysc47wvrb9r9z211e1jbah15q,Detection,Static,0,High,Initial Access,Malicous Python packages,Detects requests to resources with malicious Python packages.,TRUE
dropbox.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
mediafire.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
onedrive.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
wire.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
massive.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
efilecabinet.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
c-v.sh,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
file.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
0x0.st,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
instant.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
copy.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
mega.nz,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
icloud.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
pcloud.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
icedrive.net,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
WeTransfer.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
Onehub.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
getfilecloud.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
ki.tc,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
uguu.se,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
flyle.app,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
transfer.sh,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
expirebox.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
disk.yandex.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
filestage.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
zippyshare.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
drive.google.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
box.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
hubic.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
wikisend.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
dropsend.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
anonymousfiles.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
anonfiles.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
filedropper.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
privatlab.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
dropmefiles.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
onionshare.org,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
sendGB.com,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
volafile.org,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
openload.co,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
uploadfiles.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
gofile.io,Hunting,Static,0,Low,Exfiltration,Requests to online shares,Query searches for requests to online/cloud shares.,TRUE
click,Hunting,Static,0,Medium,"Command and Control,Exfiltration",DNS lookups for commonly abused TLDs,Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable from an enterprise policy perspective. You can update and extend the list of TLD's you wish to search for. The Name Count column provides an initial insight into how widespread the domain usage is across the environment.,TRUE
club,Hunting,Static,0,Medium,"Command and Control,Exfiltration",DNS lookups for commonly abused TLDs,Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable from an enterprise policy perspective. You can update and extend the list of TLD's you wish to search for. The Name Count column provides an initial insight into how widespread the domain usage is across the environment.,TRUE
download,Hunting,Static,0,Medium,"Command and Control,Exfiltration",DNS lookups for commonly abused TLDs,Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable from an enterprise policy perspective. You can update and extend the list of TLD's you wish to search for. The Name Count column provides an initial insight into how widespread the domain usage is across the environment.,TRUE
xxx,Hunting,Static,0,Medium,"Command and Control,Exfiltration",DNS lookups for commonly abused TLDs,Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable from an enterprise policy perspective. You can update and extend the list of TLD's you wish to search for. The Name Count column provides an initial insight into how widespread the domain usage is across the environment.,TRUE
xyz,Hunting,Static,0,Medium,"Command and Control,Exfiltration",DNS lookups for commonly abused TLDs,Some top level domains (TLDs) are more commonly associated with malware for a range of reasons - including how easy domains on these TLDs are to obtain. Many of these may be undesirable from an enterprise policy perspective. You can update and extend the list of TLD's you wish to search for. The Name Count column provides an initial insight into how widespread the domain usage is across the environment.,TRUE
