Account,AccountType,Computer,EventSourceName,Channel,Task,Level,EventData,EventID,Activity,SourceComputerId,EventOriginId,TimeCollected [UTC],AccessList,AccessMask,AdditionalInfo,AdditionalInfo2,AuthenticationPackageName,CallerProcessId,RelativeTargetName
NT AUTHORITY\SYSTEM,User,SHIR-SAP,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{66652c30-17b2-4344-9fb2-f4ba1a4084dc}</RuleId>
    <RuleNameLength>24</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>48</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-18</TargetUser>
    <TargetProcessId>7904</TargetProcessId>
    <FilePathLength>22</FilePathLength>
    <FilePath>%SYSTEM32%\CSCRIPT.EXE</FilePath>
    <FileHashLength>32</FileHashLength>
    <FileHash>7EA894876FF19F8E2B3D2803BE3D3317FDFD23297BCACC116D79230C8A9E1741</FileHash>
    <FqbnLength>116</FqbnLength>
    <Fqbn>O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US\MICROSOFT ® WINDOWS SCRIPT HOST\CSCRIPT.EXE\5.812.10240.16384</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>31</FullFilePathLength>
    <FullFilePath>C:\Windows\system32\cscript.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",8002,8002 - A process was allowed to run.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,af02b155-e5d4-480e-b570-3f551355730c,"4/16/2021, 9:11:13.620 AM",,,,,,,
NT AUTHORITY\SYSTEM,User,SHIR-SAP,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{66652c30-17b2-4344-9fb2-f4ba1a4084dc}</RuleId>
    <RuleNameLength>24</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>48</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-18</TargetUser>
    <TargetProcessId>3652</TargetProcessId>
    <FilePathLength>22</FilePathLength>
    <FilePath>%SYSTEM32%\CONHOST.EXE</FilePath>
    <FileHashLength>32</FileHashLength>
    <FileHash>CA6FB9951D41C3FE1496D7C74839E9441FA53D3C42429E1AED17BD9E899CAD6F</FileHash>
    <FqbnLength>119</FqbnLength>
    <Fqbn>O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US\MICROSOFT® WINDOWS® OPERATING SYSTEM\CONHOST.EXE\10.0.17763.1790</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>32</FullFilePathLength>
    <FullFilePath>\SystemRoot\System32\Conhost.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",8002,8002 - A process was allowed to run.,790738c2-d2df-4c61-b9ce-1fa1ba028f27,71f49696-21dd-416c-8e01-5a15f5b265c4,"4/16/2021, 9:11:13.620 AM",,,,,,,
NT AUTHORITY\SYSTEM,User,SOC-FW-RDP,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{310150f6-6281-4fe3-9d5c-e76c8cdad4dd}</RuleId>
    <RuleNameLength>24</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>48</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-18</TargetUser>
    <TargetProcessId>8108</TargetProcessId>
    <FilePathLength>76</FilePathLength>
    <FilePath>%PROGRAMFILES%\WINDOWS DEFENDER ADVANCED THREAT PROTECTION\SENSECNCPROXY.EXE</FilePath>
    <FileHashLength>32</FileHashLength>
    <FileHash>B8F9A1C213182E9E504DD17A1BB53823BB61BB096E0599912FE85DE09EAA68BB</FileHash>
    <FqbnLength>128</FqbnLength>
    <Fqbn>O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US\MICROSOFT® WINDOWS® OPERATING SYSTEM\SENSECNCPROXY.EXE\10.7740.17763.1852</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>78</FullFilePathLength>
    <FullFilePath>C:\Program Files\Windows Defender Advanced Threat Protection\SenseCncProxy.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",8002,8002 - A process was allowed to run.,41502da5-21b7-48ec-81c9-baeea8d7d669,598614d0-089b-4feb-a42c-58a0758f92a6,"4/16/2021, 9:11:56.124 AM",,,,,,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,748ef16c-4f58-4e37-acdf-36cc2db7fa12,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,a2038142-efec-4f23-9e85-2d3b1e0d902f,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,5b0840e1-375d-45e5-88ae-050d4a8f0e74,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,b8103eac-fccd-487e-9870-33168811fe3e,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,79b66b42-3303-4e02-9c70-9c1206cd3993,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,d1f40fbc-6636-4244-aad7-0069d9ce9e51,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,edd025da-19a6-4d40-a7ef-a509ddaec3cf,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,fa87e824-fbdc-4aca-8606-e4bff0e0ce71,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,bf928687-66b3-4189-9506-fc4dc48fa5aa,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,6e6f2b53-c28c-427f-a790-22766cedd83c,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMIN,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,91643cdd-0f44-4dfa-92b2-ee53cedf25e5,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,f1e05a0c-6056-4abb-a29a-4eefb2006e39,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,6198d064-d870-4cb1-98cc-5a3870391117,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,6bbef50f-c2bc-47ae-928d-a38b91d81c4c,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,220c9c13-cb24-4096-9781-e358e0854e03,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,8cd7e3c0-ee95-44a9-bf42-25e86aae360a,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,a2e16e7e-b86a-4906-a28d-2c19387c070c,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\administrator,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,289c4013-1a35-4459-9d42-5b10f63aab59,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,aa72c459-826e-43dc-bbde-ece9213c4324,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,577ac2b4-deb7-44a4-ac91-c1906d3f64d8,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMIN,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,2dd9a234-93f3-4151-a364-37fd8ad66a04,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,b4e73f31-2aad-4cc6-bf55-df2bde6e6be4,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRATOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,51c4e864-b51f-4690-acc8-17eb10a07e98,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
\ADMINISTRADOR,User,SOC-FW-RDP,Microsoft-Windows-Security-Auditing,Security,12544,16,,4625,4625 - An account failed to log on.,41502da5-21b7-48ec-81c9-baeea8d7d669,530f05e9-9bb3-4cb7-aed7-e168f84d9bf1,"4/16/2021, 9:11:56.124 AM",,,,,NTLM,,
CONTOSO\VICTIMPC$,Machine,VictimPc.Contoso.Azure,Microsoft-Windows-Security-Auditing,Security,13312,8,,4688,4688 - A new process has been created.,f6638b82-98a5-4542-8bec-6bc0977f793f,42749d15-2708-43e1-8301-751e15314ad2,"4/16/2021, 9:15:55.623 AM",,,,,,,
NT AUTHORITY\SYSTEM,User,VictimPc.Contoso.Azure,Microsoft-Windows-AppLocker,Microsoft-Windows-AppLocker/EXE and DLL,0,4,"<UserData xmlns=""http://schemas.microsoft.com/win/2004/08/events/event"">
  <RuleAndFileData xmlns=""http://schemas.microsoft.com/schemas/event/Microsoft.Windows/1.0.0.0"">
    <PolicyNameLength>3</PolicyNameLength>
    <PolicyName>EXE</PolicyName>
    <RuleId>{62747072-f4a5-4af7-a15f-a2def5ff577a}</RuleId>
    <RuleNameLength>24</RuleNameLength>
    <RuleName>(Default Rule) All Exe's</RuleName>
    <RuleSddlLength>48</RuleSddlLength>
    <RuleSddl>D:(XA;;FX;;;S-1-1-0;(APPID://PATH Contains ""*""))</RuleSddl>
    <TargetUser>S-1-5-18</TargetUser>
    <TargetProcessId>6608</TargetProcessId>
    <FilePathLength>76</FilePathLength>
    <FilePath>%PROGRAMFILES%\WINDOWS DEFENDER ADVANCED THREAT PROTECTION\SENSECNCPROXY.EXE</FilePath>
    <FileHashLength>32</FileHashLength>
    <FileHash>F358FBE493C2EA488DC35942304599FBE52418128BDAD41BEA3D9CC7A14A633A</FileHash>
    <FqbnLength>128</FqbnLength>
    <Fqbn>O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US\MICROSOFT® WINDOWS® OPERATING SYSTEM\SENSECNCPROXY.EXE\10.7740.18362.1474</Fqbn>
    <TargetLogonId>0x3e7</TargetLogonId>
    <FullFilePathLength>78</FullFilePathLength>
    <FullFilePath>C:\Program Files\Windows Defender Advanced Threat Protection\SenseCncProxy.exe</FullFilePath>
  </RuleAndFileData>
</UserData>",8002,8002 - A process was allowed to run.,f6638b82-98a5-4542-8bec-6bc0977f793f,7b452d3b-da57-40ac-bb7a-a99773525d38,"4/16/2021, 9:15:55.623 AM",,,,,,,
