Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Mail Recipient Creation-Organization Management-Delegating,Mail Recipient Creation,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Organization Management,Mail Recipient Creation,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Organization Management-Delegating,Mail Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Organization Management,Mail Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Tips-Organization Management-Delegating,Mail Tips,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Tips-Organization Management,Mail Tips,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Import Export-Organization Management-Delegating,Mailbox Import Export,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Search-Organization Management-Delegating,Mailbox Search,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
MailboxSearchApplication-Organization Management-Delegating,MailboxSearchApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MeetingGraphApplication-Organization Management-Delegating,MeetingGraphApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Organization Management-Delegating,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Organization Management,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Organization Management-Delegating,Migration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Organization Management,Migration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Monitoring-Organization Management-Delegating,Monitoring,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Monitoring-Organization Management,Monitoring,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Organization Management-Delegating,Move Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Organization Management,Move Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
OfficeExtensionApplication-Organization Management-Delegating,OfficeExtensionApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Org Custom Apps-Organization Management-Delegating,Org Custom Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Custom Apps-Organization Management,Org Custom Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management-Delegating,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Client Access-Organization Management-Delegating,Organization Client Access,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Client Access-Organization Management,Organization Client Access,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Configuration-Organization Management-Delegating,Organization Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Configuration-Organization Management,Organization Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Transport Settings-Organization Management-Delegati,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Transport Settings-Organization Management,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
POP3 And IMAP4 Protocols-Organization Management-Delegating,POP3 And IMAP4 Protocols,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
POP3 And IMAP4 Protocols-Organization Management,POP3 And IMAP4 Protocols,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Public Folders-Organization Management-Delegating,Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Public Folders-Organization Management,Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Receive Connectors-Organization Management-Delegating,Receive Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Receive Connectors-Organization Management,Receive Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management-Delegating,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Remote and Accepted Domains-Organization Management-Delegating,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Remote and Accepted Domains-Organization Management,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management-Delegating,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management-Delegating,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Organization Management-Delegating,Security Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Organization Management,Security Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Group Creation and Membership-Organization Management-D,Security Group Creation and Membership,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Group Creation and Membership-Organization Management,Security Group Creation and Membership,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Organization Management-Delegating,Security Reader,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Organization Management,Security Reader,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Send Connectors-Organization Management-Delegating,Send Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Send Connectors-Organization Management,Send Connectors,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
SendMailApplication-Organization Management-Delegating,SendMailApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Support Diagnostics-Organization Management-Delegating,Support Diagnostics,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
TeamMailboxLifecycleApplication-Organization Management-Delegati,TeamMailboxLifecycleApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Team Mailboxes-Organization Management-Delegating,Team Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Team Mailboxes-Organization Management,Team Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Agents-Organization Management-Delegating,Transport Agents,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Agents-Organization Management,Transport Agents,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Organization Management-Delegating,Transport Hygiene,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Hygiene-Organization Management,Transport Hygiene,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Queues-Organization Management-Delegating,Transport Queues,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Queues-Organization Management,Transport Queues,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Organization Management-Delegating,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Organization Management,Transport Rules,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Mailboxes-Organization Management-Delegating,UM Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Mailboxes-Organization Management,UM Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Prompts-Organization Management-Delegating,UM Prompts,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Prompts-Organization Management,UM Prompts,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UnScoped Role Management-Organization Management-Delegating,UnScoped Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Unified Messaging-Organization Management-Delegating,Unified Messaging,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Unified Messaging-Organization Management,Unified Messaging,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UserApplication-Organization Management-Delegating,UserApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Organization Management-Delegating,User Options,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
User Options-Organization Management,User Options,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
View-Only Audit Logs-Organization Management-Delegating,View-Only Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Audit Logs-Organization Management,View-Only Audit Logs,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Organization Management-Delegating,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Configuration-Organization Management,View-Only Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Organization Management-Delegating,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
View-Only Recipients-Organization Management,View-Only Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,None,None,Direct
WorkloadManagement-Organization Management-Delegating,WorkloadManagement,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
WorkloadManagement-Organization Management,WorkloadManagement,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Public Folder Management,Mail Enabled Public Folders,Public Folder Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Public Folders-Public Folder Management,Public Folders,Public Folder Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Distribution Groups-Recipient Management,Distribution Groups,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Recipient Management,Mail Recipient Creation,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Recipient Management,Mail Recipients,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Recipient Management,Message Tracking,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Recipient Management,Migration,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Recipient Management,Move Mailboxes,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Recipient Management,Recipient Policies,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Team Mailboxes-Recipient Management,Team Mailboxes,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Audit Logs-Records Management,Audit Logs,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Records Management,Journaling,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Records Management,Message Tracking,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Records Management,Retention Management,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Rules-Records Management,Transport Rules,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Security Administrator,Security Admin,Security Administrator,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Security Reader,Security Reader,Security Reader,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Database Copies-Server Management,Database Copies,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Databases-Server Management,Databases,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Connectors-Server Management,Exchange Connectors,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Server Certificates-Server Management,Exchange Server Certificates,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Servers-Server Management,Exchange Servers,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Exchange Virtual Directories-Server Management,Exchange Virtual Directories,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Monitoring-Server Management,Monitoring,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
POP3 And IMAP4 Protocols-Server Management,POP3 And IMAP4 Protocols,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Receive Connectors-Server Management,Receive Connectors,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Transport Queues-Server Management,Transport Queues,Server Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Mailboxes-UM Management,UM Mailboxes,UM Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
UM Prompts-UM Management,UM Prompts,UM Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Unified Messaging-UM Management,Unified Messaging,UM Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Monitoring-View-Only Organization Management,Monitoring,View-Only Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
