Role,Name,Parameters,OrgM,Priority
Address Lists,Set-GlobalAddressList,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;ForceUpgrade;Identity;IncludedRecipients;Name;OutBuffer;OutVariable;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Set-DetailsTemplate,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Pages;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Set-AddressList,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;ForceUpgrade;Identity;IncludedRecipients;Name;OutBuffer;OutVariable;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Set-AddressBookPolicy,AddressLists;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;GlobalAddressList;Identity;Name;OfflineAddressBook;OutBuffer;OutVariable;RoomList;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Restore-DetailsTemplate,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Remove-OfflineAddressBook,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Remove-GlobalAddressList,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Remove-AddressList,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Recursive;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Remove-AddressBookPolicy,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,New-OfflineAddressBook,AddressLists;Confirm;Debug;DiffRetentionPeriod;DomainController;ErrorAction;ErrorVariable;GeneratingMailbox;GlobalWebDistributionEnabled;IsDefault;Name;OutBuffer;OutVariable;PublicFolderDatabase;PublicFolderDistributionEnabled;Schedule;Server;ShadowMailboxDistributionEnabled;SkipPublicFolderInitialization;Verbose;Versions;VirtualDirectories;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,New-GlobalAddressList,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;IncludedRecipients;Name;OutBuffer;OutVariable;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,New-AddressList,ConditionalCompany;ConditionalCustomAttribute1;ConditionalCustomAttribute10;ConditionalCustomAttribute11;ConditionalCustomAttribute12;ConditionalCustomAttribute13;ConditionalCustomAttribute14;ConditionalCustomAttribute15;ConditionalCustomAttribute2;ConditionalCustomAttribute3;ConditionalCustomAttribute4;ConditionalCustomAttribute5;ConditionalCustomAttribute6;ConditionalCustomAttribute7;ConditionalCustomAttribute8;ConditionalCustomAttribute9;ConditionalDepartment;ConditionalStateOrProvince;Confirm;Container;Debug;DisplayName;DomainController;ErrorAction;ErrorVariable;IncludedRecipients;Name;OutBuffer;OutVariable;RecipientContainer;RecipientFilter;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,New-AddressBookPolicy,AddressLists;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;GlobalAddressList;Name;OfflineAddressBook;OutBuffer;OutVariable;RoomList;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Move-OfflineAddressBook,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Move-AddressList,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Target;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Get-Recipient,Anr;BookmarkDisplayName;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;IncludeBookmarkObject;IncludeSoftDeletedRecipients;OrganizationalUnit;OutBuffer;OutVariable;Properties;PropertySet;ReadFromDomainController;RecipientPreviewFilter;RecipientType;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-PublicFolderDatabase,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeCorrupted;OutBuffer;OutVariable;Server;Status;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-OrganizationalUnit,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeContainers;OutBuffer;OutVariable;ResultSize;SearchText;SingleNodeOnly;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-OfflineAddressBook,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-OabVirtualDirectory,ADPropertiesOnly;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Server;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-GlobalAddressList,Debug;DefaultOnly;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-ExchangeServerAccessLicenseUser,Debug;ErrorAction;ErrorVariable;LicenseName;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-ExchangeServerAccessLicense,Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-ExchangeServer,Debug;Domain;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Status;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-AddressList,Container;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;SearchText;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Get-AddressBookPolicy,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,50
Address Lists,Enable-AddressListPaging,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
Address Lists,Disable-AddressListPaging,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,50
ApplicationImpersonation,Impersonate-ExchangeUser,,1,20
ArchiveApplication,UpdateItemInRecoverableItems,,0,60
Audit Logs,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,Start-AuditAssistant,Identity,1,30
Audit Logs,Set-UnifiedAuditSetting,Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Set-Organization,Confirm;Force;UnifiedAuditLogIngestionEnabled;WhatIf,1,30
Audit Logs,Set-MailboxAuditBypassAssociation,AuditBypassEnabled;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,Set-Mailbox,AuditAdmin;AuditDelegate;AuditEnabled;AuditLogAgeLimit;AuditOwner;DefaultPublicFolderMailbox;Force;Identity,1,30
Audit Logs,Set-AdminAuditLogConfig,AdminAuditLogAgeLimit;AdminAuditLogCmdlets;AdminAuditLogEnabled;AdminAuditLogExcludedCmdlets;AdminAuditLogParameters;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Force;Identity;LogLevel;Name;OutBuffer;OutVariable;TestCmdletLoggingEnabled;UnifiedAuditLogIngestionEnabled;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,Set-ADServerSettings,ConfigurationDomainController;Confirm;Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;PreferredGlobalCatalog;PreferredServer;RecipientViewRoot;RunspaceServerSettings;SetPreferredDomainControllers;Verbose;ViewEntireForest;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,Search-MailboxAuditLog,Debug;DomainController;EndDate;ErrorAction;ErrorVariable;ExternalAccess;HasAttachments;Identity;LogonTypes;Mailboxes;Operations;OutBuffer;OutVariable;ResultSize;ShowDetails;StartDate;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Search-AdminAuditLog,Cmdlets;Debug;DomainController;EndDate;ErrorAction;ErrorVariable;ExternalAccess;IsSuccess;ObjectIds;OutBuffer;OutVariable;Parameters;ResultSize;StartDate;StartIndex;UserIds;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Remove-AuditStubFolder,Confirm;Debug;ErrorAction;ErrorVariable;FolderName;Identity;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,New-MailboxAuditLogSearch,Confirm;Debug;DomainController;EndDate;ErrorAction;ErrorVariable;ExternalAccess;HasAttachments;LogonTypes;Mailboxes;Name;Operations;OutBuffer;OutVariable;ShowDetails;StartDate;StatusMailRecipients;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,New-AdminAuditLogSearch,Cmdlets;Confirm;Debug;DomainController;EndDate;ErrorAction;ErrorVariable;ExternalAccess;Name;ObjectIds;OutBuffer;OutVariable;Parameters;StartDate;StatusMailRecipients;UserIds;Verbose;WarningAction;WarningVariable;WhatIf,1,30
Audit Logs,Get-UnifiedAuditSetting,Debug;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;WarningAction;WarningVariable,1,30
Audit Logs,Get-SecurityPrincipal,Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IncludeDomainLocalFrom;OrganizationalUnit;OutBuffer;OutVariable;ResultSize;RoleGroupAssignable;Types;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-MailboxAuditBypassAssociation,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ResultSize;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-Mailbox,Anr;Credential;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-AuditLogSearch,CreatedAfter;CreatedBefore;Debug;ErrorAction;ErrorVariable;Identity;ResultSize;Type;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-AdminAuditLogConfig,Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,30
Audit Logs,Get-ADServerSettings,Debug;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,1,30
Cmdlet Extension Agents,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Cmdlet Extension Agents,Set-CmdletExtensionAgent,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;Name;OutBuffer;OutVariable;Priority;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Cmdlet Extension Agents,Remove-CmdletExtensionAgent,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Cmdlet Extension Agents,New-CmdletExtensionAgent,Assembly;ClassFactory;Confirm;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Name;OutBuffer;OutVariable;Priority;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Cmdlet Extension Agents,Get-DomainController,Credential;Debug;DomainName;ErrorAction;ErrorVariable;Forest;GlobalCatalog;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Cmdlet Extension Agents,Get-CmdletExtensionAgent,Assembly;Debug;DomainController;Enabled;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,40
Cmdlet Extension Agents,Enable-CmdletExtensionAgent,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Cmdlet Extension Agents,Disable-CmdletExtensionAgent,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,0,40
Compliance Admin,Get-RetentionPolicyTag,Debug;DomainController;ErrorAction;ErrorVariable;Identity;IncludeSystemTags;Mailbox;OptionalInMailbox;OutBuffer;OutVariable;Types;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-RetentionPolicy,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-Recipient,Anr;BookmarkDisplayName;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;IncludeBookmarkObject;IncludeSoftDeletedRecipients;OrganizationalUnit;OutBuffer;OutVariable;Properties;PropertySet;ReadFromDomainController;RecipientPreviewFilter;RecipientType;RecipientTypeDetails;ResultSize;SortBy;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-RMSTemplate,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;ResultSize;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-Mailbox,Anr;Arbitration;Archive;AuditLog;AuxAuditLog;Credential;Database;Debug;DomainController;ErrorAction;ErrorVariable;Filter;Identity;IgnoreDefaultScope;Migration;Monitoring;OrganizationalUnit;OutBuffer;OutVariable;PublicFolder;ReadFromDomainController;RecipientTypeDetails;RemoteArchive;ResultSize;Server;SortBy;SupervisoryReviewPolicy;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-JournalRule,Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable,0,30
Compliance Admin,Get-DlpKeywordDictionary,Name,0,30
Compliance Admin,Get-DlpComplianceRuleV2,Debug;DomainController;ErrorAction;Identity;Policy;Verbose,0,30
Compliance Admin,Get-DlpComplianceRule,Debug;DomainController;ErrorAction;Identity;Policy;Verbose,0,30
Compliance Admin,Get-DlpCompliancePolicy,Debug;DomainController;ErrorAction;Identity;Verbose,0,30
Data Loss Prevention,Write-AdminAuditLog,Comment;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Test-TextExtraction,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FileData;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Test-DataClassification,ClassificationNames;Confirm;Debug;DomainController;ErrorAction;ErrorVariable;OutBuffer;OutVariable;TestTextExtractionResults;TextToClassify;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Start-ContentIndexingProcess,Debug;FarmLabel;SearchFarmId;Verbose,1,25
Data Loss Prevention,Set-TransportRule,ActivationDate;AdComparisonAttribute;AdComparisonOperator;AddManagerAsRecipientType;AddToRecipients;AnyOfCcHeader;AnyOfCcHeaderMemberOf;AnyOfRecipientAddressContainsWords;AnyOfRecipientAddressMatchesPatterns;AnyOfToCcHeader;AnyOfToCcHeaderMemberOf;AnyOfToHeader;AnyOfToHeaderMemberOf;ApplyClassification;ApplyHtmlDisclaimerFallbackAction;ApplyHtmlDisclaimerLocation;ApplyHtmlDisclaimerText;ApplyRightsProtectionTemplate;AttachmentContainsWords;AttachmentExtensionMatchesWords;AttachmentHasExecutableContent;AttachmentIsPasswordProtected;AttachmentIsUnsupported;AttachmentMatchesPatterns;AttachmentNameMatchesPatterns;AttachmentProcessingLimitExceeded;AttachmentPropertyContainsWords;AttachmentSizeOver;BetweenMemberOf1;BetweenMemberOf2;BlindCopyTo;Comments;Confirm;ContentCharacterSetContainsWords;CopyTo;Debug;DeleteMessage;Disconnect;DlpPolicy;DomainController;ErrorAction;ErrorVariable;ExceptIfAdComparisonAttribute;ExceptIfAdComparisonOperator;ExceptIfAnyOfCcHeader;ExceptIfAnyOfCcHeaderMemberOf;ExceptIfAnyOfRecipientAddressContainsWords;ExceptIfAnyOfRecipientAddressMatchesPatterns;ExceptIfAnyOfToCcHeader;ExceptIfAnyOfToCcHeaderMemberOf;ExceptIfAnyOfToHeader;ExceptIfAnyOfToHeaderMemberOf;ExceptIfAttachmentContainsWords;ExceptIfAttachmentExtensionMatchesWords;ExceptIfAttachmentHasExecutableContent;ExceptIfAttachmentIsPasswordProtected;ExceptIfAttachmentIsUnsupported;ExceptIfAttachmentMatchesPatterns;ExceptIfAttachmentNameMatchesPatterns;ExceptIfAttachmentProcessingLimitExceeded;ExceptIfAttachmentPropertyContainsWords;ExceptIfAttachmentSizeOver;ExceptIfBetweenMemberOf1;ExceptIfBetweenMemberOf2;ExceptIfContentCharacterSetContainsWords;ExceptIfFrom;ExceptIfFromAddressContainsWords;ExceptIfFromAddressMatchesPatterns;ExceptIfFromMemberOf;ExceptIfFromScope;ExceptIfHasClassification;ExceptIfHasNoClassification;ExceptIfHasSenderOverride;ExceptIfHeaderContainsMessageHeader;ExceptIfHeaderContainsWords;ExceptIfHeaderMatchesMessageHeader;ExceptIfHeaderMatchesPatterns;ExceptIfManagerAddresses;ExceptIfManagerForEvaluatedUser;ExceptIfMessageContainsAllDataClassifications;ExceptIfMessageContainsDataClassifications;ExceptIfMessageSizeOver;ExceptIfMessageTypeMatches;ExceptIfRecipientADAttributeContainsWords;ExceptIfRecipientADAttributeMatchesPatterns;ExceptIfRecipientAddressContainsWords;ExceptIfRecipientAddressMatchesPatterns;ExceptIfRecipientDomainIs;ExceptIfSCLOver;ExceptIfSenderADAttributeContainsWords;ExceptIfSenderADAttributeMatchesPatterns;ExceptIfSenderDomainIs;ExceptIfSenderIpRanges;ExceptIfSenderManagementRelationship;ExceptIfSentTo;ExceptIfSentToMemberOf;ExceptIfSentToScope;ExceptIfSubjectContainsWords;ExceptIfSubjectMatchesPatterns;ExceptIfSubjectOrBodyContainsWords;ExceptIfSubjectOrBodyMatchesPatterns;ExceptIfWithImportance;ExpiryDate;From;FromAddressContainsWords;FromAddressMatchesPatterns;FromMemberOf;FromScope;GenerateIncidentReport;GenerateNotification;HasClassification;HasNoClassification;HasSenderOverride;HeaderContainsMessageHeader;HeaderContainsWords;HeaderMatchesMessageHeader;HeaderMatchesPatterns;Identity;IncidentReportContent;LogEventText;ManagerAddresses;ManagerForEvaluatedUser;MessageContainsAllDataClassifications;MessageContainsDataClassifications;MessageSizeOver;MessageTypeMatches;Mode;ModerateMessageByManager;ModerateMessageByUser;Name;NotifySender;OutBuffer;OutVariable;PrependSubject;Priority;Quarantine;RecipientADAttributeContainsWords;RecipientADAttributeMatchesPatterns;RecipientAddressContainsWords;RecipientAddressMatchesPatterns;RecipientDomainIs;RedirectMessageTo;RejectMessageEnhancedStatusCode;RejectMessageReasonText;RemoveHeader;RouteMessageOutboundRequireTls;RuleErrorAction;RuleSubType;SCLOver;SenderADAttributeContainsWords;SenderADAttributeMatchesPatterns;SenderAddressLocation;SenderDomainIs;SenderIpRanges;SenderManagementRelationship;SentTo;SentToMemberOf;SentToScope;SetAuditSeverity;SetHeaderName;SetHeaderValue;SetSCL;SmtpRejectMessageRejectStatusCode;SmtpRejectMessageRejectText;StopRuleProcessing;SubjectContainsWords;SubjectMatchesPatterns;SubjectOrBodyContainsWords;SubjectOrBodyMatchesPatterns;Verbose;WarningAction;WarningVariable;WhatIf;WithImportance,1,25
Data Loss Prevention,Set-ProtectionServicePolicy,Debug,1,25
Data Loss Prevention,Set-ProtectionAlert,Debug,1,25
Data Loss Prevention,Set-PolicyTipConfig,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Value;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Set-InterceptorRule,Action;Condition;Confirm;CreatedBy;CustomResponseCode;CustomResponseString;Dag;Debug;Description;DomainController;ErrorAction;ErrorVariable;Event;ExpireTime;Forest;Identity;Key;OutBuffer;OutVariable;Path;Server;Site;Source;TimeInterval;Value;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Set-DlpPolicy,Confirm;Debug;Description;DomainController;ErrorAction;ErrorVariable;Identity;Mode;Name;OutBuffer;OutVariable;State;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Set-DataClassification,Confirm;Debug;Description;DomainController;ErrorAction;ErrorVariable;Fingerprints;Identity;IsDefault;Locale;Name;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Set-CompliancePolicySyncTenantInfo,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;MsoTenantId;ObjectTypesToResetSyncCookie;OutBuffer;OutVariable;ResetTenantInfo;SyncSvcUrl;Verbose;WarningAction;WarningVariable;WhatIf;Workload,1,25
Data Loss Prevention,Set-ClassificationRuleCollection,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;FileData;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Set-ActivityAlert,Debug;DomainController,1,25
Data Loss Prevention,Remove-TransportRule,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Remove-PolicyTipConfig,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Remove-InterceptorRule,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
Data Loss Prevention,Remove-DlpPolicyTemplate,Confirm;Debug;DomainController;ErrorAction;ErrorVariable;Identity;OutBuffer;OutVariable;Verbose;WarningAction;WarningVariable;WhatIf,1,25
