Productname,CU,SU,BuildNbAll,BuilCUNb,Major,CUBuildNb,SUBuildNb
Exchange Server 2019,CU11,Nov21SU,15.02.986.014,15.02.986,15.02,986,14
Exchange Server 2019,CU11,Oct21SU,15.02.986.009,15.02.986,15.02,986,9
Exchange Server 2019,CU11,NoSU,15.02.986.005,15.02.986,15.02,986,5
Exchange Server 2019,CU10,Mar22SU,15.02.922.027,15.02.922,15.02,922,27
Exchange Server 2019,CU10,Jan22SU,15.02.922.020,15.02.922,15.02,922,2
Exchange Server 2019,CU10,Nov21SU,15.02.922.019,15.02.922,15.02,922,19
Exchange Server 2019,CU10,Oct21SU,15.02.922.014,15.02.922,15.02,922,14
Exchange Server 2019,CU10,Jul21SU,15.02.922.013,15.02.922,15.02,922,13
Exchange Server 2019,CU10,NoSU,15.02.922.007,15.02.922,15.02,922,7
Exchange Server 2019,CU9,Jul21SU,15.02.858.015,15.02.858,15.02,858,15
Exchange Server 2019,CU9,May21SU,15.02.858.012,15.02.858,15.02,858,12
Exchange Server 2019,CU9,Apr21SU,15.02.858.010,15.02.858,15.02,858,1
Exchange Server 2019,CU9,NoSU,15.02.858.005,15.02.858,15.02,858,5
Exchange Server 2019,CU8,May21SU,15.02.792.015,15.02.792,15.02,792,15
Exchange Server 2019,CU8,Apr21SU,15.02.792.013,15.02.792,15.02,792,13
Exchange Server 2019,CU8,Mar21SU,15.02.792.010,15.02.792,15.02,792,1
Exchange Server 2019,CU8,NoSU,15.02.792.003,15.02.792,15.02,792,3
Exchange Server 2019,CU7,Mar21SU,15.02.721.013,15.02.721,15.02,721,13
Exchange Server 2019,CU7,NoSU,15.02.721.002,15.02.721,15.02,721,2
Exchange Server 2019,CU6,Mar21SU,15.02.659.012,15.02.659,15.02,659,12
Exchange Server 2019,CU6,NoSU,15.02.659.004,15.02.659,15.02,659,4
Exchange Server 2019,CU5,Mar21SU,15.02.595.008,15.02.595,15.02,595,8
Exchange Server 2019,CU5,NoSU,15.02.595.003,15.02.595,15.02,595,3
Exchange Server 2019,CU4,Mar21SU,15.02.529.013,15.02.529,15.02,529,13
Exchange Server 2019,CU4,NoSU,15.02.529.005,15.02.529,15.02,529,5
Exchange Server 2019,CU3,Mar21SU,15.02.464.015,15.02.464,15.02,464,15
Exchange Server 2019,CU3,NoSU,15.02.464.005,15.02.464,15.02,464,5
Exchange Server 2019,CU2,Mar21SU,15.02.397.011,15.02.397,15.02,397,11
Exchange Server 2019,CU2,NoSU,15.02.397.003,15.02.397,15.02,397,3
Exchange Server 2019,CU1,Mar21SU,15.02.330.011,15.02.330,15.02,330,11
Exchange Server 2019,CU1,NoSU,15.02.330.005,15.02.330,15.02,330,5
Exchange Server 2019,RTM,Mar21SU,15.02.221.018,15.02.221,15.02,221,18
Exchange Server 2019,RTM,NoSU,15.02.221.012,15.02.221,15.02,221,12
Exchange Server 2019,Preview,NoSU,15.02.196.00,15.02.196,15.02,196,
Exchange Server 2016,CU23,Apr24SU,15.01.2507.039,15.1.2507,15.01,2507,35
Exchange Server 2016,CU23,Mar24SU,15.01.2507.037,15.1.2507,15.01,2507,39
Exchange Server 2016,CU23,Nov23SU,15.01.2507.035,15.1.2507,15.01,2507,37
Exchange Server 2016,CU23,Oct23SU,15.01.2507.034,15.1.2507,15.01,2507,34
Exchange Server 2016,CU23,Aug23SUv2,15.01.2507.032,15.1.2507,15.01,2507,32
Exchange Server 2016,CU23,Aug23SUv1,15.01.2507.031,15.1.2507,15.01,2507,31
Exchange Server 2016,CU23,June23SU,15.01.2507.027,15.1.2507,15.01,2507,27
Exchange Server 2016,CU23,Mar23SU,15.01.2507.023,15.1.2507,15.01,2507,23
Exchange Server 2016,CU23,Feb23SU,15.01.2507.021,15.1.2507,15.01,2507,21
Exchange Server 2016,CU23,Jan23SU,15.01.2507.018,15.1.2507,15.01,2507,18
Exchange Server 2016,CU23,Jan23SU,15.01.2507.017,15.1.2507,15.01,2507,17
Exchange Server 2016,CU23,Nov22SU,15.01.2507.016,15.1.2507,15.01,2507,16
Exchange Server 2016,CU23,Oct22SU,15.01.2507.013,15.1.2507,15.01,2507,13
Exchange Server 2016,CU23,Aug22SU,15.01.2507.012,15.01.2507,15.01,2507,12
Exchange Server 2016,CU23,May22SU,15.01.2507.009,15.01.2507,15.01,2507,9
Exchange Server 2016,CU23,NoSU,15.01.2507.006,15.01.2507,15.01,2507,6
Exchange Server 2016,CU22,Nov22SU,15.01.2375.037,15.1.2375,15.01,2375,37
Exchange Server 2016,CU22,Oct22SU,15.01.2375.032,15.1.2375,15.01,2375,32
Exchange Server 2016,CU22,Aug22SU,15.01.2375.031,15.01.2375,15.01,2375,31
Exchange Server 2016,CU22,May22SU,15.01.2375.028,15.01.2375,15.01,2375,28
Exchange Server 2016,CU22,Apr22SU,15.01.2375.024,15.01.2375,15.01,2375,24
Exchange Server 2016,CU22,Jan22SU,15.01.2375.018,15.01.2375,15.01,2375,18
Exchange Server 2016,CU22,Nov21SU,15.01.2375.017,15.01.2375,15.01,2375,17
Exchange Server 2016,CU22,Oct21SU,15.01.2375.012,15.01.2375,15.01,2375,12
Exchange Server 2016,CU22,NoSU,15.01.2375.007,15.01.2375,15.01,2375,7
Exchange Server 2016,CU21,Mar22SU,15.01.2308.027,15.01.2308,15.01,2308,27
Exchange Server 2016,CU21,Jan22SU,15.01.2308.021,15.01.2308,15.01,2308,21
Exchange Server 2016,CU21,Nov21SU,15.01.2308.020,15.01.2308,15.01,2308,2
Exchange Server 2016,CU21,Oct21SU,15.01.2308.015,15.01.2308,15.01,2308,15
Exchange Server 2016,CU21,Jul21SU,15.01.2308.014,15.01.2308,15.01,2308,14
Exchange Server 2016,CU21,NoSU,15.01.2308.008,15.01.2308,15.01,2308,8
Exchange Server 2016,CU20,Jul21SU,15.01.2242.012,15.01.2242,15.01,2242,12
Exchange Server 2016,CU20,May21SU,15.01.2242.010,15.01.2242,15.01,2242,1
Exchange Server 2016,CU20,Apr21SU,15.01.2242.008,15.01.2242,15.01,2242,8
Exchange Server 2016,CU20,NoSU,15.01.2242.004,15.01.2242,15.01,2242,4
Exchange Server 2016,CU19,May21SU,15.01.2176.014,15.01.2176,15.01,2176,14
Exchange Server 2016,CU19,Apr21SU,15.01.2176.012,15.01.2176,15.01,2176,12
Exchange Server 2016,CU19,Mar21SU,15.01.2176.009,15.01.2176,15.01,2176,9
Exchange Server 2016,CU19,NoSU,15.01.2176.002,15.01.2176,15.01,2176,2
Exchange Server 2016,CU18,Mar21SU,15.01.2106.013,15.01.2106,15.01,2106,13
Exchange Server 2016,CU18,NoSU,15.01.2106.002,15.01.2106,15.01,2106,2
Exchange Server 2016,CU17,Mar21SU,15.01.2044.013,15.01.2044,15.01,2044,13
Exchange Server 2016,CU17,NoSU,15.01.2044.004,15.01.2044,15.01,2044,4
Exchange Server 2016,CU16,Mar21SU,15.01.1979.008,15.01.1979,15.01,1979,8
Exchange Server 2016,CU16,NoSU,15.01.1979.003,15.01.1979,15.01,1979,3
Exchange Server 2016,CU15,Mar21SU,15.01.1913.012,15.01.1913,15.01,1913,12
Exchange Server 2016,CU15,NoSU,15.01.1913.005,15.01.1913,15.01,1913,5
Exchange Server 2016,CU14,Mar21SU,15.01.1847.012,15.01.1847,15.01,1847,12
Exchange Server 2016,CU14,NoSU,15.01.1847.003,15.01.1847,15.01,1847,3
Exchange Server 2016,CU13,Mar21SU,15.01.1779.008,15.01.1779,15.01,1779,8
Exchange Server 2016,CU13,NoSU,15.01.1779.002,15.01.1779,15.01,1779,2
Exchange Server 2016,CU12,Mar21SU,15.01.1713.010,15.01.1713,15.01,1713,1
Exchange Server 2016,CU12,NoSU,15.01.1713.005,15.01.1713,15.01,1713,5
Exchange Server 2016,CU11,Mar21SU,15.01.1591.018,15.01.1591,15.01,1591,18
Exchange Server 2016,CU11,NoSU,15.01.1591.010,15.01.1591,15.01,1591,1
Exchange Server 2016,CU10,Mar21SU,15.01.1531.012,15.01.1531,15.01,1531,12
Exchange Server 2016,CU10,NoSU,15.01.1531.003,15.01.1531,15.01,1531,3
Exchange Server 2016,CU9,Mar21SU,15.01.1466.016,15.01.1466,15.01,1466,16
Exchange Server 2016,CU9,NoSU,15.01.1466.003,15.01.1466,15.01,1466,3
Exchange Server 2016,CU8,Mar21SU,15.01.1415.0010,15.01.1415,15.01,1415,1
Exchange Server 2016,CU8,NoSU,15.01.1415.002,15.01.1415,15.01,1415,2
Exchange Server 2016,CU7,NoSU,15.01.1261.035,15.01.1261,15.01,1261,35
Exchange Server 2016,CU6,NoSU,15.01.1034.026,15.01.1034,15.01,1034,26
Exchange Server 2016,CU5,NoSU,15.01.845.034,15.01.845,15.01,845,34
Exchange Server 2016,CU4,NoSU,15.01.669.032,15.01.669,15.01,669,32
Exchange Server 2016,CU3,NoSU,15.01.544.027,15.01.544,15.01,544,27
Exchange Server 2016,CU2,NoSU,15.01.466.034,15.01.466,15.01,466,34
Exchange Server 2016,CU1,NoSU,15.01.396.030,15.01.396,15.01,396,3
Exchange Server 2016,RTM,NoSU,15.01.225.042,15.01.225,15.01,225,42
Exchange Server 2016,Prev,Preview,15.01.225.016,15.01.225,15.01,225,16
Exchange Server 2013,CU23,Mar23SU,15.0.1497.048,15.0.1497,15,1497,48
Exchange Server 2013,CU23,Feb23SU,15.0.1497.047,15.0.1497,15,1497,47
Exchange Server 2013,CU23,Jan23SU,15.0.1497.044,15.0.1497,15,1497,45
Exchange Server 2013,CU23,Nov22SU,15.0.1497.044,15.0.1497,15,1497,44
Exchange Server 2013,CU23,Oct22SU,15.0.1497.042,15.0.1497,15,1497,42
Exchange Server 2013,CU23,Aug22SU,15.0.1497.040,15.0.1497,15,1497,40
Exchange Server 2013,CU23,May22SU,15.0.1497.036,15.0.1497,15,1497,36
Exchange Server 2013,CU23,Mar22SU,15.0.1497.033,15.0.1497,15,1497,33
Exchange Server 2013,CU23,Jan22SU,15.0.1497.028,15.0.1497,15,1497,28
Exchange Server 2013,CU23,Nov21SU,15.0.1497.026,15.0.1497,15,1497,26
Exchange Server 2013,CU23,Oct21SU,15.0.1497.024,15.0.1497,15,1497,24
Exchange Server 2013,CU23,Jul21SU,15.0.1497.023,15.0.1497,15,1497,23
Exchange Server 2013,CU23,May21SU,15.0.1497.018,15.0.1497,15,1497,18
Exchange Server 2013,CU23,Apr21SU,15.0.1497.015,15.0.1497,15,1497,15
Exchange Server 2013,CU23,Mar21SU,15.0.1497.012,15.0.1497,15,1497,12
Exchange Server 2013,CU23,NoSU,15.0.1497.002,15.0.1497,15,1497,2
Exchange Server 2013,CU22,Mar21SU,15.0.1473.006,15.0.1473,15,1473,6
Exchange Server 2013,CU22,NoSU,15.0.1473.003,15.0.1473,15,1473,3
Exchange Server 2013,CU21,Mar21SU,15.0.1395.012,15.0.1395,15,1395,12
Exchange Server 2013,CU21,NoSU,15.0.1395.004,15.0.1395,15,1395,4
Exchange Server 2013,CU20,NoSU,15.0.1367.003,15.0.1367,15,1367,3
Exchange Server 2013,CU19,NoSU,15.0.1365.001,15.0.1365,15,1365,1
Exchange Server 2013,CU18,NoSU,15.0.1347.002,15.0.1347,15,1347,2
Exchange Server 2013,CU17,NoSU,15.0.1320.004,15.0.1320,15,1320,4
Exchange Server 2013,CU16,NoSU,15.0.1293.002,15.0.1293,15,1293,2
Exchange Server 2013,CU15,NoSU,15.0.1263.005,15.0.1263,15,1263,5
Exchange Server 2013,CU14,NoSU,15.0.1236.003,15.0.1236,15,1236,3
Exchange Server 2013,CU13,NoSU,15.0.1210.003,15.0.1210,15,1210,3
Exchange Server 2013,CU12,NoSU,15.0.1178.004,15.0.1178,15,1178,4
Exchange Server 2013,CU11,NoSU,15.0.1156.006,15.0.1156,15,1156,6
Exchange Server 2013,CU10,NoSU,15.0.1130.007,15.0.1130,15,1130,7
Exchange Server 2013,CU9,NoSU,15.0.1104.005,15.0.1104,15,1104,5
Exchange Server 2013,CU8,NoSU,15.0.1076.009,15.0.1076,15,1076,9
Exchange Server 2013,CU7,NoSU,15.0.1044.025,15.0.1044,15,1044,25
Exchange Server 2013,CU6,NoSU,15.0.995.029,15.0.995,15,995,29
Exchange Server 2013,CU5,NoSU,15.0.913.022,15.0.913,15,913,22
Exchange Server 2013,SP1,Mar21SU,15.0.847.064,15.0.847,15,847,64
Exchange Server 2013,SP1,NoSU,15.0.847.032,15.0.847,15,847,32
Exchange Server 2013,CU3,NoSU,15.0.775.038,15.0.775,15,775,38
Exchange Server 2013,CU2,NoSU,15.0.712.024,15.0.712,15,712,24
Exchange Server 2013,CU1,NoSU,15.0.620.029,15.0.620,15,620,29
Exchange Server 2013,RTM,NoSU,15.0.516.032,15.0.516,15,516,32
Exchange Server 2010,SP3,RollUp32,14.03.0513.000,14.03.0513,14.03.0513,,0
Exchange Server 2010,SP3,RollUp31,14.03.0509.000,14.03.0509,14.03.0509,,0
Exchange Server 2010,SP3,RollUp30,14.03.0496.000,14.03.0496,14.03.0496,,0
Exchange Server 2010,SP3,RollUp29,14.03.0468.000,14.03.0468,14.03.0468,,0
Exchange Server 2010,SP3,RollUp28,14.03.0461.001,14.03.0461,14.03.0461,,0.001
Exchange Server 2010,SP3,RollUp27,14.03.0452.000,14.03.0452,14.03.0452,,0
Exchange Server 2010,SP3,RollUp26,14.03.0442.000,14.03.0442,14.03.0442,,0
Exchange Server 2010,SP3,RollUp25,14.03.0435.000,14.03.0435,14.03.0435,,0
Exchange Server 2010,SP3,RollUp24,14.03.0419.000,14.03.0419,14.03.0419,,0
Exchange Server 2010,SP3,RollUp23,14.03.0417.001,14.03.0417,14.03.0417,,0.001
Exchange Server 2010,SP3,RollUp22,14.03.0411.000,14.03.0411,14.03.0411,,0
Exchange Server 2010,SP3,RollUp21,14.03.0399.002,14.03.0399,14.03.0399,,0.002
Exchange Server 2010,SP3,RollUp20,14.03.0389.001,14.03.0389,14.03.0389,,0.001
Exchange Server 2010,SP3,RollUp19,14.03.0382.000,14.03.0382,14.03.0382,,0
Exchange Server 2010,SP3,RollUp18,14.03.0361.001,14.03.0361,14.03.0361,,0.001
Exchange Server 2010,SP3,RollUp17,14.03.0352.000,14.03.0352,14.03.0352,,0
Exchange Server 2010,SP3,RollUp16,14.03.0336.000,14.03.0336,14.03.0336,,0
Exchange Server 2010,SP3,RollUp15,14.03.0319.002,14.03.0319,14.03.0319,,0.002
Exchange Server 2010,SP3,RollUp14,14.03.0301.000,14.03.0301,14.03.0301,,0
Exchange Server 2010,SP3,RollUp13,14.03.0294.000,14.03.0294,14.03.0294,,0
Exchange Server 2010,SP3,RollUp12,14.03.0279.002,14.03.0279,14.03.0279,,0.002
Exchange Server 2010,SP3,RollUp11,14.03.0266.002,14.03.0266,14.03.0266,,0.002
Exchange Server 2010,SP3,RollUp10,14.03.0248.002,14.03.0248,14.03.0248,,0.002
Exchange Server 2010,SP3,RollUp9,14.03.0235.001,14.03.0235,14.03.0235,,0.001
Exchange Server 2010,SP3,RollUp8v2,14.03.0224.002,14.03.0224,14.03.0224,,0.002
Exchange Server 2010,SP3,RollUp8v1,14.03.0224.001,14.03.0224,14.03.0224,,0.001
Exchange Server 2010,SP3,RollUp7,14.03.0210.002,14.03.0210,14.03.0210,,0.002
Exchange Server 2010,SP3,RollUp6,14.03.0195.001,14.03.0195,14.03.0195,,0.001
Exchange Server 2010,SP3,RollUp5,14.03.0181.006,14.03.0181,14.03.0181,,0.006
Exchange Server 2010,SP3,RollUp4,14.03.0174.001,14.03.0174,14.03.0174,,0.001
Exchange Server 2010,SP3,RollUp3,14.03.0169.001,14.03.0169,14.03.0169,,0.001
Exchange Server 2010,SP3,RollUp2,14.03.0158.001,14.03.0158,14.03.0158,,0.001
Exchange Server 2010,SP3,RollUp1,14.03.0146.000,14.03.0146,14.03.0146,,0
Exchange Server 2010,SP3,NoSU,14.03.0123.004,14.03.0123,14.03.0123,,0.004
