"Type","Environment","ResourceGroup","SubscriptionId","Section","Status","Passed","Total","Percent","Message","SubItem"
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table IdentityQueryEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table IdentityDirectoryEvents has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table AlertInfo has a retention of 730 days - need to be stored in Sentinel for more retention",""
"check","prod-sentinel","","","Defender Data","OK","0","0","0","The table AlertEvidence has a retention of 730 days - need to be stored in Sentinel for more retention",""
"score","prod-sentinel","","","Defender Data","","21","21","100","",""
"check","prod-sentinel","","","Analytics","WARNING","0","0","0","Fusion rules will be automatically disabled after Microsoft Sentinel is onboarded in Defender",""
"check","prod-sentinel","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Brute force attack on VPN gateway"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No incident reopening","Brute force attack on VPN gateway"
"check","prod-sentinel","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Brute force attack on VPN gateway"
"check","prod-sentinel","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Suspicious sign-in from Tor network"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No incident reopening","Suspicious sign-in from Tor network"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No custom alert grouping","Suspicious sign-in from Tor network"
"check","prod-sentinel","","","Analytics","WARNING","0","0","0","Doesn't generate incidents. Alerts aren't visible in the Defender portal - they appear in SecurityAlerts table in Advanced Hunting","Data exfiltration to external IP"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No incident reopening","Data exfiltration to external IP"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No custom alert grouping","Data exfiltration to external IP"
"check","prod-sentinel","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Legacy MFA bypass detection"
"check","prod-sentinel","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Old SIEM correlation rule"
"check","prod-sentinel","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Privileged account created outside change window"
"check","prod-sentinel","","","Analytics","WARNING","0","0","0","Incident reopening enabled. Not supported in Defender portal - new incidents are created instead","Privileged account created outside change window"
"check","prod-sentinel","","","Analytics","OK","0","0","0","No custom alert grouping","Privileged account created outside change window"
"check","prod-sentinel","","","Analytics","WARNING","0","0","0","Microsoft incident creation rule - will be deactivated after onboarding","Microsoft Defender for Endpoint alerts"
"score","prod-sentinel","","","Analytics","","5","8","62.5","",""
"check","prod-sentinel","","","Automation","WARNING","0","0","0","Change trigger from Incident Provider to Alert Product Name","Route critical incidents to Tier 3"
"check","prod-sentinel","","","Automation","WARNING","0","0","0","Change trigger from Incident Title to Analytics Rule Name","Post incident summary to Teams"
"check","prod-sentinel","","","Automation","OK","0","0","0","Configured correctly","Auto-assign to SOC analyst on-call"
"check","prod-sentinel","","","Automation","OK","0","0","0","Configured correctly","Tag incidents with severity label"
"check","prod-sentinel","","","Automation","WARNING","0","0","0","Triggered by Fusion incidents. Fusion will be disabled after onboarding","Fusion auto-close low confidence"
"score","prod-sentinel","","","Automation","","2","5","40","",""
"score","prod-sentinel","","","Final","","28","34","82.35","",""
"check","prod-sentinel","","","Data Lake Region","OK","0","0","0","Workspace region 'westeurope' supports Data Lake",""
"score","prod-sentinel","","","Data Lake Region","","1","1","100","",""
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","SecurityEvent"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Syslog"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","CommonSecurityLog"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","AzureActivity"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","SigninLogs"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","AuditLogs"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","OfficeActivity"
"check","prod-sentinel","","","Table Tiers","WARNING","0","0","0","Uses Basic tier. Must be converted to Analytics or Auxiliary tier (Data Lake) when transitioning to Defender","ContainerLog"
"check","prod-sentinel","","","Table Tiers","INFORMATIONAL","0","0","0","Uses Auxiliary tier. Will become a data lake table when transitioning to Defender","NetworkTrafficArchive_CL"
"check","prod-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Heartbeat"
"score","prod-sentinel","","","Table Tiers","","9","10","90","",""
"env","dev-sentinel","rg-dev","b2c3d4e5-f6a7-8901-bcde-f12345678901","","","0","0","0","",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceNetworkInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceProcessEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceNetworkEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceFileEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceRegistryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceLogonEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceImageLoadEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceFileCertificateInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailUrlInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailAttachmentInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailPostDeliveryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table UrlClickEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table CloudAppEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table IdentityLogonEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table IdentityQueryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table IdentityDirectoryEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table AlertInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","dev-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table AlertEvidence has a retention of 30 days - no need to ingest this data in Sentinel",""
"score","dev-sentinel","","","Defender Data","","21","21","100","",""
"check","dev-sentinel","","","Analytics","OK","0","0","0","The Fusion engine is not enabled",""
"check","dev-sentinel","","","Analytics","INFORMATIONAL","0","0","0","Rule is disabled. It will remain disabled after onboarding","Test detection rule"
"check","dev-sentinel","","","Analytics","OK","0","0","0","Alert visibility configured correctly","NRT Suspicious Azure AD sign-in"
"check","dev-sentinel","","","Analytics","OK","0","0","0","No incident reopening","NRT Suspicious Azure AD sign-in"
"check","dev-sentinel","","","Analytics","OK","0","0","0","No custom alert grouping","NRT Suspicious Azure AD sign-in"
"score","dev-sentinel","","","Analytics","","3","3","100","",""
"check","dev-sentinel","","","Automation","OK","0","0","0","Configured correctly","Add tag to test incidents"
"score","dev-sentinel","","","Automation","","1","1","100","",""
"score","dev-sentinel","","","Final","","25","25","100","",""
"check","dev-sentinel","","","Data Lake Region","OK","0","0","0","Workspace region 'northeurope' supports Data Lake",""
"score","dev-sentinel","","","Data Lake Region","","1","1","100","",""
"check","dev-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","SecurityEvent"
"check","dev-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Syslog"
"check","dev-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","AzureActivity"
"check","dev-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Heartbeat"
"score","dev-sentinel","","","Table Tiers","","4","4","100","",""
"env","staging-sentinel","rg-staging-soc","c3d4e5f6-a7b8-9012-cdef-123456789012","","","0","0","0","",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceNetworkInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceProcessEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceNetworkEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceFileEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceRegistryEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceLogonEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceImageLoadEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table DeviceEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table DeviceFileCertificateInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table EmailEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table EmailUrlInfo has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table EmailAttachmentInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table EmailPostDeliveryEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table UrlClickEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","INFORMATIONAL","0","0","0","The table CloudAppEvents has a retention of 30 days - no need to ingest this data in Sentinel",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table IdentityLogonEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table IdentityQueryEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table IdentityDirectoryEvents has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table AlertInfo has a retention of 90 days - need to be stored in Sentinel for more retention",""
"check","staging-sentinel","","","Defender Data","OK","0","0","0","The table AlertEvidence has a retention of 90 days - need to be stored in Sentinel for more retention",""
"score","staging-sentinel","","","Defender Data","","21","21","100","",""
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Fusion rules will be automatically disabled after Microsoft Sentinel is onboarded in Defender",""
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Doesn't generate incidents. Alerts aren't visible in the Defender portal - they appear in SecurityAlerts table in Advanced Hunting","Anomalous Azure Resource Manager activity"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Incident reopening enabled. Not supported in Defender portal - new incidents are created instead","Anomalous Azure Resource Manager activity"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Anomalous Azure Resource Manager activity"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Doesn't generate incidents. Alerts aren't visible in the Defender portal - they appear in SecurityAlerts table in Advanced Hunting","Mass download from SharePoint"
"check","staging-sentinel","","","Analytics","OK","0","0","0","No incident reopening","Mass download from SharePoint"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Alert grouping enabled. After onboarding, Defender XDR engine fully controls grouping and merging","Mass download from SharePoint"
"check","staging-sentinel","","","Analytics","OK","0","0","0","Alert visibility configured correctly","Impossible travel detected"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Incident reopening enabled. Not supported in Defender portal - new incidents are created instead","Impossible travel detected"
"check","staging-sentinel","","","Analytics","OK","0","0","0","No custom alert grouping","Impossible travel detected"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Microsoft incident creation rule - will be deactivated after onboarding","Microsoft Defender for Cloud alerts"
"check","staging-sentinel","","","Analytics","WARNING","0","0","0","Microsoft incident creation rule - will be deactivated after onboarding","Microsoft Defender for Identity alerts"
"score","staging-sentinel","","","Analytics","","0","6","0","",""
"check","staging-sentinel","","","Automation","WARNING","0","0","0","Change trigger from Incident Provider to Alert Product Name","Escalate P1 incidents"
"check","staging-sentinel","","","Automation","WARNING","0","0","0","Change trigger from Incident Title to Analytics Rule Name","Notify security manager"
"check","staging-sentinel","","","Automation","WARNING","0","0","0","Change trigger from Incident Provider to Alert Product Name","Close false positives automatically"
"check","staging-sentinel","","","Automation","WARNING","0","0","0","Triggered by Fusion incidents. Fusion will be disabled after onboarding","Fusion incident enrichment"
"score","staging-sentinel","","","Automation","","0","4","0","",""
"score","staging-sentinel","","","Final","","21","31","67.74","",""
"check","staging-sentinel","","","Data Lake Region","WARNING","0","0","0","Workspace region 'brazilsouth' does not support Data Lake. Consider migrating to a supported region",""
"score","staging-sentinel","","","Data Lake Region","","0","1","0","",""
"check","staging-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","SecurityEvent"
"check","staging-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Syslog"
"check","staging-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","CommonSecurityLog"
"check","staging-sentinel","","","Table Tiers","WARNING","0","0","0","Uses Basic tier. Must be converted to Analytics or Auxiliary tier (Data Lake) when transitioning to Defender","ContainerLog"
"check","staging-sentinel","","","Table Tiers","WARNING","0","0","0","Uses Basic tier. Must be converted to Analytics or Auxiliary tier (Data Lake) when transitioning to Defender","AppTraces"
"check","staging-sentinel","","","Table Tiers","WARNING","0","0","0","Uses Basic tier. Must be converted to Analytics or Auxiliary tier (Data Lake) when transitioning to Defender","AzureDiagnostics"
"check","staging-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","AzureActivity"
"check","staging-sentinel","","","Table Tiers","OK","0","0","0","Uses Analytics tier","Heartbeat"
"score","staging-sentinel","","","Table Tiers","","5","8","62.5","",""
"env","partner-law","rg-partner","d4e5f6a7-b8c9-0123-defa-234567890123","","","0","0","0","",""
"check","partner-law","","","Access","WARNING","0","0","0","Microsoft Sentinel is not installed on this workspace. Enable Sentinel and retry.",""
"score","partner-law","","","Final","","0","1","0","",""
