Schema,Field,InDoc,InCsv,DocClass,CsvClass,DocType,CsvType,CsvLogicalType,DocSource,Description,Example,Note,OriginalDescription
AlertEvent,DvcDomain,Yes,Yes,Recommended,Optional,Domain (String),string,,CommonFields,"The domain of the device on which the event occurred or which reported the event, depending on the schema.",Contoso,,"The domain of the device on which the event occurred or which reported the event, depending on the schema.<br><br>Example: `Contoso`"
AlertEvent,DvcDomainType,Yes,Yes,Conditional,Conditional,Enumerated,string,Enumerated,CommonFields,"The type of  [DvcDomain](#dvcdomain). For a list of allowed values and further information, refer to [DomainType](normalization-entity-device.md#domaintype).",,This field is required if the [DvcDomain](#dvcdomain) field is used.,"The type of  [DvcDomain](#dvcdomain). For a list of allowed values and further information, refer to [DomainType](normalization-entity-device.md#domaintype).<br><br>**Note**: This field is required if the [DvcDomain](#dvcdomain) field is used."
AlertEvent,DvcFQDN,Yes,Yes,Optional,Optional,FQDN (String),string,FQDN,CommonFields,"The hostname of the device on which the event occurred or which reported the event, depending on the schema.",Contoso\DESKTOP-1282V4D,This field supports both traditional FQDN format and Windows domain\hostname format. The  [DvcDomainType](#dvcdomaintype) field reflects the format used.,"The hostname of the device on which the event occurred or which reported the event, depending on the schema. <br><br> Example: `Contoso\DESKTOP-1282V4D`<br><br>**Note**: This field supports both traditional FQDN format and Windows domain\hostname format. The  [DvcDomainType](#dvcdomaintype) field reflects the format used."
AlertEvent,DvcHostname,Yes,Yes,Recommended,Recommended,Hostname,string,Hostname,CommonFields,"The hostname of the device on which the event occurred or which reported the event, depending on the schema.",ContosoDc,,"The hostname of the device on which the event occurred or which reported the event, depending on the schema. <br><br>Example: `ContosoDc`"
AlertEvent,DvcId,Yes,Yes,Optional,Recommended,String,string,,CommonFields,"The unique ID of the device on which the event occurred or which reported the event, depending on the schema.",41502da5-21b7-48ec-81c9-baeea8d7d669,,"The unique ID of the device on which the event occurred or which reported the event, depending on the schema. <br><br>Example: `41502da5-21b7-48ec-81c9-baeea8d7d669`"
AlertEvent,DvcIdType,Yes,Yes,Conditional,Conditional,Enumerated,string,Enumerated,CommonFields,"The type of [DvcId](#dvcid). For a list of allowed values and further information, refer to [DvcIdType](#dvcidtype).<br>- `MDEid`<br><br>If multiple IDs are available, use the first one from the list, and store the others by using the field names **DvcAzureResourceId** and **DvcMDEid**, respectively.",,This field is required if the [DvcId](#dvcid) field is used.,"The type of [DvcId](#dvcid). For a list of allowed values and further information, refer to [DvcIdType](#dvcidtype).<br>- `MDEid`<br><br>If multiple IDs are available, use the first one from the list, and store the others by using the field names **DvcAzureResourceId** and **DvcMDEid**, respectively.<br><br>**Note**: This field is required if the [DvcId](#dvcid) field is used."
AlertEvent,DvcInterface,Yes,Yes,Optional,Optional,String,string,,CommonFields,"The network interface on which data was captured. This field is  typically relevant to network related activity, which is captured by an intermediate or tap device.",,,"The network interface on which data was captured. This field is  typically relevant to network related activity, which is captured by an intermediate or tap device."
AlertEvent,DvcIpAddr,Yes,Yes,Recommended,Recommended,IP address,string,IP Address,CommonFields,"The IP address of the device on which the event occurred or which reported the event, depending on the schema.",45.21.42.12,,"The IP address of the device on which the event occurred or which reported the event, depending on the schema. <br><br>Example: `45.21.42.12`"
AlertEvent,DvcMacAddr,Yes,Yes,Optional,Optional,MAC address,string,,CommonFields,The MAC address of the device on which the event occurred or which reported the event.,00:1B:44:11:3A:B7,,The MAC address of the device on which the event occurred or which reported the event.  <br><br>Example: `00:1B:44:11:3A:B7`
AlertEvent,DvcOriginalAction,Yes,Yes,Optional,Optional,String,string,,CommonFields,The original [DvcAction](#dvcaction) as provided by the reporting device.,,,The original [DvcAction](#dvcaction) as provided by the reporting device.
AlertEvent,DvcOs,Yes,Yes,Optional,Optional,String,string,,CommonFields,The operating system running on the device on which the event occurred or which reported the event.,Windows,,The operating system running on the device on which the event occurred or which reported the event.    <br><br>Example: `Windows`
AlertEvent,DvcOsVersion,Yes,Yes,Optional,Optional,String,string,,CommonFields,The version of the operating system on the device on which the event occurred or which reported the event.,10,,The version of the operating system on the device on which the event occurred or which reported the event. <br><br>Example: `10`
AlertEvent,DvcScope,Yes,Yes,Optional,Optional,String,string,,CommonFields,The cloud platform scope the device belongs to. **DvcScope** map to a subscription ID on Azure and to an account ID on AWS.,,,The cloud platform scope the device belongs to. **DvcScope** map to a subscription ID on Azure and to an account ID on AWS.
AlertEvent,DvcScopeId,Yes,Yes,Optional,Optional,String,string,,CommonFields,The cloud platform scope ID the device belongs to. **DvcScopeId** map to a subscription ID on Azure and to an account ID on AWS.,,,The cloud platform scope ID the device belongs to. **DvcScopeId** map to a subscription ID on Azure and to an account ID on AWS.
AlertEvent,DvcZone,Yes,Yes,Optional,Optional,String,string,,CommonFields,"The network on which the event occurred or which reported the event, depending on the schema. The zone is defined by the reporting device.",Dmz,,"The network on which the event occurred or which reported the event, depending on the schema. The zone is defined by the reporting device.<br><br>Example: `Dmz`"
AlertEvent,EmailMessageId,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,"Unique identifier for the email message, associated with the alert.",Request for Invoice Access,,"Unique identifier for the email message, associated with the alert.<br><br>e.g. `Request for Invoice Access`"
AlertEvent,EmailSubject,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Subject of the email.,j5kl6mn7-op8q-r9st-0uv1-wx2yz3ab4c,,Subject of the email.<br><br>e.g. `j5kl6mn7-op8q-r9st-0uv1-wx2yz3ab4c`
AlertEvent,EventCount,Yes,Yes,Mandatory,Mandatory,Integer,int,,CommonFields,"The number of events described by the record. <br><br>This value is used when the source supports aggregation, and a single record might represent multiple events. <br><br>For other sources, set to `1`.",,,"The number of events described by the record. <br><br>This value is used when the source supports aggregation, and a single record might represent multiple events. <br><br>For other sources, set to `1`."
AlertEvent,EventEndTime,Yes,Yes,Mandatory,Mandatory,Date/time,datetime,,CommonFields,"The time in which the event ended. If the source supports aggregation and the record represents multiple events, the time that the last event was generated. If not provided by the source record, this field aliases the [TimeGenerated](#timegenerated) field.",,,"The time in which the event ended. If the source supports aggregation and the record represents multiple events, the time that the last event was generated. If not provided by the source record, this field aliases the [TimeGenerated](#timegenerated) field."
AlertEvent,EventMessage,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,"Detailed information about the alert, including its context, cause, and potential impact.","Potential use of the Rubeus tool for kerberoasting, a technique used to extract service account credentials from Kerberos tickets.",,"Detailed information about the alert, including its context, cause, and potential impact. <br> e.g. `Potential use of the Rubeus tool for kerberoasting, a technique used to extract service account credentials from Kerberos tickets.`"
AlertEvent,EventOriginalSeverity,Yes,Yes,Optional,Optional,String,string,,CommonFields,The original severity as provided by the reporting device. This value is used to derive [EventSeverity](#eventseverity).,,,The original severity as provided by the reporting device. This value is used to derive [EventSeverity](#eventseverity).
AlertEvent,EventOriginalSubType,Yes,Yes,Optional,Optional,String,string,,CommonFields,"The original event subtype or ID, if provided by the source. For example, this field is used to store the original Windows logon type. This value is used to derive [EventSubType](#eventsubtype), which should have only one of the values documented for each schema.",2,,"The original event subtype or ID, if provided by the source. For example, this field is used to store the original Windows logon type. This value is used to derive [EventSubType](#eventsubtype), which should have only one of the values documented for each schema.<br><br>Example: `2`"
AlertEvent,EventOriginalType,Yes,Yes,Optional,Optional,String,string,,CommonFields,"The original event type or ID, if provided by the source. For example, this field is used to store the original Windows event ID. This value is used to derive [EventType](#eventtype), which should have only one of the values documented for each schema.",4624,,"The original event type or ID, if provided by the source. For example, this field is used to store the original Windows event ID. This value is used to derive [EventType](#eventtype), which should have only one of the values documented for each schema.<br><br>Example: `4624`"
AlertEvent,EventOriginalUid,Yes,Yes,Optional,Optional,String,string,,CommonFields,"A unique ID of the original record, if provided by the source.",69f37748-ddcd-4331-bf0f-b137f1ea83b,,"A unique ID of the original record, if provided by the source.<br><br>Example: `69f37748-ddcd-4331-bf0f-b137f1ea83b`"
AlertEvent,EventOwner,Yes,Yes,Optional,Optional,String,string,,CommonFields,"The owner of the event, which is usually the department or subsidiary in which it was generated.",,,"The owner of the event, which is usually the department or subsidiary in which it was generated."
AlertEvent,EventProduct,Yes,Yes,Mandatory,Mandatory,String,string,Enumerated,CommonFields,The product generating the event. The value should be one of the values listed in [Vendors and Products](#vendors-and-products).,Sysmon,,The product generating the event. The value should be one of the values listed in [Vendors and Products](#vendors-and-products).<br><br>Example: `Sysmon`
AlertEvent,EventProductVersion,Yes,Yes,Optional,Optional,String,string,,CommonFields,The version of the product generating the event.,12.1,,The version of the product generating the event. <br><br>Example: `12.1`
AlertEvent,EventReportUrl,Yes,Yes,Optional,Optional,URL (String),string,,CommonFields,A URL provided in the event for a resource that provides more information about the event.,,,A URL provided in the event for a resource that provides more information about the event.
AlertEvent,EventResult,Yes,Yes,Mandatory,Optional,Enumerated,string,,CommonFields,"One of the following values: **Success**, **Partial**, **Failure**, **NA** (Not Applicable).<br> <br>The value might be provided in the source record by using different terms, which should be normalized to these values. Alternatively, the source might provide only the [EventResultDetails](#eventresultdetails) field, which should be analyzed to derive the EventResult value.",Success,,"One of the following values: **Success**, **Partial**, **Failure**, **NA** (Not Applicable).<br> <br>The value might be provided in the source record by using different terms, which should be normalized to these values. Alternatively, the source might provide only the [EventResultDetails](#eventresultdetails) field, which should be analyzed to derive the EventResult value.<br><br>Example: `Success`"
AlertEvent,EventSchema,Yes,Yes,Mandatory,Mandatory,Enumerated,string,Enumerated,SchemaDoc,The schema used for the event. The schema documented here is `AlertEvent`.,,,The schema used for the event. The schema documented here is `AlertEvent`.
AlertEvent,EventSchemaVersion,Yes,Yes,Mandatory,Mandatory,SchemaVersion (String),string,SchemaVersion,SchemaDoc,The version of the schema. The version of the schema documented here is `0.1`.,,,The version of the schema. The version of the schema documented here is `0.1`.
AlertEvent,EventSeverity,Yes,Yes,Recommended,Recommended,Enumerated,string,Enumerated,CommonFields,"The severity of the event. Valid values are: `Informational`, `Low`, `Medium`, or `High`.",,,"The severity of the event. Valid values are: `Informational`, `Low`, `Medium`, or `High`."
AlertEvent,EventStartTime,Yes,Yes,Mandatory,Mandatory,Date/time,datetime,,CommonFields,"The time in which the event started. If the source supports aggregation and the record represents multiple events, the time that the first event was generated. If not provided by the source record, this field aliases the [TimeGenerated](#timegenerated) field.",,,"The time in which the event started. If the source supports aggregation and the record represents multiple events, the time that the first event was generated. If not provided by the source record, this field aliases the [TimeGenerated](#timegenerated) field."
AlertEvent,EventSubType,Yes,Yes,Recommended,Recommended,Enumerated,string,Enumerated,SchemaDoc,"Specifies the subtype or category of the alert event, providing more granular detail within the broader event classification. This field helps distinguish the nature of the detected issue, improving incident prioritization and response strategies.<br><br>Supported values include:<br>- `Threat` (Represents a confirmed or highly likely malicious activity that could compromise the system or network)<br>- `Suspicious Activity` (Flags behavior or events that appear unusual or suspicious, though not yet confirmed as malicious)<br>- `Anomaly` (Identifies deviations from normal patterns that could indicate a potential security risk or operational issue)<br>- `Compliance Violation` (Highlights activities that breach regulatory, policy, or compliance standards)",,,"Specifies the subtype or category of the alert event, providing more granular detail within the broader event classification. This field helps distinguish the nature of the detected issue, improving incident prioritization and response strategies.<br><br>Supported values include:<br>- `Threat` (Represents a confirmed or highly likely malicious activity that could compromise the system or network)<br>- `Suspicious Activity` (Flags behavior or events that appear unusual or suspicious, though not yet confirmed as malicious)<br>- `Anomaly` (Identifies deviations from normal patterns that could indicate a potential security risk or operational issue)<br>- `Compliance Violation` (Highlights activities that breach regulatory, policy, or compliance standards)"
AlertEvent,EventType,Yes,Yes,Mandatory,Mandatory,Enumerated,string,Enumerated,SchemaDoc,Type of the event.<br><br>Supported values are:<br>-`Alert`,,,Type of the event.<br><br>Supported values are:<br>-`Alert`
AlertEvent,EventUid,Yes,Yes,Mandatory,Mandatory,string,string,,SchemaDoc,"A machine-readable, alphanumeric string that uniquely identifies an alert within a system.",A1bC2dE3fH4iJ5kL6mN7oP8qR9s,,"A machine-readable, alphanumeric string that uniquely identifies an alert within a system. <br> e.g. `A1bC2dE3fH4iJ5kL6mN7oP8qR9s`"
AlertEvent,EventVendor,Yes,Yes,Mandatory,Mandatory,String,string,Enumerated,CommonFields,The vendor of the product generating the event. The value should be one of the values listed in [Vendors and Products](#vendors-and-products).,"Microsoft ,",,The vendor of the product generating the event. The value should be one of the values listed in [Vendors and Products](#vendors-and-products).<br><br>Example: `Microsoft`  <br><br>
AlertEvent,FileMD5,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,MD5 hash of the file.,j5kl6mn7op8qr9st0uv1wx2yz3ab4c,,MD5 hash of the file.<br><br>e.g. `j5kl6mn7op8qr9st0uv1wx2yz3ab4c`
AlertEvent,FileName,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,"Name of the file associated with the alert, without path or a location.",Notepad.exe,,"Name of the file associated with the alert, without path or a location.<br><br>e.g. `Notepad.exe`"
AlertEvent,FilePath,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,"he full, normalized path of the target file, including the folder or location, the file name, and the extension.",C:\Windows\System32\notepad.exe,,"he full, normalized path of the target file, including the folder or location, the file name, and the extension.<br><br>e.g. `C:\Windows\System32\notepad.exe`"
AlertEvent,FileSHA1,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,SHA1 hash of the file.,j5kl6mn7op8qr9st0uv1,,SHA1 hash of the file.<br><br>e.g. `j5kl6mn7op8qr9st0uv1`
AlertEvent,FileSHA256,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,SHA256 hash of the file.,a1bc2de3fh4ij5kl6mn7op8qrs2de3,,SHA256 hash of the file.<br><br>e.g. `a1bc2de3fh4ij5kl6mn7op8qrs2de3`
AlertEvent,FileSize,Yes,Yes,Optional,Optional,long,long,,SchemaDoc,Size of the file in bytes.,123456,,Size of the file in bytes.<br><br>e.g. `123456`
AlertEvent,Hostname,Yes,Yes,Alias,Alias,,string,,SchemaDoc,Alias or friendly name for `DvcHostname` field.,,,Alias or friendly name for `DvcHostname` field.
AlertEvent,IndicatorAssociation,Yes,Yes,Optional,Optional,Enumerated,string,Enumerated,SchemaDoc,Specifies whether the indicator is linked to or directly impacted by the threat.<br><br>Supported values are:<br>-`Associated`<br>-`Targeted`,,,Specifies whether the indicator is linked to or directly impacted by the threat.<br><br>Supported values are:<br>-`Associated`<br>-`Targeted`
AlertEvent,IndicatorType,Yes,Yes,Recommended,Recommended,Enumerated,string,Enumerated,SchemaDoc,The type or category of the indicator<br><br>Supported values are:<br>-`Ip`<br>-`User`<br>-`Process`<br>-`Registry`<br>-`Url`<br>-`Host`<br>-`Cloud Resource`<br>-`Application`<br>-`File`<br>-`Email`<br>-`Mailbox`<br>-`Logon Session`,,,The type or category of the indicator<br><br>Supported values are:<br>-`Ip`<br>-`User`<br>-`Process`<br>-`Registry`<br>-`Url`<br>-`Host`<br>-`Cloud Resource`<br>-`Application`<br>-`File`<br>-`Email`<br>-`Mailbox`<br>-`Logon Session`
AlertEvent,IpAddr,Yes,Yes,Alias,Alias,,string,IP Address,SchemaDoc,Alias or friendly name for `DvcIpAddr` field.,,,Alias or friendly name for `DvcIpAddr` field.
AlertEvent,OriginalUserType,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The user type as reported by the reporting device.,,,The user type as reported by the reporting device.
AlertEvent,ProcessCommandLine,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Command line used to start the process.,"""choco.exe"" -v",,"Command line used to start the process.<br><br>e.g. `""choco.exe"" -v`"
AlertEvent,ProcessFileCompany,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Company that created the process image file.,Microsoft,,Company that created the process image file.<br><br>e.g. `Microsoft`
AlertEvent,ProcessId,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The process ID (PID) associated with the alert.,12345678,,The process ID (PID) associated with the alert.<br><br>e.g. `12345678`
AlertEvent,ProcessName,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Name of the process.,C:\Windows\explorer.exe,,Name of the process.<br><br>e.g. `C:\Windows\explorer.exe`
AlertEvent,RegistryKey,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,"The registry key associated with the alert, normalized to standard root key naming conventions.",HKEY_LOCAL_MACHINE\SOFTWARE\MTG,,"The registry key associated with the alert, normalized to standard root key naming conventions.<br><br>e.g. `HKEY_LOCAL_MACHINE\SOFTWARE\MTG`"
AlertEvent,RegistryValue,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Registry value.,ImagePath,,Registry value.<br><br>e.g. `ImagePath`
AlertEvent,RegistryValueData,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Data of the registry value.,C:\Windows\system32;C:\Windows;,,Data of the registry value.<br><br>e.g. `C:\Windows\system32;C:\Windows;`
AlertEvent,RegistryValueType,Yes,Yes,Optional,Optional,Enumerated,string,Enumerated,SchemaDoc,Type of the registry value.,Reg_Expand_Sz,,Type of the registry value.<br><br>e.g. `Reg_Expand_Sz`
AlertEvent,Rule,Yes,Yes,Alias,Alias,string,string,,SchemaDoc,"Either the value of RuleName or the value of RuleNumber. If the value of RuleNumber is used, the type should be converted to string.",,,"Either the value of RuleName or the value of RuleNumber. If the value of RuleNumber is used, the type should be converted to string."
AlertEvent,RuleDescription,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,Description of the rule associated with the alert.,"This rule detects remote execution on a server using PSEXEC, which may indicate unauthorized administrative activity or lateral movement within the network",,"Description of the rule associated with the alert.<br><br>e.g. `This rule detects remote execution on a server using PSEXEC, which may indicate unauthorized administrative activity or lateral movement within the network`"
AlertEvent,RuleName,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The name or ID of the rule associated with the alert.,Server PSEXEC Execution via Remote Access,,The name or ID of the rule associated with the alert.<br><br>e.g. `Server PSEXEC Execution via Remote Access`
AlertEvent,RuleNumber,Yes,Yes,Optional,Optional,int,int,,SchemaDoc,The number of the rule associated with the alert.,123456,,The number of the rule associated with the alert.<br><br>e.g. `123456`
AlertEvent,ThreatCategory,Yes,Yes,Recommended,Recommended,Enumerated,string,Enumerated,SchemaDoc,"The category of the threat or malware identified in the alert.<br><br>Supported values are: `Malware`, `Ransomware`, `Trojan`, `Virus`, `Worm`, `Adware`, `Spyware`, `Rootkit`, `Cryptominor`, `Phishing`, `Spam`, `MaliciousUrl`, `Spoofing`, `Security Policy Violation`, `Unknown`",,,"The category of the threat or malware identified in the alert.<br><br>Supported values are: `Malware`, `Ransomware`, `Trojan`, `Virus`, `Worm`, `Adware`, `Spyware`, `Rootkit`, `Cryptominor`, `Phishing`, `Spam`, `MaliciousUrl`, `Spoofing`, `Security Policy Violation`, `Unknown`"
AlertEvent,ThreatConfidence,Yes,Yes,Optional,Optional,ConfidenceLevel (Integer),int,ConfidenceLevel,SchemaDoc,"The confidence level of the threat identified, normalized to a value between 0 and a 100.",,,"The confidence level of the threat identified, normalized to a value between 0 and a 100."
AlertEvent,ThreatFirstReportedTime,Yes,Yes,Optional,Optional,datetime,datetime,,SchemaDoc,Date and time when the threat was first reported.,2024-09-19T10:12:10.0000000Z,,Date and time when the threat was first reported.<br><br> e.g. `2024-09-19T10:12:10.0000000Z`
AlertEvent,ThreatId,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The ID of the threat or malware identified in the alert.,1234567891011121314,,The ID of the threat or malware identified in the alert.<br><br> e.g. `1234567891011121314`
AlertEvent,ThreatIsActive,Yes,Yes,Optional,Optional,bool,bool,,SchemaDoc,"Indicates whether the threat is currently active.<br><br>Supported values are: `True`, `False`",,,"Indicates whether the threat is currently active.<br><br>Supported values are: `True`, `False`"
AlertEvent,ThreatLastReportedTime,Yes,Yes,Optional,Optional,datetime,datetime,,SchemaDoc,Date and time when the threat was last reported.,2024-09-19T10:12:10.0000000Z,,Date and time when the threat was last reported.<br><br> e.g. `2024-09-19T10:12:10.0000000Z`
AlertEvent,ThreatName,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The name of the threat or malware identified in the alert.,Init.exe,,The name of the threat or malware identified in the alert.<br><br> e.g. `Init.exe`
AlertEvent,ThreatOriginalCategory,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The category of the threat as reported by the originating system.,,,The category of the threat as reported by the originating system.
AlertEvent,ThreatOriginalConfidence,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The confidence level as reported by the originating system.,,,The confidence level as reported by the originating system.
AlertEvent,ThreatOriginalRiskLevel,Yes,Yes,Optional,Optional,string,string,,SchemaDoc,The risk level as reported by the originating system.,,,The risk level as reported by the originating system.
AlertEvent,ThreatRiskLevel,Yes,Yes,Optional,Optional,RiskLevel (Integer),int,RiskLevel,SchemaDoc,"The risk level associated with the threat. The level should be a number between 0 and 100.<br><br>Note: The value might be provided in the source record by using a different scale, which should be normalized to this scale. The original value should be stored in ThreatRiskLevelOriginal.",,,"The risk level associated with the threat. The level should be a number between 0 and 100.<br><br>Note: The value might be provided in the source record by using a different scale, which should be normalized to this scale. The original value should be stored in ThreatRiskLevelOriginal."
AlertEvent,TimeGenerated,Yes,Yes,Mandatory,Mandatory,datetime,datetime,,CommonFieldsImplicit,The time the event was generated by the reporting device.,,,The time the event was generated by the reporting device.
AlertEvent,Type,Yes,Yes,Mandatory,Mandatory,string,string,,CommonFieldsImplicit,"The original table from which the record was fetched. This field is useful when the same event can be received through multiple channels to different tables, and have the same [EventVendor](#eventvendor) and [EventProduct](#eventproduct) values.<br><br>For example, a Sysmon event can be collected either to the `Event` table or to the `WindowsEvent` table.",,,"The original table from which the record was fetched. This field is useful when the same event can be received through multiple channels to different tables, and have the same [EventVendor](#eventvendor) and [EventProduct](#eventproduct) values.<br><br>For example, a Sysmon event can be collected either to the `Event` table or to the `WindowsEvent` table."
