FileName, CommitSha
Playbooks\Get-TenableVlun\azuredeploy.json,504530cc5a0f883e63b3ec72b851acccab3c387a
Playbooks\AD4IoT-TritonDetectionAndResponse\azuredeploy.json,411a6cd144af861c8858e825f258d9673e5d0711
Playbooks\Send-UrlReport\azuredeploy.json,6ad9058326965dac90a48b15e9fdb3ad548850fc
Playbooks\Dismiss-AADRiskyUser\incident-trigger\azuredeploy.json,70014f078c9937445173822c2051e22f5e886b2d
Playbooks\Get-MDEStatistics\incident-trigger\azuredeploy.json,84fb43422b253fddf89c39f60e65d94c3b2eec26
Playbooks\Block-AADUser\incident-trigger\azuredeploy.json,aace86233ee8ba6f00a883b48edee1e21aa85d4e
Playbooks\AS-PagerDuty-Integration\azuredeploy.json,6ca6404ebe99ac9d53fae26f3163a335a915615c
Playbooks\Restrict-MDEAppExecution\alert-trigger\azuredeploy.json,b7e7042a7bd1f0b3617b58fc35569ef1803c1204
Playbooks\Post-Message-Teams\incident-trigger\azuredeploy.json,ccd74c8cf100547944920d0dabb0d47ee645f3f5
Playbooks\HaveIBeenPwned\Playbooks\HaveIBeenPwned_SendEmail\azuredeploy.json,e6d7424a8adeeee8647cce1ff6deb4a41673d415
Playbooks\Unisolate-MDEMachine\alert-trigger\azuredeploy.json,6dfa65fab44664f84aba683c60f0e963aca4c1f9
Playbooks\RecordedFuture-Block-IPs-and-Domains-on-Microsoft-Defender-for-Endpoint\RecordedFuture-TIforDefenderEndpoint.json,064651f84d93a48d5a77a965e4e95e38e6c98a7e
Playbooks\Watchlist-Add-URLToWatchList\alert-trigger\azuredeploy.json,deff1b5c02029b78f9d0e0044580d0fd3bd38f96
Playbooks\CrowdStrike\Playbooks\CrowdStrike_ContainHost\azuredeploy.json,771063dfe3b62f659d456d1fa11e626d02520125
Playbooks\AzureFirewall\AzureFirewallConnector\azuredeploy.json,5b85b3f866c12beca7befba3e878f480cf6cd8e5
Playbooks\Block-AADUserOrAdmin\incident-trigger\azuredeploy.json,d8a9cd643423fe732b72d7ccf86cc1332d28d525
Playbooks\Watchlist-Add-UserToWatchList\alert-trigger\azuredeploy.json,cbbad68e9831ca8ed3159ba9ac4b8f329ed75475
Playbooks\Restrict-MDEUrl\alert-trigger\azuredeploy.json,e0f1e67348cd4b0e0a06a35680a4249f1d8fe066
Playbooks\Start-MDEAutomatedInvestigation\incident-trigger\azuredeploy.json,14e9d4f6740f2246a10f3292d0b94152d113cf5b
Playbooks\Get-VirusTotalDomainReport\incident-trigger\azuredeploy.json,b2889527d734436d394acce13d3496e39ee40eb4
Playbooks\AD4IoT-MailbyProductionLine\azuredeploy.json,59cac1e422b7b41d4a0b65f8c91009e92eb1d382
Playbooks\.template\alert-trigger\azuredeploy.json,54b4b75d9fde1512c81920e419325120384554c3
Playbooks\relateAlertsToIncident-basedOnIP\azuredeploy.json,b542e972c26307e2ddba7032c91ff8b0c265961f
Playbooks\AutoConnect-ASCSubscriptions\azuredeploy.json,4bb52fce44c56ff285eaa5a1605cab5bce7cca2f
Playbooks\RecordedFuture_COVID19_Related_Domain_Lure_Detect\RecordedFuture_COVID19_Related_Domain_Lure_ImportToSentinel.json,1064132baa5d3e70e2f942e4ac6f1514b26e12ce
Playbooks\HaveIBeenPwned\azuredeploy.json,97227ee2cac9d7e6078534d7975fb12c6d2bc75d
Playbooks\Create-Zendesk-Ticket\azuredeploy.json,5771f870f386d71270b764f311025f1151eeabe1
Playbooks\Post-Message-Teams\azuredeploy.json,bd02381443a063f79b1730119ac64279ae00d133
MasterPlaybooks\Remediation-IP\AzureFirewall-BlockIP-Nested-Remediation\azuredeploy.json,c54d5b8a12d473c3608370397c67cf45c1edd026
Playbooks\Get-SOCActions\azuredeploy.json,e8c0894de779f55c361ad765585ce77a7b66a1bf
Playbooks\CrowdStrike\Playbooks\CrowdStrike_Enrichment_GetDeviceInformation\azuredeploy.json,9d6cb42376228e8f3dd0103be0dcb6904d251655
Playbooks\AzureFirewall\AzureFirewall-BlockIP-addNewRule\azuredeploy.json,272086803dadbdea48f17278a75c1e4d6d4dfb69
Playbooks\Incident-Email-Notification\azuredeploy.json,210069c2646b330d845bf78367fa4b726c8062ab
Playbooks\RecordedFuture_IP_ActCommC2C\RecordedFuture_IP_ActCommC2C_IndicatorProcessor.json,52d72883748ec02e397dc81a447cb971a487ba86
Playbooks\Sync-IncidentsWithJIRA\Sync-Status\azuredeploy.json,628c283de2332bf4041b727c46702a0f98b761ad
Playbooks\RecordedFuture_IP_SCF\RecordedFuture_IP_SCF_IndicatorProcessor.json,68490ca53f0e300e019881841eaa6dbdb42f7dff
Playbooks\Get-MDEStatistics\alert-trigger\azuredeploy.json,f5c15a46608f723fc71596b0727a43b2b7180306
Playbooks\Get-VirusTotalURLReport\incident-trigger\azuredeploy.json,76779feaa6337ac5c1747a6f6f9eabbf241276d5
Playbooks\Export-Incidents-With-Comments\azuredeploy.json,89294f8986cbf3b4f659a925cadbfac85f152dd5
Playbooks\Watchlist-Add-IPToWatchList\alert-trigger\azuredeploy.json,a82f6edf6ffac40b02ae2476acf5a92ef9792e61
Playbooks\Incident-Assignment-Shifts\azuredeploy.json,0feca7222b0d98fd281acaab4c7e150748bb700d
Playbooks\Block-AADUserOrAdmin\alert-trigger\azuredeploy.json,f8e7786d42ae806169e0860f7060ea553653b7f5
Playbooks\IdentityProtection-EmailResponse\azuredeploy.json,947118b6b4e00213e6e8705631c9bd92014e2f94
Playbooks\Get-ASCRecommendations\alert-trigger\azuredeploy.json,34561d1b53a8fe9430dbd1506083312dc27faeeb
Playbooks\IdentityProtection-TeamsBotResponse\azuredeploy.json,39101f050781db6f36cccd8e99c1e609330b9e06
Playbooks\Sync-IncidentCommentToM365DOnUpdate\azuredeploy.json,660f8fe0bf5ad482a33fb53f6439f6525ed4c73b
Playbooks\Ingest-CanaryTokens\azuredeploy.json,e185c1db0a30a3eb5b3c9820b338823e68533c53
Playbooks\Create-Jira-Issue\alert-trigger\azuredeploy.json,9ecb41a620be592bb8450e02bc280ffc496e9384
Playbooks\AzureFirewall\AzureFirewall-BlockIP-addToIPGroup\azuredeploy.json,02abe48feccb3f5656cd49df33eb4647d60d6029
Playbooks\ADX-Health-Playbook\azuredeploy.json,e6730a46d07135edd377fc14d0f8c574255ac0dc
Playbooks\Watchlist-Add-HostToWatchList\incident-trigger\azuredeploy.json,0007830f8e91c006663aaeea986c27e71d246dc2
Playbooks\Restrict-MDEDomain\alert-trigger\azuredeploy.json,0c1642cd7d072142d1ff87ef7660c216ca701fe0
Playbooks\Reset-AADUserPassword\alert-trigger\azuredeploy.json,96bd435137363b7a9163ed9fd22eeb8bdb09689e
Playbooks\Isolate-MDEMachine\alert-trigger\azuredeploy.json,ffdb4c7ebd1f2eadc792e8c8b4b371623bf64a44
Playbooks\Revoke-AADSignInSessions\incident-trigger\azuredeploy.json,ce0060fa1c3c65fd4049c13c4717cae80410d9eb
Playbooks\Create-Jira-Issue\incident-trigger\azuredeploy.json,433acb91868b67a4caee9c3e9c2ec3bc24bfc08a
Playbooks\OktaRawLog\template.json,8c05c7bbaee5b28f64ece598f602294332f6ce04
Playbooks\RecordedFuture_IP_SCF\RecordedFuture_IP_SCF_ImportToDefenderATP.json,51befc825035ef444c76ef4b43118f7ebf279d2d
Playbooks\Guardicore-ThreatIntel\azuredeploy.json,45b001f947f610308987e37c586bd3fb411dda6d
Playbooks\Sync-IncidentsWithJIRA\Add-JiraLinkComment\azuredeploy.json,e1dfe8a6b70acaf16040bb6f8c26917bf57977a1
Playbooks\Restrict-MDEUrl\incident-trigger\azuredeploy.json,39c9a82097422eb1048551bdf4ae71096e69edab
Playbooks\RecordedFuture_Generic_Detection\RecordedFuture_Generic_Detection_IndicatorProcessor.json,dd17e066c9382497a2af43668a818cfa4b4cdeaa
Playbooks\Notify-IncidentClosed\azuredeploy.json,02eb51ee732ed91c1e3263594a3d182de47ca1dc
Playbooks\RecordedFuture_IP_Enrichment\RecordedFuture_IP_Enrichment.json,0f3de4f967a6f49702130dede387933c136bfabc
Playbooks\RecordedFuture_Generic_Detection\RecordedFuture_Generic_Detection_ImportToSentinel.json,4f7c8057bb6725666a480b235e65472b72c2585e
Playbooks\Aggregate-SNOW-tickets\azuredeploy.json,bbe74f5a1aac160c01282aa829862fb646d194f3
Playbooks\Confirm-AADRiskyUser\incident-trigger\azuredeploy.json,b4abebe237f3039c59a6ca6f7506943b382210d3
Playbooks\RecordedFuture_Dom_C2_DNS_Name\RecordedFuture_Dom_C2_DNS_Name_IndicatorProcessor.json,1b3db425601e89b7220b17087d6b26eaee617f00
MasterPlaybooks\Remediation-Host\azuredeploy.json,cf0ad009e3ba8e3f1da0a912c27c6ab61e57ec2f
Playbooks\Send-ConnectorHealthStatus\azuredeploy.json,b986e14af26625a0747948a2afae2d5681264f6c
Playbooks\Isolate-AzureStorageAccount\azuredeploy.json,bc6fe48defa63411a689bc0daa3b4760aed77c6f
Playbooks\Open-ServiceDeskPlusOnDemand-Ticket\azuredeploy.json,b84136b630122a2c2a44f33547fbf318764e42f4
Playbooks\HaveIBeenPwned\Playbooks\HaveIBeenPwned_ResponseOnTeams\azuredeploy.json,667c73a90c08c7bfecbaa6675c3282387116bbff
Playbooks\Create-SNOW-record\alert-trigger\azuredeploy.json,3d921c46723d5d8afc9301aa077156191a38f9fe
Playbooks\RecordedFuture-Block-IPs-and-Domains-on-Microsoft-Defender-for-Endpoint\RecordedFuture-ImportToDefenderEndpoint.json,4a6a167dfff8ed6e1cd4d2913fe94d9af48824d5
Playbooks\Spur-Enrichment\AlertTrigger\azuredeploy.json,9a82e5bcb837d50f1c5ec659f74962a8dcc1f69e
Playbooks\Watchlist-SendSQLData-Watchlist\azuredeploy.json,07cc6c6dee1eecd4609b736435d6bc1b885f3d00
Playbooks\RecordedFuture_IOC_Enrichment\RecordedFuture_IOC_Enrichment.json,f6a5727bc1c37ca1181467945032f07bb13cffc9
Playbooks\AzureFirewall\AzureFirewall-AddIPtoTIAllowList\azuredeploy.json,32be0ae09966d9a6c59e0adf61379ebd58220a24
Playbooks\Restrict-MDEFileHash\alert-trigger\azuredeploy.json,dc030cd57488390822a1c1f594b3db7f0bee99b2
Playbooks\RecordedFuture_IP_ActCommC2C\RecordedFuture_IP_ActCommC2C_ImportToSentinel.json,0677e969f33559eba709bc1e906e8ebcdd4bb654
Playbooks\Send-Teams-adaptive-card-on-incident-creation\azuredeploy.json,8cf3aa67202ed565c43d352bdd98065e19edc2c3
Playbooks\Unisolate-MDEMachine\incident-trigger\azuredeploy.json,19713a85141b74bd1b57dfd3de975389dc31c285
Playbooks\Run-AzureVMPacketCapture\azuredeploy.json,4de68bbc859df4f961505dba63bab847eeb55fd3
sentinel-deployment.config,199916db12542fabee62a799fbd578cd2640de36
Playbooks\Restrict-MDEFileHash\incident-trigger\azuredeploy.json,de7f49b6d57f326e4e76496b8c995a84994a806d
Playbooks\Get-VirusTotalFileInfo\incident-trigger\azuredeploy.json,3543ffe0a8bee4801b09fa903106b9a9f855e4ff
Playbooks\Change-Incident-Severity\incident-trigger\azuredeploy.json,7ce13077ae003cab007a5fdce58dd2a45b4b3642
Playbooks\Comment-RemediationSteps\azuredeploy_alert.json,cd4a66a3559fbde0520c5a06aa6e6b38774ff1ba
Playbooks\Notify-IncidentReopened\azuredeploy.json,5b56c480ff664433d7491a05dc50757bc260daae
Playbooks\Enrich-SentinelIncident-MDATPTVM\azuredeploy.json,7a8998c007a43cfd980e8e580147aece8fd5ee82
Playbooks\Comment-RemediationSteps\azuredeploy_incident.json,725dba9e53722179b1c7aabc0dd28daa458fa6da
Playbooks\Block-IPs-on-MDATP-Using-GraphSecurity\azuredeploy.json,4f483ab2279ff7da5b652bf2e44a536946ad010c
Playbooks\AD4IoT-AutoCloseIncidents\azuredeploy.json,a6d74330bb21d9403333d3b2592130f70d1b41be
Playbooks\Watchlist-Add-IPToWatchList\incident-trigger\azuredeploy.json,4ed2166ee9d8e0462c24f5f51485e31ae31c6612
Playbooks\Sync-Sentinel-Incident-Comments-To-M365Defender\azuredeploy.json,15505cbf003332cc241d93bd0785c7b88d935269
Playbooks\Send-IngestionCostAlert\azuredeploy.json,b4339b6a32320d8c4551adb56c414391d6222bf6
Playbooks\Create-AzureDevOpsTask\incident-trigger\azuredeploy.json,15d2dcb76b28e3655f5421bb7737e305cc3d444e
Playbooks\CrowdStrike\Playbooks\CrowdStrike_Base\azuredeploy.json,d6a2de051b5db3701677d241fe8bd4484a6b8049
Playbooks\Block-AADUser\alert-trigger\azuredeploy.json,893487e4717411b1159995c5a991581c25be913f
Playbooks\Watchlist-Add-HostToWatchList\alert-trigger\azuredeploy.json,2e1851d8ff4adc4c3043f9b9f83d7799b66c57f3
Playbooks\Post-Message-Slack\alert-trigger\azuredeploy.json,636cfcdb562cc813395218361cee58a431608406
Playbooks\Get-Microsoft-Covid19-Indicators\C19IndicatorProcessor.json,4f09fd235260412bac8dea58ec04c9e79ec5622b
Playbooks\RecordedFuture_C2_Malware_Detect\RecordedFuture_C2_Malware_Detection_ImportToSentinel.json,baedd4e100c00c8bcb5ae8801b93a7473492e991
Playbooks\Ingest-Prisma\azuredeploy.json,01c636f3f93757760647747122839ca6fe7af130
Playbooks\HaveIBeenPwned\HaveIBeenPwnedCustomConnector\azuredeploy.json,b1851cdad7604d71439d9e0a5d0490ef0ef090d6
Playbooks\M365-Security-Posture\azuredeploy.json,d0acbe49410d7db23569272ee4779cb449e0b2a7
Playbooks\RecordedFuture_C2_Malware_Detect\RecordedFuture_C2_Malware_Detection_IndicatorProcessor.json,81fac7979403cc18fc2b0995c2df64074857135c
Playbooks\Change-Incident-Severity\alert-trigger\azuredeploy.json,b92ca1c9ab655686fc4d8fb6cf883b81e248d552
Playbooks\RecordedFuture_Dom_C2_DNS_Name\RecordedFuture_Dom_C2_DNS_Name_ImportToSentinel.json,c870274bda783798597223d6ad96250d6e656b56
Playbooks\Spur-Enrichment\IncidentTrigger\azuredeploy.json,29c66ae6a88dc5a2a191dabf1d9a68d519a6b1c1
Playbooks\AD4IoT-NewAssetServiceNowTicket\azuredeploy.json,07be7ce9f32ce08f9c9eb562f6d30cc4163e8c7d
Playbooks\Jira-CreateAndUpdateIssue\azuredeploy.json,a17b0b64627725299a1d2bdb8f7a0e82d6c97f12
Playbooks\HaveIBeenPwned-Email\azuredeploy.json,9347fd5ed9119956a0ab88e1381f315787a7d167
Playbooks\Restrict-MDEDomain\incident-trigger\azuredeploy.json,9917669207f5c01a1b8d0307c30dc0c306f8dfbd
Playbooks\Post-Message-Teams\alert-trigger\azuredeploy.json,29468768f4a48ba5694eb349cd5448d7b3cc8e41
Playbooks\Close-Incident-MCAS\azuredeploy.json,be30e01e9ea114d9eeff9d57f750e85427ff1870
Playbooks\Enrich-SentinelIncident-GreyNoiseCommunity-IP\azuredeploy.json,31bf892af283e6026a712f323b47a32794b99082
Playbooks\Get-GeoFromIpAndTagIncident\customConnector\azuredeploy.json,3da268ec65aa3dee5468fd90bae3265e78ce4127
Playbooks\Confirm-AADRiskyUser\alert-trigger\azuredeploy.json,b4cb90b24fbc49ea1aee1fc956e951d4694a5bd1
Playbooks\.template\incident-trigger\azuredeploy.json,41fbc0180f1f1ceebf94247faea7dd0894910788
Playbooks\Create-AzureDevOpsTask\alert-trigger\azuredeploy.json,8b7eca9aa8e33a2f005101eda28a61abe7e52b49
Playbooks\AS-Slack-Integration\azuredeploy.json,293b4927da633cef2acf03b26e362796c394aefb
Playbooks\Notify-IncidentSeverityChanged\azuredeploy.json,97029075512b3c5ac083089c233006926bfc955e
