Defense,DefenseDescription,DefenseName,Technique,TechniqueName,TechniqueDescription
DTE0007,"Defenders can detect adversaries attempting to exfiltrate over web services by implementing behavioral analytics. This can detect a system connecting to these web services that it might not normally connect to, or during a time when it normally doesn't do so.","DTE0007 - Behavioral Analytics",T1567,"T1567 - Exfiltration Over Web Service","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1599,"T1599 - Network Boundary Bridging","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0017,"A defender can install remote access tools on decoy systems across the network to see if the adversary uses these tools for command and control.","DTE0017 - Decoy System",T1219,"T1219 - Remote Access Software","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0017,"A defender could implement a decoy system running a remote service (such as telnet, SSH, and VNC) and see if the adversary attempts to login to the service.","DTE0017 - Decoy System",T1021,"T1021 - Remote Services","In an adversary engagement scenario, there is an opportunity to introduce decoy systems that can influence an adversary's behavior or allow you to observe how they perform a specific task."
DTE0034,"Defenders can monitor trusted partner access, detecting unauthorized activity.","DTE0034 - System Activity Monitoring",T1199,"T1199 - Trusted Relationship","When authorized behavior is defined and limited for trusted partners, adversaries exploiting trust relationships are easier to detect."
DTE0033,"A defender can detect user accounts created outside the acceptable process.","DTE0033 - Standard Operating Procedure",T1136,"T1136 - Create Account","There is an opportunity to create a detection with a moderately high probability of success."
DTE0007,"A defender can implement behavior analytics which would indicate activity on a system executing commands in non-standard ways. This could indicate malicious activity.","DTE0007 - Behavioral Analytics",T1202,"T1202 - Indirect Command Execution","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1571,"T1571 - Non-Standard Port","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0034,"A defender could monitor logs off-system in order to detect adversary activities even when logs have been deleted on the system.","DTE0034 - System Activity Monitoring",T1556,"T1556 - Modify Authentication Process","There is an opportunity to monitor logs on a system for common ways adversaries behave and detect on that activity."
DTE0001,"A defender can configure system users to not have admin access in order to ensure privilege escalation requires exploitation.","DTE0001 - Admin Access",T1068,"T1068 - Exploitation for Privilege Escalation","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0036,"A defender can manipulate the output of system commands issued to alter information the adversary might use during their activity.","DTE0036 - Software Manipulation",T1059,"T1059 - Command and Scripting Interpreter","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0004,"A defender can stand up decoy systems or processes using a wide array of applications. These applications can be hardened to test an adversary's capabilities, or easily exploited to entice an adversary to move in that direction.","DTE0004 - Application Diversity",T1211,"T1211 - Exploitation for Defense Evasion","There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations."
DTE0011,"A defender can deploy decoy content to see if an adversary attempts to manipulate data on the system or connected storage devices.","DTE0011 - Decoy Content",T1565,"T1565 - Data Manipulation","In an adversary engagement scenario, there is an opportunity to observe how an adversary might manipulate data on a system."
DTE0011,"A defender can seed decoy content into network service configuration files which may be consumed during an adversary's recon activity.","DTE0011 - Decoy Content",T1590,"T1590 - Gather Victim Network Information","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1595,"T1595 - Active Scanning","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0005,"A defender can backup system information on a regular basis and send it to an alternate location for storage.","DTE0005 - Backup and Recovery",T1602,"T1602 - Data from Configuration Repository","Although adversaries may attempt to delete or change important artifacts, there may be a window of time to retrieve them before that happens."
DTE0036,"A defender might alter APIs to expose data that is being archived, encoded, and/or encrypted. This can also be used to corrupt the action so the data isn't usable.","DTE0036 - Software Manipulation",T1560,"T1560 - Archive Collected Data","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0036,"A defender could alter the output from account enumeration commands to hide accounts or show the presence of accounts which do not exist.","DTE0036 - Software Manipulation",T1087,"T1087 - Account Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0032,"A defender can choose to harden or weaken security controls on a system to affect an adversaries ability to modify or create system processes.","DTE0032 - Security Controls",T1543,"T1543 - Create or Modify System Process","There is an opportunity to use security controls to stop or allow an adversary's activity."
DTE0020,"A defender can physically remove or disable a system's web camera and remove any video capture applications so that video capture is not possible.","DTE0020 - Hardware Manipulation",T1125,"T1125 - Video Capture","There is an opportunity to alter the system to prevent an adversary from capturing video content."
DTE0031,"Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity.","DTE0031 - Protocol Decoder",T1132,"T1132 - Data Encoding","There is an opportunity to reveal data that the adversary has tried to protect from defenders"
DTE0013,"A defender could use a decoy or set of decoys with different network addresses, operating systems, web browsers, language settings, and etc. to determine if every system that visits a compromised website receives its malicious payload or only specific systems receive it.","DTE0013 - Decoy Diversity",T1189,"T1189 - Drive-by Compromise","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0017,"A defender can configure a decoy system with limited restrictions to see if the adversary creates or alters scheduled tasks to launch their malware.","DTE0017 - Decoy System",T1053,"T1053 - Scheduled Task/Job","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0023,"A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do.","DTE0023 - Migrate Attack Vector",T1092,"T1092 - Communication Through Removable Media","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0005,"A defender can ensure data is backed up on a regular basis and backups are stored offline from the system. If an adversary is detected destroying or altering data, the defender could selectively restore data from backup to see how the adversary reacts.","DTE0005 - Backup and Recovery",T1486,"T1486 - Data Encrypted for Impact","There is an opportunity to test what an adversary might do if encrypted data is selectively replaced by the defender."
DTE0007,"Defenders can detect adversaries attempting to exfiltrate to a cloud account. This can detect a system connecting to these cloud providers that it might not normally connect to, not using an account that it normally does, or during a time when it normally doesn't do so.","DTE0007 - Behavioral Analytics",T1537,"T1537 - Transfer Data to Cloud Account","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0003,"A defender can monitor and analyze operating system functions calls for detection and alerting.","DTE0003 - API Monitoring",T1569,"T1569 - System Services","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0007,"A defender could use implement behavioral analytics that detects common access token manipulation techniques and allow or deny these actions.","DTE0007 - Behavioral Analytics",T1134,"T1134 - Access Token Manipulation","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0007,"A defender could develop behavioral analytics to detect the examination of commonly used guardrails such as inspection of VM artifacts, enumeration of connected storage and/or devices, domain information, etc.","DTE0007 - Behavioral Analytics",T1480,"T1480 - Execution Guardrails","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0011,"A defender can deploy a decoy website to support a deception operation or piece of the organization's deception strategy.","DTE0011 - Decoy Content",T1593,"T1593 - Search Open Websites/Domains","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0011,"A defender can introduce video content designed to make the adversary believe that their capture efforts are working.","DTE0011 - Decoy Content",T1125,"T1125 - Video Capture","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0034,"A defender could monitor logs off-system in order to detect adversary activities even when logs have been deleted on the system.","DTE0034 - System Activity Monitoring",T1602,"T1602 - Data from Configuration Repository","There is an opportunity to monitor logs on a system for common ways adversaries behave and detect on that activity."
DTE0034,"A defender can implement monitoring to alert if a user account is altered outside normal business hours, from remote locations, etc.","DTE0034 - System Activity Monitoring",T1098,"T1098 - Account Manipulation","There is an opportunity to create a detection with a moderately high probability of success."
DTE0001,"A defender could remove admin access in an attempt to force an adversary to perform privilege escalation to install a rootkit.","DTE0001 - Admin Access",T1014,"T1014 - Rootkit","There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs."
DTE0011,"A defender can display decoy content on the screen which may be of interest to an adversary in an attempt to elicit further engagement.","DTE0011 - Decoy Content",T1113,"T1113 - Screen Capture","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0036,"If the defender knows the specific regions an adversary is targeting, they can alter the output of commands which return systems times to return data consistent with what an adversary would want to see.","DTE0036 - Software Manipulation",T1124,"T1124 - System Time Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0004,"A defender can stand up decoy systems or processes using a wide array of applications. These applications can be hardened to test an adversary's capabilities, or easily exploited to entice an adversary to move in that direction.","DTE0004 - Application Diversity",T1480,"T1480 - Execution Guardrails","There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations."
DTE0036,"A defender can impact an adversary's activity by manipulating or replacing the commands commonly used to display users on a system.","DTE0036 - Software Manipulation",T1033,"T1033 - System Owner/User Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0017,"A defender can add decoy systems to the network so an adversary can have a variety of network services available to them. The defender can observe which network services the adversary attempts to use.","DTE0017 - Decoy System",T1046,"T1046 - Network Service Scanning","There is an opportunity to study the adversary and collect first-hand observations about them and their tools."
DTE0017,"A defender can setup a decoy VPN server and see if an adversary attempts to use valid account to authenticate to it.","DTE0017 - Decoy System",T1133,"T1133 - External Remote Services","There is an opportunity to determine if an adversary already has valid account credentials for your network and if they are trying to use them access your network via remote services."
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1205,"T1205 - Traffic Signaling","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0034,"A defender can monitor for signs that security tools and other controls are being tampered with by an adversary.","DTE0034 - System Activity Monitoring",T1562,"T1562 - Impair Defenses","There is an opportunity to create a detection with a moderately high probability of success."
DTE0030,"A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc.","DTE0030 - Pocket Litter",T1213,"T1213 - Data from Information Repositories","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0025,"A defender can setup networks that use Kerberos authentication and systems that authenticate using it. This gives you a chance to see if an adversary has the capacity to steal or forge Kerberos tickets for lateral movement.","DTE0025 - Network Diversity",T1558,"T1558 - Steal or Forge Kerberos Tickets","There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment."
DTE0033,"A defender can define operating procedures for adding services and alert when they are not followed.","DTE0033 - Standard Operating Procedure",T1569,"T1569 - System Services","There is an opportunity to create a detection with a moderately high probability of success."
DTE0030,"A defender can stage a variety of pocket litter files with known hashes around a system. Detections can be put in place if these hashes are seen moving around a system or out of the network.","DTE0030 - Pocket Litter",T1074,"T1074 - Data Staged","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0008,"A defender can perform web browsing tasks on a decoy system over time to give the adversary a robust set of browser data that looks realistic and could potentially be used during adversary engagement.","DTE0008 - Burn-In",T1185,"T1185 - Man in the Browser","In an adversary engagement scenario, there is an opportunity to prepare a user's browser data (sessions, cookies, etc.) so it looks authentic and fully populated."
DTE0034,"A defender can collect system activity and detect commands that interact with firmware. This can speed up the recovery of a system.","DTE0034 - System Activity Monitoring",T1495,"T1495 - Firmware Corruption","There is an opportunity to create a detection with a moderately high probability of success."
DTE0026,"A defender can configure network devices to analyze network traffic, detect a potential DoS attack, and make appropriate adjustments to mitigate the situation.","DTE0026 - Network Manipulation",T1499,"T1499 - Endpoint Denial of Service","There is an opportunity to alter the network configuration in order to disrupt an adversary who is trying to saturate the network or a system via denial of service."
DTE0013,"A defender can add decoy systems to the network so an adversary can have a variety of network services available to them. The defender can observe which network services the adversary attempts to use.","DTE0013 - Decoy Diversity",T1601,"T1601 - Modify System Image","There is an opportunity to discover who or what is being targeting by an adversary."
DTE0031,"Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity.","DTE0031 - Protocol Decoder",T1020,"T1020 - Automated Exfiltration","There is an opportunity to reveal data that the adversary has tried to protect from defenders"
DTE0027,"The defender can implement network monitoring for and alert on anomalous traffic patterns, large or unexpected data transfers, and other activity that may reveal the presence of an adversary.","DTE0027 - Network Monitoring",T1589,"T1589 - Gather Victim Identity Information","There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary."
DTE0011,"A defender can feed decoy data to an adversary that is using a key-logger or other tool, so as to shape the encounter.","DTE0011 - Decoy Content",T1056,"T1056 - Input Capture","There is an opportunity to feed content to an adversary to influence their behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0036,"A defender can manipulate commands on system so that an adversary is unable to hide artifacts in ways they normally would.","DTE0036 - Software Manipulation",T1564,"T1564 - Hide Artifacts","There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs."
DTE0012,"A defender can plant decoy credentials across an array of locations to increase the chances of an adversary finding and using them.","DTE0012 - Decoy Credentials",T1555,"T1555 - Credentials from Password Stores","In order to prolong an adversary engagement operation or enable detections, there is an opportunity to introduce credentials to an adversary that you want them to collect and use."
DTE0003,"A defender can monitor and analyze operating system functions calls for detection and alerting.","DTE0003 - API Monitoring",T1553,"T1553 - Subvert Trust Controls","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0017,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity.","DTE0017 - Decoy System",T1592,"T1592 - Gather Victim Host Information","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0034,"A defender can monitor websites for unplanned content changes and generate alerts when activity is detected.","DTE0034 - System Activity Monitoring",T1491,"T1491 - Defacement","There is an opportunity to detect an adversary who modifies website content (internally or externally) by monitoring for unauthorized changes to websites."
DTE0036,"A defender can modify system calls to break communications, route things to decoy systems, prevent full execution, etc.","DTE0036 - Software Manipulation",T1559,"T1559 - Inter-Process Communication","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0017,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity.","DTE0017 - Decoy System",T1595,"T1595 - Active Scanning","There is an opportunity to introduce decoy information, users, systems, etc. to influence an adversary's future actions."
DTE0011,"A defender can insert decoy content into external sources or resources that adversaries may leverage for intelligence gathering.","DTE0011 - Decoy Content",T1596,"T1596 - Search Open Technical Databases","There is an opportunity to introduce data to an adversary to influence their future behaviors."
DTE0003,"A defender can monitor and analyze operating system functions calls for detection and alerting.","DTE0003 - API Monitoring",T1007,"T1007 - System Service Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0023,"A defender can move suspicious emails to a decoy system prior to opening and examining the email.","DTE0023 - Migrate Attack Vector",T1566,"T1566 - Phishing","A phishing email can be detected and moved from the intended recipient to a decoy account for reading and execution."
DTE0033,"A defender can define operating procedures for interacting with cloud services and alert when they are not followed.","DTE0033 - Standard Operating Procedure",T1580,"T1580 - Cloud Infrastructure Discovery","There is an opportunity to detect an adversary's activity if they are unable to follow a company's documented standard operating procedures."
DTE0030,"A defender can stage a variety of pocket litter files on an attached storage space. This data may include topics that align to a persona, topics an adversary is interested in, etc.","DTE0030 - Pocket Litter",T1039,"T1039 - Data from Network Shared Drive","In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment."
DTE0007,"A defender can detect the use of external web services for communication relay. By implementing behavior analytics anomalies in what domains a system is communicating with, how frequently, and at what times, a defender can potentially identify malicious traffic.","DTE0007 - Behavioral Analytics",T1102,"T1102 - Web Service","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
DTE0017,"A defender can deploy a virtual decoy system to see if the adversary recognizes the virtualization and reacts.","DTE0017 - Decoy System",T1497,"T1497 - Virtualization/Sandbox Evasion","There is an opportunity to deploy virtual decoy systems and see if an adversary discovers or reacts to the virtualization."
DTE0035,"A program to train and exercise the anti-phishing skills of users can create ""Human Sensors"" that help detect phishing attacks.","DTE0035 - User Training",T1586,"T1586 - Compromise Accounts","Users trained and encouraged to report phishing can detect attacks that other defenses do not."
DTE0036,"A defender can modify commands such that the true list of running processes is not revealed, hiding necessary active defense processes from the adversary.","DTE0036 - Software Manipulation",T1057,"T1057 - Process Discovery","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0034,"A defender can detect the presence of an adversary by monitoring for processes that are created by commands and/or scripts they execute on a system.","DTE0034 - System Activity Monitoring",T1059,"T1059 - Command and Scripting Interpreter","There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access."
DTE0020,"A defender can physically remove or disable a system's microphone and web camera so that audio capture is not possible.","DTE0020 - Hardware Manipulation",T1123,"T1123 - Audio Capture","There is an opportunity to alter the system to prevent an adversary from capturing audio content."
DTE0034,"A defender can detect the presence of an adversary by monitoring for processes that are created by commands and/or scripts they execute on a system.","DTE0034 - System Activity Monitoring",T1127,"T1127 - Trusted Developer Utilities Proxy Execution","There is an opportunity to create a detection with a moderately high probability of success."
DTE0032,"A defender can use Trusted Platform Module technology and a secure boot process to prevent system integrity from being compromised.","DTE0032 - Security Controls",T1542,"T1542 - Pre-OS Boot","There is an opportunity to use security controls on systems in order to affect the success of an adversary."
DTE0007,"A defender can detect adversaries leveraging unused cloud regions. By implementing behavioral analytics for cloud hosts interacting with the network from regions that are not normal, one can detect potential malicious activity.","DTE0007 - Behavioral Analytics",T1535,"T1535 - Unused/Unsupported Cloud Regions","There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors."
