DOS,DOSDescription,DPR,DPRDescription,DTE,DTEDescription,DUC,DUCDescription
,,,,DTE0010,,DUC0187,"During an adversary engagement operation, a defender can utilize decoy accounts to provide content to an adversary and encourage additional activity."
,,,,DTE0011,,DUC0190,"A defender can utilize decoy network shares to provide content that could be used by the adversary."
,,,,DTE0021,,DUC0245,"A defender can use information about how an identified dynamic resolution works to hunt for previously undetected adversary resolutions that work in the same manner."
DOS0246,"An adversary may attempt to dynamically determine the C2 address to communicate with. This gives a defender an opportunity to discover additional infrastructure.",,,DTE0026,,,
,,,,DTE0007,,DUC0239,"Defenders can detect adversaries attempting to exfiltrate to a cloud account. This can detect a system connecting to these cloud providers that it might not normally connect to, not using an account that it normally does, or during a time when it normally doesn't do so."
,,,,DTE0021,,DUC0259,"A defender can use a decoy persona to engage with online communities or to purchase/download information about their organization and review for exposure."
,,,,DTE0035,,DUC0236,"A program to train users to report emails that they did not send but appear in their sent folder."
,,,,DTE0011,,DUC0234,"A defender can plant files, registry entries, software, processes, etc. to make a system look like a VM when it is not."
,,DPR0024,"Create user credentials for a decoy account, such as 'User ABC'. Store those credentials in the browser and other places on the system to see if an adversary attempts to harvest them.",DTE0012,,,
DOS0249,"There is an opportunity to reveal data that the adversary has tried to protect from defenders",,,DTE0031,,,
DOS0005,"There is an opportunity to deploy a tripwire that triggers an alert when an adversary touches a network resource or uses a specific technique.",,,DTE0034,,,
,,,,DTE0011,,DUC0082,"A defender can feed decoy data to an adversary that is using a key-logger or other tool, so as to shape the encounter."
,,,,DTE0036,,DUC0189,"If the defender knows the specific regions an adversary is targeting, they can alter the output of commands which return systems times to return data consistent with what an adversary would want to see."
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0219,"A defender can stand up decoy systems or processes using a wide array of applications. These applications can be hardened to test an adversary's capabilities, or easily exploited to entice an adversary to move in that direction."
DOS0069,"There is an opportunity to utilize known good copies of registry information and restore it if an adversary makes any changes.",,,DTE0006,,,
,,DPR0048,"Capture all network device (router, switches, proxy, etc.) logs on a decoy network and send those logs to a central collection location.",DTE0027,,,
,,,,DTE0030,,DUC0099,"A defender can stage a variety of pocket litter files in order to determine if an adversary is interested in specific file types, subjects, etc."
,,DPR0004,"Hook the Win32 NetUserChangePassword() and modify it such that the new password is different from the one provided. The data passed into the function is encrypted along with the modified new password, then logged so a defender can get alerted about the change as well as decrypt the new password for use.",DTE0036,,,
,,DPR0008,"Install Anti-virus or other end-point detection tools on systems to see if an adversary takes note of them and if so, how they react.",DTE0004,"DTE0004 - Application Diversity",,
,,DPR0009,"Backup data on public facing websites and retain the files offline. In the event of data damage or loss, restore the data from backup.",DTE0005,,,
,,,,DTE0007,,DUC0237,"A defender can detect adversaries leveraging unused cloud regions. By implementing behavioral analytics for cloud hosts interacting with the network from regions that are not normal, one can detect potential malicious activity."
,,,,DTE0011,,DUC0114,"A defender can introduce video content designed to make the adversary believe that their capture efforts are working."
,,,,DTE0011,,DUC0133,"A defender can deploy decoy content to see if an adversary attempts to manipulate data on the system or connected storage devices."
,,,,DTE0001,"DTE0001 - Admin Access",DUC0055,"A defender can configure system users to not have admin access in order to ensure privilege escalation requires exploitation."
DOS0024,"There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.",,,DTE0032,,,
,,,,DTE0032,,DUC0138,"A defender can harden accounts which have admin access and also restrict any users from being able to connect remotely using WMI."
,,,,DTE0036,,DUC0192,"A defender can use API calls associated with direct volume access to either see what activity and data is being passed through, or to influence how that API call functions."
,,,,DTE0026,,DUC0164,"A defender could block traffic to known anonymity networks and C2 infrastructure through the use of network allow and block lists."
,,DPR0023,"Seed a file system with content that is of no value to the company but reinforces the legitimacy of the system if viewed by an adversary.",DTE0011,,,
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0004,"DTE0004 - Application Diversity",,
DOS0051,"There is an opportunity to utilize confirmed good copies of login scripts and restoring on a frequent basis to prevent an adversary from using them to launch malware on a recurring basis.",,,DTE0006,,,
DOS0028,"There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.",,,DTE0011,"DTE0011 - Decoy Content",,
,,,,DTE0017,,DUC0034,"A defender can use a decoy system to see if an adversary exploits vulnerable software in order to compromise the system."
,,,,DTE0017,,DUC0134,"A defender can deploy a decoy system to see if an adversary attempts to shutdown or reboot the device."
,,,,DTE0023,,DUC0013,"A defender can connect a suspect removeable media device to a decoy system and see what happens when autorun is enabled."
,,,,DTE0007,,DUC0220,"A defender can look for known files in non-standard locations or files that are creating anomalous processes or connections."
DOS0002,"There is an opportunity to discover who or what is being targeting by an adversary.",,,DTE0015,"DTE0015 - Decoy Persona",,
,,,,DTE0034,,DUC0033,"A defender can detect the presence of an adversary by monitoring for processes that are created by commands and/or scripts they execute on a system."
,,,,DTE0014,,DUC0231,"A defender can create a decoy network that contains systems which are easily discoverable and appealing to an adversary."
,,,,DTE0017,,DUC0225,"A defender can have decoy systems that are easy to gain access to and have Office installed. The decoy system can be monitored to see if an adversary attempts to inject anything malicious into Office templates."
,,,,DTE0011,,DUC0076,"A defender can create entries in a decoy system's ARP cache, hosts file, etc. to add to the legitimacy of the device."
DOS0095,"There is an opportunity to detect an adversary's activity if they are unable to follow a company's documented standard operating procedures.",,,DTE0033,,,
DOS0026,"In an adversary engagement operation, there is an opportunity to impact what an adversary sees when they execute commands on a system.",,,DTE0036,"DTE0036 - Software Manipulation",,
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0085,"A defender can use a variety of applications on a decoy system or in a decoy network to see what an adversary tries to exploit in order to acquire credentials."
,,,,DTE0017,,DUC0223,"A defender can install remote access tools on decoy systems across the network to see if the adversary uses these tools for command and control."
,,,,DTE0022,,DUC0010,"A defender can install any suspect hardware on an isolated system and monitor for non-standard behaviors."
DOS0013,"There is an opportunity to study removable media to see if it's infected and what happens when it is plugged into a decoy system or network.",,,DTE0023,"DTE0023 - Migrate Attack Vector",,
,,DPR0059,"Ensure that systems capture and retain common system level activity artifacts that might be produced.",DTE0034,,,
,,,,DTE0036,,DUC0186,"A defender could alter the output from account enumeration commands to hide accounts or show the presence of accounts which do not exist."
,,DPR0034,"Take malware received via spearphishing and detonate it on an isolated system in order to collect execution and network communication artifacts.",DTE0018,,,
DOS0085,"In an adversary engagement scenario, there is an opportunity to use a variety of applications on a system to see what an adversary tries to exploit in order to acquire credentials.",,,DTE0004,"DTE0004 - Application Diversity",,
DOS0002,"There is an opportunity to discover who or what is being targeting by an adversary.",,,DTE0021,"DTE0021 - Hunting",,
DOS0130,"There is an opportunity to alter the network configuration in order to disrupt an adversary who is trying to saturate the network or a system via denial of service.",,,DTE0026,"DTE0026 - Network Manipulation",,
,,,,DTE0026,,DUC0126,"A defender can configure network devices to analyze network traffic, detect a potential DoS attack, and make appropriate adjustments to mitigate the situation."
,,,,DTE0036,,DUC0030,"A defender can modify system calls to break communications, route things to decoy systems, prevent full execution, etc."
DOS0093,"There is an opportunity to seed systems with decoy cookies that will lead adversaries to decoy targets.",,,DTE0008,,,
DOS0245,"If you can determine how an adversary is dynamically resolving command and control (C2) addresses, there is an opportunity to use that information to identify additional adversary infrastructure or tools.",,,DTE0021,,,
,,,,DTE0036,,DUC0029,"A defender can modify the functionality of commands used to delete files so that the files are copied to a safe location before they are deleted."
,,DPR0003,"Hook the Win32 Sleep() function so that it always performs a Sleep(1) instead of the intended duration. This can increase the speed at which dynamic analysis can be performed when a normal malicious file sleeps for long periods before attempting additional capabilities.",DTE0036,,,
,,,,DTE0001,"DTE0001 - Admin Access",DUC0232,"A defender can restrict admin access to force an adversary to escalate privileges in order to delete logs and captured artifacts from a system."
DOS0058,"Although adversaries may attempt to delete or change important artifacts, there may be a window of time to retrieve them before that happens.",,,DTE0005,"DTE0005 - Backup and Recovery",,
,,,,DTE0023,,DUC0211,"A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do."
DOS0024,"There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.",,,DTE0029,,,
DOS0131,"There is an opportunity to detect the presence of an adversary by identifying and alerting on anomalous behaviors.",,,DTE0035,,,
,,,,DTE0011,,DUC0073,"A defender can create decoy registry objects and monitor access to them using Windows Registry Auditing."
,,,,DTE0010,,DUC0004,"A defender can create decoy user accounts which are used to make a decoy system or network look more realistic."
,,,,DTE0029,,DUC0211,"A defender who intercepts removable media being used by an adversary for relaying commands can plug the removal media into a decoy system or network to watch what commands are being relayed and what the adversary continues to do."
,,,,DTE0035,,DUC0091,"A program to train users on how to recognize and report third-party applications requesting authorization can create ""Human Sensors"" that help detect application token theft."
,,DPR0015,"Use behavioral analytics to identify abnormal system processes being used to launch a different process.",DTE0007,,,
,,,,DTE0017,,DUC0026,"A defender can configure a decoy system with limited restrictions to see if the adversary creates or alters scheduled tasks to launch their malware."
DOS0115,"There is an opportunity to alter the system to prevent an adversary from capturing video content.",,,DTE0020,,,
,,,,DTE0016,,DUC0182,"A defender can run decoy processes on a system to entice an adversary."
,,DPR0038,"Remove the Wi-Fi hardware from a device to prevent an adversary from enabling and using a Wi-Fi connection.",DTE0020,,,
DOS0252,"There is an opportunity to gain visibility into newly created or previously unknown adversary infrastructure",,,DTE0021,,,
,,DPR0051,"Configure controls (such as AutoRun) which would require an adversary to take additional steps when leveraging a peripheral device to execute their tools.",DTE0029,,,
DOS0015,"There is an opportunity to use tools and controls to stop an adversary's activity.",,,DTE0006,"DTE0006 - Baseline",,
,,,,DTE0031,,DUC0249,"Defenders can develop protocol decoders that can decrypt network capture data and expose an adversary's command and control traffic as well as their exfiltration activity."
,,,,DTE0036,,DUC0028,"A defender can manipulate the output of system commands issued to alter information the adversary might use during their activity."
,,,,DTE0005,,DUC0058,"A defender can backup system information on a regular basis and send it to an alternate location for storage."
,,DPR0016,"Configure a decoy system and allow it to be used in an manner such that it collects activity logs and appears to be to be a legitimate system.",DTE0008,,,
,,DPR0026,"Deploy multiple decoy systems, each with a unique network fingerprint (ports, services, connections, etc.) in order to provide an adversary a wide range of targets.",DTE0013,,,
DOS0029,"There is an opportunity to block an adversary's intended action and force them to reveal additional TTPs.",,,DTE0001,"DTE0001 - Admin Access",,
,,DPR0064,"Modify the contents of an email message to maintain continuity when it is used for adversary engagement purposes.",DTE0019,,,
,,DPR0045,"Add a kill switch to a decoy network that can be used to shutdown all network communication if an adversary takes an action that is out of the desired scope.",DTE0026,,,
,,,,DTE0033,,DUC0047,"A defender can detect user accounts created outside the acceptable process."
,,,,DTE0033,,DUC0095,"A defender can implement a standard operating procedure which restricts users from using 2FA or MFA more than once without another process being invoked."
,,,,DTE0017,,DUC0199,"A defender could implement a decoy system running a remote service (such as telnet, SSH, and VNC) and see if the adversary attempts to login to the service."
,,,,DTE0032,,DUC0048,"A defender can block execution of untrusted software."
,,,,DTE0011,,DUC0184,"A defender can utilize decoy files and directories to provide content that could be used by the adversary."
,,,,DTE0017,,DUC0097,"A defender can deploy a decoy software deployment tool within an adversary engagement environment to see how the adversary attempts to use the device during their activity."
,,DPR0036,"Modify the destination of inbound email to facilitate the collection of inbound spearphishing messages.",DTE0019,,,
,,,,DTE0026,,DUC0158,"A defender can block certain adversary used protocols used between systems in order to prevent lateral tool transfer."
,,,,DTE0030,,DUC0165,"A defender can stage a variety of pocket litter files to bolster the legitimacy of the local system."
,,,,DTE0026,,DUC0246,"A defender can block primary C2 domains and IPs to determine if the malware or adversary has the ability to reach out to additional infrastructure."
,,,,DTE0034,,DUC0011,"A defender can monitor systems for the use of removeable media."
,,,,DTE0034,,DUC0065,"A defender could monitor for directory service changes using Windows event logs. This can alert to the presence of an adversary in the network."
,,,,DTE0036,,DUC0203,"A defender can impact an adversary's activity by manipulating or replacing the commands commonly used to display users on a system."
,,,,DTE0021,,DUC0252,"A defender could use information about an adversary's TTPs in order to monitor for new adversary infrastructure and files."
,,,,DTE0026,,DUC0152,"A defender could allow or deny outbound SMB requests from a network to affect the success of forced authentication. Alternative a defender could redirect outbound SMB requests to a decoy system to thwart attempted credential theft"
,,,,DTE0036,,DUC0242,"A defender might alter APIs to expose data that is being archived, encoded, and/or encrypted. This can also be used to corrupt the action so the data isn't usable."
,,,,DTE0014,,DUC0232,"A defender can restrict admin access to force an adversary to escalate privileges in order to delete logs and captured artifacts from a system."
DOS0140,"There is an opportunity to use security controls on systems in order to affect the success of an adversary.",,,DTE0032,,,
,,,,DTE0001,"DTE0001 - Admin Access",DUC0137,"A defender can remove admin access from the local user to prevent an adversary from being able to utilize WMI."
,,,,DTE0006,,DUC0051,"A defender can revert a system to a verified baseline a frequent, recurring basis in order to remove adversary persistence mechanisms."
,,,,DTE0016,,DUC0080,"The defender can run processes on legitimate systems that create network artifacts for an adversary to collect. These artifacts may contain data such as credentials, hostnames, etc., that would lead an adversary to target decoy systems and networks."
,,,,DTE0007,,DUC0218,"A defender can implement behavioral analytics which would indicate activity on or against a domain controller. Activity which is out of sync with scheduled domain tasks, or results in an uptick in traffic with a particular system on the network could indicate malicious activity."
,,DPR0013,"Use behavioral analytics to detect Living Off The Land Binaries (LOLBins) being used to download and execute a file.",DTE0007,,,
,,,,DTE0034,,DUC0072,"A defender can monitor for user login activity that may reveal an adversary leveraging brute force techniques."
,,DPR0012,"Maintain a verified list of group policies enforced on a system and use that copy if an adversary attempts to deviate from the baseline.",DTE0006,,,
,,DPR0049,"Collect PCAP on a decoy network to improve visibility into an adversary's network activity.",DTE0028,,,
,,,,DTE0032,,DUC0142,"A defender could use a host-based tool in order to have an effect on the success of an adversary abusing elevation control mechanisms."
,,DPR0057,"Require approvals and waivers for users to make changes to their system which requires administrative access. Any changes not made through this process are suspect and immediately investigated as malicious activity.",DTE0033,,,
,,,,DTE0007,,DUC0129,"By looking for anomalies in host resource consumption and alerting on suspect activity, the defender can detect the use of system resources at odd times or at odd levels."
,,DPR0025,"Use a Windows Virtual Machine (VM) and a Mac VM to visit a malicious website and note any differences in how the site functions based on the client that was used.",DTE0013,,,
DOS0164,"There is an opportunity to block an adversary that is seeking to use a proxied connection.",,,DTE0026,,,
DOS0165,"In an adversary engagement scenario, there is an opportunity to add legitimacy by ensuring the local system is with fully populated with content.",,,DTE0030,,,
,,DPR0058,"Create a development library that all users must leverage in order to interact with any hosted databases. This library modifies queries to look difficult to write. Any queries made without the library will now be obvious to detect and are immediately investigated as malicious activity.",DTE0033,,,
,,,,DTE0034,,DUC0123,"A defender can monitor websites for unplanned content changes and generate alerts when activity is detected."
,,,,DTE0036,,DUC0075,"A defender can change the output of a recon commands to hide simulation elements you don’t want attacked and present simulation elements you want the adversary to engage with."
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0180,"During an adversary engagement operation, a defender can open and use any particular subset of applications installed on a system to control what is presented to the adversary at any point in time."
,,,,DTE0004,"DTE0004 - Application Diversity",DUC0235,"A defender can install an array of various software packages on a system to make it look used and populated. This will give an adversary a collection of software to interact with and possibly expose additional techniques."
DOS0008,"There is an opportunity to present several public-facing application options to see what application(s) the adversary targets.",,,DTE0013,,,
,,,,DTE0027,,DUC0159,"A defender can monitor for systems establishing connections using encapsulated protocols not commonly used together such as RDP tunneled over TCP."
,,DPR0062,"Train users to report potentially compromised devices so they can be isolated or migrated into deception networks.",DTE0035,,,
,,,,DTE0007,,DUC0244,"Defenders can detect adversaries attempting to exfiltrate over web services by implementing behavioral analytics. This can detect a system connecting to these web services that it might not normally connect to, or during a time when it normally doesn't do so."
,,DPR0060,"Monitor Windows systems for event codes that reflect an adversary changing passwords, adding accounts to groups, etc.",DTE0034,,,
,,,,DTE0011,,DUC0113,"A defender can display decoy content on the screen which may be of interest to an adversary in an attempt to elicit further engagement."
DOS0188,"There is an opportunity to use decoy accounts of varying types to see what an adversary is most interested in.",,,DTE0013,,,
,,DPR0044,"Deploy a variety of systems which reflect the use of multiple operating systems, hardware platforms, network services, etc.",DTE0025,,,
,,,,DTE0006,,DUC0046,"A defender can force the removal of browser extensions that are not allowed by a corporate policy."
DOS0159,"There is an opportunity to manipulate the network to allow/deny certain types of traffic, to degrade network traffic, or otherwise impact an adversary's activity.",,,DTE0026,,,
,,,,DTE0011,,DUC0210,"A defender can use decoy content to give the false impression about the nature of the system in order to entice an adversary to continue engagement."
,,,,DTE0033,,DUC0061,"A defender can define operating procedures for modifying GPOs and alert when they are not followed."
,,,,DTE0007,,DUC0241,"Defenders can look for anomalies in where an account is authenticating and what it is authenticating to in order to detect potentially malicious intent."
,,DPR0022,"Create directories and files with names and contents using key words that may be relevant to an adversary to see if they examine or exfiltrate the data.",DTE0011,,,
DOS0148,"In an adversary engagement scenario, there is an opportunity to implement security controls to allow an adversary to accomplish a task and extend an engagement.",,,DTE0032,,,
DOS0001,"There is an opportunity to study the adversary and collect first-hand observations about them and their tools.",,,DTE0034,"DTE0034 - System Activity Monitoring",,
,,,,DTE0001,"DTE0001 - Admin Access",DUC0196,"A defender could remove admin access in an attempt to force an adversary to perform privilege escalation to install a rootkit."
,,DPR0031,"Create decoy processes on a system that mimic common antivirus process names. These processes when seen may prevent adversary malware from executing for fear of detection.",DTE0016,,,
DOS0074,"There is an opportunity to influence an adversary to move toward systems you want them to engage with.",,,DTE0011,,,
,,DPR0065,"Use information about an adversary's TTPs to perform retroactive searches for any activity that have gone undetected.",DTE0021,,,
,,,,DTE0033,,DUC0054,"A defender can define operating procedures for adding services and alert when they are not followed."
,,,,DTE0034,,DUC0060,"A defender can monitor for signs that security tools and other controls are being tampered with by an adversary."
,,,,DTE0006,,DUC0050,"A defender can store good copies of registry startup keys and restore them on a frequent basis. This can prevent an adversary from using them to launch malware on system startup."
DOS0160,"There is an opportunity to detect an unknown process that is being used for command and control and disrupt it.",,,DTE0022,,,
DOS0028,"There is an opportunity for the defender to observe the adversary and control what they can see, what effects they can have, and/or what data they can access.",,,DTE0036,,,
DOS0219,"There is an opportunity to provide a variety of applications to an adversary to see what things an adversary prefers or to influence their operations.",,,DTE0004,"DTE0004 - Application Diversity",,
DOS0002,"There is an opportunity to discover who or what is being targeting by an adversary.",,,DTE0004,"DTE0004 - Application Diversity",,
,,,,DTE0014,,DUC0251,"A defender can use a decoy network and seed it with cloud services to see how an adversary might exploit those resources."
,,,,DTE0020,,DUC0115,"A defender can physically remove or disable a system's web camera and remove any video capture applications so that video capture is not possible."
,,DPR0052,"When staging a decoy system and user account, populate a user's folders and web history to make it look realistic to an adversary.",DTE0030,,,
DOS0087,"In an adversary engagement scenario, there is an opportunity to test whether an adversary has the capability to steal or forge Kerberos tickets.",,,DTE0032,,,
,,,,DTE0017,,DUC0007,"A defender can use decoy system running a public-facing application to see if an adversary attempts to compromise the system and learn their TTPs."
,,,,DTE0034,,DUC0027,"A defender can capture system activity logs and generate alerts if the adversary creates new scheduled tasks or alters existing tasks."
DOS0006,"There is an opportunity to prepare user accounts so they look used and authentic.",,,DTE0008,"DTE0008 - Burn-In",,
,,,,DTE0036,,DUC0216,"A defender can alter the output of the password policy description so the adversary is unsure of exactly what the requirements are."
DOS0024,"There is an opportunity to determine adversary capabilities or preferences by controlling aspects of the engagement environment.",,,DTE0025,"DTE0025 - Network Diversity",,
DOS0098,"In an adversary engagement scenario, there is an opportunity to seed content to influence an adversary's behaviors, test their interest in specific topics, or add legitimacy to a system or environment.",,,DTE0030,"DTE0030 - Pocket Litter",,
,,,,DTE0032,,DUC0144,"A defender could implement security controls to have an effect on process injection techniques such as AppLocker or an Antivirus/EDR tool designed to watch for CreateRemoteThread events."
,,DPR0019,"Alter the output of adversary recon commands to not show important assets, such as a file server containing sensitive data.",DTE0036,,,
DOS0116,"There is an opportunity to detect adversary activity that uses obfuscated communication.",,,DTE0028,"DTE0028 - PCAP Collection",,
DOS0010,"There is an opportunity to test hardware additions in an isolated environment and ensure they can't be used by an adversary.",,,DTE0022,"DTE0022 - Isolation",,
,,,,DTE0030,,DUC0111,"A defender can stage a variety of pocket litter files with known hashes around a system. Detections can be put in place if these hashes are seen moving around a system or out of the network."
,,,,DTE0032,,DUC0088,"A defender can secure Kerberos in order to prevent an adversary from leveraging the tickets to authenticate or move laterally. This may result in the adversary exposing additional TTPs."
,,,,DTE0007,,DUC0130,"By looking for anomalies in system service states and alerting on suspect situations, the defender can detect potential malicious activity and triage the system to re-enable the services that have been stopped."
DOS0002,"There is an opportunity to discover who or what is being targeting by an adversary.",,,DTE0013,"DTE0013 - Decoy Diversity",,
,,,,DTE0014,,DUC0003,"A defender seeking to learn about post compromise adversary activity could visit the compromised website with a system in a decoy network that has been designed to sustain an adversary engagement past the initial compromise."
,,,,DTE0028,,DUC0170,"Collecting full packet capture of all network traffic allows you to review what happened over the connection and identify command and control traffic and/or exfiltration activity."
,,,,DTE0036,,DUC0041,"A defender can manipulate commands on system so that an adversary is unable to hide artifacts in ways they normally would."
,,DPR0046,"Introduce intermittent network packet loss on a decoy network to interfere with an adversary's activities.",DTE0026,,,
DOS0198,"There is an opportunity to monitor network traffic for different protocols, anomalous traffic patterns, transfer of data, etc. to determine the presence of an adversary.",,,DTE0027,"DTE0027 - Network Monitoring",,
DOS0141,"There is an opportunity to monitor logs on a system for common ways adversaries behave and detect on that activity.",,,DTE0034,,,
,,,,DTE0032,,DUC0045,"A defender can enforce strong authentication requirements such as password changes, two factor authentication, etc. to impact or disrupt an adversary's activity."
,,DPR0063,"In an adversary engagement situation, if an adversary deletes or alters files on a machine they are controlling, restore the data to it original state and location to see how the adversary reacts.",DTE0005,,,
,,,,DTE0011,,DUC0258,"A defender can expose decoy information about their organization to try and influence an adversary's future activity."
DOS0012,"There is an opportunity to prevent an adversary from using removable media to compromise disconnected or air-gapped systems.",,,DTE0022,,,
,,,,DTE0008,,DUC0093,"A defender can authenticate to a collection of decoy sites (as a decoy user) to give the adversary a set of session cookies to harvest and potentially use during adversary engagement."
,,,,DTE0017,,DUC0009,"A defender can setup a decoy VPN server and see if an adversary attempts to use valid account to authenticate to it."
,,DPR0053,"Stage a USB device with documents on a specific topic in order to see if they are exfiltrated by an adversary.",DTE0030,,,
DOS0027,"There is an opportunity to create a detection with a moderately high probability of success.",,,DTE0033,"DTE0033 - Standard Operating Procedure",,
,,,,DTE0007,,DUC0243,"A defender can look for anomalies in accounts being active with other services/systems during hours they are normally not active. This can indicate malicious activity."
DOS0231,"There is an opportunity to extend an adversary's engagement period by creating a decoy network that systems can discover when performing trust discovery.",,,DTE0014,,,
,,,,DTE0026,,DUC0161,"A defender could implement a protocol aware IPS to limit systems communicating to unknown locations on the internet."
,,,,DTE0032,,DUC0094,"In an adversary engagement operation, a defender can intentionally increase the time window that a token is valid to see if the adversary is able to acquire and leverage the token."
DOS0182,"There is an opportunity to present decoy processes to an adversary to influence their behaviors, test their interest, or add legitimacy to a system or environment.",,,DTE0016,"DTE0016 - Decoy Process",,
,,,,DTE0016,,DUC0255,"A defender can deploy a diverse set of decoy systems to impact an adversary's level of effort during recon activity."
,,DPR0066,"Run all user applications in isolated containers to prevent a compromise from expanding beyond the container's boundaries.",DTE0022,,,
,,,,DTE0029,,DUC0023,"A defender can connect one or more peripheral devices to a decoy system to see if an adversary has any interest in them."
,,,,DTE0022,,DUC0014,"A defender can setup protections so removeable media cannot be mounted until an isolated review process has cleared the drive."
,,,,DTE0036,,DUC0181,"A defender can modify commands such that the true list of running processes is not revealed, hiding necessary active defense processes from the adversary."
