DateAdded,IoC,Type
2/4/2022,urovista.ru,domainname
2/4/2022,kroviti.ru,domainname
2/4/2022,bibikaro.ru,domainname
2/4/2022,hilotrapa.ru,domainname
2/4/2022,kovalsko.ru,domainname
2/4/2022,vadilops.ru,domainname
2/4/2022,hibigaru.ru,domainname
2/4/2022,gribata.ru,domainname
2/4/2022,alebont.ru,domainname
2/4/2022,nukegaran.ru,domainname
2/4/2022,zvustro.ru,domainname
2/4/2022,lotorda.ru,domainname
2/4/2022,vnestri.ru,domainname
2/4/2022,dortisto.ru,domainname
2/4/2022,alacritas.ru,domainname
2/4/2022,brontaga.ru,domainname
2/4/2022,corolain.ru,domainname
2/4/2022,delicacy.delicate.maizuko.ru,domainname
2/4/2022,51b9e03db53b2d583f66e47af56bb0146630f8a175d4a439369045038d6d2a45,sha256
2/4/2022,2042a2feb4d9f54d65d7579a0afba9ee1c6d22e29127991fbf34ea3da1659904,sha256
2/4/2022,425ee82f20eb87e07a0d4f77adb72bf3377051365be203ee6ded37b399094f20,sha256
2/4/2022,fe068e324cd4175f857dfee4c23512ed01f3abbf8b6138b715caa1ba5e9486c0,sha256
2/4/2022,798cd714cf9e352c1e9de3d48971a366b09eeffb3513950fd64737d882c25a38,sha256
2/4/2022,ef9b39705decbb85269518705053e7f4087758eea6bab4ba9135bf1ae922b2ea,sha256
2/4/2022,a87e9d5e03db793a0c7b8e8e197d14745265422f05e6e50867cdfbd150d0c016,sha256
2/4/2022,c68eb2fa929373cac727764d2cc5ca94f19a0ec7fd8c0876b98f946e72d9fa03,sha256
2/4/2022,3b6445cf6f8e9e70cb0fff35d723fec8203375d67cbd67c9a672cddc02a7ff99,sha256
2/4/2022,bae9895ad4e392990a09b1b8a01e424a7ad3769e538ac693919d1b99989f0cb3,sha256
2/4/2022,c6e092316f61d2fc9c84299dd224a6e419e74c98c51a44023f8f72530ac28fdc,sha256
2/4/2022,cb0d151d930b17f6376c18aa15fd976eac53d6f07d065fc27c40b466e3bc49aa,sha256
2/4/2022,8ed03b1d544444b42385e79cd17c796fefae71d140b146d0757a3960d8ba3cba,sha256
2/4/2022,Trojan:MSIL/QuietSieve.Gen!dha,AVDetection
2/4/2022,TrojanDownloader:VBS/ObfuMerry.A!dha,AVDetection
2/4/2022,TrojanDownloader:VBS/ObfuBerry.A!dha,AVDetection
2/4/2022,TrojanDropper:Win32/PowerPunch.A!dha,AVDetection
2/4/2022,TrojanDropper:Win32/DinoTrain.gen!dha,AVDetection
2/4/2022,TrojanDownloader:VBS/DessertDown.A!dha,AVDetection
2/4/2022,TrojanDownloader:VBS/DessertDown.B!dha,AVDetection
2/4/2022,TrojanDownloader:Win32/DilongTrash!dha,AVDetection
2/4/2022,TrojanDownloader:Win32/PterodoGen.A!dha,AVDetection
2/4/2022,TrojanDownloader:Win32/PterodoGen.B!dha,AVDetection
2/4/2022,TrojanDownloader:Win32/PterodoGen.C!dha,AVDetection
