type,value,doc_url
EventProduct,Azure Blob Storage,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure File Storage,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure Firewall,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure Key Vault,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure NSG flows,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure Queue Storage,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Azure Table Storage,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,CDL,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Cloud DNS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,CloudTrail,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Cynerio,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,DNS Server,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Dataminr Pulse,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Fireware,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Fortigate,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,IOS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Meraki,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Microsoft Defender XDR for Endpoint,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Microsoft Defender for IoT,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Microsoft Entra ID,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,NIOS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Okta,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,OneDrive,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,OpenSSH,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,PanOS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,PostgreSQL,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Security Events,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,SharePoint,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Squid Proxy,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Sysmon,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Sysmon for Linux,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Umbrella,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,VMConnection,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,VPC,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Vectra Steam,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Windows Firewall,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,WireData,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,ZIA DNS,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,ZIA Firewall,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,ZIA Proxy,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,Zeek,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,su,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
EventProduct,sudo,https://learn.microsoft.com/en-us/azure/sentinel/normalization-common-fields#vendors-and-products
