"solution_name","solution_folder","solution_github_url","playbook_name","playbook_file","api_name","api_kind","is_custom","is_sentinel","connection_count","connection_kinds","connection_names","action_count","parameters"
"Armis","Armis","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis","Armis Update Alert Status","ArmisUpdateAlertStatus/azuredeploy.json","keyvault","managedApi","false","false","1","V1","[variables('KeyvaultConnectionName')]","1","[{""action"": ""Get_secret"", ""method"": ""get"", ""path"": ""/secrets/@{encodeURIComponent('ArmisAPISecretKey')}/value""}]"
"Armis","Armis","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis","Armis Update Alert Status","ArmisUpdateAlertStatus/azuredeploy.json","http","builtin","false","false","0","","","2","[{""action"": ""Armis_Alert_Status_Update_to_Portal"", ""method"": ""PATCH"", ""uri"": ""@{variables('ArmisAPIBaseURL')}/api/v1/alerts/@{variables('ArmisAlertID')}/""}, {""action"": ""Armis_Authentication"", ""method"": ""POST"", ""uri"": ""@{variables('ArmisAPIBaseURL')}/api/v1/access_token/""}]"
"Armorblox","Armorblox","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armorblox","Needs-Review-Incident-Email-Notification","Needs-Review-Incident-Email-Notification/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","0",""
"Armorblox","Armorblox","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armorblox","Needs-Review-Incident-Email-Notification","Needs-Review-Incident-Email-Notification/azuredeploy.json","office365","managedApi","false","false","1","","[variables('o365ConnectionName')]","1","[{""action"": ""Send_an_email_(V2)"", ""method"": ""post"", ""path"": ""/v2/Mail""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira to Sentinel - public comments","Add-JiraLinkComment/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('SentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create And Update Jira Issue","Jira-CreateAndUpdateIssue/azuredeploy.json","jira","managedApi","false","false","1","V1","[variables('JiraConnectionName')]","2","[{""action"": ""Create_a_new_issue"", ""method"": ""post"", ""path"": ""/issue""}, {""action"": ""Add_comment"", ""method"": ""post"", ""path"": ""/issue/@{encodeURIComponent(variables('Jira ID'))}/comment""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create And Update Jira Issue","Jira-CreateAndUpdateIssue/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","0",""
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create And Update Jira Issue","Jira-CreateAndUpdateIssue/azuredeploy.json","microsoftsentinel","managedApi","false","false","0","","","1","[{""action"": ""Update_incident"", ""method"": ""put"", ""path"": ""/Incidents""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira to Sentinel - Assigned User","Sync-AssignedUser/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('SentinelConnectionName')]","1","[{""action"": ""Update_incident"", ""method"": ""put"", ""path"": ""/Incidents""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira to Sentinel - Assigned User","Sync-AssignedUser/azuredeploy.json","keyvault","managedApi","false","false","1","V1","[variables('AzureKeyVaultConnectionName')]","1","[{""action"": ""Get_secret"", ""method"": ""get"", ""path"": ""[concat('/secrets/@{encodeURIComponent(''', parameters('SecretName AAD SP'), ''')}/value')]""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira to Sentinel - Assigned User","Sync-AssignedUser/azuredeploy.json","http","builtin","false","false","0","","","1","[{""action"": ""HTTP"", ""method"": ""GET"", ""uri"": ""https://graph.microsoft.com/v1.0/users?$filter=DisplayName eq '@{concat(triggerBody()?['fields']?['assignee']?['displayName'], ' (Operator)')}'""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira from Sentinel - Create incident","Sync-Incidents/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('SentinelConnectionName')]","1","[{""action"": ""Entities_-_Get_Accounts"", ""method"": ""post"", ""path"": ""/entities/account""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira from Sentinel - Create incident","Sync-Incidents/azuredeploy.json","keyvault","managedApi","false","false","1","V1","[variables('AzureKeyVaultConnectionName')]","1","[{""action"": ""Get_secret"", ""method"": ""get"", ""path"": ""[concat('/secrets/@{encodeURIComponent(''', parameters('SecretName Jira'), ''')}/value')]""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira from Sentinel - Create incident","Sync-Incidents/azuredeploy.json","http","builtin","false","false","0","","","1","[{""action"": ""Create_JIRA_Ticket"", ""method"": ""POST"", ""uri"": ""[parameters('JIRA API URL')]""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Sync Jira to Sentinel - Status","Sync-Status/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","3","[{""action"": ""Update_incident_2"", ""method"": ""put"", ""path"": ""/Incidents""}, {""action"": ""Update_incident_3"", ""method"": ""put"", ""path"": ""/Incidents""}, {""action"": ""Update_incident"", ""method"": ""put"", ""path"": ""/Incidents""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create Jira Issue alert-trigger","Create-Jira-Issue/alert-trigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","1","[{""action"": ""Alert_-_Get_incident"", ""method"": ""get"", ""path"": ""/Incidents/subscriptions/@{encodeURIComponent(triggerBody()?['WorkspaceSubscriptionId'])}/resourceGroups/@{encodeURIComponent(triggerBody()?['WorkspaceResourceGroup'])}/workspaces/@{encodeURIComponent(triggerBody()?['WorkspaceId'])}/alerts/@{encodeURIComponent(triggerBody()?['SystemAlertId'])}""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create Jira Issue alert-trigger","Create-Jira-Issue/alert-trigger/azuredeploy.json","jira","managedApi","false","false","1","","[variables('jiraConnectionName')]","1","[{""action"": ""Create_a_new_issue"", ""method"": ""post"", ""path"": ""/issue""}]"
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create Jira Issue incident-trigger","Create-Jira-Issue/incident-trigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","0",""
"AtlassianJiraAudit","AtlassianJiraAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit","Create Jira Issue incident-trigger","Create-Jira-Issue/incident-trigger/azuredeploy.json","jira","managedApi","false","false","1","","[variables('jiraConnectionName')]","1","[{""action"": ""Create_a_new_issue"", ""method"": ""post"", ""path"": ""/issue""}]"
"Australian Cyber Security Centre","Australian Cyber Security Centre","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Australian%20Cyber%20Security%20Centre","AusCtisExportTaggedIndicators","AusCtisExportTaggedIndicators/azuredeploy.json","http","builtin","false","false","0","","","3","[{""action"": ""HTTP_appendTags_request"", ""method"": ""POST"", ""uri"": ""[uriComponentToString(uri(variables('azure'), 'subscriptions/@{parameters(''SubscriptionID'')}/resourceGroups/@{parameters(''ResourceGroup'')}/providers/Microsoft.OperationalInsights/workspaces/@{parameters(''Workspace'')}/providers/Microsoft.SecurityInsights/threatIntelligence/main/indicators/@{items(''For_each_filtered_indicator'')?[''name'']}/appendTags?api-version=2021-10-01'))]""}, {""action"": ""HTTP_POST_stix_bundle_to_TAXII_server"", ""method"": ""POST"", ""uri"": ""@{parameters('TAXIIServerRootURL')}/collections/@{parameters('CollectionID')}/objects/""}, {""action"": ""HTTP_queryIndicators_request"", ""method"": ""POST"", ""uri"": ""[uriComponentToString(uri(variables('azure'),'subscriptions/@{parameters(''SubscriptionID'')}/resourceGroups/@{parameters(''ResourceGroup'')}/providers/Microsoft.OperationalInsights/workspaces/@{parameters(''Workspace'')}/providers/Microsoft.SecurityInsights/threatIntelligence/main/queryIndicators?api-version=2022-06-01-preview'))]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","3","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Entities_-_Get_Hosts"", ""method"": ""post"", ""path"": ""/entities/host""}, {""action"": ""Entities_-_Get_IPs"", ""method"": ""post"", ""path"": ""/entities/ip""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches/azuredeploy.json","function","builtin","false","false","0","","","2","[{""action"": ""DescribeInstancePatches"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/DescribeInstancePatches')]""}, {""action"": ""GetInventory"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetInventory')]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances for given Hostname","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches-HostEntityTrigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances for given Hostname","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches-HostEntityTrigger/azuredeploy.json","function","builtin","false","false","0","","","2","[{""action"": ""DescribeInstancePatches"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/DescribeInstancePatches')]""}, {""action"": ""GetInventory"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetInventory')]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances for given Private IP","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches-IPEntityTrigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Get Missing Patches for EC2 Instances for given Private IP","AWSSystemsManagerPlaybooks/AWS-SSM-GetInstancePatches-IPEntityTrigger/azuredeploy.json","function","builtin","false","false","0","","","2","[{""action"": ""DescribeInstancePatches"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/DescribeInstancePatches')]""}, {""action"": ""GetInventory"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetInventory')]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Run Automation Runbook","AWSSystemsManagerPlaybooks/AWS-SSM-RunAutomationRunbook/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Run Automation Runbook","AWSSystemsManagerPlaybooks/AWS-SSM-RunAutomationRunbook/azuredeploy.json","function","builtin","false","false","0","","","3","[{""action"": ""GetAutomationExecution_status"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""GetAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""StartAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/StartAutomationExecution')]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","3","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Entities_-_Get_Hosts"", ""method"": ""post"", ""path"": ""/entities/host""}, {""action"": ""Entities_-_Get_IPs"", ""method"": ""post"", ""path"": ""/entities/ip""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance/azuredeploy.json","function","builtin","false","false","0","","","6","[{""action"": ""Create_Automation_Shutdown_Document"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/CreateDocument')]""}, {""action"": ""DeleteDocument"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/DeleteDocument')]""}, {""action"": ""GetAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""StartAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/StartAutomationExecution')]""}, {""action"": ""GetAutomationExecution_again"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""GetInventory"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetInventory')]""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances Host Entity Trigger","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance-HostEntityTrigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances Host Entity Trigger","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance-HostEntityTrigger/azuredeploy.json","function","builtin","false","false","0","","","6","[{""action"": ""Create_Automation_Shutdown_Document"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/CreateDocument')]""}, {""action"": ""DeleteDocument"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/DeleteDocument')]""}, {""action"": ""GetAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""StartAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/StartAutomationExecution')]""}, {""action"": ""GetAutomationExecution_again"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""GetInventory"", ""functionId"": ""/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/awssystemsmanager/providers/Microsoft.Web/sites/AWSSystemsManager/functions/GetInventory""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances IP Entity Trigger","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance-IPEntityTrigger/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS Systems Manager","AWS Systems Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Systems%20Manager","AWS Systems Manager - Stop Managed EC2 Instances IP Entity Trigger","AWSSystemsManagerPlaybooks/AWS-SSM-StopManagedInstance-IPEntityTrigger/azuredeploy.json","function","builtin","false","false","0","","","6","[{""action"": ""Create_Automation_Shutdown_Document"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/CreateDocument')]""}, {""action"": ""DeleteDocument"", ""functionId"": ""/subscriptions/4383ac89-7cd1-48c1-8061-b0b3c5ccfd97/resourceGroups/awssystemsmanager/providers/Microsoft.Web/sites/AWSSystemsManager/functions/DeleteDocument""}, {""action"": ""GetAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetAutomationExecution')]""}, {""action"": ""StartAutomationExecution"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/StartAutomationExecution')]""}, {""action"": ""GetAutomationExecution_again"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId') ,'/functions/GetAutomationExecution')]""}, {""action"": ""GetInventory"", ""functionId"": ""[concat(variables('AWSSSMFuntionsAppId'), '/functions/GetInventory')]""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS - Disable S3 Bucket Public Access","Playbooks/AWS-DisableS3BucketPublicAccess/azuredeploy.json","azuresentinel","managedApi","false","true","1","V1","[variables('MicrosoftSentinelConnectionName')]","1","[{""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS - Disable S3 Bucket Public Access","Playbooks/AWS-DisableS3BucketPublicAccess/azuredeploy.json","function","builtin","false","false","0","","","1","[{""action"": ""disabls3bucketpublicaccess-DisableS3BucketPublicAccess"", ""functionId"": ""[concat(variables('AWSIAMFunctionAppID'), '/functions/DisableS3BucketPublicAccess')]"", ""method"": ""GET""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Add tag to user","Playbooks/AWSIAM-AddTagToUser/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","3","[{""action"": ""Entities_-_Get_Accounts"", ""method"": ""post"", ""path"": ""/entities/account""}, {""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Add_comment_to_incident_(V3)_2"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Add tag to user","Playbooks/AWSIAM-AddTagToUser/azuredeploy.json","function","builtin","false","false","0","","","1","[{""action"": ""TagUser"", ""functionId"": ""[concat(variables('aws_iam_functionapp_id'), '/functions/TagUser')]"", ""method"": ""PUT""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Delete access keys","Playbooks/AWSIAM-DeleteAccessKeys/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","3","[{""action"": ""Entities_-_Get_Accounts"", ""method"": ""post"", ""path"": ""/entities/account""}, {""action"": ""Add_comment_to_incident_(V3)_2"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Delete access keys","Playbooks/AWSIAM-DeleteAccessKeys/azuredeploy.json","function","builtin","false","false","0","","","2","[{""action"": ""DeleteAccessKey"", ""functionId"": ""[concat(variables('aws_iam_functionapp_id'), '/functions/DeleteAccessKey')]"", ""method"": ""DELETE""}, {""action"": ""ListAccessKeys"", ""functionId"": ""[concat(variables('aws_iam_functionapp_id'), '/functions/ListAccessKeys')]"", ""method"": ""GET""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Enrich incident with user info","Playbooks/AWSIAM-EnrichIncidentWithUserInfo/azuredeploy.json","azuresentinel","managedApi","false","true","1","","[variables('AzureSentinelConnectionName')]","3","[{""action"": ""Entities_-_Get_Accounts"", ""method"": ""post"", ""path"": ""/entities/account""}, {""action"": ""Add_comment_to_incident_(V3)_2"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}, {""action"": ""Add_comment_to_incident_(V3)"", ""method"": ""post"", ""path"": ""/Incidents/Comment""}]"
"AWS_IAM","AWS_IAM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_IAM","AWS IAM - Enrich incident with user info","Playbooks/AWSIAM-EnrichIncidentWithUserInfo/azuredeploy.json","function","builtin","false","false","0","","","2","[{""action"": ""GetUser"", ""functionId"": ""[concat(variables('aws_iam_functionapp_id'), '/functions/GetUser')]"", ""method"": ""GET""}, {""action"": ""ListGroupsForUser"", ""functionId"": ""[concat(variables('aws_iam_functionapp_id'), '/functions/ListGroupsForUser')]"", ""method"": ""GET""}]"
