entity,section,field_name,field_class,physical_type,logical_type,aliased_field,allowed_values,description,example,note,doc_url,original_description
Device,Other device fields,DvcOs,Optional,string,,,,The operating system running on the device on which the event occurred or which reported the event.,Windows,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The operating system running on the device on which the event occurred or which reported the event.    <br><br>Example: `Windows`
Device,Other device fields,DvcOsVersion,Optional,string,,,,The version of the operating system on the device on which the event occurred or which reported the event.,10,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The version of the operating system on the device on which the event occurred or which reported the event. <br><br>Example: `10`
Device,Other device fields,Interface,Optional,string,,,,The network interface on which data was captured. This field is  typically relevant to network related activity captured by an intermediate or tap device.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The network interface on which data was captured. This field is  typically relevant to network related activity captured by an intermediate or tap device.
Device,Other device fields,IpAddr,Recommended,string,IP address,,,The IP address of the device.,45.21.42.12,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The IP address of the device. <br><br>Example: `45.21.42.12`
Device,Other device fields,MacAddr,Optional,string,MAC,,,The MAC address of the device on which the event occurred or which reported the event.,00:1B:44:11:3A:B7,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The MAC address of the device on which the event occurred or which reported the event.  <br><br>Example: `00:1B:44:11:3A:B7`
Device,Other device fields,Zone,Optional,string,,,,"The network on which the event occurred or which reported the event, depending on the schema. The reporting device defines the zone.",Dmz,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"The network on which the event occurred or which reported the event, depending on the schema. The reporting device defines the zone.<br><br>Example: `Dmz`"
Device,The device ID and Scope,DvcAwsVpcId,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,DvcAzureResourceId,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,DvcId,Optional,string,,,,The unique ID of the device.,41502da5-21b7-48ec-81c9-baeea8d7d669,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The unique ID of the device. For example: `41502da5-21b7-48ec-81c9-baeea8d7d669`
Device,The device ID and Scope,DvcIdType,Optional,string,Enumerated,,,The type of DvcId. Typically this field also identifies the type of Scope and ScopeId. This field is required if the DvcId field is used,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The type of [DvcId](#dvcid). Typically this field also identifies the type of [Scope](#scope) and [ScopeId](#scopeid). This field is required if the [DvcId](#dvcid) field is used.
Device,The device ID and Scope,DvcMD4IoTid,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,DvcMDEid,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,DvcVMConnectionId,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,DvcVectraId,Optional,string,,,,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in DvcId.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"Fields used to store other device IDs, if the original event includes multiple device IDs. Select the device ID most associated with the event as the primary ID stored in [DvcId](#dvcid)."
Device,The device ID and Scope,Scope,Optional,string,,,,The cloud platform scope the device belongs to. **Scope** map to a subscription on Azure and to an account on AWS.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The cloud platform scope the device belongs to. **Scope** map to a subscription on Azure and to an account on AWS.
Device,The device ID and Scope,ScopeId,Optional,string,,,,The cloud platform scope ID the device belongs to. **Scope** map to a subscription ID on Azure and to an account ID on AWS.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The cloud platform scope ID the device belongs to. **Scope** map to a subscription ID on Azure and to an account ID on AWS.
Device,The device aliases,Dst,Mandatory,string,,FQDN|DvcId|Hostname|IpAddr,,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the FQDN, DvcId, Hostname, or IpAddr fields. For cloud sources, for which there is no apparent device, use the same value as the Event Product field",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the [FQDN](#fqdn), [DvcId](#dvcid), [Hostname](#hostname), or [IpAddr](#ipaddr) fields. For cloud sources, for which there is no apparent device, use the same value as the [Event Product](normalization-common-fields.md#eventproduct) field."
Device,The device aliases,Dvc,Mandatory,string,,FQDN|DvcId|Hostname|IpAddr,,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the FQDN, DvcId, Hostname, or IpAddr fields. For cloud sources, for which there is no apparent device, use the same value as the Event Product field",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the [FQDN](#fqdn), [DvcId](#dvcid), [Hostname](#hostname), or [IpAddr](#ipaddr) fields. For cloud sources, for which there is no apparent device, use the same value as the [Event Product](normalization-common-fields.md#eventproduct) field."
Device,The device aliases,Src,Mandatory,string,,FQDN|DvcId|Hostname|IpAddr,,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the FQDN, DvcId, Hostname, or IpAddr fields. For cloud sources, for which there is no apparent device, use the same value as the Event Product field",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"The `Dvc`, 'Src', or 'Dst' fields are used as a unique identifier of the device. It is set to the best available identified for the device. These fields can alias the [FQDN](#fqdn), [DvcId](#dvcid), [Hostname](#hostname), or [IpAddr](#ipaddr) fields. For cloud sources, for which there is no apparent device, use the same value as the [Event Product](normalization-common-fields.md#eventproduct) field."
Device,The device name,Domain,Recommended,string,,,,"The domain of the device on which the event occurred, without the hostname.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,"The domain of the device on which the event occurred, without the hostname."
Device,The device name,DomainType,Recommended,string,Enumerated,,FQDN|Windows,The type of Domain,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The type of [Domain](#domain). Supported values include `FQDN` and `Windows`. This field is required if the [Domain](#domain) field is used.
Device,The device name,FQDN,Optional,string,,,,The FQDN of the device including both Hostname and Domain . This field supports both traditional FQDN format and Windows domain\hostname format. The  DomainType field reflects the format used.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The FQDN of the device including both [Hostname](#hostname) and [Domain](#domain) . This field supports both traditional FQDN format and Windows domain\hostname format. The  [DomainType](#domaintype) field reflects the format used.
Device,The device name,Hostname,Recommended,string,Hostname,,,The short hostname of the device.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-device,The short hostname of the device.
User,Additional user fields,OriginalUserType,Optional,string,,,,"The original destination user type, if provided by the reporting device.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"The original destination user type, if provided by the reporting device."
User,Additional user fields,UserType,Optional,string,UserType,,Regular|Machine|Admin|System|Application|Service Principal|Service|Anonymous|Other,"The type of source user. <br> The value might be provided in the source record by using different terms, which should be normalized to these values. Store the original value in the OriginalUserType field",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"The type of source user. Supported values include:<br> - `Regular`<br> - `Machine`<br> - `Admin`<br> - `System`<br> - `Application`<br> - `Service Principal`<br> - `Service`<br> - `Anonymous`<br> - `Other`.<br><br> The value might be provided in the source record by using different terms, which should be normalized to these values. Store the original value in the [OriginalUserType](#originalusertype) field."
User,The user ID and scope,UserAADTenant,Optional,string,,,,"Fields used to store specific scopes. Use the UserScope field for the scope associated with the ID stored in the UserId field.  Populate the relevant specific scope field, in addition to UserScope, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific scopes. Use the [UserScope](#userscope) field for the scope associated with the ID stored in the [UserId](#userid) field.  Populate the relevant specific scope field, in addition to [UserScope](#userscope), even if the event has only one ID."
User,The user ID and scope,UserAWSAccount,Optional,string,,,,"Fields used to store specific scopes. Use the UserScope field for the scope associated with the ID stored in the UserId field.  Populate the relevant specific scope field, in addition to UserScope, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific scopes. Use the [UserScope](#userscope) field for the scope associated with the ID stored in the [UserId](#userid) field.  Populate the relevant specific scope field, in addition to [UserScope](#userscope), even if the event has only one ID."
User,The user ID and scope,UserAWSId,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user ID and scope,UserAadId,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user ID and scope,UserId,Optional,string,,,,"A machine-readable, alphanumeric, unique representation of the  user.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"A machine-readable, alphanumeric, unique representation of the  user."
User,The user ID and scope,UserIdType,Optional,string,UserIdType,,,The type of the ID stored in the UserId field.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,The type of the ID stored in the [UserId](#userid) field.
User,The user ID and scope,UserOktaId,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user ID and scope,UserPuid,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user ID and scope,UserScope,Optional,string,,,,The scope in which UserId and Username are defined.,a Microsoft Entra tenant domain name. The [UserIdType](#useridtype) field represents also the type of the associated with this field,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"The scope in which [UserId](#userid) and [Username](#username) are defined. For example, a Microsoft Entra tenant domain name. The [UserIdType](#useridtype) field represents also the type of the associated with this field."
User,The user ID and scope,UserScopeId,Optional,string,,,,The ID of the scope in which UserId and Username are defined.,a Microsoft Entra tenant directory ID. The [UserIdType](#useridtype) field represents also the type of the associated with this field,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"The ID of the scope in which [UserId](#userid) and [Username](#username) are defined. For example, a Microsoft Entra tenant directory ID. The [UserIdType](#useridtype) field represents also the type of the associated with this field."
User,The user ID and scope,UserSid,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user ID and scope,UserUid,Optional,string,,,,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in UserId. Populate the relevant specific ID field, in addition to UserId, even if the event has only one ID.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store specific user IDs. Select the ID most associated with the event as the primary ID stored in [UserId](#userid). Populate the relevant specific ID field, in addition to [UserId](#userid), even if the event has only one ID."
User,The user name,DNUsername,Optional,string,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in [Username](#username)."
User,The user name,SimpleUsername,Optional,string,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in [Username](#username)."
User,The user name,UserUPN,Optional,string,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in [Username](#username)."
User,The user name,Username,Optional,string,,,,"The source username, including domain information when available. Use the simple form only if domain information isn't available. Store the Username type in the UsernameType field.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"The source username, including domain information when available. Use the simple form only if domain information isn't available. Store the Username type in the [UsernameType](#usernametype) field."
User,The user name,UsernameType,Optional,string,UsernameType,,,Specifies the type of the username stored in the Username field.,,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,Specifies the type of the username stored in the [Username](#username) field.
User,The user name,WindowsUsername,Optional,string,,,,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in Username.",,,https://learn.microsoft.com/en-us/azure/sentinel/normalization-entity-user,"Fields used to store additional usernames, if the original event includes multiple usernames. Select the username most associated with the event as the primary username stored in [Username](#username)."
