"table_name","description","category","category_primary","category_source","category_candidates","support_tier","collection_method","collection_method_source","collection_method_candidates","feeding_connector_ids","source_vendor","source_product","collector_vendor","collector_product","source_vendor_basis","collector_vendor_basis","resource_types","source_azure_monitor","source_defender_xdr","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","is_clv1"
"ABAPAuditLog","Reference for ABAPAuditLog table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","Partner","Azure Diagnostics","source_azure_monitor","CCF,CCF Push","Onapsis,Pathlock_TDnR,SAPS4PublicAlerts,SecurityBridge","SAP","S/4HANA Cloud Public Edition","Onapsis;Pathlock;SecurityBridge","Onapsis Defend;SecurityBridge Platform;Threat Detection and Response","override","projected","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapauditlog","","Yes","Yes","Yes",""
"ABAPAuditLog_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","SAP","","","","override","","","","","","","","","Yes","true"
"ABAPAuthorizationDetails","Reference for ABAPAuthorizationDetails table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","REST Pull API","source_azure_monitor","","","SAP","","","","override","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapauthorizationdetails","","Yes","Yes","Yes",""
"ABAPAuthorizationDetails_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","SAP","","","","override","","","","","","","","","Yes","true"
"ABAPChangeDocsLog","Reference for ABAPChangeDocsLog table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","REST Pull API","source_azure_monitor","","","SAP","","","","override","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapchangedocslog","","Yes","Yes","Yes",""
"ABAPChangeDocsLog_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","SAP","","","","override","","","","","","","","","Yes","true"
"ABAPTableDataLog","Reference for ABAPTableDataLog table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","SAP","","","","override","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abaptabledatalog","","Yes","Yes","No",""
"ABAPUserDetails","Reference for ABAPUserDetails table in Azure Monitor Logs.","Security","Cloud","collection_method=Azure Diagnostics","Cloud","","REST Pull API","source_azure_monitor","","","SAP","","","","override","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapuserdetails","","Yes","Yes","Yes",""
"ABAPUserDetails_CL","","","3rd Party (SaaS)","cl_default;collection_method=Custom","3rd Party (SaaS)","","Custom","cl_table_fallback","","","SAP","","","","override","","","","","","","","","Yes","true"
"ABNORMAL_CASES_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","AbnormalSecurity","Abnormal Security","","","","projected","","","No","No","","","","No","Yes",""
"ABNORMAL_SECURITY_ABUSE_MAILBOX_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_ATO_CASE_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_AUDIT_LOG_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_CASE_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_LOGS_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_POSTURE_CHANGE_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_REMEDIATION_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_THREAT_LOG_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_SECURITY_VENDOR_CASE_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=CCF Push","3rd Party (SaaS)","Partner","CCF Push","connector","CCF Push","AbnormalSecurityPush","Abnormal Security","","","","projected","","","","","","","","","Yes","true"
"ABNORMAL_THREAT_MESSAGES_CL","","","3rd Party (SaaS)","cl_solution_partner;collection_method=Azure Function","3rd Party (SaaS)","Partner","Azure Function","connector","Azure Function","AbnormalSecurity","Abnormal Security","","","","projected","","","No","No","","","","No","Yes","true"
"ABSBotRequests","Reference for ABSBotRequests table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.botservice/botservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/absbotrequests","","No","Yes","No",""
"ACICollaborationAudit","Reference for ACICollaborationAudit table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.datacollaboration/workspaces","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acicollaborationaudit","","No","Yes","No",""
"ACLTransactionLogs","Reference for ACLTransactionLogs table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.confidentialledger/ledgers","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acltransactionlogs","","Yes","","No",""
"ACLUserDefinedLogs","Reference for ACLUserDefinedLogs table in Azure Monitor Logs.","Applications, Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.confidentialledger/ledgers","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acluserdefinedlogs","","Yes","","No",""
"ACRConnectedClientList","Reference for ACRConnectedClientList table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.cache/redis","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acrconnectedclientlist","","Yes","Yes","No",""
"ACREntraAuthenticationAuditLog","Reference for ACREntraAuthenticationAuditLog table in Azure Monitor Logs.","Audit, Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.cache/redis","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acrentraauthenticationauditlog","","Yes","Yes","No",""
"ACSAdvancedMessagingOperations","Reference for ACSAdvancedMessagingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsadvancedmessagingoperations","","Yes","Yes","No",""
"ACSAuthIncomingOperations","Reference for ACSAuthIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsauthincomingoperations","","No","Yes","No",""
"ACSBillingUsage","Reference for ACSBillingUsage table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsbillingusage","","No","Yes","No",""
"ACSCallAutomationIncomingOperations","Reference for ACSCallAutomationIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationincomingoperations","","Yes","Yes","No",""
"ACSCallAutomationMediaSummary","Reference for ACSCallAutomationMediaSummary table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationmediasummary","","Yes","Yes","No",""
"ACSCallAutomationStreamingUsage","Reference for ACSCallAutomationStreamingUsage table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationstreamingusage","","Yes","Yes","No",""
"ACSCallClientMediaStatsTimeSeries","Reference for ACSCallClientMediaStatsTimeSeries table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientmediastatstimeseries","","Yes","Yes","No",""
"ACSCallClientOperations","Reference for ACSCallClientOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientoperations","","Yes","Yes","No",""
"ACSCallClientServiceRequestAndOutcome","Reference for ACSCallClientServiceRequestAndOutcome table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientservicerequestandoutcome","","Yes","Yes","No",""
"ACSCallClosedCaptionsSummary","Reference for ACSCallClosedCaptionsSummary table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclosedcaptionssummary","","Yes","Yes","No",""
"ACSCallDiagnostics","Reference for ACSCallDiagnostics table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscalldiagnostics","","Yes","Yes","No",""
"ACSCallDiagnosticsUpdates","Reference for ACSCallDiagnosticsUpdates table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscalldiagnosticsupdates","","Yes","Yes","No",""
"ACSCallRecordingIncomingOperations","Reference for ACSCallRecordingIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallrecordingincomingoperations","","Yes","Yes","No",""
"ACSCallRecordingSummary","Reference for ACSCallRecordingSummary table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallrecordingsummary","","Yes","Yes","No",""
"ACSCallSummary","Reference for ACSCallSummary table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsummary","","Yes","Yes","No",""
"ACSCallSummaryUpdates","Reference for ACSCallSummaryUpdates table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsummaryupdates","","Yes","Yes","No",""
"ACSCallSurvey","Reference for ACSCallSurvey table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsurvey","","No","Yes","No",""
"ACSCallingMetrics","Reference for ACSCallingMetrics table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallingmetrics","","Yes","Yes","No",""
"ACSChatIncomingOperations","Reference for ACSChatIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acschatincomingoperations","","No","Yes","No",""
"ACSEmailSendMailOperational","Reference for ACSEmailSendMailOperational table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailsendmailoperational","","No","Yes","No",""
"ACSEmailStatusUpdateOperational","Reference for ACSEmailStatusUpdateOperational table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailstatusupdateoperational","","No","Yes","No",""
"ACSEmailUserEngagementOperational","Reference for ACSEmailUserEngagementOperational table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailuserengagementoperational","","No","Yes","No",""
"ACSJobRouterIncomingOperations","Reference for ACSJobRouterIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsjobrouterincomingoperations","","Yes","Yes","No",""
"ACSOptOutManagementOperations","Reference for ACSOptOutManagementOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsoptoutmanagementoperations","","Yes","Yes","No",""
"ACSRoomsIncomingOperations","Reference for ACSRoomsIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsroomsincomingoperations","","Yes","Yes","No",""
"ACSSMSIncomingOperations","Reference for ACSSMSIncomingOperations table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.communication/communicationservices","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acssmsincomingoperations","","Yes","Yes","No",""
"ADAssessmentRecommendation","Reference for ADAssessmentRecommendation table in Azure Monitor Logs.","Workloads","Syslog/CEF","collection_method=AMA","Syslog/CEF,Cloud","","AMA","tables_reference","","","","","","","","","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adassessmentrecommendation","","No","Yes","Yes",""
"ADFActivityRun","Reference for ADFActivityRun table in Azure Monitor Logs.","Azure Resources","Cloud","category=Azure Resources","Cloud","","Azure Diagnostics","category=Azure Resources","","","","","","","","","microsoft.datafactory/factories","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfactivityrun","","No","Yes","No",""
"ADFAirflowSchedulerLogs","Reference for ADFAirflowSchedulerLogs table in Azure Monitor Logs.","-","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowschedulerlogs","","No","Yes","No",""
"ADFAirflowTaskLogs","Reference for ADFAirflowTaskLogs table in Azure Monitor Logs.","-","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowtasklogs","","No","Yes","No",""
"ADFAirflowWebLogs","Reference for ADFAirflowWebLogs table in Azure Monitor Logs.","-","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowweblogs","","No","Yes","No",""
"ADFAirflowWorkerLogs","Reference for ADFAirflowWorkerLogs table in Azure Monitor Logs.","-","Cloud","collection_method=Azure Diagnostics","Cloud","","Azure Diagnostics","source_azure_monitor","","","","","","","","","-","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowworkerlogs","","No","Yes","No",""
