"parser_name","parser_title","parser_version","parser_last_updated","parser_category","description","tables","source_file","github_url","solution_name","solution_folder","location","file_type","discovered"
"OneLoginEvents","OneLoginEvents","","","","","oneLogin_CL","Parsers/OneLogin/OneLogin.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/OneLogin/OneLogin.txt","","","legacy","txt","false"
"pfsensefilterlog","pfsensefilterlog","","","","","CommonSecurityLog","Parsers/pfsense/pfsense_filterlog.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/pfsense/pfsense_filterlog.txt","","","legacy","txt","false"
"pfsensenginx","pfsensenginx","","","","","CommonSecurityLog","Parsers/pfsense/pfsense_nginx.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/pfsense/pfsense_nginx.txt","","","legacy","txt","false"
"SQLServer_Parser","SQLServer_Parser","","","","","Event","Parsers/SQLSever/SQLServer_Parser.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SQLSever/SQLServer_Parser.txt","","","legacy","txt","false"
"SymantecProxySG","SymantecProxySG","","","","","Syslog","Parsers/SymantecProxySG/SymantecProxySG.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SymantecProxySG/SymantecProxySG.txt","","","legacy","txt","false"
"SyslogEventTypeData","SyslogEventTypeData","","","","","Syslog","Parsers/SyslogAUOMS/SyslogEventTypeData.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SyslogAUOMS/SyslogEventTypeData.txt","","","legacy","txt","false"
"SyslogExecve","SyslogExecve","","","","","Syslog","Parsers/SyslogAUOMS/SyslogExecve.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SyslogAUOMS/SyslogExecve.txt","","","legacy","txt","false"
"SyslogSyscall","SyslogSyscall","","","","","Syslog","Parsers/SyslogAUOMS/SyslogSyscall.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SyslogAUOMS/SyslogSyscall.txt","","","legacy","txt","false"
"SyslogUserErr","SyslogUserErr","","","","","Syslog","Parsers/SyslogAUOMS/SyslogUserErr.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/SyslogAUOMS/SyslogUserErr.txt","","","legacy","txt","false"
"Sysmon-AllVersions_Parser","Sysmon-AllVersions_Parser","","","","","Event","Parsers/Sysmon/Sysmon-AllVersions_Parser.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Sysmon/Sysmon-AllVersions_Parser.txt","","","legacy","txt","false"
"Sysmon-v10.42-Parser","Sysmon-v10.42-Parser","","","","","Event","Parsers/Sysmon/Sysmon-v10.42-Parser.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Sysmon/Sysmon-v10.42-Parser.txt","","","legacy","txt","false"
"Sysmon-v11.0","Sysmon-v11.0","","","","","Event","Parsers/Sysmon/Sysmon-v11.0.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Sysmon/Sysmon-v11.0.txt","","","legacy","txt","false"
"Sysmon-v12.0","Sysmon-v12.0","","","","","Event","Parsers/Sysmon/Sysmon-v12.0.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Sysmon/Sysmon-v12.0.txt","","","legacy","txt","false"
"Sysmon-v9.10-Parser","Sysmon-v9.10-Parser","","","","","Event","Parsers/Sysmon/Sysmon-v9.10-Parser.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/Sysmon/Sysmon-v9.10-Parser.txt","","","legacy","txt","false"
"Zoom","Zoom","","","","","Zoom_CL","Parsers/ZoomReports/Zoom.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ZoomReports/Zoom.txt","","","legacy","txt","false"
"AIShield","Parser for AIShield","1.0.1","2023-12-21","Microsoft Sentinel Parser","","AIShield_CL","Solutions/AIShield AI Security Monitoring/Parsers/AIShield.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring/Parsers/AIShield.yaml","AIShield AI Security Monitoring","AIShield AI Security Monitoring","solution","yaml","false"
"Guardian","Parser for Guardian","1.0.0","2025-02-19","Microsoft Sentinel Parser","","Guardian_CL","Solutions/AIShield AI Security Monitoring/Parsers/Guardian.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AIShield%20AI%20Security%20Monitoring/Parsers/Guardian.yaml","AIShield AI Security Monitoring","AIShield AI Security Monitoring","solution","yaml","false"
"AkamaiSIEMEvent","Parser for AkamaiSIEMEvent","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CommonSecurityLog","Solutions/Akamai Security Events/Parsers/AkamaiSIEMEvent.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events/Parsers/AkamaiSIEMEvent.yaml","Akamai Security Events","Akamai Security Events","solution","yaml","false"
"AliCloud","Parser for AliCloud","1.0.0","2023-08-23","Microsoft Sentinel Parser","","AliCloud_CL","Solutions/Alibaba Cloud/Parsers/AliCloud.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud/Parsers/AliCloud.yaml","Alibaba Cloud","Alibaba Cloud","solution","yaml","false"
"afad_parser.kql","Parser for afad_parser.kql","1.0.0","2023-08-23","Microsoft Sentinel Parser","","AlsidForADLog_CL, USAGE, alert","Solutions/Alsid For AD/Parsers/afad_parser.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alsid%20For%20AD/Parsers/afad_parser.yaml","Alsid For AD","Alsid For AD","solution","yaml","true"
"ApacheHTTPServer","Parser for ApacheHTTPServer","1.0.0","2023-08-23","Microsoft Sentinel Parser","","ApacheHTTPServer_CL","Solutions/ApacheHTTPServer/Parsers/ApacheHTTPServer.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ApacheHTTPServer/Parsers/ApacheHTTPServer.yaml","ApacheHTTPServer","ApacheHTTPServer","solution","yaml","false"
"ApacheHTTPServer","ApacheHTTPServer","","","","","ApacheHTTPServer_CL","Solutions/ApacheHTTPServer/Parsers/ApacheHTTPServer.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ApacheHTTPServer/Parsers/ApacheHTTPServer.txt","ApacheHTTPServer","ApacheHTTPServer","solution","txt","true"
"ArmisActivities","Parser for ArmisActivities","1.0.1","2025-12-05","Microsoft Sentinel Parser","","Armis_Activities_CL","Solutions/Armis/Parsers/ArmisActivities.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Parsers/ArmisActivities.yaml","Armis","Armis","solution","yaml","false"
"ArmisAlerts","Parser for ArmisAlerts","1.0.1","2025-12-05","Microsoft Sentinel Parser","","Armis_Alerts_CL","Solutions/Armis/Parsers/ArmisAlerts.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Parsers/ArmisAlerts.yaml","Armis","Armis","solution","yaml","false"
"ArmisDevice","Parser for ArmisDevice","1.0.1","2025-12-05","Microsoft Sentinel Parser","","Armis_Devices_CL","Solutions/Armis/Parsers/ArmisDevice.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Parsers/ArmisDevice.yaml","Armis","Armis","solution","yaml","false"
"ArubaClearPass","Parser for ArubaClearPass","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CommonSecurityLog","Solutions/Aruba ClearPass/Parsers/ArubaClearPass.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass/Parsers/ArubaClearPass.yaml","Aruba ClearPass","Aruba ClearPass","solution","yaml","false"
"ConfluenceAudit","Parser for ConfluenceAudit","1.0.0","2025-04-11","Microsoft Sentinel Parser","","Confluence_Audit_CL","Solutions/AtlassianConfluenceAudit/Parsers/ConfluenceAudit.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit/Parsers/ConfluenceAudit.yaml","AtlassianConfluenceAudit","AtlassianConfluenceAudit","solution","yaml","false"
"JiraAudit","Parser for Jira Audit Logs","3.0.0","2024-01-29","Microsoft Sentinel Parser","","Jira_Audit_CL, Jira_Audit_v2_CL","Solutions/AtlassianJiraAudit/Parsers/JiraAudit.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit/Parsers/JiraAudit.yaml","AtlassianJiraAudit","AtlassianJiraAudit","solution","yaml","false"
"Auth0","Parser for Auth0","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Auth0AM_CL, Auth0_CL","Solutions/Auth0/Parsers/Auth0.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0/Parsers/Auth0.yaml","Auth0","Auth0","solution","yaml","false"
"Auth0AM","Parser for Auth0 Auth0AM_CL","1.0.0","2023-12-07","Microsoft Sentinel Parser","","Auth0AM_CL, Auth0Logs_CL, Operation, Update, import, imported, update","Solutions/Auth0/Parsers/Auth0AM.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0/Parsers/Auth0AM.yaml","Auth0","Auth0","solution","yaml","false"
"ADOAuditLogs","Backward Compatibility Parser for Azure DevOps Audit Logs","1.0.0","2025-04-06","Microsoft Sentinel Parser","|","ADOAuditLogs_CL, AzureDevOpsAuditing","Solutions/AzureDevOpsAuditing/Parsers/ADOAuditLogs.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AzureDevOpsAuditing/Parsers/ADOAuditLogs.yaml","AzureDevOpsAuditing","AzureDevOpsAuditing","solution","yaml","false"
"CGFWFirewallActivity","Parser for CGFWFirewallActivity","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Barracuda CloudGen Firewall/Parsers/CGFWFirewallActivity.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Barracuda%20CloudGen%20Firewall/Parsers/CGFWFirewallActivity.yaml","Barracuda CloudGen Firewall","Barracuda CloudGen Firewall","solution","yaml","false"
"CGFWFirewallActivity","CGFWFirewallActivity","","","","","Syslog","Solutions/Barracuda CloudGen Firewall/Parsers/CGFWFirewallActivity.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Barracuda%20CloudGen%20Firewall/Parsers/CGFWFirewallActivity.txt","Barracuda CloudGen Firewall","Barracuda CloudGen Firewall","solution","txt","true"
"Bitglass","Parser for Bitglass","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitglassLogs_CL","Solutions/Bitglass/Parsers/Bitglass.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Bitglass/Parsers/Bitglass.yaml","Bitglass","Bitglass","solution","yaml","false"
"BitSightAlerts","Parser for BitSightAlerts","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightAlerts_data_CL","Solutions/BitSight/Parsers/BitSightAlerts.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightAlerts.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightBreaches","Parser for BitSightBreaches","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightBreaches_data_CL","Solutions/BitSight/Parsers/BitSightBreaches.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightBreaches.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightCompanyDetails","Parser for BitSightCompanyDetails","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightCompany_details_CL","Solutions/BitSight/Parsers/BitSightCompanyDetails.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightCompanyDetails.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightCompanyRatings","Parser for BitSightCompanyRatings","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightCompany_rating_details_CL","Solutions/BitSight/Parsers/BitSightCompanyRatings.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightCompanyRatings.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightDiligenceHistoricalStatistics","Parser for BitSightDiligenceHistoricalStatistics","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightDiligence_historical_statistics_CL","Solutions/BitSight/Parsers/BitSightDiligenceHistoricalStatistics.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightDiligenceHistoricalStatistics.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightDiligenceStatistics","Parser for BitSightDiligenceStatistics","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightDiligence_statistics_CL","Solutions/BitSight/Parsers/BitSightDiligenceStatistics.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightDiligenceStatistics.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightFindingsData","Parser for BitSightFindingsData","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightFindings_data_CL","Solutions/BitSight/Parsers/BitSightFindingsData.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightFindingsData.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightFindingsSummary","Parser for BitSightFindingsSummary","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightFindings_summary_CL","Solutions/BitSight/Parsers/BitSightFindingsSummary.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightFindingsSummary.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightGraphData","Parser for BitSightGraphData","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightGraph_data_CL","Solutions/BitSight/Parsers/BitSightGraphData.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightGraphData.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightIndustrialStatistics","Parser for BitSightIndustrialStatistics","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightIndustrial_statistics_CL","Solutions/BitSight/Parsers/BitSightIndustrialStatistics.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightIndustrialStatistics.yaml","BitSight","BitSight","solution","yaml","false"
"BitSightObservationStatistics","Parser for BitSightObservationStatistics","1.0.0","2023-08-23","Microsoft Sentinel Parser","","BitsightObservation_statistics_CL","Solutions/BitSight/Parsers/BitSightObservationStatistics.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/BitSight/Parsers/BitSightObservationStatistics.yaml","BitSight","BitSight","solution","yaml","false"
"BitwardenEventLogs","Bitwarden Event Logs","1.0.0","2024-05-12","Microsoft Sentinel Parser","","BitwardenEventLogs_CL, BitwardenGroups_CL, BitwardenMembers_CL","Solutions/Bitwarden/Parsers/BitwardenEventLogs.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Bitwarden/Parsers/BitwardenEventLogs.yaml","Bitwarden","Bitwarden","solution","yaml","false"
"CylancePROTECT-old","Parser for CylancePROTECT-old","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Blackberry CylancePROTECT/Parsers/CylancePROTECT-old.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Blackberry%20CylancePROTECT/Parsers/CylancePROTECT-old.yaml","Blackberry CylancePROTECT","Blackberry CylancePROTECT","solution","yaml","true"
"CylancePROTECT","Parser for CylancePROTECT","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog, syslog","Solutions/Blackberry CylancePROTECT/Parsers/CylancePROTECT.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Blackberry%20CylancePROTECT/Parsers/CylancePROTECT.yaml","Blackberry CylancePROTECT","Blackberry CylancePROTECT","solution","yaml","false"
"CylancePROTECT-old","CylancePROTECT-old","","","","","Syslog","Solutions/Blackberry CylancePROTECT/Parsers/CylancePROTECT-old.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Blackberry%20CylancePROTECT/Parsers/CylancePROTECT-old.txt","Blackberry CylancePROTECT","Blackberry CylancePROTECT","solution","txt","true"
"CylancePROTECT","CylancePROTECT","","","","","Syslog, syslog","Solutions/Blackberry CylancePROTECT/Parsers/CylancePROTECT.txt","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Blackberry%20CylancePROTECT/Parsers/CylancePROTECT.txt","Blackberry CylancePROTECT","Blackberry CylancePROTECT","solution","txt","true"
"BoxEvents","Parser for BoxEvents","2.0.0","2024-09-24","Microsoft Sentinel Parser","","BoxEventsV2_CL, BoxEvents_CL","Solutions/Box/Parsers/BoxEvents.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Box/Parsers/BoxEvents.yaml","Box","Box","solution","yaml","false"
"SymantecDLP","Parser for SymantecDLP","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CommonSecurityLog","Solutions/Broadcom SymantecDLP/Parsers/SymantecDLP.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Broadcom%20SymantecDLP/Parsers/SymantecDLP.yaml","Broadcom SymantecDLP","Broadcom SymantecDLP","solution","yaml","false"
"CiscoACIEvent","Parser for CiscoACIEvent","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Cisco ACI/Parsers/CiscoACIEvent.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20ACI/Parsers/CiscoACIEvent.yaml","Cisco ACI","Cisco ACI","solution","yaml","false"
"CiscoISEEvent","Parser for CiscoISEEvent","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Cisco ISE/Parsers/CiscoISEEvent.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20ISE/Parsers/CiscoISEEvent.yaml","Cisco ISE","Cisco ISE","solution","yaml","false"
"CiscoSDWANNetflow","Parser for CiscoSDWANNetflow","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CiscoSDWANNetflow_CL","Solutions/Cisco SD-WAN/Parsers/CiscoSDWANNetflow.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20SD-WAN/Parsers/CiscoSDWANNetflow.yaml","Cisco SD-WAN","Cisco SD-WAN","solution","yaml","true"
"CiscoSyslogFW6LogSummary","Parser for CiscoSyslogFW6LogSummary","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Cisco SD-WAN/Parsers/CiscoSyslogFW6LogSummary.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20SD-WAN/Parsers/CiscoSyslogFW6LogSummary.yaml","Cisco SD-WAN","Cisco SD-WAN","solution","yaml","true"
"CiscoSyslogUTD","Parser for CiscoSyslogUTD","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Cisco SD-WAN/Parsers/CiscoSyslogUTD.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20SD-WAN/Parsers/CiscoSyslogUTD.yaml","Cisco SD-WAN","Cisco SD-WAN","solution","yaml","true"
"MapNetflowUsername","Parser for MapNetflowUsername","1.0.0","2023-08-23","Microsoft Sentinel Parser","","","Solutions/Cisco SD-WAN/Parsers/MapNetflowUsername.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20SD-WAN/Parsers/MapNetflowUsername.yaml","Cisco SD-WAN","Cisco SD-WAN","solution","yaml","true"
"StealthwatchEvent","Parser for StealthwatchEvent","1.0.0","2023-08-23","Microsoft Sentinel Parser","","Syslog","Solutions/Cisco Secure Cloud Analytics/Parsers/StealthwatchEvent.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20Secure%20Cloud%20Analytics/Parsers/StealthwatchEvent.yaml","Cisco Secure Cloud Analytics","Cisco Secure Cloud Analytics","solution","yaml","false"
"CiscoSecureEndpoint","Parser for CiscoSecureEndpoint","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CiscoSecureEndpointAuditLogsV2_CL, CiscoSecureEndpointEventsV2_CL, CiscoSecureEndpoint_CL","Solutions/Cisco Secure Endpoint/Parsers/CiscoSecureEndpoint.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20Secure%20Endpoint/Parsers/CiscoSecureEndpoint.yaml","Cisco Secure Endpoint","Cisco Secure Endpoint","solution","yaml","false"
"CiscoUCS","Parser for CiscoUCS","1.1.0","2024-07-30","Microsoft Sentinel Parser","","ASimSourceType, EVENT, Syslog","Solutions/Cisco UCS/Parsers/CiscoUCS.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Cisco%20UCS/Parsers/CiscoUCS.yaml","Cisco UCS","Cisco UCS","solution","yaml","false"
"CiscoDuo","Parser for CiscoDuo","1.0.0","2023-08-23","Microsoft Sentinel Parser","","CiscoDuo_CL","Solutions/CiscoDuoSecurity/Parsers/CiscoDuo.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoDuoSecurity/Parsers/CiscoDuo.yaml","CiscoDuoSecurity","CiscoDuoSecurity","solution","yaml","false"
"CiscoMeraki","Parser for CiscoMeraki","1.0.1","2024-06-27","Microsoft Sentinel Parser","","CiscoMerakiNativePoller_CL, Syslog, meraki_CL","Solutions/CiscoMeraki/Parsers/CiscoMeraki.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoMeraki/Parsers/CiscoMeraki.yaml","CiscoMeraki","CiscoMeraki","solution","yaml","false"
"CiscoSEGEvent","Parser for CiscoSEGEvent","1.0.1","2024-12-02","Microsoft Sentinel Parser","","CommonSecurityLog","Solutions/CiscoSEG/Parsers/CiscoSEGEvent.yaml","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CiscoSEG/Parsers/CiscoSEGEvent.yaml","CiscoSEG","CiscoSEG","solution","yaml","false"
