"solution_name","dependency_solution_name","dependency_solution_id","dependency_type","asim_schema"
"GDPR Compliance & Data Security","Microsoft Purview Information Protection","azuresentinel.azure-sentinel-solution-mip","explicit",""
"GDPR Compliance & Data Security","","azuresentinel.sentinel4sql","explicit",""
"GDPR Compliance & Data Security","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"GDPR Compliance & Data Security","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"GitLab","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"ISC Bind","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Illumio Core","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Illusive Platform","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Infoblox Cloud Data Connector","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Infoblox NIOS","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Infoblox SOC Insights","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Ivanti Unified Endpoint Management","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"JBoss","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Juniper SRX","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"JuniperIDP","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Legacy IOC based Threat Protection","SquidProxy","azuresentinel.azure-sentinel-solution-squidproxy","explicit",""
"Legacy IOC based Threat Protection","Windows Server DNS","azuresentinel.azure-sentinel-solution-dns","explicit",""
"Legacy IOC based Threat Protection","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"Legacy IOC based Threat Protection","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Legacy IOC based Threat Protection","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Legacy IOC based Threat Protection","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Legacy IOC based Threat Protection","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"Legacy IOC based Threat Protection","Infoblox NIOS","azuresentinel.azure-sentinel-solution-infobloxnios","explicit",""
"Legacy IOC based Threat Protection","GoogleCloudPlatformDNS","azuresentinel.azure-sentinel-solution-gcpdns","explicit",""
"Legacy IOC based Threat Protection","NXLogDNSLogs","nxlogltd1589381969261.nxlog_dns_logs","explicit",""
"Legacy IOC based Threat Protection","CiscoUmbrella","azuresentinel.azure-sentinel-solution-ciscoumbrella","explicit",""
"Legacy IOC based Threat Protection","Corelight","corelightinc1584998267292.corelight-for-azure-sentinel","explicit",""
"Legacy IOC based Threat Protection","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Legacy IOC based Threat Protection","Windows Forwarded Events","azuresentinel.azure-sentinel-solution-windowsforwardedevents","explicit",""
"Legacy IOC based Threat Protection","Microsoft Sysmon For Linux","azuresentinel.azure-sentinel-solution-sysmonforlinux","explicit",""
"Legacy IOC based Threat Protection","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Legacy IOC based Threat Protection","Windows Security Events","azuresentinel.azure-sentinel-solution-securityevents","explicit",""
"Legacy IOC based Threat Protection","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Legacy IOC based Threat Protection","Azure Activity","azuresentinel.azure-sentinel-solution-azureactivity","explicit",""
"Legacy IOC based Threat Protection","F5 Big-IP","f5-networks.f5_bigip_mss","explicit",""
"Legacy IOC based Threat Protection","Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","azuresentinel.azure-sentinel-solution-fortinetfortigate","explicit",""
"Legacy IOC based Threat Protection","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Legacy IOC based Threat Protection","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Legacy IOC based Threat Protection","Windows Firewall","azuresentinel.azure-sentinel-solution-windowsfirewall","explicit",""
"Malware Protection Essentials","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Malware Protection Essentials","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Malware Protection Essentials","Azure Network Security Groups","azuresentinel.azure-sentinel-solution-networksecuritygroup","explicit",""
"Malware Protection Essentials","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Malware Protection Essentials","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"Malware Protection Essentials","CiscoMeraki","azuresentinel.azure-sentinel-solution-ciscomeraki","explicit",""
"Malware Protection Essentials","Corelight","corelightinc1584998267292.corelight-for-azure-sentinel","explicit",""
"Malware Protection Essentials","","Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","explicit",""
"Malware Protection Essentials","IoTOTThreatMonitoringwithDefenderforIoT","azuresentinel.azure-sentinel-solution-unifiedmicrosoftsocforot","explicit",""
"Malware Protection Essentials","Microsoft Defender for Cloud","azuresentinel.azure-sentinel-solution-microsoftdefenderforcloud","explicit",""
"Malware Protection Essentials","Microsoft Sysmon For Linux","azuresentinel.azure-sentinel-solution-sysmonforlinux","explicit",""
"Malware Protection Essentials","Windows Firewall","azuresentinel.azure-sentinel-solution-windowsfirewall","explicit",""
"Malware Protection Essentials","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Malware Protection Essentials","Vectra AI Stream","vectraaiinc.vectra_sentinel_solution","explicit",""
"Malware Protection Essentials","Watchguard Firebox","watchguard-technologies.watchguard_firebox_mss","explicit",""
"Malware Protection Essentials","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"MarkLogicAudit","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"McAfee Network Security Platform","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"McAfee ePolicy Orchestrator","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Microsoft Sysmon For Linux","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"MongoDBAudit","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Multi Cloud Attack Coverage Essentials - Resource Abuse","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Multi Cloud Attack Coverage Essentials - Resource Abuse","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"Multi Cloud Attack Coverage Essentials - Resource Abuse","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Multi Cloud Attack Coverage Essentials - Resource Abuse","GoogleCloudPlatformIAM","azuresentinel.azure-sentinel-solution-gcpiam","explicit",""
"Multi Cloud Attack Coverage Essentials - Resource Abuse","Google Cloud Platform Audit Logs","azuresentinel.azure-sentinel-solution-gcpauditlogs-api","explicit",""
"NGINX HTTP Server","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Nasuni","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Network Session Essentials","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Network Session Essentials","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Network Session Essentials","Azure Network Security Groups","azuresentinel.azure-sentinel-solution-networksecuritygroup","explicit",""
"Network Session Essentials","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Network Session Essentials","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"Network Session Essentials","CiscoMeraki","azuresentinel.azure-sentinel-solution-ciscomeraki","explicit",""
"Network Session Essentials","Corelight","corelightinc1584998267292.corelight-for-azure-sentinel","explicit",""
"Network Session Essentials","Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","azuresentinel.azure-sentinel-solution-fortinetfortigate","explicit",""
"Network Session Essentials","IoTOTThreatMonitoringwithDefenderforIoT","azuresentinel.azure-sentinel-solution-unifiedmicrosoftsocforot","explicit",""
"Network Session Essentials","Microsoft Defender for Cloud","azuresentinel.azure-sentinel-solution-microsoftdefenderforcloud","explicit",""
"Network Session Essentials","Microsoft Sysmon For Linux","azuresentinel.azure-sentinel-solution-sysmonforlinux","explicit",""
"Network Session Essentials","Windows Firewall","azuresentinel.azure-sentinel-solution-windowsfirewall","explicit",""
"Network Session Essentials","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Network Session Essentials","Vectra AI Stream","vectraaiinc.vectra_sentinel_solution","explicit",""
"Network Session Essentials","Watchguard Firebox","watchguard-technologies.watchguard_firebox_mss","explicit",""
"Network Session Essentials","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"Network Session Essentials","IllumioSaaS","illumioinc1629822633689.illumio_sentinel","explicit",""
"Network Threat Protection Essentials","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Network Threat Protection Essentials","Amazon Web Services","azuresentinel.azure-sentinel-solution-amazonwebservices","explicit",""
"Network Threat Protection Essentials","Windows Server DNS","azuresentinel.azure-sentinel-solution-dns","explicit",""
"Network Threat Protection Essentials","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Network Threat Protection Essentials","Windows Forwarded Events","azuresentinel.azure-sentinel-solution-windowsforwardedevents","explicit",""
"Network Threat Protection Essentials","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"Network Threat Protection Essentials","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Network Threat Protection Essentials","Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","azuresentinel.azure-sentinel-solution-fortinetfortigate","explicit",""
"Network Threat Protection Essentials","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Netwrix Auditor","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"NozomiNetworks","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"OSSEC","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Onapsis Platform","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"OpenVPN","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"OracleDatabaseAudit","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"OracleWebLogicServer","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"PaloAlto-PAN-OS","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"PaloAltoCDL","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"PingFederate","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"PostgreSQL","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Pulse Connect Secure","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"RSA SecurID","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"RidgeSecurity","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"SOX IT Compliance","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"SOX IT Compliance","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"SOX IT Compliance","","azuresentinel.azure-sentinel-solution-microsoft365","explicit",""
"SOX IT Compliance","Azure Activity","azuresentinel.azure-sentinel-solution-azureactivity","explicit",""
"SOX IT Compliance","","azuresentinel.sentinel4sql","explicit",""
"SOX IT Compliance","","azuresentinel.azure-sentinel-solution-windowssecurityevents","explicit",""
"SOX IT Compliance","","azuresentinel.azure-sentinel-solution-userentitybehavioranalytics","explicit",""
"SecurityThreatEssentialSolution","Microsoft Entra ID","azuresentinel.azure-sentinel-solution-azureactivedirectory","explicit",""
"SecurityThreatEssentialSolution","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"SecurityThreatEssentialSolution","Azure Activity","azuresentinel.azure-sentinel-solution-azureactivity","explicit",""
"SecurityThreatEssentialSolution","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"SecurityThreatEssentialSolution","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"SecurityThreatEssentialSolution","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"SonicWall Firewall","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Sophos XG Firewall","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"SquidProxy","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Symantec Endpoint Protection","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Symantec VIP","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"SymantecProxySG","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Tomcat","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Trend Micro Apex One","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Trend Micro Deep Security","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Trend Micro TippingPoint","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Ubiquiti UniFi","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"VMWareESXi","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"VMware vCenter","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"Vectra AI Detect","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Votiro","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Watchguard Firebox","Syslog","azuresentinel.azure-sentinel-solution-syslog","explicit",""
"Web Session Essentials","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Web Session Essentials","SquidProxy","azuresentinel.azure-sentinel-solution-squidproxy","explicit",""
"Web Session Essentials","Vectra AI Stream","vectraaiinc.vectra_sentinel_solution","explicit",""
"Web Session Essentials","","zscaler1579058425289.zscaler_internet_access_mss","explicit",""
"Web Shells Threat Protection","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Web Shells Threat Protection","Windows Security Events","azuresentinel.azure-sentinel-solution-securityevents","explicit",""
"Web Shells Threat Protection","Azure Web Application Firewall (WAF)","azuresentinel.azure-sentinel-solution-azurewebapplicationfirewal","explicit",""
"WireX Network Forensics Platform","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"WithSecureElementsViaConnector","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Zinc Open Source","Windows Security Events","azuresentinel.azure-sentinel-solution-securityevents","explicit",""
"Zinc Open Source","Microsoft Defender XDR","azuresentinel.azure-sentinel-solution-microsoft365defender","explicit",""
"Zinc Open Source","Windows Server DNS","azuresentinel.azure-sentinel-solution-dns","explicit",""
"Zinc Open Source","F5 Big-IP","f5-networks.f5_bigip_mss","explicit",""
"Zinc Open Source","CiscoASA","azuresentinel.azure-sentinel-solution-ciscoasa","explicit",""
"Zinc Open Source","PaloAlto-PAN-OS","azuresentinel.azure-sentinel-solution-paloaltopanos","explicit",""
"Zinc Open Source","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"Zinc Open Source","Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel","azuresentinel.azure-sentinel-solution-fortinetfortigate","explicit",""
"Zinc Open Source","Check Point","checkpoint.checkpoint-sentinel-solutions","explicit",""
"Zinc Open Source","Microsoft 365","azuresentinel.azure-sentinel-solution-office365","explicit",""
"Zinc Open Source","Azure Firewall","sentinel4azurefirewall.sentinel4azurefirewall","explicit",""
"Zinc Open Source","Windows Firewall","azuresentinel.azure-sentinel-solution-windowsfirewall","explicit",""
"Zinc Open Source","Windows Forwarded Events","azuresentinel.azure-sentinel-solution-windowsforwardedevents","explicit",""
"Zscaler Private Access (ZPA)","CustomLogsAma","azuresentinel.azure-sentinel-solution-customlogsviaama","explicit",""
"iboss","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
"vArmour Application Controller","Common Event Format","azuresentinel.azure-sentinel-solution-commoneventformat","explicit",""
