"table_name","description","category","support_tier","collection_method","solutions","resource_types","table_type","source_azure_monitor","source_defender_xdr","xdr_only","source_feature_support","source_ingestion_api","source_sentinel_tables","azure_monitor_doc_link","defender_xdr_doc_link","basic_logs_eligible","supports_transformations","ingestion_api_supported","lake_only_supported"
"AADDomainServicesLogonLogoff","Reference for AADDomainServicesLogonLogoff table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainserviceslogonlogoff","","No","Yes","No","No"
"AADDomainServicesPolicyChange","Reference for AADDomainServicesPolicyChange table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicespolicychange","","No","Yes","No","No"
"AADDomainServicesPrivilegeUse","Reference for AADDomainServicesPrivilegeUse table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicesprivilegeuse","","No","Yes","No","No"
"AADDomainServicesSystemSecurity","Reference for AADDomainServicesSystemSecurity table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.aad/domainservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaddomainservicessystemsecurity","","No","No","No","No"
"AADGraphActivityLogs","Reference for AADGraphActivityLogs table in Azure Monitor Logs.","Entra","","","LogManagement","microsoft.azureadgraph/tenants","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadgraphactivitylogs","","Yes","Yes","No","Yes"
"AADManagedIdentitySignInLogs","Reference for AADManagedIdentitySignInLogs table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadmanagedidentitysigninlogs","","Yes","Yes","No","Yes"
"AADNonInteractiveUserSignInLogs","Reference for AADNonInteractiveUserSignInLogs table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadnoninteractiveusersigninlogs","","Yes","Yes","No","Yes"
"AADProvisioningLogs","Reference for AADProvisioningLogs table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadprovisioninglogs","","Yes","Yes","No","Yes"
"AADRiskyAgents","Reference for AADRiskyAgents table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyagents","","Yes","No","No","Yes"
"AADRiskyServicePrincipals","Reference for AADRiskyServicePrincipals table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyserviceprincipals","","Yes","Yes","No","Yes"
"AADRiskyUsers","Reference for AADRiskyUsers table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadriskyusers","","Yes","Yes","No","Yes"
"AADServicePrincipalRiskEvents","Reference for AADServicePrincipalRiskEvents table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadserviceprincipalriskevents","","Yes","Yes","No","Yes"
"AADServicePrincipalSignInLogs","Reference for AADServicePrincipalSignInLogs table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aadserviceprincipalsigninlogs","","Yes","Yes","No","Yes"
"AADSignInEventsBeta","Microsoft Entra interactive and non-interactive sign-ins","Entra","","","","","","No","Yes","Yes","No","No","No","","https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-aadsignineventsbeta-table","","","No",""
"AADSpnSignInEventsBeta","Microsoft Entra service principal and managed identity sign-ins","Entra","","","","","","No","Yes","Yes","No","No","No","","https://learn.microsoft.com/en-us/defender-xdr/advanced-hunting-aadspnsignineventsbeta-table","","","No",""
"AADUserRiskEvents","Reference for AADUserRiskEvents table in Azure Monitor Logs.","Entra","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/aaduserriskevents","","Yes","Yes","No","Yes"
"ABAPAuditLog","Reference for ABAPAuditLog table in Azure Monitor Logs.","Security","","","SecurityInsights","-","","Yes","No","No","Yes","Yes","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapauditlog","","Yes","Yes","Yes","Yes"
"ABAPAuthorizationDetails","Reference for ABAPAuthorizationDetails table in Azure Monitor Logs.","Security","","REST Pull API","SecurityInsights","-","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapauthorizationdetails","","Yes","Yes","Yes","Yes"
"ABAPChangeDocsLog","Reference for ABAPChangeDocsLog table in Azure Monitor Logs.","Security","","REST Pull API","SecurityInsights","-","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapchangedocslog","","Yes","Yes","Yes","Yes"
"ABAPTableDataLog","Reference for ABAPTableDataLog table in Azure Monitor Logs.","Security","","","SecurityInsights","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abaptabledatalog","","Yes","Yes","No","Yes"
"ABAPUserDetails","Reference for ABAPUserDetails table in Azure Monitor Logs.","Security","","REST Pull API","SecurityInsights","-","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/abapuserdetails","","Yes","Yes","Yes","Yes"
"ABNORMAL_CASES_CL","","","","","","","","No","No","No","No","No","Yes","","","","No","Yes","No"
"ABNORMAL_THREAT_MESSAGES_CL","","","","","","","","No","No","No","No","No","Yes","","","","No","Yes","No"
"ABSBotRequests","Reference for ABSBotRequests table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.botservice/botservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/absbotrequests","","No","Yes","No","No"
"ACICollaborationAudit","Reference for ACICollaborationAudit table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.datacollaboration/workspaces","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acicollaborationaudit","","No","Yes","No","No"
"ACLTransactionLogs","Reference for ACLTransactionLogs table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.confidentialledger/ledgers","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acltransactionlogs","","Yes","No","No","No"
"ACLUserDefinedLogs","Reference for ACLUserDefinedLogs table in Azure Monitor Logs.","Applications, Audit, Azure Resources","","","LogManagement","microsoft.confidentialledger/ledgers","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acluserdefinedlogs","","Yes","No","No","No"
"ACRConnectedClientList","Reference for ACRConnectedClientList table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.cache/redis","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acrconnectedclientlist","","Yes","Yes","No","Yes"
"ACREntraAuthenticationAuditLog","Reference for ACREntraAuthenticationAuditLog table in Azure Monitor Logs.","Audit, Azure Resources","","","LogManagement","microsoft.cache/redis","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acrentraauthenticationauditlog","","Yes","Yes","No","Yes"
"ACSAdvancedMessagingOperations","Reference for ACSAdvancedMessagingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsadvancedmessagingoperations","","Yes","Yes","No","Yes"
"ACSAuthIncomingOperations","Reference for ACSAuthIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsauthincomingoperations","","No","Yes","No","Yes"
"ACSBillingUsage","Reference for ACSBillingUsage table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsbillingusage","","No","Yes","No","Yes"
"ACSCallAutomationIncomingOperations","Reference for ACSCallAutomationIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationincomingoperations","","Yes","Yes","No","Yes"
"ACSCallAutomationMediaSummary","Reference for ACSCallAutomationMediaSummary table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationmediasummary","","Yes","Yes","No","Yes"
"ACSCallAutomationStreamingUsage","Reference for ACSCallAutomationStreamingUsage table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallautomationstreamingusage","","Yes","Yes","No","Yes"
"ACSCallClientMediaStatsTimeSeries","Reference for ACSCallClientMediaStatsTimeSeries table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientmediastatstimeseries","","Yes","Yes","No","Yes"
"ACSCallClientOperations","Reference for ACSCallClientOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientoperations","","Yes","Yes","No","Yes"
"ACSCallClientServiceRequestAndOutcome","Reference for ACSCallClientServiceRequestAndOutcome table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclientservicerequestandoutcome","","Yes","Yes","No","Yes"
"ACSCallClosedCaptionsSummary","Reference for ACSCallClosedCaptionsSummary table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallclosedcaptionssummary","","Yes","Yes","No","Yes"
"ACSCallDiagnostics","Reference for ACSCallDiagnostics table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscalldiagnostics","","Yes","Yes","No","Yes"
"ACSCallDiagnosticsUpdates","Reference for ACSCallDiagnosticsUpdates table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscalldiagnosticsupdates","","Yes","Yes","No","Yes"
"ACSCallRecordingIncomingOperations","Reference for ACSCallRecordingIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallrecordingincomingoperations","","Yes","Yes","No","Yes"
"ACSCallRecordingSummary","Reference for ACSCallRecordingSummary table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallrecordingsummary","","Yes","Yes","No","Yes"
"ACSCallSummary","Reference for ACSCallSummary table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsummary","","Yes","Yes","No","Yes"
"ACSCallSummaryUpdates","Reference for ACSCallSummaryUpdates table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsummaryupdates","","Yes","Yes","No","Yes"
"ACSCallSurvey","Reference for ACSCallSurvey table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallsurvey","","No","Yes","No","Yes"
"ACSCallingMetrics","Reference for ACSCallingMetrics table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acscallingmetrics","","Yes","Yes","No","Yes"
"ACSChatIncomingOperations","Reference for ACSChatIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acschatincomingoperations","","No","Yes","No","Yes"
"ACSEmailSendMailOperational","Reference for ACSEmailSendMailOperational table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailsendmailoperational","","No","Yes","No","Yes"
"ACSEmailStatusUpdateOperational","Reference for ACSEmailStatusUpdateOperational table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailstatusupdateoperational","","No","Yes","No","Yes"
"ACSEmailUserEngagementOperational","Reference for ACSEmailUserEngagementOperational table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsemailuserengagementoperational","","No","Yes","No","Yes"
"ACSJobRouterIncomingOperations","Reference for ACSJobRouterIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsjobrouterincomingoperations","","Yes","Yes","No","Yes"
"ACSOptOutManagementOperations","Reference for ACSOptOutManagementOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsoptoutmanagementoperations","","Yes","Yes","No","Yes"
"ACSRoomsIncomingOperations","Reference for ACSRoomsIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acsroomsincomingoperations","","Yes","Yes","No","Yes"
"ACSSMSIncomingOperations","Reference for ACSSMSIncomingOperations table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.communication/communicationservices","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/acssmsincomingoperations","","Yes","Yes","No","Yes"
"ADAssessmentRecommendation","Reference for ADAssessmentRecommendation table in Azure Monitor Logs.","Workloads","","AMA","ADAssessment, ADAssessmentPlus, AzureResources","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adassessmentrecommendation","","No","Yes","Yes","No"
"ADFActivityRun","Reference for ADFActivityRun table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfactivityrun","","No","Yes","No","No"
"ADFAirflowSchedulerLogs","Reference for ADFAirflowSchedulerLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowschedulerlogs","","No","Yes","No","No"
"ADFAirflowTaskLogs","Reference for ADFAirflowTaskLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowtasklogs","","No","Yes","No","No"
"ADFAirflowWebLogs","Reference for ADFAirflowWebLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowweblogs","","No","Yes","No","No"
"ADFAirflowWorkerLogs","Reference for ADFAirflowWorkerLogs table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfairflowworkerlogs","","No","Yes","No","No"
"ADFPipelineRun","Reference for ADFPipelineRun table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfpipelinerun","","No","Yes","No","No"
"ADFSSISIntegrationRuntimeLogs","Reference for ADFSSISIntegrationRuntimeLogs table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssisintegrationruntimelogs","","No","Yes","No","No"
"ADFSSISPackageEventMessageContext","Reference for ADFSSISPackageEventMessageContext table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssispackageeventmessagecontext","","No","Yes","No","No"
"ADFSSISPackageEventMessages","Reference for ADFSSISPackageEventMessages table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssispackageeventmessages","","No","Yes","No","No"
"ADFSSISPackageExecutableStatistics","Reference for ADFSSISPackageExecutableStatistics table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssispackageexecutablestatistics","","No","Yes","No","No"
"ADFSSISPackageExecutionComponentPhases","Reference for ADFSSISPackageExecutionComponentPhases table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssispackageexecutioncomponentphases","","No","Yes","No","No"
"ADFSSISPackageExecutionDataStatistics","Reference for ADFSSISPackageExecutionDataStatistics table in Azure Monitor Logs.","-","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssispackageexecutiondatastatistics","","No","Yes","No","No"
"ADFSSignInLogs","Reference for ADFSSignInLogs table in Azure Monitor Logs.","Audit, Security","","","LogManagement","-","","Yes","No","No","Yes","No","Yes","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfssigninlogs","","Yes","Yes","No","Yes"
"ADFSandboxActivityRun","Reference for ADFSandboxActivityRun table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfsandboxactivityrun","","No","Yes","No","No"
"ADFSandboxPipelineRun","Reference for ADFSandboxPipelineRun table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adfsandboxpipelinerun","","No","Yes","No","No"
"ADFTriggerRun","Reference for ADFTriggerRun table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.datafactory/factories","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adftriggerrun","","No","Yes","No","Yes"
"ADGSyslogEvent","Reference for ADGSyslogEvent table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.network/networkvirtualappliances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adgsyslogevent","","No","No","No","No"
"ADOAuditLogs_CL","","","","","","","","No","No","No","No","No","Yes","","","","Yes","Yes","Yes"
"ADReplicationResult","Reference for ADReplicationResult table in Azure Monitor Logs.","Workloads","","","ADReplication, AzureResources","microsoft.compute/virtualmachines, microsoft.conenctedvmwarevsphere/virtualmachines, microsoft.azurestackhci/virtualmachines, microsoft.scvmm/virtualmachines","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adreplicationresult","","No","Yes","No","No"
"ADSecurityAssessmentRecommendation","Reference for ADSecurityAssessmentRecommendation table in Azure Monitor Logs.","Workloads","","","ADSecurityAssessment, AzureResources","-","","Yes","No","No","Yes","Yes","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adsecurityassessmentrecommendation","","No","Yes","Yes","No"
"ADTDataHistoryOperation","Reference for ADTDataHistoryOperation table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.digitaltwins/digitaltwinsinstances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adtdatahistoryoperation","","No","Yes","No","No"
"ADTDigitalTwinsOperation","Reference for ADTDigitalTwinsOperation table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.digitaltwins/digitaltwinsinstances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adtdigitaltwinsoperation","","No","Yes","No","No"
"ADTEventRoutesOperation","Reference for ADTEventRoutesOperation table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.digitaltwins/digitaltwinsinstances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adteventroutesoperation","","No","No","No","No"
"ADTModelsOperation","Reference for ADTModelsOperation table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.digitaltwins/digitaltwinsinstances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adtmodelsoperation","","No","Yes","No","No"
"ADTQueryOperation","Reference for ADTQueryOperation table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.digitaltwins/digitaltwinsinstances","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adtqueryoperation","","No","Yes","No","No"
"ADXCommand","Reference for ADXCommand table in Azure Monitor Logs.","-","","","LogManagement","microsoft.kusto/clusters","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adxcommand","","No","Yes","No","No"
"ADXDataOperation","Reference for ADXDataOperation table in Azure Monitor Logs.","-","","","LogManagement","-","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adxdataoperation","","No","No","No","No"
"ADXIngestionBatching","Reference for ADXIngestionBatching table in Azure Monitor Logs.","-","","","LogManagement","microsoft.kusto/clusters","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adxingestionbatching","","No","No","No","No"
"ADXJournal","Reference for ADXJournal table in Azure Monitor Logs.","Azure Resources","","","LogManagement","microsoft.kusto/clusters","","Yes","No","No","Yes","No","No","https://learn.microsoft.com/en-us/azure/azure-monitor/reference/tables/adxjournal","","No","Yes","No","No"
