"solution_name","solution_folder","solution_github_url","connector_id","connector_title","connector_publisher","relevant_file","reason","details"
"CyberArkEPM","CyberArkEPM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CyberArkEPM","CyberArkEPMCCPDefinition","CyberArk EPM","CyberArk","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/CyberArkEPM/Data Connectors/Package/mainTemplate.json","no_table_definitions","mainTemplate connector definition did not expose any table dataTypes."
"Dataminr Pulse","Dataminr Pulse","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Dataminr%20Pulse","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Dataminr%20Pulse/Workbooks/DataminrPulseAlerts.json","content_unknown_table","workbook 'DataminrPulseAlerts' references unknown tables: ASimAuditEvent, ASimDns, ASimNetworkSession, ASimProcessEvent, ASimWebSession, imFileEvent"
"DruvaDataSecurityCloud","DruvaDataSecurityCloud","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/DruvaDataSecurityCloud","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/DruvaDataSecurityCloud/Data Connectors/Druva_ccp/azuredeploy_DruvaEvents_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_DruvaEvents_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Endpoint Threat Protection Essentials","Endpoint Threat Protection Essentials","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials/Hunting%20Queries/BackupDeletion.yaml","content_unknown_table","hunting_query 'Backup Deletion' references unknown tables: imProcessCreate"
"Endpoint Threat Protection Essentials","Endpoint Threat Protection Essentials","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials/Hunting%20Queries/PersistViaIFEORegistryKey.yaml","content_unknown_table","hunting_query 'Persisting via IFEO Registry Key' references unknown tables: imRegistry"
"Endpoint Threat Protection Essentials","Endpoint Threat Protection Essentials","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Endpoint%20Threat%20Protection%20Essentials/Hunting%20Queries/UnicodeObfuscationInCommandLine.yaml","content_unknown_table","hunting_query 'Unicode Obfuscation in Command Line' references unknown tables: imProcessCreate"
"Feedly","Feedly","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Feedly","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Feedly/Data Connectors/azuredeploy_Connector_Feedly_CCP.json","solution_package_template_skipped","Skipped 'azuredeploy_Connector_Feedly_CCP.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Google Cloud Platform Audit Logs","Google Cloud Platform Audit Logs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Google%20Cloud%20Platform%20Audit%20Logs","GCPPub/SubAuditLogs","GCP Pub/Sub Audit Logs","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Google%20Cloud%20Platform%20Audit%20Logs/Data Connectors/GCPAuditLogs.json","loganalytics_mismatch","logAnalyticsTableId 'Microsoft-GCPAuditLogs' differs from detected table tokens ['GCPAuditLogs']"
"Google Cloud Platform Audit Logs","Google Cloud Platform Audit Logs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Google%20Cloud%20Platform%20Audit%20Logs","GCPPub/SubAuditLogs","GCP Pub/Sub Audit Logs","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Google%20Cloud%20Platform%20Audit%20Logs/Data Connectors/GCPAuditLogs.json","loganalytics_mismatch","logAnalyticsTableId 'Microsoft-GCPAuditLogs' differs from detected table tokens ['GCPAuditLogs']"
"GravityZone","GravityZone","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/GravityZone","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/GravityZone/Analytic%20Rules/Incidents.yaml","content_unknown_table","analytic_rule 'NRT GravityZone Incident Alerts' references unknown tables: ASimAlertEventBitdefenderGravityZone"
"Legacy IOC based Threat Protection","Legacy IOC based Threat Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection/Hunting%20Queries/Dev-0322FileDropActivityNovember2021%28ASIMVersion%29.yaml","content_unknown_table","hunting_query 'Dev-0322 File Drop Activity November 2021 (ASIM Version)' references unknown tables: imFileEvent"
"Legacy IOC based Threat Protection","Legacy IOC based Threat Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection/Hunting%20Queries/NetworkConnectiontoOMIPorts.yaml","content_unknown_table","hunting_query 'Connection from external IP to OMI related Ports' references unknown tables: imNetworkSession"
"Legacy IOC based Threat Protection","Legacy IOC based Threat Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection/Hunting%20Queries/NylonTyphoonCommandLineActivity-Nov2021.yaml","content_unknown_table","hunting_query 'Nylon Typhoon Command Line Activity November 2021' references unknown tables: imProcessCreate"
"Legacy IOC based Threat Protection","Legacy IOC based Threat Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Legacy%20IOC%20based%20Threat%20Protection/Hunting%20Queries/NylonTyphoonRegIOCPatterns.yaml","content_unknown_table","hunting_query 'Known Nylon Typhoon Registry modifications patterns' references unknown tables: imRegistry"
"Microsoft 365 Assets","Microsoft 365 Assets","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20365%20Assets","M365Assets","Microsoft 365 Assets (formerly, Office 365)","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20365%20Assets/Data Connectors/M365Asset_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Executable%20uploaded%20to%20SharePoint%20document%20management%20site.yaml","content_unknown_table","analytic_rule 'Dataverse - Executable uploaded to SharePoint document management site' references unknown tables: DataverseSharePointSites"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Export%20activity%20from%20terminated%20or%20notified%20employee.yaml","content_unknown_table","analytic_rule 'Dataverse - Export activity from terminated or notified employee' references unknown tables: MSBizAppsTerminatedEmployees"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Login%20by%20a%20sensitive%20privileged%20user.yaml","content_unknown_table","analytic_rule 'Dataverse - Login by a sensitive privileged user' references unknown tables: MSBizAppsVIPUsers"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Login%20from%20IP%20in%20the%20block%20list.yaml","content_unknown_table","analytic_rule 'Dataverse - Login from IP in the block list' references unknown tables: MSBizAppsNetworkAddresses"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Login%20from%20IP%20not%20in%20the%20allow%20list.yaml","content_unknown_table","analytic_rule 'Dataverse - Login from IP not in the allow list' references unknown tables: MSBizAppsNetworkAddresses"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Mass%20download%20from%20SharePoint%20document%20management.yaml","content_unknown_table","analytic_rule 'Dataverse - Mass download from SharePoint document management' references unknown tables: DataverseSharePointSites"
"Microsoft Business Applications","Microsoft Business Applications","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Business%20Applications/Analytic%20Rules/Dataverse%20-%20Terminated%20employee%20exfiltration%20over%20email.yaml","content_unknown_table","analytic_rule 'Dataverse - Terminated employee exfiltration over email' references unknown tables: MSBizAppsTerminatedEmployees"
"Microsoft Entra ID Assets","Microsoft Entra ID Assets","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Entra%20ID%20Assets","EntraIDAssets","Microsoft Entra ID Assets","Microsoft","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Entra%20ID%20Assets/Data Connectors/EntraIDAssets_DataConnectorDefinition.json","no_table_definitions","Connector definition did not expose any table tokens."
"Microsoft Exchange Security - Exchange On-Premises","Microsoft Exchange Security - Exchange On-Premises","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises/Workbooks/Microsoft%20Exchange%20Admin%20Activity.json","content_unknown_table","workbook 'Microsoft Exchange Admin Activity' references unknown tables: ExchangeConfiguration"
"Microsoft Exchange Security - Exchange On-Premises","Microsoft Exchange Security - Exchange On-Premises","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises/Workbooks/Microsoft%20Exchange%20Least%20Privilege%20with%20RBAC.json","content_unknown_table","workbook 'Microsoft Exchange Least Privilege with RBAC' references unknown tables: ExchangeConfiguration, ExchangeEnvironmentList"
"Microsoft Exchange Security - Exchange On-Premises","Microsoft Exchange Security - Exchange On-Premises","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20On-Premises/Workbooks/Microsoft%20Exchange%20Security%20Review.json","content_unknown_table","workbook 'Microsoft Exchange Security Review' references unknown tables: ExchangeConfiguration, ExchangeEnvironmentList"
"Microsoft Exchange Security - Exchange Online","Microsoft Exchange Security - Exchange Online","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20Online","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20Online/Workbooks/Microsoft%20Exchange%20Least%20Privilege%20with%20RBAC%20-%20Online.json","content_unknown_table","workbook 'Microsoft Exchange Least Privilege with RBAC - Online' references unknown tables: ExchangeConfiguration, ExchangeEnvironmentList"
"Microsoft Exchange Security - Exchange Online","Microsoft Exchange Security - Exchange Online","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20Online","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Microsoft%20Exchange%20Security%20-%20Exchange%20Online/Workbooks/Microsoft%20Exchange%20Security%20Review%20-%20Online.json","content_unknown_table","workbook 'Microsoft Exchange Security Review - Online' references unknown tables: ExchangeConfiguration, ExchangeEnvironmentList"
"NXLog BSM macOS","NXLog BSM macOS","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/NXLog%20BSM%20macOS","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"NXLog FIM","NXLog FIM","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/NXLog%20FIM","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"NXLog LinuxAudit","NXLog LinuxAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/NXLog%20LinuxAudit","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"NXLogAixAudit","NXLogAixAudit","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/NXLogAixAudit","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"NXLogDnsLogs","NXLogDnsLogs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/NXLogDnsLogs","","","","","missing_connector_json","Data Connectors folder exists but contains no readable connector JSON files."
"Okta Single Sign-On","Okta Single Sign-On","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Okta%20Single%20Sign-On","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Okta%20Single%20Sign-On/Data Connectors/OktaNativePollerConnectorV2/azuredeploy_Okta_native_poller_connector_v2.json","solution_package_template_skipped","Skipped 'azuredeploy_Okta_native_poller_connector_v2.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Oracle Cloud Infrastructure","Oracle Cloud Infrastructure","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Oracle%20Cloud%20Infrastructure","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Oracle%20Cloud%20Infrastructure/Data Connectors/Oracle_Cloud_Infrastructure_CCP/azuredeploy_OCI_DataConnector_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_OCI_DataConnector_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Palo Alto - XDR (Cortex)","Palo Alto - XDR (Cortex)","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Palo%20Alto%20-%20XDR%20%28Cortex%29","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"Recorded Future","Recorded Future","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Recorded%20Future","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Recorded%20Future/Analytic%20Rules/ThreatHunting/RecordedFutureThreatHuntingHashAllActors.yaml","content_unknown_table","analytic_rule 'RecordedFuture Threat Hunting Hash All Actors' references unknown tables: imFileEvent"
"Recorded Future","Recorded Future","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Recorded%20Future","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Recorded%20Future/Hunting%20Queries/RecordedFutureHashThreatActorHunt.yaml","content_unknown_table","hunting_query 'RecordedFuture Threat Hunting Hash All Actors' references unknown tables: imFileEvent"
"Salesforce Service Cloud","Salesforce Service Cloud","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Salesforce%20Service%20Cloud","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Salesforce%20Service%20Cloud/Data Connectors/SalesforceSentinelConnector_CCP/azuredeploy_SalesforceServiceCloud_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_SalesforceServiceCloud_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"SAP","SAP","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SAP","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"SlashNext","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext","SlashNextFunctionApp","SlashNext Function App","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext/Data Connectors/SlashNext_FunctionApp.json","reported_table_excluded","Table 'AzureMetrics' dropped from connector tables per Connector reported_table_exclusions override (referenced in queries but not ingested)."
"SlashNext","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext","SlashNextFunctionApp","SlashNext Function App","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext/Data Connectors/SlashNext_FunctionApp.json","reported_table_excluded","Table 'AzureDiagnostics' dropped from connector tables per Connector reported_table_exclusions override (referenced in queries but not ingested)."
"SlashNext","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext","SlashNextFunctionApp","SlashNext Function App","SlashNext","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SlashNext/Data Connectors/SlashNext_FunctionApp.json","table_detection_failed","Table tokens were detected but none could be emitted."
"SonicWall Firewall","SonicWall Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall/Analytic%20Rules/AllowedInboundSSHTelnetRDPConnections.yaml","content_unknown_table","analytic_rule 'SonicWall - Allowed SSH, Telnet, and RDP Connections' references unknown tables: ASimNetworkSessionSonicWallFirewall"
"SonicWall Firewall","SonicWall Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall/Hunting%20Queries/OutboundSSHConnections.yaml","content_unknown_table","hunting_query 'Outbound SSH/SCP Connections' references unknown tables: ASimNetworkSessionSonicWallFirewall"
"SonicWall Firewall","SonicWall Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/SonicWall%20Firewall/Workbooks/SonicWallFirewall.json","content_unknown_table","workbook 'SonicWallFirewall' references unknown tables: ASimNetworkSessionSonicWallFirewall, ASimWebSessionSonicWallFirewall"
"Sophos Endpoint Protection","Sophos Endpoint Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Sophos%20Endpoint%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Sophos%20Endpoint%20Protection/Data Connectors/SophosEP_ccp/azuredeploy_SophosEndpoint_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_SophosEndpoint_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Styx Intelligence","Styx Intelligence","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Styx%20Intelligence","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Styx%20Intelligence/Data Connectors/Alerts/alerts_connector.json","solution_package_template_skipped","Skipped 'alerts_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"TenableAD","TenableAD","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/TenableAD","","","","","missing_solution_metadata","Solution contains connectors but is missing SolutionMetadata.json."
"Utimaco Enterprise Secure Key Manager","Utimaco Enterprise Secure Key Manager","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Utimaco%20Enterprise%20Secure%20Key%20Manager","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Utimaco%20Enterprise%20Secure%20Key%20Manager/Data Connectors/sentinel-connectors/UtimacoESKM_CCF/UtimacoESKM_ArmTemplate.json","solution_package_template_skipped","Skipped 'UtimacoESKM_ArmTemplate.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Visa Threat Intelligence (VTI)","Visa Threat Intelligence (VTI)","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Visa%20Threat%20Intelligence%20%28VTI%29","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Visa%20Threat%20Intelligence%20%28VTI%29/Data Connectors/VisaThreatIntelligenceConnector.json","solution_package_template_skipped","Skipped 'VisaThreatIntelligenceConnector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"VMware Carbon Black Cloud","VMware Carbon Black Cloud","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/VMware%20Carbon%20Black%20Cloud","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/VMware%20Carbon%20Black%20Cloud/Data Connectors/CarbonBlackViaAWSS3_ConnectorDefinition.json","solution_package_template_skipped","Skipped 'CarbonBlackViaAWSS3_ConnectorDefinition.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Web Shells Threat Protection","Web Shells Threat Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Web%20Shells%20Threat%20Protection","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Web%20Shells%20Threat%20Protection/Analytic%20Rules/PotentialMercury_Webshell.yaml","content_unknown_table","analytic_rule 'Identify SysAid Server web shell creation' references unknown tables: imFileEvent"
"Workday","Workday","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Workday","","","","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Workday/Data Connectors/Workday_ccp/azuredeploy_Workday_poller_connector.json","solution_package_template_skipped","Skipped 'azuredeploy_Workday_poller_connector.json': it is a full solution-package ARM template (has a contentPackages resource), not a connector definition. Its connectors are discovered from their own definition files."
"Agari","Agari","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Agari","Agari","Agari Phishing Defense and Brand Protection","","","connector_not_in_solution_definition","Connector 'Agari' was discovered by scanning the 'Agari' Data Connectors folder but is not referenced by the solution definition file (Solution_*.json). Because this solution has a working definition that references other connectors, this folder-only artifact does not ship to the content hub; it is retained but marked is_published=false."
"Armis","Armis","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis","ArmisActivities","Armis Activities","","","connector_not_in_solution_definition","Connector 'ArmisActivities' was discovered by scanning the 'Armis' Data Connectors folder but is not referenced by the solution definition file (Solution_*.json). Because this solution has a working definition that references other connectors, this folder-only artifact does not ship to the content hub; it is retained but marked is_published=false."
"Armis","Armis","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis","ArmisAlerts","Armis Alerts","","","connector_not_in_solution_definition","Connector 'ArmisAlerts' was discovered by scanning the 'Armis' Data Connectors folder but is not referenced by the solution definition file (Solution_*.json). Because this solution has a working definition that references other connectors, this folder-only artifact does not ship to the content hub; it is retained but marked is_published=false."
