solution_name,solution_folder,publisher,support_tier,categories,version,is_published,connector_count,connector_id,connector_title,collection_method,is_deprecated,tables,reason,solution_github_link,connector_github_link
Akamai Security Events,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events,Microsoft Corporation,Microsoft,domains,3.0.2,true,2,AkamaiSecurityEvents,[Deprecated] Akamai Security Events via Legacy Agent,MMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events/Data%20Connectors/Connector_CEF_Akamai.json
Akamai Security Events,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events,Microsoft Corporation,Microsoft,domains,3.0.2,true,2,AkamaiSecurityEventsAma,[Deprecated] Akamai Security Events via AMA,AMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Akamai%20Security%20Events/Data%20Connectors/template_AkamaiSecurityEventsAMA.json
ALC-WebCTRL,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ALC-WebCTRL,Microsoft Corporation,Microsoft,domains,2.0.0,true,1,AutomatedLogicWebCTRL,Automated Logic WebCTRL ,AMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ALC-WebCTRL,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ALC-WebCTRL/Data%20Connectors/Connector_WindowsEvents_WebCTRL.json
Alibaba Cloud,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AliCloud,AliCloud,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud/Data%20Connectors/AliCloud_API_FunctionApp.json
Alibaba Cloud ActionTrail,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud%20ActionTrail,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AliCloudActionTrailCCPDefinition,Alibaba Cloud ActionTrail (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud%20ActionTrail,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alibaba%20Cloud%20ActionTrail/Data%20Connectors/AliCloudCloudTrailConnector_CCP/AliCloudActionTrail_DataConnectorDefinition.json
Alsid For AD,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alsid%20For%20AD,Alsid,Partner,domains,2.0.0,false,1,AlsidForAD,Alsid for Active Directory,MMA,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alsid%20For%20AD,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Alsid%20For%20AD/Data%20Connectors/AlsidForAD.json
Amazon Web Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,Microsoft Corporation,Microsoft,domains,3.0.7,true,3,AWS,Amazon Web Services,Native,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services/Data%20Connectors/template_AWS.json
Amazon Web Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,Microsoft Corporation,Microsoft,domains,3.0.7,true,3,AwsS3,Amazon Web Services S3,Native,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services/Data%20Connectors/template_AwsS3.json
Amazon Web Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,Microsoft Corporation,Microsoft,domains,3.0.7,true,3,AwsS3WafCcpDefinition,Amazon Web Services S3 WAF,CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services/Data%20Connectors/AWS_WAF_CCP/AwsS3_WAF_DataConnectorDefinition.json
Amazon Web Services NetworkFirewall,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20NetworkFirewall,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AwsNetworkFirewallCcpDefinition,Amazon Web Services NetworkFirewall (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20NetworkFirewall,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20NetworkFirewall/Data%20Connectors/AWSNetworkFirewallLogs_CCP/AWSNetworkFirewallLog_ConnectorDefinition.json
Amazon Web Services Route 53,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20Route%2053,Microsoft Corporation,Microsoft,domains,3.0.1,true,1,AWSRoute53ResolverCCPDefinition,Amazon Web Services S3 DNS Route53 (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20Route%2053,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Amazon%20Web%20Services%20Route%2053/Data%20Connectors/AWSRoute53Resolver_CCP/AWSRoute53Resolver_DataConnectorDefinition.json
Anvilogic,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Anvilogic,Anvilogic,Partner,domains,3.0.0,true,1,AnvilogicCCFDefinition,Anvilogic,CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Anvilogic,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Anvilogic/Data%20Connectors/AnviLogic_CCF/Anvilogic_DataConnectorDefinition.json
ApacheHTTPServer,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ApacheHTTPServer,Microsoft Corporation,Microsoft,domains,3.0.1,true,1,ApacheHTTPServer,[Deprecated] Apache HTTP Server,MMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ApacheHTTPServer,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ApacheHTTPServer/Data%20Connectors/Connector_ApacheHTTPServer_agent.json
ARGOSCloudSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ARGOSCloudSecurity,ARGOS Cloud Security,Partner,domains,2.0.0,true,1,ARGOSCloudSecurity,ARGOS Cloud Security,Unknown (Custom Log),false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ARGOSCloudSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/ARGOSCloudSecurity/Data%20Connectors/Connector_ARGOS.json
AristaAwakeSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AristaAwakeSecurity,Arista - Awake Security,Partner,domains,3.0.1,true,1,AristaAwakeSecurity,[Deprecated] Awake Security via Legacy Agent,MMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AristaAwakeSecurity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AristaAwakeSecurity/Data%20Connectors/Connector_AristaAwakeSecurity_CEF.json
Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,Armis Corporation,Partner,domains,3.2.0,true,4,ArmisActivities,Armis Activities,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Data%20Connectors/ArmisActivities/ArmisActivities_API_FunctionApp.json
Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,Armis Corporation,Partner,domains,3.2.0,true,4,ArmisAlerts,Armis Alerts,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Data%20Connectors/ArmisAlerts/ArmisAlerts_API_FunctionApp.json
Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,Armis Corporation,Partner,domains,3.2.0,true,4,ArmisAlertsActivities,Armis Alerts Activities,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Data%20Connectors/ArmisAlertsActivities/ArmisAlertsActivities_API_FunctionApp.json
Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,Armis Corporation,Partner,domains,3.2.0,true,4,ArmisDevices,Armis Devices,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armis/Data%20Connectors/ArmisDevice/ArmisDevice_API_FunctionApp.json
Armorblox,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armorblox,Armorblox,Partner,domains,3.0.1,false,1,Armorblox,Armorblox,Azure Function,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armorblox,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Armorblox/Data%20Connectors/Armorblox_API_FunctionApp.json
Aruba ClearPass,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass,Microsoft Corporation,Microsoft,domains,3.0.3,true,2,ArubaClearPass,[Deprecated] Aruba ClearPass via Legacy Agent,MMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass/Data%20Connectors/Connector_Syslog_ArubaClearPass.json
Aruba ClearPass,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass,Microsoft Corporation,Microsoft,domains,3.0.3,true,2,ArubaClearPassAma,[Deprecated] Aruba ClearPass via AMA,AMA,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Aruba%20ClearPass/Data%20Connectors/template_ArubaClearPassAMA.json
AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,Microsoft Corporation,Microsoft,domains,3.0.3,true,3,AtlassianConfluence,Atlassian Confluence,CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit/Data%20Connectors/ConfluenceNativePollerConnector/azuredeploy_Confluence_native_poller_connector.json
AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,Microsoft Corporation,Microsoft,domains,3.0.3,true,3,ConfluenceAuditAPI,[Deprecated] Atlassian Confluence Audit,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit/Data%20Connectors/AtlassianConfluenceAuditDataConnector/ConfluenceAudit_API_FunctionApp.json
AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,Microsoft Corporation,Microsoft,domains,3.0.3,true,3,ConfluenceAuditCCPDefinition, Atlassian Confluence Audit (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianConfluenceAudit/Data%20Connectors/AtlassianConfluenceAuditLogs_CCP/AtlassianConfluenceAudit_DataConnectorDefinition.json
AtlassianJiraAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit,Microsoft Corporation,Microsoft,domains,3.0.4,true,2,JiraAuditAPI,Atlassian Jira Audit,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit/Data%20Connectors/JiraAudit_API_FunctionApp.json
AtlassianJiraAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit,Microsoft Corporation,Microsoft,domains,3.0.4,true,2,JiraAuditCCPDefinition,Atlassian Jira Audit (using REST API),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AtlassianJiraAudit/Data%20Connectors/JiraAuditAPISentinelConnector_ccpv2/JiraAudit_DataConnectorDefinition.json
Auth0,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0,Microsoft Corporation,Microsoft,domains,3.1.1,true,2,Auth0,Auth0 Access Management,Azure Function,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0/Data%20Connectors/Auth0_FunctionApp.json
Auth0,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0,Microsoft Corporation,Microsoft,domains,3.1.1,true,2,Auth0ConnectorCCPDefinition,Auth0 Logs,CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Auth0/Data%20Connectors/Auth0_CCP/DataConnectorDefinition.json
Authomize,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Authomize,Authomize,Partner,"domains,verticals",3.0.0,false,1,Authomize,Authomize Data Connector,Unknown (Custom Log),false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Authomize,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Authomize/Data%20Connectors/AuthomizeCustomConnector.json
AWS CloudFront,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20CloudFront,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AwsCloudfrontCcpDefinition,Amazon Web Services CloudFront (via Codeless Connector Framework) (Preview),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20CloudFront,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20CloudFront/Data%20Connectors/AWSCloudFrontLog_CCF/AWSCloudFrontLog_ConnectorDefinition.json
AWS Security Hub,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Security%20Hub,Microsoft Corporation,Microsoft,domains,3.0.1,true,1,AwsSecurityHubFindingsCcpDefinition,AWS Security Hub Findings (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Security%20Hub,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20Security%20Hub/Data%20Connectors/AWSSecurityHubFindings_CCP/AWSSecurityHubFindings_DataConnectorDefinition.json
AWS VPC Flow Logs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20VPC%20Flow%20Logs,Microsoft Corporation,Microsoft,domains,3.0.0,false,1,AWSS3VPCFlowLogsParquetDefinition,Amazon Web Services S3 VPC Flow Logs,CCF,false,,Solution not published on Azure Marketplace,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20VPC%20Flow%20Logs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS%20VPC%20Flow%20Logs/Data%20Connectors/AWSVPCFlowLogs_CCP/AWSVPCFlowLogs_DataConnectorDefinition.json
AWS_AccessLogs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_AccessLogs,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AwsS3ServerAccessLogsDefinition,AWS S3 Server Access Logs (via Codeless Connector Framework),CCF,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_AccessLogs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AWS_AccessLogs/Data%20Connectors/AwsS3ServerAccessLogsDefinition_CCP/AWSS3ServerAccessLogs_ConnectorDefinition.json
Azure Activity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Activity,Microsoft Corporation,Microsoft,domains,3.0.3,true,1,AzureActivity,Azure Activity,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Activity,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Activity/Data%20Connectors/AzureActivity.json
Azure Batch Account,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Batch%20Account,Microsoft Corporation,Microsoft,domains,2.0.1,true,1,AzureBatchAccount_CCP,Azure Batch Account,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Batch%20Account,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Batch%20Account/Data%20Connectors/AzureBatchAccount_CCP.JSON
Azure Cloud NGFW By Palo Alto Networks,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cloud%20NGFW%20by%20Palo%20Alto%20Networks,Palo Alto Networks,Partner,domains,3.0.1,true,1,AzureCloudNGFWByPaloAltoNetworks,Azure CloudNGFW By Palo Alto Networks,Unknown (Custom Log),false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cloud%20NGFW%20by%20Palo%20Alto%20Networks,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cloud%20NGFW%20by%20Palo%20Alto%20Networks/Data%20Connectors/CloudNgfwByPAN.json
Azure Cognitive Search,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cognitive%20Search,Microsoft Corporation,Microsoft,domains,2.0.0,true,1,AzureCognitiveSearch_CCP,Azure Cognitive Search,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cognitive%20Search,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cognitive%20Search/Data%20Connectors/AzureCognitiveSearch_CCP.JSON
Azure Data Lake Storage Gen1,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Data%20Lake%20Storage%20Gen1,Microsoft Corporation,Microsoft,domains,,true,1,AzureDataLakeStorageGen1_CCP,Azure Data Lake Storage Gen1,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Data%20Lake%20Storage%20Gen1,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Data%20Lake%20Storage%20Gen1/Data%20Connectors/AzureDataLakeStorageGen1_CCP.JSON
Azure DDoS Protection,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20DDoS%20Protection,Microsoft Corporation,Microsoft,domains,2.0.4,true,1,DDOS,Azure DDoS Protection,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20DDoS%20Protection,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20DDoS%20Protection/Data%20Connectors/DDOS.JSON
Azure Event Hubs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Event%20Hubs,Microsoft Corporation,Microsoft,domains,2.0.0,true,1,AzureEventHub_CCP,Azure Event Hub,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Event%20Hubs,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Event%20Hubs/Data%20Connectors/AzureEventHub_CCP.JSON
Azure Firewall,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Firewall,Microsoft Corporation,Microsoft,domains,3.0.5,true,1,AzureFirewall,Azure Firewall,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Firewall,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Firewall/Data%20Connectors/AzureFirewall.JSON
Azure Key Vault,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Key%20Vault,Microsoft Corporation,Microsoft,domains,3.0.3,true,1,AzureKeyVault,Azure Key Vault,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Key%20Vault,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Key%20Vault/Data%20Connectors/AzureKeyVault.JSON
Azure kubernetes Service,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20kubernetes%20Service,Microsoft Corporation,Microsoft,domains,2.0.2,true,1,AzureKubernetes,Azure Kubernetes Service (AKS),Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20kubernetes%20Service,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20kubernetes%20Service/Data%20Connectors/AzureKubernetes.JSON
Azure Logic Apps,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Logic%20Apps,Microsoft Corporation,Microsoft,domains,2.0.0,true,1,AzureLogicApps_CCP,Azure Logic Apps,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Logic%20Apps,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Logic%20Apps/Data%20Connectors/AzureLogicApps_CCP.JSON
Azure Network Security Groups,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Network%20Security%20Groups,Microsoft Corporation,Microsoft,domains,2.0.2,true,1,AzureNSG,Network Security Groups,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Network%20Security%20Groups,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Network%20Security%20Groups/Data%20Connectors/AzureNSG.JSON
Azure Resource Graph,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AzureResourceGraph,Azure Resource Graph,Unknown,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph/Data%20Connectors/AzureResourceGraph_DataConnectorDefinition.json
Azure Service Bus,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Service%20Bus,Microsoft Corporation,Microsoft,domains,2.0.0,true,1,AzureServiceBus_CCP,Azure Service Bus,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Service%20Bus,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Service%20Bus/Data%20Connectors/AzureServiceBus_CCP.JSON
Azure SQL Database solution for sentinel,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20SQL%20Database%20solution%20for%20sentinel,Microsoft Corporation,Microsoft,domains,3.0.0,true,1,AzureSql,Azure SQL Databases,Azure Diagnostics,false,,,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20SQL%20Database%20solution%20for%20sentinel,https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20SQL%20Database%20solution%20for%20sentinel/Data%20Connectors/template_AzureSql.JSON
