"table_name","column_name","column_type","description"
"AADDomainServicesAccountLogon","CertSerialNumber","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","CertThumbprint","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","ClientUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","CorrelationId","string",""
"AADDomainServicesAccountLogon","FailureCode","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","IpAddress","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","IpPort","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADDomainServicesAccountLogon","MappedName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","MappingBy","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","OperationName","string",""
"AADDomainServicesAccountLogon","PackageName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","PreAuthType","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","RecordId","string","A unique identifier corresponding to this record."
"AADDomainServicesAccountLogon","ResourceId","string",""
"AADDomainServicesAccountLogon","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AADDomainServicesAccountLogon","ResultDescription","string",""
"AADDomainServicesAccountLogon","ResultType","string",""
"AADDomainServicesAccountLogon","ServiceName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADDomainServicesAccountLogon","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AADDomainServicesAccountLogon","TicketOptions","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountLogon","TimeGenerated","datetime",""
"AADDomainServicesAccountLogon","Type","string","The name of the table"
"AADDomainServicesAccountManagement","AccountExpires","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","AllowedToDelegateTo","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","_BilledSize","real","The record size in bytes"
"AADDomainServicesAccountManagement","CallerProcessId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","CallerProcessName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","Category","string",""
"AADDomainServicesAccountManagement","ComputerAccountChange","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","CorrelationId","string",""
"AADDomainServicesAccountManagement","DisplayName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","DnsHostName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","GroupTypeChange","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","HomeDirectory","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","HomePath","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADDomainServicesAccountManagement","LogonHours","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","MemberName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","MembershipExpirationTime","datetime","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","MemberSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","NewTargetUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","NewUacValue","string",""
"AADDomainServicesAccountManagement","OldTargetUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","OldUacValue","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","OperationName","string",""
"AADDomainServicesAccountManagement","PasswordLastSet","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","PrimaryGroupId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","PrivilegeList","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","ProfilePath","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","RecordId","string","A unique identifier corresponding to this record."
"AADDomainServicesAccountManagement","ResourceId","string",""
"AADDomainServicesAccountManagement","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AADDomainServicesAccountManagement","ResultDescription","string",""
"AADDomainServicesAccountManagement","ResultType","string",""
"AADDomainServicesAccountManagement","SamAccountName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","ScriptPath","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","ServicePrincipalNames","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SidHistory","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SourceSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADDomainServicesAccountManagement","SourceUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","Status","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SubjectDomainName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SubjectLogonId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SubjectUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","SubjectUserSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AADDomainServicesAccountManagement","TargetSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","TimeGenerated","datetime",""
"AADDomainServicesAccountManagement","Type","string","The name of the table"
"AADDomainServicesAccountManagement","UserAccountControl","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","UserParameters","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","UserPrincipalName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","UserWorkstations","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesAccountManagement","Workstation","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","AppCorrelationID","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","AttributeLDAPDisplayName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","AttributeSyntaxOID","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","AttributeValue","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","_BilledSize","real","The record size in bytes"
"AADDomainServicesDirectoryServiceAccess","Category","string",""
"AADDomainServicesDirectoryServiceAccess","CorrelationId","string",""
"AADDomainServicesDirectoryServiceAccess","DSName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","DSType","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADDomainServicesDirectoryServiceAccess","NewObjectDN","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","ObjectClass","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","ObjectDN","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","ObjectGUID","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","OldObjectDN","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","OpCorrelationID","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","OperationName","string",""
"AADDomainServicesDirectoryServiceAccess","OperationType","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","RecordId","string","A unique identifier corresponding to this record."
"AADDomainServicesDirectoryServiceAccess","ResourceId","string",""
"AADDomainServicesDirectoryServiceAccess","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AADDomainServicesDirectoryServiceAccess","ResultDescription","string",""
"AADDomainServicesDirectoryServiceAccess","ResultType","string",""
"AADDomainServicesDirectoryServiceAccess","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADDomainServicesDirectoryServiceAccess","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AADDomainServicesDirectoryServiceAccess","TimeGenerated","datetime",""
"AADDomainServicesDirectoryServiceAccess","TreeDelete","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesDirectoryServiceAccess","Type","string","The name of the table"
"AADDomainServicesLogonLogoff","AuthenticationPackageName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","_BilledSize","real","The record size in bytes"
"AADDomainServicesLogonLogoff","Category","string",""
"AADDomainServicesLogonLogoff","CorrelationId","string",""
"AADDomainServicesLogonLogoff","ElevatedToken","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","FailureReason","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","ImpersonationLevel","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","_IsBillable","string","Specifies whether ingesting the data is billable. When _IsBillable isfalseingestion isn't billed to your Azure account"
"AADDomainServicesLogonLogoff","KeyLength","int","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","LmPackageName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","LogonGuid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","LogonProcessName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","LogonType","int","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","OperationName","string",""
"AADDomainServicesLogonLogoff","RecordId","string","A unique identifier corresponding to this record."
"AADDomainServicesLogonLogoff","ResourceId","string",""
"AADDomainServicesLogonLogoff","_ResourceId","string","A unique identifier for the resource that the record is associated with"
"AADDomainServicesLogonLogoff","RestrictedAdminMode","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","ResultDescription","string",""
"AADDomainServicesLogonLogoff","ResultType","string",""
"AADDomainServicesLogonLogoff","SidList","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","SourceSystem","string","The type of agent the event was collected by. For example,OpsManagerfor Windows agent, either direct connect or Operations Manager,Linuxfor all Linux agents, orAzurefor Azure Diagnostics"
"AADDomainServicesLogonLogoff","_SubscriptionId","string","A unique identifier for the subscription that the record is associated with"
"AADDomainServicesLogonLogoff","SubStatus","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetDomainName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetInfo","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetLinkedLogonId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetLogonGuid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetLogonId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetOutboundDomainName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetOutboundUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetServerName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetUserName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TargetUserSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TdoSid","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","TimeGenerated","datetime",""
"AADDomainServicesLogonLogoff","TransmittedServices","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","Type","string","The name of the table"
"AADDomainServicesLogonLogoff","VirtualAccount","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesLogonLogoff","WorkstationName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","AccessGranted","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","AccessRemoved","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","AuditPolicyChanges","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","AuditSourceName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","_BilledSize","real","The record size in bytes"
"AADDomainServicesPolicyChange","Category","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","CategoryId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","CollisionTargetName","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","CollisionTargetType","int","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","CorrelationId","string","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
"AADDomainServicesPolicyChange","CrashOnAuditFailValue","int","The context of this field is dependent on the Windows Event being emitted, represented in the OperationName. Please see the Windows Server description of this event for the meaning of this field."
