"parser_name","parser_type","tables","filter_fields","sub_parsers","reason"
"imDhcpEvent","union","","","_Im_DhcpEvent_Empty;_Im_DhcpEvent_Native;_Im_DhcpEvent_InfobloxBloxOne","Union parser (uses sub-parsers, not direct tables)"
"ASimDns","union","ASimDnsAzureFirewall;ASimDnsCiscoUmbrella;ASimDnsCorelightZeek;ASimDnsFortinetFortiGate;ASimDnsGcp;ASimDnsInfobloxBloxOne;ASimDnsInfobloxNIOS;ASimDnsMicrosoftNXlog;ASimDnsMicrosoftOMS;ASimDnsMicrosoftSysmon;ASimDnsMicrosoftSysmonWindowsEvent;ASimDnsNative;ASimDnsSentinelOne;ASimDnsVectraAI;ASimDnsZscalerZIA","","_Im_Dns_Empty;_ASim_Dns_AzureFirewall;_ASim_Dns_CiscoUmbrella;_ASim_Dns_CorelightZeek;_ASim_Dns_FortinetFortiGate;_ASim_Dns_Gcp;_ASim_Dns_InfobloxNIOS;_ASim_Dns_MicrosoftNXlog;_ASim_Dns_MicrosoftOMS;_ASim_Dns_MicrosoftSysmon;_ASim_Dns_MicrosoftSysmonWindowsEvent;_ASim_Dns_Native;_ASim_Dns_SentinelOne;_ASim_Dns_VectraAI;_ASim_Dns_ZscalerZIA;_ASim_Dns_InfobloxBloxOne","Union parser (uses sub-parsers, not direct tables)"
"ASimDnsGcp","source","GCP_DNS_CL","","","Filter mismatch - parser uses: no filters"
"imDns","union","","","_Im_Dns_Empty;_Im_Dns_AzureFirewall;_Im_Dns_CiscoUmbrella;_Im_Dns_CorelightZeek;_Im_Dns_FortinetFortiGate;_Im_Dns_Gcp;_Im_Dns_InfobloxNIOS;_Im_Dns_MicrosoftNXlog;_Im_Dns_MicrosoftOMS;_Im_Dns_MicrosoftSysmon;_Im_Dns_MicrosoftSysmonWindowsEvent;_Im_Dns_Native;_Im_Dns_SentinelOne;_Im_Dns_VectraAI;_Im_Dns_ZscalerZIA;_Im_Dns_InfobloxBloxOne","Union parser (uses sub-parsers, not direct tables)"
"ASimFileEvent","union","ASimFileEventAzureBlobStorage;ASimFileEventAzureFileStorage;ASimFileEventAzureQueueStorage;ASimFileEventAzureTableStorage;ASimFileEventGoogleWorkspace;ASimFileEventLinuxSysmonFileCreated;ASimFileEventLinuxSysmonFileDeleted;ASimFileEventMicrosoft365D;ASimFileEventMicrosoftSecurityEvents;ASimFileEventMicrosoftSharePoint;ASimFileEventMicrosoftSysmon;ASimFileEventMicrosoftSysmonWindowsEvent;ASimFileEventMicrosoftWindowsEvents;ASimFileEventNative;ASimFileEventSentinelOne;ASimFileEventVMwareCarbonBlackCloud","","_Im_FileEvent_Empty;_ASim_FileEvent_LinuxSysmonFileCreated;_ASim_FileEvent_LinuxSysmonFileDeleted;_ASim_FileEvent_AzureBlobStorage;_ASim_FileEvent_Microsoft365D;_ASim_FileEvent_AzureFileStorage;_ASim_FileEvent_AzureQueueStorage;_ASim_FileEvent_MicrosoftSharePoint;_ASim_FileEvent_MicrosoftSysmon;_ASim_FileEvent_MicrosoftSysmonWindowsEvent;_ASim_FileEvent_AzureTableStorage;_ASim_FileEvent_MicrosoftWindowsEvents;_ASim_FileEvent_MicrosoftSecurityEvents;_ASim_FileEvent_Native;_ASim_FileEvent_SentinelOne;_ASim_FileEvent_VMwareCarbonBlackCloud;_ASim_FileEvent_GoogleWorkspace","Union parser (uses sub-parsers, not direct tables)"
"ASimFileEventGoogleWorkspace","source","GWorkspace_ReportsAPI_drive_CL","","","Filter mismatch - parser uses: no filters"
"ASimFileEventMicrosoft365D","source","DeviceFileEvents","","","Filter mismatch - parser uses: no filters"
"ASimFileEventMicrosoftSharePoint","source","OfficeActivity;Operation","OfficeActivity.RecordType == ""SharePointFileOperation""","","Filter mismatch - parser uses: OfficeActivity.RecordType == ""SharePointFileOperation"""
"imFileEvent","union","","","_Im_FileEvent_Empty;_Im_FileEvent_LinuxSysmonFileCreated;_Im_FileEvent_LinuxSysmonFileDeleted;_Im_FileEvent_AzureBlobStorage;_Im_FileEvent_Microsoft365D;_Im_FileEvent_AzureFileStorage;_Im_FileEvent_AzureQueueStorage;_Im_FileEvent_MicrosoftSharePoint;_Im_FileEvent_MicrosoftSysmon;_Im_FileEvent_MicrosoftSysmonWindowsEvent;_Im_FileEvent_AzureTableStorage;_Im_FileEvent_MicrosoftWindowsEvents;_Im_FileEvent_MicrosoftSecurityEvents;_Im_FileEvent_Native;_Im_FileEvent_SentinelOne;_Im_FileEvent_VMwareCarbonBlackCloud;_Im_FileEvent_GoogleWorkspace","Union parser (uses sub-parsers, not direct tables)"
"ASimNetworkSession","union","ASimNetworkSessionAWSVPC;ASimNetworkSessionAppGateSDP;ASimNetworkSessionAzureFirewall;ASimNetworkSessionAzureNSG;ASimNetworkSessionBarracudaCEF;ASimNetworkSessionBarracudaWAF;ASimNetworkSessionCheckPointFirewall;ASimNetworkSessionCiscoASA;ASimNetworkSessionCiscoFirepower;ASimNetworkSessionCiscoISE;ASimNetworkSessionCiscoMeraki;ASimNetworkSessionCiscoMerakiSyslog;ASimNetworkSessionCorelightZeek;ASimNetworkSessionCrowdStrikeFalconHost;ASimNetworkSessionForcePointFirewall;ASimNetworkSessionFortinetFortiGate;ASimNetworkSessionIllumioSaaSCore;ASimNetworkSessionLinuxSysmon;ASimNetworkSessionMD4IoTAgent;ASimNetworkSessionMD4IoTSensor;ASimNetworkSessionMicrosoft365Defender;ASimNetworkSessionMicrosoftSecurityEventFirewall;ASimNetworkSessionMicrosoftSysmon;ASimNetworkSessionMicrosoftSysmonWindowsEvent;ASimNetworkSessionMicrosoftWindowsEventFirewall;ASimNetworkSessionNTANetAnalytics;ASimNetworkSessionNative;ASimNetworkSessionPaloAltoCEF;ASimNetworkSessionPaloAltoCortexDataLake;ASimNetworkSessionSentinelOne;ASimNetworkSessionSonicWallFirewall;ASimNetworkSessionVMConnection;ASimNetworkSessionVMwareCarbonBlackCloud;ASimNetworkSessionVectraAI;ASimNetworkSessionWatchGuardFirewareOS","","_Im_NetworkSession_Empty;_ASim_NetworkSession_Microsoft365Defender;_ASim_NetworkSession_LinuxSysmon;_ASim_NetworkSession_MD4IoTAgent;_ASim_NetworkSession_MD4IoTSensor;_ASim_NetworkSession_MicrosoftWindowsEventFirewall;_ASim_NetworkSession_MicrosoftSecurityEventFirewall;_ASim_NetworkSession_ZscalerZIA;_ASim_NetworkSession_PaloAltoCEF;_ASim_NetworkSession_VMConnection;_ASim_NetworkSession_AWSVPC;_ASim_NetworkSession_AzureFirewall;_ASim_NetworkSession_AzureNSG;_ASim_NetworkSession_VectraAI;_ASim_NetworkSession_CiscoMeraki;_ASim_NetworkSession_CiscoMerakiSyslog;_ASim_NetworkSession_AppGateSDP;_ASim_NetworkSession_FortinetFortiGate;_ASim_NetworkSession_CorelightZeek;_ASim_NetworkSession_CheckPointFirewall;_ASim_NetworkSession_CiscoASA;_ASim_NetworkSession_WatchGuardFirewareOS;_ASim_NetworkSession_MicrosoftSysmon;_ASim_NetworkSession_MicrosoftSysmonWindowsEvent;_ASim_NetworkSession_ForcePointFirewall;_ASim_NetworkSession_Native;_ASim_NetworkSession_CiscoMeraki;_ASim_NetworkSession_CiscoISE;_ASim_NetworkSession_BarracudaWAF;_ASim_NetworkSession_BarracudaCEF;_ASim_NetworkSession_SentinelOne;_ASim_NetworkSession_CiscoFirepower;_ASim_NetworkSession_CrowdStrikeFalconHost;_ASim_NetworkSession_VMwareCarbonBlackCloud;_ASim_NetworkSession_PaloAltoCortexDataLake;_ASim_NetworkSession_SonicWallFirewall;_ASim_NetworkSession_IllumioSaaSCore;_ASim_NetworkSession_NTANetAnalytics","Union parser (uses sub-parsers, not direct tables)"
"ASimNetworkSessionBarracudaWAF","source","barracuda_CL","","","Filter mismatch - parser uses: no filters"
"ASimNetworkSessionMD4IoTAgent","source","SecurityIoTRawEvent","","","No connectors provide tables: SecurityIoTRawEvent"
"ASimNetworkSessionMD4IoTSensor","source","","","","No tables detected"
"ASimNetworkSessionMicrosoft365Defender","source","DeviceNetworkEvents","DeviceNetworkEvents.ActionType == ""ConnectionFailed""","","Filter mismatch - parser uses: DeviceNetworkEvents.ActionType == ""ConnectionFailed"""
"ASimNetworkSessionNTANetAnalytics","source","NTANetAnalytics","","","No connectors provide tables: NTANetAnalytics"
"ASimNetworkSessionVMConnection","source","VMConnection","","","No connectors provide tables: VMConnection"
"imNetworkSession","union","","","_Im_NetworkSession_Empty;_Im_NetworkSession_Microsoft365Defender;_Im_NetworkSession_LinuxSysmon;_Im_NetworkSession_MD4IoTAgent;_Im_NetworkSession_MD4IoTSensor;_Im_NetworkSession_MicrosoftWindowsEventFirewall;_Im_NetworkSession_MicrosoftSecurityEventFirewall;_Im_NetworkSession_ZscalerZIA;_Im_NetworkSession_PaloAltoCEF;_Im_NetworkSession_VMConnection;_Im_NetworkSession_AWSVPC;_Im_NetworkSession_AzureFirewall;_Im_NetworkSession_AzureNSG;_Im_NetworkSession_VectraAI;_Im_NetworkSession_CiscoMeraki;_Im_NetworkSession_CiscoMerakiSyslog;_Im_NetworkSession_AppGateSDP;_Im_NetworkSession_FortinetFortiGate;_im_NetworkSession_CorelightZeek;_Im_NetworkSession_CheckPointFirewall;_Im_NetworkSession_WatchGuardFirewareOS;_Im_NetworkSession_CiscoASA;_Im_NetworkSession_ForcePointFirewall;_Im_NetworkSession_Native;_Im_NetworkSession_CiscoMeraki;_Im_NetworkSession_CiscoISE;_Im_NetworkSession_BarracudaWAF;_Im_NetworkSession_BarracudaCEF;_Im_NetworkSession_SentinelOne;_Im_NetworkSession_CiscoFirepower;_Im_NetworkSession_CrowdStrikeFalconHost;_Im_NetworkSession_VMwareCarbonBlackCloud;_Im_NetworkSession_PaloAltoCortexDataLake;_Im_NetworkSession_SonicWallFirewall;_Im_NetworkSession_MicrosoftSysmon;_Im_NetworkSession_MicrosoftSysmonWindowsEvent;_Im_NetworkSession_IllumioSaaSCore;_Im_NetworkSession_NTANetAnalytics","Union parser (uses sub-parsers, not direct tables)"
"ASimProcessEvent","union","ASimProcessCreateLinuxSysmon;ASimProcessCreateMicrosoftSecurityEvents;ASimProcessCreateMicrosoftWindowsEvents;ASimProcessCreateSentinelOne;ASimProcessCreateTrendMicroVisionOne;ASimProcessCreateVMwareCarbonBlackCloud;ASimProcessEventCreateMicrosoftSysmon;ASimProcessEventCreateMicrosoftSysmonWindowsEvent;ASimProcessEventMD4IoT;ASimProcessEventMicrosoft365D;ASimProcessEventNative;ASimProcessEventTerminateMicrosoftSysmon;ASimProcessEventTerminateMicrosoftSysmonWindowsEvent;ASimProcessTerminateLinuxSysmon;ASimProcessTerminateMicrosoftSecurityEvents;ASimProcessTerminateMicrosoftWindowsEvents;ASimProcessTerminateVMwareCarbonBlackCloud","","_Im_Process_Empty;_ASim_ProcessEvent_Microsoft365D;_ASim_ProcessEvent_CreateMicrosoftSysmon;_ASim_ProcessEvent_CreateMicrosoftSysmonWindowsEvent;_ASim_ProcessEvent_TerminateMicrosoftSysmon;_ASim_ProcessEvent_TerminateMicrosoftSysmonWindowsEvent;_ASim_ProcessEvent_CreateMicrosoftSecurityEvents;_ASim_ProcessEvent_TerminateMicrosoftSecurityEvents;_ASim_ProcessEvent_CreateLinuxSysmon;_ASim_ProcessEvent_TerminateLinuxSysmon;_ASim_ProcessEvent_TerminateMicrosoftWindowsEvents;_ASim_ProcessEvent_CreateMicrosoftWindowsEvents;_ASim_ProcessEvent_MD4IoT;_ASim_ProcessCreate_SentinelOne;_ASim_ProcessEvent_Native;_ASim_ProcessEvent_CreateVMwareCarbonBlackCloud;_ASim_ProcessEvent_TerminateVMwareCarbonBlackCloud;_ASim_ProcessEvent_CreateTrendMicroVisionOne","Union parser (uses sub-parsers, not direct tables)"
"ASimProcessEventCreate","union","ASimProcessCreateLinuxSysmon;ASimProcessCreateMicrosoftSecurityEvents;ASimProcessCreateMicrosoftSysmon;ASimProcessCreateMicrosoftWindowsEvents;ASimProcessCreateSentinelOne;ASimProcessCreateTrendMicroVisionOne;ASimProcessCreateVMwareCarbonBlackCloud;ASimProcessEventMD4IoT;ASimProcessEventMicrosoft365D;ASimProcessEventNative","","_Im_Process_Empty;_ASim_ProcessEvent_Microsoft365D;_ASim_ProcessEvent_CreateMicrosoftSysmon;_ASim_ProcessEvent_CreateMicrosoftSecurityEvents;_ASim_ProcessEvent_CreateLinuxSysmon;_ASim_ProcessEvent_CreateMicrosoftWindowsEvents;_ASim_ProcessEvent_MD4IoT;_ASim_ProcessCreate_SentinelOne;_ASim_ProcessEvent_Native;_ASim_ProcessEvent_CreateVMwareCarbonBlackCloud;_ASim_ProcessEvent_CreateTrendMicroVisionOne","Union parser (uses sub-parsers, not direct tables)"
"ASimProcessEventMD4IoT","source","SecurityIoTRawEvent","","","No connectors provide tables: SecurityIoTRawEvent"
"ASimProcessEventMicrosoft365D","source","DeviceProcessEvents","","","Filter mismatch - parser uses: no filters"
"ASimProcessEventTerminate","union","ASimProcessEventMD4IoT;ASimProcessEventMicrosoft365D;ASimProcessEventNative;ASimProcessTerminateLinuxSysmon;ASimProcessTerminateMicrosoftSecurityEvents;ASimProcessTerminateMicrosoftSysmon;ASimProcessTerminateMicrosoftWindowsEvents;ASimProcessTerminateVMwareCarbonBlackCloud","","_Im_Process_Empty;_ASim_ProcessEvent_Microsoft365D;_ASim_ProcessEvent_TerminateMicrosoftSysmon;_ASim_ProcessEvent_TerminateMicrosoftSecurityEvents;_ASim_ProcessEvent_TerminateLinuxSysmon;_ASim_ProcessEvent_TerminateMicrosoftWindowsEvents;_ASim_ProcessEvent_MD4IoT;_ASim_ProcessEvent_Native;_ASim_ProcessEvent_TerminateVMwareCarbonBlackCloud","Union parser (uses sub-parsers, not direct tables)"
"imProcessCreate","union","","","_Im_Process_Empty;_Im_ProcessEvent_Microsoft365D;_Im_ProcessCreate_MicrosoftSysmon;_Im_ProcessCreate_MicrosoftSecurityEvents;_Im_ProcessCreate_LinuxSysmon;_Im_ProcessCreate_MicrosoftWindowsEvents;_Im_ProcessCreate_MD4IoT;_Im_ProcessCreate_SentinelOne;_Im_ProcessEvent_Native;_Im_ProcessCreate_VMwareCarbonBlackCloud;_Im_ProcessCreateTrendMicroVisionOne","Union parser (uses sub-parsers, not direct tables)"
"imProcessEvent","union","","","_Im_Process_Empty;_Im_ProcessEvent_Microsoft365D;_Im_ProcessEvent_CreateMicrosoftSysmon;_Im_ProcessEvent_CreateMicrosoftSysmonWindowsEvent;_Im_ProcessTerminate_MicrosoftSysmon;_Im_ProcessTerminate_MicrosoftSysmonWindowsEvent;_Im_ProcessCreate_MicrosoftSecurityEvents;_Im_ProcessTerminate_MicrosoftSecurityEvents;_Im_ProcessCreate_LinuxSysmon;_Im_ProcessTerminate_LinuxSysmon;_Im_ProcessCreate_MicrosoftWindowsEvents;_Im_ProcessTerminate_MicrosoftWindowsEvents;_Im_ProcessCreate_MD4IoT;_Im_ProcessTerminate_MD4IoT;_Im_ProcessEvent_Native;_Im_ProcessCreate_SentinelOne;_Im_ProcessCreate_VMwareCarbonBlackCloud;_Im_ProcessTerminate_VMwareCarbonBlackCloud","Union parser (uses sub-parsers, not direct tables)"
"imProcessTerminate","union","","","_Im_Process_Empty;_Im_ProcessTerminate_MicrosoftSysmon;_Im_ProcessTerminate_MicrosoftSecurityEvents;_Im_ProcessTerminate_LinuxSysmon;_Im_ProcessTerminate_MicrosoftWindowsEvents;_Im_ProcessTerminate_MD4IoT;_Im_ProcessEvent_Native;_Im_ProcessTerminate_VMwareCarbonBlackCloud","Union parser (uses sub-parsers, not direct tables)"
"ASimRegistry","union","ASimRegistryEventMicrosoft365D;ASimRegistryEventMicrosoftSecurityEvent;ASimRegistryEventMicrosoftSysmon;ASimRegistryEventMicrosoftSysmonWindowsEvent;ASimRegistryEventMicrosoftWindowsEvent;ASimRegistryEventNative;ASimRegistryEventSentinelOne;ASimRegistryEventTrendMicroVisionOne;ASimRegistryEventVMwareCarbonBlackCloud","","_Im_RegistryEvent_Empty;_ASim_RegistryEvent_Microsoft365D;_ASim_RegistryEvent_MicrosoftSysmon;_ASim_RegistryEvent_MicrosoftSysmonWindowsEvent;_ASim_RegistryEvent_MicrosoftWindowsEvent;_ASim_RegistryEvent_MicrosoftSecurityEvent;_ASim_RegistryEvent_SentinelOne;_ASim_RegistryEvent_Native;_ASim_RegistryEvent_TrendMicroVisionOne;_ASim_RegistryEvent_VMwareCarbonBlackCloud","Union parser (uses sub-parsers, not direct tables)"
"imRegistry","union","","","_Im_RegistryEvent_Empty;_Im_RegistryEvent_Microsoft365D;_Im_RegistryEvent_MicrosoftSysmon;_Im_RegistryEvent_MicrosoftSysmonWindowsEvent;_Im_RegistryEvent_MicrosoftWindowsEvent;_Im_RegistryEvent_MicrosoftSecurityEvent;_Im_RegistryEvent_SentinelOne;_Im_RegistryEvent_Native;_Im_RegistryEvent_VMwareCarbonBlackCloud;_Im_RegistryEvent_TrendMicroVisionOne","Union parser (uses sub-parsers, not direct tables)"
"ASimUserManagement","union","ASimUserManagementCiscoISE;ASimUserManagementLinuxAuthpriv;ASimUserManagementMicrosoftSecurityEvent;ASimUserManagementMicrosoftWindowsEvent;ASimUserManagementNative;ASimUserManagementSentinelOne","","_Im_UserManagement_Empty;_ASim_UserManagement_CiscoISE;_ASim_UserManagement_LinuxAuthpriv;_ASim_UserManagement_MicrosoftSecurityEvent;_ASim_UserManagement_MicrosoftWindowsEvent;_ASim_UserManagement_SentinelOne;_ASim_UserManagement_Native","Union parser (uses sub-parsers, not direct tables)"
"imUserManagement","union","","","_Im_UserManagement_Empty;_Im_UserManagement_CiscoISE;_Im_UserManagement_LinuxAuthpriv;_Im_UserManagement_MicrosoftWindowsEvent;_Im_UserManagement_MicrosoftSecurityEvent;_Im_UserManagement_SentinelOne;_Im_UserManagement_Native","Union parser (uses sub-parsers, not direct tables)"
"ASimWebSession","union","ASimWebSessionApacheHTTPServer;ASimWebSessionAzureFirewall;ASimWebSessionBarracudaCEF;ASimWebSessionBarracudaWAF;ASimWebSessionCiscoFirepower;ASimWebSessionCiscoMeraki;ASimWebSessionCitrixNetScaler;ASimWebSessionF5ASM;ASimWebSessionFortinetFortiGate;ASimWebSessionIIS;ASimWebSessionNative;ASimWebSessionPaloAltoCEF;ASimWebSessionPaloAltoCortexDataLake;ASimWebSessionSonicWallFirewall;ASimWebSessionSquidProxy;ASimWebSessionVectraAI;ASimWebSessionZscalerZIA","","_Im_WebSession_Empty;_ASim_WebSession_SquidProxy;_ASim_WebSession_ZscalerZIA;_ASim_WebSession_VectraAI;_ASim_WebSession_Native;_ASim_WebSession_IIS;_ASim_WebSession_PaloAltoCEF;_ASim_WebSession_ApacheHTTPServer;_ASim_WebSession_FortinetFortiGate;_ASim_WebSession_CiscoMeraki;_ASim_WebSession_BarracudaWAF;_ASim_WebSession_BarracudaCEF;_ASim_WebSession_CitrixNetScaler;_ASim_WebSession_CiscoFirepower;_ASim_WebSession_F5ASM;_ASim_WebSession_PaloAltoCortexDataLake;_ASim_WebSession_SonicWallFirewall;_ASim_WebSession_AzureFirewall","Union parser (uses sub-parsers, not direct tables)"
"ASimWebSessionAzureFirewall","source","AZFWApplicationRule","","","Filter mismatch - parser uses: no filters"
"ASimWebSessionBarracudaWAF","source","barracuda_CL","","","Filter mismatch - parser uses: no filters"
"imWebSession","union","","","_Im_WebSesssion_Empty;_Im_WebSession_SquidProxy;_Im_WebSession_ZscalerZIA;_Im_WebSession_VectraAI;_Im_WebSession_Native;_Im_WebSession_IIS;_Im_WebSession_PaloAltoCEF;_Im_WebSession_ApacheHTTPServer;_Im_WebSession_FortinetFortiGate;_Im_WebSession_CiscoMeraki;_Im_WebSession_BarracudaWAF;_Im_WebSession_BarracudaCEF;_Im_WebSession_CitrixNetScaler;_Im_WebSession_CiscoFirepower;_Im_WebSession_F5ASM;_Im_WebSession_PaloAltoCortexDataLake;_Im_WebSession_SonicWallFirewall;_Im_WebSession_AzureFirewall","Union parser (uses sub-parsers, not direct tables)"
