solution_name,local_first_publish,mp_creation_date,local_last_publish,mp_last_modified,is_published
Azure Cloud NGFW By Palo Alto Networks,2023-11-03,2024-07-23,2023-11-03,2025-12-13,true
Azure Cognitive Search,2022-06-28,2023-04-10,,2025-12-13,true
Azure Data Lake Storage Gen1,2022-06-24,2023-02-22,,2025-12-13,true
Azure DDoS Protection,2022-05-13,2023-02-28,,2025-12-13,true
Azure Event Hubs,2022-06-01,2023-04-11,,2025-12-13,true
Azure Firewall,2022-05-23,2023-02-27,,2026-02-16,true
Azure Key Vault,2022-05-02,2023-02-17,,2025-12-13,true
Azure kubernetes Service,2022-06-01,2023-02-17,,2025-12-13,true
Azure Logic Apps,2022-06-24,2024-11-08,,2025-12-13,true
Azure Network Security Groups,2022-05-23,2023-02-20,,2025-12-14,true
Azure Resource Graph,2025-06-20,2025-07-14,,2025-12-12,true
Azure Service Bus,2022-06-29,2023-04-10,,2025-12-13,true
Azure SQL Database solution for sentinel,2022-08-19,2023-03-31,,2025-12-13,true
Azure Storage,2022-05-12,2024-01-18,,2025-12-13,true
Azure Stream Analytics,2022-06-24,2023-04-11,,2025-12-13,true
Azure Web Application Firewall (WAF),2022-05-18,2023-02-16,,2025-12-13,true
AzureDevOpsAuditing,2022-09-20,2023-03-01,,2026-02-17,true
AzureSecurityBenchmark,2022-06-17,2023-04-20,,2025-12-13,true
Barracuda CloudGen Firewall,2021-05-02,2023-10-31,,2025-12-13,true
Barracuda WAF,2022-05-13,,,,true
BETTER Mobile Threat Defense (MTD),2022-05-02,2024-11-08,,2025-12-12,true
Beyond Security beSECURE,2022-05-02,,,,false
BeyondTrustPMCloud,2025-10-31,2026-02-27,,2026-02-27,true
BigID,2025-10-07,2026-02-20,,2026-03-02,true
Bitglass,2021-10-23,2023-05-24,,2025-12-13,true
BitSight,2023-02-20,2023-10-12,2024-02-20,2026-02-26,true
Bitwarden,2024-05-12,2024-09-30,2024-10-02,2025-12-13,true
Blackberry CylancePROTECT,2022-05-20,2023-03-14,,2025-12-13,true
BlinkOps,2025-05-05,2025-06-18,,2025-12-13,true
BloodHound Enterprise,2023-05-04,,2021-05-04,,true
Box,2022-05-20,2023-08-04,,2025-12-13,true
Broadcom SymantecDLP,2022-05-02,2023-03-16,,2025-12-13,true
Business Email Compromise - Financial Fraud,2023-08-04,2023-08-09,,2025-12-13,true
Check Point,2021-08-13,2023-04-03,,2025-12-13,true
Check Point CloudGuard CNAPP,2024-11-12,2025-01-16,,2025-12-13,true
Check Point Cyberint Alerts,2025-03-18,2025-08-14,,2026-01-21,true
Check Point Cyberint IOC,2025-04-29,2025-08-14,,2025-12-13,true
CheckPhish by Bolster,2022-10-12,2024-11-08,,2025-12-13,true
Cisco ACI,2021-07-03,2024-07-29,,2025-12-13,true
Cisco ETD,2024-03-04,2024-03-28,,2025-12-13,true
Cisco Firepower EStreamer,2022-05-25,2023-05-23,,2025-12-13,true
Cisco ISE,2021-07-03,2023-05-08,,2025-12-12,true
Cisco Meraki Events via REST API,2023-07-12,2024-04-24,,2025-12-14,true
Cisco SD-WAN,2023-06-01,2023-07-18,2024-06-01,2025-12-13,true
Cisco Secure Cloud Analytics,2021-10-20,2024-05-16,,2025-12-13,true
Cisco Secure Endpoint,2021-10-28,2023-05-23,2022-02-02,2025-12-13,true
Cisco UCS,2022-05-02,2023-03-17,,2025-12-13,true
CiscoASA,2022-05-23,2023-06-15,,2025-12-12,true
CiscoDuoSecurity,2022-01-07,,,,true
CiscoMeraki,2021-09-08,2023-03-17,,2026-01-23,true
CiscoSEG,2021-06-23,2023-10-06,,2025-12-12,true
CiscoUmbrella,2022-04-01,2023-03-23,,2026-02-19,true
CiscoWSA,2021-06-29,2024-07-30,,2025-12-13,true
Citrix ADC,2022-06-02,2023-04-06,,2025-12-12,true
Citrix Analytics for Security,2022-05-06,,,,true
Citrix Web App Firewall,2022-05-06,2023-02-22,,2026-02-09,true
Claroty,2021-10-23,2023-08-17,,2025-12-13,true
Claroty xDome,2024-02-01,2024-05-21,,2025-12-13,true
Cloud Identity Threat Protection Essentials,2022-11-16,2023-04-17,,2025-12-13,true
Cloud Service Threat Protection Essentials,2022-11-16,2023-04-17,,2025-12-13,true
Cloudflare,2021-10-20,2023-05-12,,2025-12-13,true
Cloudflare CCF,2025-09-30,2025-10-23,,2026-02-11,true
CofenseIntelligence,2023-05-26,,2024-05-26,,false
CofenseTriage,2023-03-24,,2023-03-24,,false
Cognni,2022-05-06,2024-11-08,,2025-12-13,true
CognyteLuminar,2023-09-15,2024-03-28,,2025-12-13,true
CohesitySecurity,2022-10-10,2023-02-27,,2025-12-13,true
Common Event Format,2022-05-30,2023-02-21,,2025-12-13,true
Commvault Security IQ,2023-08-17,2023-09-18,,2026-02-20,true
ContinuousDiagnostics&Mitigation,2022-08-24,2023-11-16,,2025-12-13,true
Contrast Protect,2021-10-20,,,,true
ContrastADR,2025-01-18,2025-10-20,2025-01-18,2026-01-22,true
Corelight,2022-06-01,2023-11-01,,2026-02-02,true
Cortex XDR,2023-07-12,2023-08-04,,2025-12-13,true
Cribl,2024-08-01,2024-09-12,2024-09-05,2025-12-13,true
CrowdStrike Falcon Endpoint Protection,2022-06-01,2023-03-24,,2026-03-09,true
CTERA,2024-07-28,2025-02-25,,2025-12-14,true
CTM360,2023-10-23,2024-01-28,,2026-03-09,true
CustomLogsAma,2024-07-21,2024-08-12,,2025-12-13,true
CyberArk Privilege Access Manager (PAM) Events,2022-05-02,2024-03-12,,2025-12-13,true
CyberArkAudit,2024-03-01,2024-04-04,,2026-03-05,true
CyberArkEPM,2022-04-10,,,,true
CybersecurityMaturityModelCertification(CMMC)2.0,2022-01-06,2023-04-19,,2026-01-14,true
Cybersixgill-Actionable-Alerts,2023-02-27,2023-03-14,2024-09-24,2025-12-13,true
Cyble Vision,2025-05-05,2025-05-26,,2026-01-16,true
Cyborg Security HUNTER,2023-07-03,2023-11-27,2023-09-22,2025-12-13,true
CyeraDSPM,2025-10-15,,2025-10-29,,false
Cyfirma Attack Surface,2025-03-27,2025-05-12,,2025-12-13,true
Cyfirma Brand Intelligence,2025-03-27,2025-05-13,,2025-12-13,true
Cyfirma Compromised Accounts,2025-05-15,2025-06-18,,2025-12-13,true
Cyfirma Cyber Intelligence,2025-05-15,2025-06-18,,2025-12-13,true
Cyfirma Digital Risk,2025-03-27,2025-05-13,,2025-12-13,true
Cyfirma Vulnerabilities Intel,2025-05-15,2025-06-18,,2025-12-13,true
Cynerio,2023-03-29,2023-04-24,2023-03-29,2025-12-13,true
CyrenThreatIntelligence,2025-11-16,2026-02-09,,2026-03-02,true
Cyware,2024-03-18,2024-07-11,2024-03-18,2025-12-13,true
Darktrace,2022-05-02,2023-05-08,,2025-12-13,true
Datalake2Sentinel,2024-01-15,2024-02-05,2024-01-15,2025-12-13,true
Dataminr Pulse,2023-04-12,2023-10-20,2023-04-12,2025-12-13,true
Datawiza,2025-11-10,2026-01-15,,2026-01-15,true
Delinea Secret Server,2022-05-06,2023-09-02,,2025-12-13,true
Dev 0270 Detection and Hunting,2022-11-29,2023-02-28,,2025-12-14,true
DEV-0537DetectionandHunting,2022-04-07,,,,true
Digital Guardian Data Loss Prevention,2021-07-23,2023-10-17,,2025-12-13,true
Digital Shadows,,2023-05-31,,2025-12-14,true
DNS Essentials,2023-01-14,2023-04-18,,2025-12-13,true
DomainTools,2022-10-20,2023-03-21,,2025-12-14,true
Doppel,2024-11-20,2025-01-28,,2026-02-26,true
DORA Compliance,2025-10-08,2026-02-27,,2026-02-27,true
DPDP Compliance,2026-01-26,2026-02-05,,2026-02-06,true
Dragos,2025-01-23,2025-02-05,2025-01-23,2025-12-12,true
DruvaDataSecurityCloud,2024-12-24,2025-01-27,,2025-12-13,true
Dynamics 365,2023-01-17,2023-02-28,,2026-03-03,true
Dynatrace,2022-10-18,2023-02-22,2023-10-16,2025-12-12,true
EatonForeseer,2022-06-28,2023-04-10,,2025-12-13,true
EclecticIQ,2022-09-30,2023-04-28,,2025-12-13,true
Egress Defend,2023-07-27,,,,false
Egress Iris,2024-03-11,,,,true
Elastic Search,2022-09-30,,,,false
ElasticAgent,2021-11-12,2023-04-10,,2025-12-13,true
Endace,2025-03-24,2025-12-16,,2026-01-27,true
Endpoint Threat Protection Essentials,2022-11-16,2023-03-17,,2026-02-19,true
Entrust identity as Service,2023-05-22,2023-07-13,,2025-12-13,true
Ermes Browser Security,2023-09-29,2023-12-04,,2025-12-17,true
ESET Inspect,2022-06-01,,,,true
ESET Protect Platform,2024-10-29,,2025-06-17,,false
Eset Security Management Center,2022-05-11,,,,false
ESETPROTECT,2021-10-20,,,,true
Exabeam Advanced Analytics,2022-05-20,2023-03-20,,2025-12-13,true
ExtraHop,2025-02-11,2025-07-10,2025-06-04,2025-12-13,true
ExtraHop Reveal(x),2022-05-19,2024-09-03,,2025-12-13,true
F5 Big-IP,2022-05-25,2023-04-08,,2025-12-13,true
F5 Networks,2022-05-12,2023-04-08,,2025-12-13,true
FalconFriday,2021-10-18,2024-11-08,,2026-03-09,true
Farsight DNSDB,,,,,true
Feedly,2023-08-01,2023-09-29,,2026-03-02,true
FireEye Network Security,2022-06-01,2023-09-04,,2025-12-13,true
Flare,2021-10-20,2023-03-08,,2026-02-10,true
Forcepoint CASB,2022-05-19,2023-07-11,,2025-12-12,true
Forcepoint CSG,2022-05-10,2023-07-11,,2025-12-13,true
Forcepoint DLP,2022-05-09,2024-11-08,,2025-12-13,true
Forcepoint NGFW,2022-05-25,2023-07-11,,2025-12-13,true
Forescout (Legacy),2022-06-01,2023-06-21,,2025-12-13,true
Forescout eyeInspect for OT Security,2025-07-10,,,,false
ForescoutHostPropertyMonitor,2022-06-28,2024-02-08,,2025-12-13,true
ForgeRock Common Audit for CEF,2022-05-04,,,,false
Fortinet FortiGate Next-Generation Firewall connector for Microsoft Sentinel,2021-08-13,2023-04-20,,2025-12-12,true
Fortinet FortiNDR Cloud,2024-01-15,2024-03-11,,2025-12-13,true
Fortinet FortiWeb Cloud WAF-as-a-Service connector for Microsoft Sentinel,2022-05-23,2023-04-27,,2025-12-13,true
Garrison ULTRA,2024-10-04,2025-01-23,,2025-12-13,true
GDPR Compliance & Data Security,2025-10-08,2025-11-13,,2025-12-18,true
Gigamon Connector,,2023-11-21,,2026-03-06,true
GitHub,2021-10-18,2023-05-16,,2026-02-04,true
GitLab,2022-04-27,2023-11-22,2022-06-27,2025-12-13,true
Global Secure Access,2024-04-08,2024-09-30,,2026-03-02,true
Google Apigee,2021-10-28,2023-03-06,,2025-12-12,true
Google Cloud Platform Audit Logs,2023-03-29,2023-03-29,,2026-01-29,true
Google Cloud Platform BigQuery,2023-03-02,2023-07-12,,2025-12-13,true
Google Cloud Platform Cloud Monitoring,2022-07-01,2023-03-06,,2026-02-17,true
Google Cloud Platform Cloud Run,2021-07-30,2025-07-22,,2025-12-13,true
Google Cloud Platform Compute Engine,2022-07-07,2025-07-18,,2025-12-13,true
Google Cloud Platform Firewall Logs,2024-11-03,2024-11-26,,2025-12-12,true
Google Cloud Platform Load Balancer Logs,2025-02-12,2025-02-25,,2025-12-12,true
Google Cloud Platform Security Command Center,2023-09-11,2024-02-08,,2025-12-13,true
Google Cloud Platform VPC Flow Logs,2025-02-12,2025-05-21,,2025-12-13,true
Google Kubernetes Engine,2025-04-04,2025-08-06,,2026-03-06,true
Google Threat Intelligence,2024-10-26,2024-12-13,2024-10-26,2025-12-12,true
GoogleCloudPlatformCDN,2025-03-07,2025-06-19,,2025-12-13,true
GoogleCloudPlatformDNS,2022-07-07,2023-03-06,,2025-12-13,true
GoogleCloudPlatformIAM,2021-07-30,2023-05-23,,2025-12-18,true
GoogleCloudPlatformIDS,2022-07-07,2025-06-19,,2025-12-13,true
GoogleCloudPlatformNAT,2025-05-29,2025-07-23,,2025-12-13,true
GoogleCloudPlatformResourceManager,2025-03-07,2025-07-18,,2025-12-13,true
GoogleCloudPlatformSQL,2021-07-30,2025-07-22,,2025-12-13,true
GoogleDirectory,,,,,false
GoogleWorkspaceReports,2022-01-24,2023-03-06,,2026-02-17,true
GreyNoiseThreatIntelligence,2023-09-05,2023-10-17,2025-07-28,2025-12-13,true
Group-IB,,,,,false
Halcyon,2025-12-22,2026-01-22,2025-12-22,2026-01-22,true
HIPAA Compliance,2025-10-08,2025-11-13,,2025-12-13,true
HolmSecurity,2022-07-18,2023-09-29,,2025-12-13,true
HoneyTokens,,,,,false
HYAS,2021-10-20,2024-02-28,,2025-12-13,true
HYAS Protect,2023-09-26,,,,true
iboss,2022-02-15,2023-08-20,,2026-02-09,true
Illumio Core,2022-05-26,,,,true
Illumio Insight,2025-08-10,2025-09-17,,2025-12-14,true
IllumioSaaS,2024-05-13,2024-07-08,,2025-12-13,true
Illusive Active Defense,,,,,false
Illusive Platform,2022-05-25,2024-11-08,,2025-12-13,true
Imperva WAF Gateway,2022-05-02,,,,false
ImpervaCloudWAF,2021-09-28,2023-05-30,,2025-12-13,true
Infoblox,2024-07-15,2024-09-25,2024-07-15,2025-12-13,true
Infoblox Cloud Data Connector,2021-10-20,,,,true
Infoblox NIOS,2022-04-01,2023-03-14,,2025-12-13,true
Infoblox SOC Insights,2024-03-06,,,,false
InsightVM,,,,,false
Integration for Atlassian Beacon,2023-09-22,2023-10-26,,2025-12-14,true
Intel471,2023-06-21,,,,true
IONIX,2022-05-02,2024-11-08,,2025-12-13,true
IoTOTThreatMonitoringwithDefenderforIoT,2021-10-26,2023-02-17,,2025-12-13,true
IPinfo,2024-05-02,,,,false
IPQualityScore,2021-10-20,2023-05-18,,2025-12-13,true
IronNet IronDefense,2021-10-18,,,,false
ISC Bind,2022-09-20,2023-03-16,,2025-12-13,true
Island,2023-05-02,2023-05-17,2023-07-20,2025-12-13,true
Ivanti Unified Endpoint Management,2022-07-05,2024-07-31,,2025-12-13,true
Jamf Protect,2022-10-10,2023-02-21,2025-09-02,2025-12-13,true
JBoss,2021-10-20,2024-08-21,,2025-12-13,true
JoeSandbox,2025-09-12,2026-02-10,,2026-02-18,true
Joshua-Cyberiskvision,2022-01-10,2024-11-08,2022-01-10,2025-12-13,true
Juniper SRX,2022-05-02,2023-03-14,,2025-12-13,true
JuniperIDP,2021-03-31,2024-08-20,,2025-12-13,true
Keeper Security,2025-06-03,2025-06-30,2025-06-03,2025-12-13,true
KQL Training,2022-11-30,2023-09-12,,2025-12-13,true
Lastpass Enterprise Activity Monitoring,2021-10-20,2024-11-08,2022-01-12,2025-12-12,true
Legacy IOC based Threat Protection,2022-12-19,2023-02-23,,2025-12-13,true
Lookout,2021-10-18,2024-11-08,2025-12-18,2026-01-13,true
Lookout Cloud Security Platform for Microsoft Sentinel,2023-02-17,,,,true
Lumen Defender Threat Feed,2025-09-12,,2025-09-12,,true
MailGuard 365,2023-05-09,2023-09-18,2023-06-08,2025-12-13,true
MailRisk,2023-03-16,2023-07-06,2025-10-27,2026-02-17,true
Malware Protection Essentials,2023-09-25,2024-05-17,2023-09-25,2025-12-13,true
MarkLogicAudit,2022-08-01,2023-03-06,,2025-12-13,true
MaturityModelForEventLogManagementM2131,2021-12-05,2023-03-30,,2025-12-13,true
McAfee ePolicy Orchestrator,2021-03-25,,,,true
McAfee Network Security Platform,2021-06-29,,,,true
meshStack,2025-12-15,,,,false
Microsoft 365,2022-05-23,2023-02-20,,2025-12-13,true
Microsoft 365 Assets,2025-06-20,,,,true
Microsoft Business Applications,2023-04-19,2024-01-03,,2026-02-25,true
Microsoft Copilot,2025-10-01,2025-09-15,,2026-01-30,true
Microsoft Defender for Cloud,2022-05-17,2023-05-16,,2025-12-13,true
Microsoft Defender for Cloud Apps,2022-05-02,2023-04-25,,2025-12-13,true
Microsoft Defender for Identity,2022-04-20,2023-03-02,,2025-12-13,true
Microsoft Defender for Office 365,2022-05-17,2023-09-06,,2025-12-13,true
Microsoft Defender Threat Intelligence,2023-03-23,2023-03-27,,2025-12-13,true
Microsoft Defender XDR,2022-05-02,2023-02-21,,2026-01-23,true
Microsoft Entra ID,2022-05-16,2023-02-20,,2026-02-24,true
Microsoft Entra ID Assets,2025-06-20,2025-09-26,,2025-12-13,true
Microsoft Entra ID Protection,2022-05-18,2023-02-24,,2025-12-13,true
Microsoft Exchange Security - Exchange On-Premises,2022-12-21,2023-07-04,,2025-12-13,true
Microsoft Exchange Security - Exchange Online,2022-12-21,2023-07-04,,2025-12-13,true
Microsoft PowerBI,2022-05-23,2023-03-23,,2025-12-14,true
Microsoft Project,2022-05-23,2023-07-11,,2025-12-14,true
Microsoft Purview,2021-11-23,2023-02-16,,2025-12-13,true
Microsoft Purview Information Protection,2023-01-06,2023-03-02,,2025-12-13,true
Microsoft Sysmon For Linux,2021-10-27,2023-04-20,,2025-12-12,true
Microsoft Windows SQL Server Database Audit,2022-11-29,2023-07-14,,2025-12-13,true
MicrosoftDefenderForEndpoint,2022-01-31,2023-03-03,,2025-12-14,true
MicrosoftPurviewInsiderRiskManagement,2021-10-20,2023-03-02,,2025-12-13,true
Mimecast,2024-09-10,2024-11-21,2024-09-10,2025-12-13,true
MimecastAudit,2022-02-24,2023-10-18,2022-02-24,2025-12-13,true
MimecastSEG,2022-02-24,2023-10-18,2022-02-24,2025-12-13,true
MimecastTIRegional,2023-08-23,2023-10-23,2023-09-11,2025-12-13,true
MimecastTTP,2022-02-24,2023-10-18,2022-02-24,2025-12-13,true
Minemeld,2022-10-11,2024-04-04,,2025-12-13,true
Miro,,2025-12-24,,2026-01-08,true
MISP2Sentinel,2023-07-29,2023-08-22,2023-07-29,2025-12-13,true
MongoDBAtlas,2025-08-22,2025-11-03,,2025-12-13,true
MongoDBAudit,2022-06-01,2023-03-06,,2025-12-12,true
Morphisec,2022-05-05,2024-11-08,,2025-12-13,true
Mulesoft,2022-07-12,2023-05-26,,2025-12-13,true
Multi Cloud Attack Coverage Essentials - Resource Abuse,2023-11-22,2023-11-29,,2025-12-13,true
Nasuni,2023-07-07,2023-07-19,2023-07-07,2025-12-13,true
NC Protect Data Connector,2021-10-20,2023-06-01,,2025-12-13,true
NCSC-NL NDN Cyber Threat Intelligence Sharing,2025-05-19,2025-07-10,,2025-12-13,true
NetClean ProActive,2022-06-30,,,,true
Netskope,2022-05-05,2023-07-21,,2025-12-13,true
Netskopev2,2024-03-18,2023-07-21,2024-03-18,2025-12-13,true
Network Session Essentials,2022-11-11,2023-03-21,2022-11-11,2026-02-09,true
Network Threat Protection Essentials,2022-11-16,2023-04-13,,2026-01-30,true
Netwrix Auditor,2022-06-17,2023-04-11,,2025-12-13,true
Neustar IP GeoPoint,2022-09-30,2024-11-08,2022-09-30,2025-12-13,true
NGINX HTTP Server,2021-12-16,2023-04-06,,2025-12-13,true
NISTSP80053,2022-02-24,2023-04-19,,2026-01-22,true
Noname API Security Solution for Microsoft Sentinel,2022-12-01,,,,true
NordPass,2025-04-22,2025-06-27,,2026-02-23,true
NozomiNetworks,2022-07-12,2023-09-14,,2025-12-13,true
NXLog BSM macOS,2022-05-02,,,,true
NXLog FIM,2022-08-15,,,,true
NXLog LinuxAudit,2022-05-05,,,,true
NXLogAixAudit,2022-05-05,,,,true
NXLogDNSLogs,2022-05-24,,,,true
Obsidian Datasharing,2024-01-01,2025-09-30,,2025-12-17,true
Okta Single Sign-On,2022-03-24,2023-07-11,,2026-01-14,true
Onapsis Defend,2025-07-17,2025-08-25,2025-07-17,2025-12-13,true
Onapsis Platform,2022-05-11,,,,false
OneIdentity,2022-05-02,,,,true
OneLoginIAM,2022-08-18,2023-05-26,,2025-12-13,true
OneTrust,2025-10-24,2025-11-13,2025-10-24,2025-12-13,true
Open Systems,2025-05-12,2025-11-28,,2025-12-13,true
OpenCTI,2022-09-22,2024-11-08,2022-09-22,2025-12-13,true
OpenVPN,2022-08-18,2023-04-05,,2025-12-13,true
Oracle Cloud Infrastructure,2022-06-01,2023-05-31,,2026-02-11,true
OracleDatabaseAudit,2021-11-05,2023-03-21,,2025-12-13,true
OracleWebLogicServer,2022-01-06,2023-04-06,,2025-12-13,true
Orca Security Alerts,2022-05-10,2024-11-08,,2025-12-13,true
OSSEC,2022-05-19,2023-03-20,,2025-12-13,true
Palo Alto - XDR (Cortex),,,,,false
Palo Alto Cortex XDR CCP,2024-12-07,2024-12-19,,2025-12-13,true
Palo Alto Cortex Xpanse CCF,2024-12-07,2025-08-07,,2025-12-13,true
Palo Alto Prisma Cloud CWPP,2022-06-24,2023-11-07,,2025-12-13,true
PaloAlto-PAN-OS,2021-08-09,2023-03-07,2021-09-20,2026-01-14,true
PaloAltoCDL,2021-10-23,2023-03-08,,2025-12-13,true
PaloAltoPrismaCloud,2021-04-16,2023-03-08,,2025-12-13,true
Pathlock_TDnR,2022-02-17,2025-11-12,,2025-12-13,true
PCI DSS Compliance,2022-06-29,2024-10-17,,2025-12-13,true
PDNS Block Data Connector,2023-03-31,,,,false
Perimeter 81,2022-05-06,2023-03-21,,2025-12-14,true
Phosphorus,2024-08-13,2024-08-31,2024-08-13,2025-12-14,true
PingFederate,2022-06-01,2023-09-08,,2025-12-13,true
PingOne,2025-04-20,2025-06-24,2025-04-20,2025-12-13,true
PostgreSQL,2022-06-27,2024-08-16,,2025-12-13,true
Power Platform,,,,,false
Prancer PenSuiteAI Integration,2023-08-02,2023-11-01,,2025-12-12,true
Proofpoint On demand(POD) Email Security,2021-03-31,2025-09-10,,2025-12-23,true
ProofPointTap,2022-05-23,2025-09-10,,2025-12-13,true
Pulse Connect Secure,2022-05-02,2023-03-28,,2025-12-13,true
Pure Storage,2024-02-05,2024-03-04,,2025-12-13,true
Qualys VM Knowledgebase,2022-05-17,2023-03-28,,2025-12-13,true
QualysVM,2020-12-14,2023-06-12,2025-11-18,2025-12-13,true
Quokka,2025-10-30,2025-11-25,,2026-02-02,true
Radiflow,2024-06-26,2024-07-26,,2025-12-12,true
Rapid7InsightVM,2021-07-07,2023-05-26,,2025-12-13,true
Recorded Future,2021-11-01,2023-02-20,2023-09-19,2025-12-13,true
Recorded Future Identity,2022-09-06,2024-07-09,2025-04-02,2025-12-13,true
Red Canary,2022-03-04,,2022-03-04,,true
ReversingLabs,2022-08-08,2023-02-27,2024-07-17,2025-12-13,true
RidgeSecurity,2023-10-23,2023-12-13,2023-10-23,2025-12-13,true
RiskIQ,2021-10-20,2024-11-08,,2026-01-21,true
RSA SecurID,2021-09-07,2023-04-11,,2025-12-13,true
RSAIDPlus_AdminLogs_Connector,2025-10-14,2025-10-27,,2025-12-13,true
RubrikSecurityCloud,2022-07-19,2023-04-17,2025-07-25,2025-12-14,true
SailPointIdentityNow,2021-10-26,2024-03-25,,2025-12-13,true
SalemCyber,2023-07-21,,2023-07-21,,false
Salesforce Service Cloud,2022-05-16,2023-04-25,,2026-01-27,true
Samsung Knox Asset Intelligence,2025-01-15,2025-04-24,,2025-12-13,true
SAP,,,,,false
SAP BTP,2023-04-04,2023-05-04,,2026-02-02,true
SAP ETD Cloud,2025-02-17,2025-03-04,2025-09-11,2025-12-13,true
SAP LogServ,2025-02-17,2025-03-07,2025-07-18,2025-12-13,true
SAP S4 Cloud Public Edition,2025-09-12,2025-10-13,,2025-12-13,true
SecurityBridge App,2022-02-17,2024-03-13,,2025-12-13,true
SecurityScorecard Cybersecurity Ratings,2022-10-01,,2022-10-01,,true
SecurityThreatEssentialSolution,2022-03-30,2023-03-17,,2025-12-12,true
Semperis Directory Services Protector,2021-10-18,,,,true
SenservaPro,2022-06-01,,,,true
SentinelOne,2024-11-26,2023-03-13,,2026-01-12,true
SentinelSOARessentials,2022-06-27,2023-07-04,,2026-01-15,true
SeraphicSecurity,2023-07-31,2023-12-18,2023-07-31,2025-12-13,true
Servicenow,2022-09-19,2023-04-19,,2025-12-13,true
ServiceNow TISC,2025-01-15,2025-02-06,2025-01-15,2025-12-13,true
SevcoSecurity,2023-05-01,,,,false
ShadowByte Aria,2021-12-24,2024-11-08,,2025-12-13,true
Shodan,2023-02-20,2023-07-12,,2025-12-13,true
SIGNL4,2021-12-10,2023-05-04,2021-12-10,2025-12-13,true
Silverfort,2024-09-01,2024-09-26,,2025-12-13,true
SINEC Security Guard,2024-07-15,,,,true
SlackAudit,2021-03-24,2023-08-25,,2025-12-17,true
SlashNext,2022-08-12,,2022-08-12,,true
SlashNext SIEM,2023-05-26,,2023-06-16,,true
Snowflake,2021-10-23,2023-09-12,,2026-02-04,true
SOC Handbook,2022-11-30,2023-06-08,,2026-01-15,true
SOC Prime CCF,2025-09-25,2025-12-26,,2026-01-07,true
SOC-Process-Framework,2022-04-08,2023-03-02,,2025-12-13,true
SonicWall Firewall,2022-05-06,2023-02-14,,2025-12-13,true
SonraiSecurity,2021-10-18,2023-08-16,,2025-12-13,true
Sophos Cloud Optix,2022-05-02,2024-07-03,,2025-12-13,true
Sophos Endpoint Protection,2021-07-07,2023-08-22,,2025-12-12,true
Sophos XG Firewall,2021-10-20,2023-03-21,,2025-12-12,true
SOX IT Compliance,2025-12-11,2025-12-18,,2025-12-19,true
SpyCloud Enterprise Protection,2023-09-09,2023-10-06,,2025-12-13,true
