"solution_name","solution_folder","solution_github_url","solution_publisher_id","solution_offer_id","solution_first_publish_date","solution_last_publish_date","solution_version","solution_support_name","solution_support_tier","solution_support_link","solution_author_name","solution_categories","solution_readme_file","solution_logo_url","solution_description","solution_dependencies","has_connectors","is_deprecated","deprecation_date","is_published","marketplace_url","mp_is_published","mp_url","mp_display_name","mp_summary","mp_long_summary","mp_publisher_display_name","mp_is_preview","mp_is_stop_sell","mp_creation_date","mp_last_modified_date","mp_categories","mp_keywords","mp_popularity","mp_rating_average","mp_rating_count","mp_is_free","mp_is_byol","mp_is_microsoft_product","mp_last_checked"
"Azure Cognitive Search","Azure Cognitive Search","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Cognitive%20Search","azuresentinel","azure-sentinel-solution-azurecognitivesearch","2022-06-28","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Cognitive Search](https://docs.microsoft.com/azure/search/search-what-is-azure-search) solution for Microsoft Sentinel enables you to ingest Azure Cognitive Search diagnostics logs using Diagnostic Settings into Microsoft Sentinel. 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings) ","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurecognitivesearch","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurecognitivesearch","Azure Cognitive Search solution for Sentinel","Azure Cognitive Search solution for Sentinel","The Azure Cognitive Search solution for Microsoft Sentinel enables you to ingest Azure Cognitive Search diagnostics logs using Diagnostic Settings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-04-10","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Cognitive Search;Azure Cognitive Search solution for Sentinel","0.963","0.0","0","false","false","true","2026-04-02"
"Azure DDoS Protection","Azure DDoS Protection","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20DDoS%20Protection","azuresentinel","azure-sentinel-solution-azureddosprotection","2022-05-13","","2.0.4","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/AzDDoS.svg","The [Azure DDoS Protection](https://docs.microsoft.com/azure/virtual-network/ddos-protection-overview) Solution for Microsoft Sentinel enables you to easily ingest Azure DDoS Protection Standard logs to Microsoft Sentinel. This enables you to view and analyze this data in your workbooks, query it to create custom alerts, and incorporate it to improve your investigation process, giving you more insight into your platform security.

 To enable automated response to threats detected, consider deploying the [Remediation-IP Playbook](https://github.com/Azure/Azure-Sentinel/tree/master/MasterPlaybooks/Remediation-IP). 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings) ","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azureddosprotection","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azureddosprotection","Azure DDoS Protection solution for Sentinel","Azure DDoS Protection solution for Sentinel","The Azure DDoS Protection Solution for Microsoft Sentinel enables you to easily ingest Azure DDoS Protection Standard logs to Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-28","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure DDoS Protection;Azure DDoS Protection solution for Sentinel","0.805","0.0","0","false","false","true","2026-04-02"
"Azure Data Lake Storage Gen1","Azure Data Lake Storage Gen1","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Data%20Lake%20Storage%20Gen1","azuresentinel","azure-sentinel-solution-datalakestoragegen1","2022-06-24","","","Microsoft Corporation","Microsoft","https://support.microsoft.com/","","domains","","","","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-datalakestoragegen1","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-datalakestoragegen1","Azure Data Lake Storage Gen1 solution for Sentinel","Azure Data Lake Storage Gen1 solution for Sentinel","The Azure Data Lake Storage Gen1 solution for Microsoft Sentinel enables you to ingest Azure Data Lake Storage Gen1 diagnostics logs using Diagnostic Settings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-22","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;Azure Data Lake Storage Gen1;Azure Data Lake Storage Gen1 solution for Sentinel","0.955","0.0","0","false","false","true","2026-04-02"
"Azure Event Hubs","Azure Event Hubs","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Event%20Hubs","azuresentinel","azure-sentinel-solution-eventhub","2022-06-01","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Event Hubs](https://docs.microsoft.com/azure/event-hubs/event-hubs-about) solution for Microsoft Sentinel enables you to ingest Azure Event Hubs diagnostics logs using Diagnostic Settings into Microsoft Sentinel.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-eventhub","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-eventhub","Azure Event Hubs solution for Sentinel","Azure Event Hubs solution for Sentinel","The Azure Event Hubs solution for Microsoft Sentinel enables you to ingest Azure Event Hubs diagnostics logs using Diagnostic Settings into Microsoft Sentinel","Microsoft Sentinel, Microsoft Corporation","false","false","2023-04-11","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Event Hubs;Azure Event Hubs solution for Sentinel","0.842","0.0","0","false","false","true","2026-04-02"
"Azure Firewall","Azure Firewall","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Firewall","sentinel4azurefirewall","sentinel4azurefirewall","2022-05-23","","3.0.5","Microsoft Corporation","Microsoft","https://support.microsoft.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/AzFirewalls.svg","The [Azure Firewall](https://docs.microsoft.com/azure/firewall/overview) solution for Microsoft Sentinel enables ingestion of DNS Proxy, Application Rule and Network Rule [logs](https://docs.microsoft.com/azure/firewall/logs-and-metrics) from Azure Firewalls.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sentinel4azurefirewall.sentinel4azurefirewall","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sentinel4azurefirewall.sentinel4azurefirewall","Azure Firewall Solution for Sentinel","Microsoft Sentinel Provided Threat Protection for Azure Firewall","This solution provides built-in customizable threat detections, workbook, hunting queries and automation for the Azure Firewall service on top of Microsoft Sentinel.  ","Microsoft Corporation","false","false","2023-02-27","2026-02-16","threat-protection;security;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","f1de974b-f438-4719-b423-8bf704ba2aef;Security;Azure Firewall;Azure Firewall Solution for Sentinel","0.898","0.0","0","false","false","true","2026-04-02"
"Azure Key Vault","Azure Key Vault","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Key%20Vault","azuresentinel","azure-sentinel-solution-azurekeyvault","2022-05-02","","3.0.3","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","[Azure Key Vault](https://azure.microsoft.com/services/key-vault/) Solution for Microsoft Sentinel enables you to stream Azure Key Vault diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurekeyvault","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurekeyvault","Azure Key Vault solution for Sentinel","Azure Key Vault solution for Sentinel","Azure Key Vault Solution for Microsoft Sentinel enables you to stream Azure Key Vault diagnostics logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-17","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Key Vault;Azure Key Vault solution for Sentinel","0.925","0.0","0","false","false","true","2026-04-02"
"Azure Logic Apps","Azure Logic Apps","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Logic%20Apps","azuresentinel","azure-sentinel-solution-logicapps","2022-06-24","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Logic Apps](https://docs.microsoft.com/azure/logic-apps/logic-apps-overview) solution for Microsoft Sentinel enables you to ingest  Azure Logic App diagnostics logs using Diagnostic Settings into Microsoft Sentinel.
 
**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 
 
 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-logicapps","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-logicapps","Azure Logic Apps solution for Sentinel","Azure Logic Apps solution for Sentinel","The Azure Logic Apps solution for Microsoft Sentinel enables you to ingest Azure Logic App diagnostics logs using Diagnostic Settings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-11-08","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Logic Apps;Azure Logic Apps solution for Sentinel","0.908","0.0","0","false","false","true","2026-04-02"
"Azure Network Security Groups","Azure Network Security Groups","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Network%20Security%20Groups","azuresentinel","azure-sentinel-solution-networksecuritygroup","2022-05-23","","2.0.2","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/AzureNetworkSecurityGroups.svg","The [Network Security Group](https://docs.microsoft.com/azure/virtual-network/network-security-groups-overview) solution enables you to stream and ingest diagnostic logs from your Azure NSG instances for Security Monitoring in to Microsoft Sentinel using Resource Diagnostic settings. 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-networksecuritygroup","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-networksecuritygroup","Azure Network Security Groups solution for Sentinel","Azure Network Security Groups solution for Sentinel","The Azure Network Security Group solution enables you to stream and ingest diagnostic logs from your Azure NSG instances for Security Monitoring in to Microsoft Sentinel using Resource Diagnostic settings.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-20","2025-12-14","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Network Security Groups;Azure Network Security Groups solution for Sentinel","0.941","0.0","0","false","false","true","2026-04-02"
"Azure Resource Graph","Azure Resource Graph","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Resource%20Graph","azuresentinel","azure-sentinel-solution-resourcegraph","2025-06-20","","3.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/argGraphLogo.svg","This Microsoft Sentinel Solution is currently in public preview. This feature is provided without a service level agreement, and it's not recommended for production workloads. Certain features might not be supported or might have constrained capabilities. For more information, see [Supplemental Terms of Use for Microsoft Azure Previews.](https://azure.microsoft.com/support/legal/preview-supplemental-terms/)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-resourcegraph","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-resourcegraph","Azure Resource Graph","Azure Resource Graph","This Microsoft Sentinel Solution is currently in public preview. This feature is provided without a service level agreement, and it's not recommended for production workloads. Certain features might not be supported or might have constrained capabilities.","Microsoft Sentinel, Microsoft Corporation","false","false","2025-07-14","2026-03-12","information-protection;threat-protection;security;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Resource Graph;Azure Resource Graph","0.98","0.0","0","false","false","true","2026-04-02"
"Azure SQL Database solution for sentinel","Azure SQL Database solution for sentinel","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20SQL%20Database%20solution%20for%20sentinel","sentinel4sql","sentinel4sql","2022-08-19","","3.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/AzureSQL.svg","The [Azure SQL Database](https://azure.microsoft.com/products/azure-sql/) solution for Microsoft Sentinel enables you to stream Azure SQL database audit and diagnostic logs into Microsoft Sentinel, allowing you to continuously monitor activity in all your instances. 
  
  **Underlying Microsoft Technologies used:** 

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

  a. [Azure Monitor Resource Diagnostics ](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sentinel4sql.sentinel4sql","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/sentinel4sql.sentinel4sql","Azure SQL Database solution for sentinel","Microsoft Sentinel Provided Threat Protection for SQL Preview","This solution provides built-in customizable threat detection for Azure SQL PaaS services on top of Microsoft Sentinel.
","Microsoft Corporation","false","false","2023-03-31","2025-12-13","security;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","f1de974b-f438-4719-b423-8bf704ba2aef;Azure SQL Database solution for sentinel","0.805","0.0","0","false","false","true","2026-04-02"
"Azure Service Bus","Azure Service Bus","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Service%20Bus","azuresentinel","azure-sentinel-solution-servicebus","2022-06-29","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Service Bus](https://docs.microsoft.com/azure/service-bus-messaging/service-bus-messaging-overview) solution for Microsoft Sentinel enables you to ingest Azure Service Bus diagnostics logs using Diagnostic Settings into Microsoft Sentinel. 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-servicebus","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-servicebus","Azure Service Bus solution for Sentinel","Azure Service Bus","The Azure Service Bus solution for Microsoft Sentinel enables you to ingest Azure Service Bus diagnostics logs using Diagnostic Settings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-04-10","2025-12-13","security;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Service Bus;Azure Service Bus solution for Sentinel","0.908","0.0","0","false","false","true","2026-04-02"
"Azure Storage","Azure Storage","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Storage","azuresentinel","azure-sentinel-solution-azurestorageaccount","2022-05-12","","2.0.2","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/StorageAccount.svg","The [Azure Storage account](https://docs.microsoft.com/azure/storage/common/storage-account-overview) Solution for Microsoft Sentinel enables you to stream Azure Storage accounts diagnostics logs into your Microsoft Sentinel workspace, allowing you to continuously monitor activity in all your instances, and detect malicious activity in your organization. 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs: 

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurestorageaccount","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurestorageaccount","Azure Storage solution for Sentinel","Azure Storage solution for Sentinel","The Azure Storage account Solution for Microsoft Sentinel enables you to stream Azure Storage accounts diagnostics logs into your Microsoft Sentinel workspace, allowing you to continuously monitor activity in all your instances.","Microsoft Sentinel, Microsoft Corporation","false","false","2024-01-18","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Storage;Azure Storage solution for Sentinel","0.989","0.0","0","false","false","true","2026-04-02"
"Azure Stream Analytics","Azure Stream Analytics","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Stream%20Analytics","azuresentinel","azure-sentinel-solution-streamanalytics","2022-06-24","","2.0.0","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Stream Analytics](https://docs.microsoft.com/azure/stream-analytics/stream-analytics-introduction) solution for Microsoft Sentinel enables you to ingest Azure Stream Analytics diagnostics logs using Diagnostic Settings into Microsoft Sentinel. 

**Underlying Microsoft Technologies used:**

 This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-streamanalytics","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-streamanalytics","Azure Stream Analytics solution for Sentinel","Azure Stream Analytics","The Azure Stream Analytics solution for Microsoft Sentinel enables you to ingest Azure Stream Analytics diagnostics logs using Diagnostic Settings into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-04-11","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Stream Analytics;Azure Stream Analytics solution for Sentinel","0.0","0.0","0","false","false","true","2026-04-02"
"Azure Web Application Firewall (WAF)","Azure Web Application Firewall (WAF)","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20Web%20Application%20Firewall%20%28WAF%29","azuresentinel","azure-sentinel-solution-azurewebapplicationfirewal","2022-05-18","","3.0.1","Microsoft Corporation","Microsoft","https://support.microsoft.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Workbooks/Images/Logos/waf_logo.svg","The Azure Web Application Firewall (WAF) solution for Microsoft Sentinel allows you to ingest Diagnostic Metrics from Application Gateway, Front Door and CDN into Microsoft Sentinel.","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurewebapplicationfirewal","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurewebapplicationfirewal","Azure Web Application Firewall solution for Sentinel","Azure Web Application Firewall (WAF)","The Azure Web Application Firewall (WAF) solution for Microsoft Sentinel allows you to ingest Diagnostic Metrics from Application Gateway, Front Door and CDN into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-16","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Web Application Firewall (WAF);Azure Web Application Firewall solution for Sentinel","0.873","0.0","0","false","false","true","2026-04-02"
"Azure kubernetes Service","Azure kubernetes Service","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/Azure%20kubernetes%20Service","azuresentinel","azure-sentinel-solution-azurekubernetes","2022-06-01","","2.0.2","Microsoft Corporation","Microsoft","https://support.microsoft.com","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/Azure_Sentinel.svg","The [Azure Kubernetes Services (AKS)](https://docs.microsoft.com/azure/aks/?WT.mc_id=Portal-fx) solution allows you to ingest AKS activity logs using Diagnostic Setting into Microsoft Sentinel.

**Underlying Microsoft Technologies used:**

This solution takes a dependency on the following technologies, and some of these dependencies either may be in [Preview](https://azure.microsoft.com/support/legal/preview-supplemental-terms/) state or might result in additional ingestion or operational costs:

 a. [Azure Monitor Resource Diagnostics](https://docs.microsoft.com/azure/azure-monitor/essentials/diagnostic-settings?tabs=portal)","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurekubernetes","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azurekubernetes","Azure Kubernetes Service (AKS) solution for Sentinel","This Azure Kubernetes Services (AKS) solution allows you to monitor AKS activity logs in Sentinel.","The Azure Kubernetes Services (AKS) solution allows you to ingest AKS activity logs using Diagnostic Setting into Microsoft Sentinel.","Microsoft Sentinel, Microsoft Corporation","false","false","2023-02-17","2025-12-13","security;information-protection;threat-protection;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm","Microsoft sentinel;f1de974b-f438-4719-b423-8bf704ba2aef;Azure Kubernetes Service (AKS);Azure Kubernetes Service (AKS) solution for Sentinel","0.78","0.0","0","false","false","true","2026-04-02"
"AzureDevOpsAuditing","AzureDevOpsAuditing","https://github.com/Azure/Azure-Sentinel/blob/master/Solutions/AzureDevOpsAuditing","azuresentinel","azure-sentinel-solution-azuredevopsauditing","2022-09-20","","3.0.8","Microsoft Corporation","Microsoft","https://support.microsoft.com/","Microsoft - support@microsoft.com","domains","","https://raw.githubusercontent.com/Azure/Azure-Sentinel/master/Logos/AzureDevOps.svg","The [Azure DevOps](https://azure.microsoft.com/products/devops/) Auditing solution for Microsoft Sentinel allows monitoring Azure DevOps [audit events](https://docs.microsoft.com/azure/devops/organizations/audit/azure-devops-auditing?view=azure-devops&tabs=preview-page#review-audit-log) to enable detection of malicious and/or unauthorized access and modification in the repository or pipelines. <p><span style='color:red; font-weight:bold;'>NOTE</span>: Microsoft recommends installation of Azure DevOps Audit Logs (Preview) (via Codeless Connector Platform). This connector is build on the Codeless Connector Platform (CCP), which uses the Log Ingestion API, which replaces ingestion via the <a href='https://learn.microsoft.com/en-us/azure/azure-monitor/logs/custom-logs-migrate' style='color:#1890F1;'>deprecated HTTP Data Collector API</a>. CCP-based data connectors also support <a href='https://learn.microsoft.com/en-us/azure/azure-monitor/essentials/data-collection-rule-overview' style='color:#1890F1;'>Data Collection Rules</a> (DCRs) offering transformations and enrichment.</p> ","","true","false","","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azuredevopsauditing","true","https://azuremarketplace.microsoft.com/en-us/marketplace/apps/azuresentinel.azure-sentinel-solution-azuredevopsauditing","Azure DevOps Auditing","Azure DevOps Auditing","The Azure DevOps Auditing solution for Microsoft Sentinel allows monitoring Azure DevOps audit events to enable detection of malicious and/or unauthorized access and modification in the repository or pipelines. ","Microsoft Sentinel, Microsoft Corporation","false","false","2023-03-01","2026-02-17","information-protection;threat-protection;security;azureCertified;fromPublishingPortal;multiResourceSolution;readonlytemplate;virtualMachine;virtualMachine-Arm;AzureSentinelSolution","Microsoft Sentinel;f1de974b-f438-4719-b423-8bf704ba2aef ;Azure DevOps Auditing;Azure DevOps Auditing","0.884","0.0","0","false","false","true","2026-04-02"
