parser_name,equivalent_builtin,schema,schema_version,parser_type,parser_title,parser_version,parser_last_updated,product_name,description,tables,sub_parsers,parser_params,references,source_file,github_url
ASimAuditEventBarracudaWAF,_ASim_AuditEvent_BarracudaWAF,AuditEvent,0.1,source,Audit Event ASIM parser for Barracuda WAF,0.2.1,"Jun 12, 2024",Barracuda WAF,This ASIM parser supports normalizing Barracuda WAF logs ingested in 'barracuda_CL' table to the ASIM Audit Event schema.,barracuda_CL,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Logs type Description in Barracuda WAF](https://campus.barracuda.com/product/webapplicationfirewall/doc/78810008/types-of-logs/),Parsers\ASimAuditEvent\Parsers\ASimAuditEventBarracudaWAF.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventBarracudaWAF.yaml
ASimAuditEventCiscoISE,_ASim_AuditEvent_CiscoISE,AuditEvent,0.1.0,source,Audit Event ASIM filtering parser for Cisco ISE,0.1,"July 13, 2023",Cisco ISE,This ASIM parser supports normalizing administrative activity in the Cisco ISE events to the ASIM Audit Event schema.,,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https:/aka.ms/AboutASIM);[Cisco ISE Security Events](https://www.cisco.com/c/en/us/td/docs/security/ise/3-2/admin_guide/b_ise_admin_3_2/b_ISE_admin_32_maintain_monitor.html#ID58),Parsers\ASimAuditEvent\Parsers\ASimAuditEventCiscoISE.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventCiscoISE.yaml
ASimAuditEventCiscoMeraki,_ASim_AuditEvent_CiscoMeraki,AuditEvent,0.1,source,Audit Event ASIM parser for Cisco Meraki,0.2.1,"Jun 11, 2024",Cisco Meraki,"This ASIM parser supports normalizing Cisco Meraki logs ingested in 'meraki_CL' table to the ASIM Audit Event normalized schema. Cisco Meraki events are generated from network activity and security events from Meraki devices such as firewalls, switches, and access points. These logs are captured through the Cisco Meraki Sentinel connector which uses a Linux agent to collect logs in Syslog format.",Operation;meraki_CL,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Cisco Meraki Documentation](https://documentation.meraki.com/General_Administration/Monitoring_and_Reporting/Syslog_Event_Types_and_Log_Samples),Parsers\ASimAuditEvent\Parsers\ASimAuditEventCiscoMeraki.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventCiscoMeraki.yaml
ASimAuditEventCiscoMerakiSyslog,_ASim_AuditEvent_CiscoMerakiSyslog,AuditEvent,0.1,source,Audit Event ASIM parser for Cisco Meraki,0.2.1,"Jun 11, 2024",Cisco Meraki,"This ASIM parser supports normalizing Cisco Meraki logs ingested in 'Syslog' table to the ASIM Audit Event normalized schema. Cisco Meraki events are generated from network activity and security events from Meraki devices such as firewalls, switches, and access points. These logs are captured through the Cisco Meraki Sentinel connector which uses a Linux agent to collect logs in Syslog format.",Operation;Syslog,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Cisco Meraki Documentation](https://documentation.meraki.com/General_Administration/Monitoring_and_Reporting/Syslog_Event_Types_and_Log_Samples),Parsers\ASimAuditEvent\Parsers\ASimAuditEventCiscoMerakiSyslog.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventCiscoMerakiSyslog.yaml
ASimAuditEventCrowdStrikeFalconHost,_ASim_AuditEvent_CrowdStrikeFalconHost,AuditEvent,0.1,source,Audit Event ASIM parser for CrowdStrike Falcon Endpoint Protection,0.1.0,Oct 30 2023,CrowdStrike Falcon Endpoint Protection,This ASIM parser supports normalizing CrowdStrike Falcon Endpoint Protection logs to the ASIM Audit Event normalized schema. These events are captured through CrowdStrike Falcon Endpoint Protection data connector which allows you to easily connect your CrowdStrike Falcon Event Stream with Microsoft Sentinel.,CommonSecurityLog,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[CrowdStrike Falcon Endpoint Protection Documentation](https://falcon.us-2.crowdstrike.com/documentation/page/d88d9ed6/streaming-api-event-dictionary https://falcon.us-2.crowdstrike.com/documentation/page/eb1587d1/siem-connector#mc98af8f),Parsers\ASimAuditEvent\Parsers\ASimAuditEventCrowdStrikeFalconHost.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventCrowdStrikeFalconHost.yaml
ASimAuditEventIllumioSaaSCore,_ASim_AuditEvent_IllumioSaaSCore,AuditEvent,0.1,source,Audit Event ASIM parser for Illumio SaaS Core audit events,0.2.1,"Aug 20, 2024",Illumio Core,This ASIM parser supports normalizing Illumio Core audit events logs ingested in 'Illumio_Auditable_Events_CL' table to the ASIM Audit Event schema.,Illumio_Auditable_Events_CL,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Illumio Core API schema](https://docs.illumio.com/core/24.1/Content/Guides/events-administration/events-described/list-of-event-types.htm),Parsers\ASimAuditEvent\Parsers\ASimAuditEventIllumioSaaSCore.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventIllumioSaaSCore.yaml
ASimAuditEventInfobloxBloxOne,_ASim_AuditEvent_InfobloxBloxOne,AuditEvent,0.1,source,AuditEvent ASIM parser for Infoblox BloxOne,0.1.0,"Sep 11, 2024",Infoblox BloxOne,This ASIM parser supports normalizing AuditEvent logs from Infoblox BloxOne to the ASIM AuditEvent normalized schema. These events are captured through the Azure Monitor Agent (AMA) which are sent by the Data Connector Service of Infoblox BloxOne.,,,disabled:bool=False,[ASIM AuditEvent Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);https://docs.infoblox.com/space/BloxOneThreatDefense/35406922/DNS+Query%2FResponse+Log+Message+Mapping,Parsers\ASimAuditEvent\Parsers\ASimAuditEventInfobloxBloxOne.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventInfobloxBloxOne.yaml
ASimAuditEventMicrosoftEvent,_ASim_AuditEvent_MicrosoftEvent,AuditEvent,0.1,source,Audit Event ASIM parser for Microsoft Windows Events audit events,0.2.1,"Jun 7, 2024",Microsoft Windows,This ASIM parser supports normalizing Microsoft Windows Events audit events (1102) logs ingested in 'Event' table to the ASIM Audit Event schema.,Event;Operation;Update;WindowsFirewall,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Office 365 Management Activity API schema](https://docs.microsoft.com/office/office-365-management-api/office-365-management-activity-api-schema#sharepoint-file-operations),Parsers\ASimAuditEvent\Parsers\ASimAuditEventMicrosoftEvent.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventMicrosoftEvent.yaml
ASimAuditEventMicrosoftExchangeAdmin365,_ASim_AuditEvent_MicrosoftExchangeAdmin365,AuditEvent,0.1.0,source,Audit Event ASIM parser for Microsoft Exchange 365 administrative activity,0.2,Feb 19 2023,Microsoft SharePoint,This ASIM parser supports normalizing Microsoft Exchange 365 administrative activity in the OfficeActivity table to the ASIM Audit Event schema.,OfficeActivity,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Office 365 Management Activity API schema](https://docs.microsoft.com/office/office-365-management-api/office-365-management-activity-api-schema#sharepoint-file-operations),Parsers\ASimAuditEvent\Parsers\ASimAuditEventMicrosoftExchangeAdmin365.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventMicrosoftExchangeAdmin365.yaml
ASimAuditEventMicrosoftSecurityEvents,_ASim_AuditEvent_MicrosoftSecurityEvents,AuditEvent,0.1,source,Audit Event ASIM parser for Microsoft Windows Events audit events,0.2.1,"Jun 7, 2024",Microsoft Windows,This ASIM parser supports normalizing Microsoft Windows Events audit events (1102) logs ingested in 'SecurityEvent' table to the ASIM Audit Event schema.,Event;Operation;SecurityEvent;Update;WindowsFirewall,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Office 365 Management Activity API schema](https://docs.microsoft.com/office/office-365-management-api/office-365-management-activity-api-schema#sharepoint-file-operations),Parsers\ASimAuditEvent\Parsers\ASimAuditEventMicrosoftSecurityEvents.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventMicrosoftSecurityEvents.yaml
ASimAuditEventMicrosoftWindowsEvents,_ASim_AuditEvent_MicrosoftWindowsEvents,AuditEvent,0.1,source,Audit Event ASIM parser for Microsoft Windows Events audit events,0.2.1,"Jun 7, 2024",Microsoft Windows,This ASIM parser supports normalizing Microsoft Windows Events audit events (1102) logs ingested in 'WindowsEvent' table to the ASIM Audit Event schema.,Event;Operation;Update;WindowsEvent;WindowsFirewall,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Office 365 Management Activity API schema](https://docs.microsoft.com/office/office-365-management-api/office-365-management-activity-api-schema#sharepoint-file-operations),Parsers\ASimAuditEvent\Parsers\ASimAuditEventMicrosoftWindowsEvents.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventMicrosoftWindowsEvents.yaml
ASimAuditEventNative,_ASim_AuditEvent_Native,AuditEvent,0.1,source,Audit Event ASIM parser for Microsoft Sentinel native Audit Event table,0.1.0,"Dec 13, 2024",Native,"This ASIM parser supports normalizing the native Microsoft Sentinel Audit Event table (ASimAuditEventLogs) to the ASIM Audit Event normalized schema. While the native table is ASIM compliant, the parser is needed to add capabilities, such as aliases, available only at query time.",ASimAuditEventLogs,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\ASimAuditEventNative.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventNative.yaml
ASimAuditEventSentinelOne,_ASim_AuditEvent_SentinelOne,AuditEvent,0.1,source,Audit Event ASIM parser for SentinelOne,0.1.0,Oct 05 2023,SentinelOne,"This ASIM parser supports normalizing SentinelOne logs to the ASIM Audit Event normalized schema. SentinelOne events are captured through SentinelOne data connector which ingests SentinelOne server objects such as Threats, Agents, Applications, Activities, Policies, Groups, and more events into Microsoft Sentinel through the REST API.",Event;Operation;SentinelOne_CL,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[SentinelOne documentation](https://<SOneInstanceDomain>.sentinelone.net/api-doc/overview),Parsers\ASimAuditEvent\Parsers\ASimAuditEventSentinelOne.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventSentinelOne.yaml
ASimAuditEventVectraXDRAudit,_ASim_AuditEvent_VectraXDRAudit,AuditEvent,0.1.0,source,Audit Event ASIM parser for Vectra XDR Audit Logs Event,0.1.1,"Sept 18, 2023",Vectra,This ASIM parser supports normalizing Vectra XDR Audit Logs Event in the Audits_Data_CL table to the ASIM Audit Event schema.,Audits_Data_CL,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\ASimAuditEventVectraXDRAudit.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventVectraXDRAudit.yaml
ASimAuditEventVMwareCarbonBlackCloud,_ASim_AuditEvent_VMwareCarbonBlackCloud,AuditEvent,0.1,source,Audit Event ASIM parser for VMware Carbon Black Cloud,0.2.0,Jan 31 2024,VMware Carbon Black Cloud,"This ASIM parser supports normalizing VMware Carbon Black Cloud logs to the ASIM Audit Event normalized schema. VMware Carbon Black Cloud events are captured through VMware Carbon Black Cloud data connector which ingests Carbon Black Audit, Notification and Event data into Microsoft Sentinel through the REST API.",CarbonBlackAuditLogs_CL;alert;update,,disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[VMware Carbon Black Cloud documentation](https://developer.carbonblack.com/reference/carbon-black-cloud/data-forwarder/schema/latest/endpoint.event-1.0.0/ https://developer.carbonblack.com/reference/cb-threathunter/latest/event-search-fields/),Parsers\ASimAuditEvent\Parsers\ASimAuditEventVMwareCarbonBlackCloud.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/ASimAuditEventVMwareCarbonBlackCloud.yaml
imAuditEvent,_Im_AuditEvent,AuditEvent,0.1,union,Audit event ASIM filtering parser.,0.1.4,"Dec 13, 2024",Source agnostic,"This ASIM parser supports normalizing audit events from all supported sources to the ASIM Audit Event activity normalized schema. This is an similar to to the ASIM version, but using different exclusion keys.",,_Im_AuditEvent_Empty;_Im_AuditEvent_MicrosoftExchangeAdmin365;_Im_AuditEvent_AzureActivity;_Im_AuditEvent_MicrosoftWindowsEvents;_Im_AuditEvent_MicrosoftSecurityEvents;_Im_AuditEvent_MicrosoftEvent;_Im_AuditEvent_CiscoISE;_Im_AuditEvent_CiscoMeraki;_Im_AuditEvent_CiscoMerakiSyslog;_Im_AuditEvent_BarracudaWAF;_Im_AuditEvent_BarracudaCEF;_Im_AuditEvent_CrowdStrikeFalconHost;_Im_AuditEvent_VectraXDRAudit;_Im_AuditEvent_SentinelOne;_Im_AuditEvent_VMwareCarbonBlackCloud;_Im_AuditEvent_InfobloxBloxOne;_Im_AuditEvent_IllumioSaaSCore;_Im_AuditEvent_Native,starttime:datetime=datetime(null);endtime:datetime=datetime(null);srcipaddr_has_any_prefix:dynamic=dynamic([]);actorusername_has_any:dynamic=dynamic([]);operation_has_any:dynamic=dynamic([]);eventtype_in:dynamic=dynamic([]);eventresult:string=*;object_has_any:dynamic=dynamic([]);newvalue_has_any:dynamic=dynamic([]);pack:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\imAuditEvent.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/imAuditEvent.yaml
vimAuditEventAzureActivity,_Im_AuditEvent_AzureActivity,AuditEvent,0.1.0,source,Audit Event ASIM filtering parser for Azure administrative activity,0.2,Feb 19 2023,Microsoft Azure,This ASIM parser supports filtering and normalizing Azure administrative activity in the AzureActivity table to the ASIM Audit Event schema.,AzureActivity,,starttime:datetime=datetime(null);endtime:datetime=datetime(null);srcipaddr_has_any_prefix:dynamic=dynamic([]);actorusername_has_any:dynamic=dynamic([]);operation_has_any:dynamic=dynamic([]);eventtype_in:dynamic=dynamic([]);eventresult:string=*;object_has_any:dynamic=dynamic([]);newvalue_has_any:dynamic=dynamic([]);disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM),Parsers\ASimAuditEvent\Parsers\vimAuditEventAzureAdminActivity.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/vimAuditEventAzureAdminActivity.yaml
vimAuditEventBarracudaCEF,_Im_AuditEvent_BarracudaCEF,AuditEvent,0.1,source,Audit Event ASIM parser for Barracuda WAF,0.2.1,"Jun 12, 2024",Barracuda WAF,This ASIM parser supports normalizing Barracuda WAF logs ingested in 'CommonSecurityLog' table to the ASIM Audit Event schema.,CommonSecurityLog,,disabled:bool=False;starttime:datetime=datetime(null);endtime:datetime=datetime(null);srcipaddr_has_any_prefix:dynamic=dynamic([]);eventtype_in:dynamic=dynamic([]);eventresult:string=*;newvalue_has_any:dynamic=dynamic([]);operation_has_any:dynamic=dynamic([]),[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Logs type Description in Barracuda WAF](https://campus.barracuda.com/product/webapplicationfirewall/doc/78810008/types-of-logs/),Parsers\ASimAuditEvent\Parsers\vimAuditEventBarracudaCEF.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/vimAuditEventBarracudaCEF.yaml
vimAuditEventBarracudaWAF,_Im_AuditEvent_BarracudaWAF,AuditEvent,0.1,source,Audit Event ASIM parser for Barracuda WAF,0.2.1,"Jun 12, 2024",Barracuda WAF,This ASIM parser supports normalizing Barracuda WAF logs ingested in 'barracuda_CL' table to the ASIM Audit Event schema.,Operation;barracuda_CL,,disabled:bool=False;starttime:datetime=datetime(null);endtime:datetime=datetime(null);srcipaddr_has_any_prefix:dynamic=dynamic([]);eventtype_in:dynamic=dynamic([]);eventresult:string=*;newvalue_has_any:dynamic=dynamic([]);operation_has_any:dynamic=dynamic([]),[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https://aka.ms/AboutASIM);[Logs type Description in Barracuda WAF](https://campus.barracuda.com/product/webapplicationfirewall/doc/78810008/types-of-logs/),Parsers\ASimAuditEvent\Parsers\vimAuditEventBarracudaWAF.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/vimAuditEventBarracudaWAF.yaml
vimAuditEventCiscoISE,_Im_AuditEvent_CiscoISE,AuditEvent,0.1.0,source,Audit Event ASIM filtering parser for Cisco ISE,0.1,"July 13, 2023",Cisco ISE,This ASIM parser supports normalizing administrative activity in the Cisco ISE events to the ASIM Audit Event schema.,,,starttime:datetime=datetime(null);endtime:datetime=datetime(null);srcipaddr_has_any_prefix:dynamic=dynamic([]);actorusername_has_any:dynamic=dynamic([]);operation_has_any:dynamic=dynamic([]);eventtype_in:dynamic=dynamic([]);eventresult:string=*;object_has_any:dynamic=dynamic([]);newvalue_has_any:dynamic=dynamic([]);disabled:bool=False,[ASIM Audit Event Schema](https://aka.ms/ASimAuditEventDoc);[ASIM](https:/aka.ms/AboutASIM);[Cisco ISE Security Events](https://www.cisco.com/c/en/us/td/docs/security/ise/3-2/admin_guide/b_ise_admin_3_2/b_ISE_admin_32_maintain_monitor.html#ID58),Parsers\ASimAuditEvent\Parsers\vimAuditEventCiscoISE.yaml,https://github.com/Azure/Azure-Sentinel/blob/master/Parsers/ASimAuditEvent/Parsers/vimAuditEventCiscoISE.yaml
