ID,tactics
T0843,LateralMovement
T0845,Collection
T0873,Persistence
T0886,"InitialAccess,LateralMovement"
T0846,Discovery
T0888,Discovery
T0847,InitialAccess
T0848,InitialAccess
T0851,"Evasion,InhibitResponseFunction"
T0852,Collection
T0853,Execution
T0881,InhibitResponseFunction
T0865,InitialAccess
T0856,"Evasion,ImpairProcessControl"
T0869,CommandandControl
T0862,InitialAccess
T0857,"InhibitResponseFunction,Persistence"
T0882,Impact
T0864,InitialAccess
T0855,ImpairProcessControl
T0863,Execution
T0859,"LateralMovement,Persistence"
T0860,InitialAccess
T0887,"Collection,Discovery"
