connector_id,connector_title,solution_name,collection_method,tried_slugs
CrowdStrikeFalconAdversaryIntelligence,CrowdStrike Falcon Adversary Intelligence ,CrowdStrike Falcon Endpoint Protection,Azure Function (TI Upload API),crowdstrike-falcon-adversary-intelligence | crowdstrike-falcon-adversary-intelligence-using-azure-functions | crowdstrike-falcon-adversary-intelligence-using-azure-function | crowdstrike-falcon-adversary-intelligence-via-codeless-connector-framework | crowdstrike-falcon-adversary-intelligence-via-legacy-agent | crowdstrike-falcon-adversary-intelligence-polling-ccf | crowdstrike-falcon-adversary-intelligence-polling-ccp | crowdstrike-falcon-adversary-intelligence-via-ama | crowdstrike-falcon-adversary-intelligence-ccf | crowdstrike-falcon-adversary-intelligence-ccp | crowdstrike-falcon-adversary-intelligence-preview
CBSPollingIDAzureFunctions,Cyber Blind Spot Integration,CTM360,Azure Function,cyber-blind-spot-integration | cyber-blind-spot-integration-using-azure-functions | cyber-blind-spot-integration-using-azure-function | cyber-blind-spot-integration-via-codeless-connector-framework | cyber-blind-spot-integration-via-legacy-agent | cyber-blind-spot-integration-polling-ccf | cyber-blind-spot-integration-polling-ccp | cyber-blind-spot-integration-via-ama | cyber-blind-spot-integration-ccf | cyber-blind-spot-integration-ccp | cyber-blind-spot-integration-preview
CyberArkEPM,CyberArkEPM,CyberArkEPM,Azure Function,cyberarkepm | cyberarkepm-using-azure-functions | cyberarkepm-using-azure-function | cyberarkepm-via-codeless-connector-framework | cyberarkepm-via-legacy-agent | cyberarkepm-polling-ccf | cyberarkepm-polling-ccp | cyberarkepm-via-ama | cyberarkepm-ccf | cyberarkepm-ccp | cyberarkepm-preview
Dynamics365,Dynamics 365,Dynamics 365,Native,dynamics-365 | dynamics-365-using-azure-functions | dynamics-365-using-azure-function | dynamics-365-via-codeless-connector-framework | dynamics-365-via-legacy-agent | dynamics-365-polling-ccf | dynamics-365-polling-ccp | dynamics-365-via-ama | dynamics-365-ccf | dynamics-365-ccp | dynamics-365-preview
DynatraceAttacks,Dynatrace Attacks V1,Dynatrace,CCF,dynatrace-attacks-v1 | dynatrace-attacks-v1-using-azure-functions | dynatrace-attacks-v1-using-azure-function | dynatrace-attacks-v1-via-codeless-connector-framework | dynatrace-attacks-v1-via-legacy-agent | dynatrace-attacks-v1-polling-ccf | dynatrace-attacks-v1-polling-ccp | dynatrace-attacks-v1-via-ama | dynatrace-attacks-v1-ccf | dynatrace-attacks-v1-ccp | dynatrace-attacks-v1-preview
DynatraceAttacksCCPDefinition,Dynatrace Attacks V2,Dynatrace,CCF,dynatrace-attacks-v2 | dynatrace-attacks-v2-using-azure-functions | dynatrace-attacks-v2-using-azure-function | dynatrace-attacks-v2-via-codeless-connector-framework | dynatrace-attacks-v2-via-legacy-agent | dynatrace-attacks-v2-polling-ccf | dynatrace-attacks-v2-polling-ccp | dynatrace-attacks-v2-via-ama | dynatrace-attacks-v2-ccf | dynatrace-attacks-v2-ccp | dynatrace-attacks-v2-preview
DynatraceAuditLogs,Dynatrace Audit Logs V1,Dynatrace,CCF,dynatrace-audit-logs-v1 | dynatrace-audit-logs-v1-using-azure-functions | dynatrace-audit-logs-v1-using-azure-function | dynatrace-audit-logs-v1-via-codeless-connector-framework | dynatrace-audit-logs-v1-via-legacy-agent | dynatrace-audit-logs-v1-polling-ccf | dynatrace-audit-logs-v1-polling-ccp | dynatrace-audit-logs-v1-via-ama | dynatrace-audit-logs-v1-ccf | dynatrace-audit-logs-v1-ccp | dynatrace-audit-logs-v1-preview
DynatraceAuditLogsCCPDefinition,Dynatrace Audit Logs V2,Dynatrace,CCF,dynatrace-audit-logs-v2 | dynatrace-audit-logs-v2-using-azure-functions | dynatrace-audit-logs-v2-using-azure-function | dynatrace-audit-logs-v2-via-codeless-connector-framework | dynatrace-audit-logs-v2-via-legacy-agent | dynatrace-audit-logs-v2-polling-ccf | dynatrace-audit-logs-v2-polling-ccp | dynatrace-audit-logs-v2-via-ama | dynatrace-audit-logs-v2-ccf | dynatrace-audit-logs-v2-ccp | dynatrace-audit-logs-v2-preview
DynatraceProblems,Dynatrace Problems V1,Dynatrace,CCF,dynatrace-problems-v1 | dynatrace-problems-v1-using-azure-functions | dynatrace-problems-v1-using-azure-function | dynatrace-problems-v1-via-codeless-connector-framework | dynatrace-problems-v1-via-legacy-agent | dynatrace-problems-v1-polling-ccf | dynatrace-problems-v1-polling-ccp | dynatrace-problems-v1-via-ama | dynatrace-problems-v1-ccf | dynatrace-problems-v1-ccp | dynatrace-problems-v1-preview
DynatraceProblemsCCPDefinition,Dynatrace Problems V2,Dynatrace,CCF,dynatrace-problems-v2 | dynatrace-problems-v2-using-azure-functions | dynatrace-problems-v2-using-azure-function | dynatrace-problems-v2-via-codeless-connector-framework | dynatrace-problems-v2-via-legacy-agent | dynatrace-problems-v2-polling-ccf | dynatrace-problems-v2-polling-ccp | dynatrace-problems-v2-via-ama | dynatrace-problems-v2-ccf | dynatrace-problems-v2-ccp | dynatrace-problems-v2-preview
DynatraceRuntimeVulnerabilities,Dynatrace Runtime Vulnerabilities V1,Dynatrace,CCF,dynatrace-runtime-vulnerabilities-v1 | dynatrace-runtime-vulnerabilities-v1-using-azure-functions | dynatrace-runtime-vulnerabilities-v1-using-azure-function | dynatrace-runtime-vulnerabilities-v1-via-codeless-connector-framework | dynatrace-runtime-vulnerabilities-v1-via-legacy-agent | dynatrace-runtime-vulnerabilities-v1-polling-ccf | dynatrace-runtime-vulnerabilities-v1-polling-ccp | dynatrace-runtime-vulnerabilities-v1-via-ama | dynatrace-runtime-vulnerabilities-v1-ccf | dynatrace-runtime-vulnerabilities-v1-ccp | dynatrace-runtime-vulnerabilities-v1-preview
DTRunVulnCCPDefinition,Dynatrace Runtime Vulnerabilities V2,Dynatrace,CCF,dynatrace-runtime-vulnerabilities-v2 | dynatrace-runtime-vulnerabilities-v2-using-azure-functions | dynatrace-runtime-vulnerabilities-v2-using-azure-function | dynatrace-runtime-vulnerabilities-v2-via-codeless-connector-framework | dynatrace-runtime-vulnerabilities-v2-via-legacy-agent | dynatrace-runtime-vulnerabilities-v2-polling-ccf | dynatrace-runtime-vulnerabilities-v2-polling-ccp | dynatrace-runtime-vulnerabilities-v2-via-ama | dynatrace-runtime-vulnerabilities-v2-ccf | dynatrace-runtime-vulnerabilities-v2-ccp | dynatrace-runtime-vulnerabilities-v2-preview
EgressSiemPolling,Egress Iris Connector,Egress Iris,CCF,egress-iris-connector | egress-iris-connector-using-azure-functions | egress-iris-connector-using-azure-function | egress-iris-connector-via-codeless-connector-framework | egress-iris-connector-via-legacy-agent | egress-iris-connector-polling-ccf | egress-iris-connector-polling-ccp | egress-iris-connector-via-ama | egress-iris-connector-ccf | egress-iris-connector-ccp | egress-iris-connector-preview
ElasticAgent,Elastic Agent,ElasticAgent,AMA,elastic-agent | elastic-agent-using-azure-functions | elastic-agent-using-azure-function | elastic-agent-via-codeless-connector-framework | elastic-agent-via-legacy-agent | elastic-agent-polling-ccf | elastic-agent-polling-ccp | elastic-agent-via-ama | elastic-agent-ccf | elastic-agent-ccp | elastic-agent-preview
ElasticAgentConnector,Elastic Agent (via Codeless Connector Framework),ElasticAgent,CCF,elastic-agent-via-codeless-connector-framework | elastic-agent-using-azure-functions | elastic-agent-using-azure-function | elastic-agent-via-legacy-agent | elastic-agent-polling-ccf | elastic-agent-polling-ccp | elastic-agent-via-ama | elastic-agent-ccf | elastic-agent-ccp | elastic-agent-preview | elastic-agent
ESETInspect,ESET Inspect,ESET Inspect,Azure Function,eset-inspect | eset-inspect-using-azure-functions | eset-inspect-using-azure-function | eset-inspect-via-codeless-connector-framework | eset-inspect-via-legacy-agent | eset-inspect-polling-ccf | eset-inspect-polling-ccp | eset-inspect-via-ama | eset-inspect-ccf | eset-inspect-ccp | eset-inspect-preview
FortinetFortiWebAma,Fortinet FortiWeb Web Application Firewall via AMA,Fortinet FortiWeb Cloud WAF-as-a-Service connector for Microsoft Sentinel,AMA,fortinet-fortiweb-web-application-firewall-via-ama | fortinet-fortiweb-web-application-firewall-using-azure-functions | fortinet-fortiweb-web-application-firewall-using-azure-function | fortinet-fortiweb-web-application-firewall-via-codeless-connector-framework | fortinet-fortiweb-web-application-firewall-via-legacy-agent | fortinet-fortiweb-web-application-firewall-polling-ccf | fortinet-fortiweb-web-application-firewall-polling-ccp | fortinet-fortiweb-web-application-firewall-ccf | fortinet-fortiweb-web-application-firewall-ccp | fortinet-fortiweb-web-application-firewall-preview | fortinet-fortiweb-web-application-firewall
GCPFirewallLogsCCPDefinition,GCP Pub/Sub Firewall Logs,Google Cloud Platform Firewall Logs,CCF,gcp-pub-sub-firewall-logs | gcp-pubsub-firewall-logs | gcp-pub-sub-firewall-logs-using-azure-functions | gcp-pub-sub-firewall-logs-using-azure-function | gcp-pub-sub-firewall-logs-via-codeless-connector-framework | gcp-pub-sub-firewall-logs-via-legacy-agent | gcp-pub-sub-firewall-logs-polling-ccf | gcp-pub-sub-firewall-logs-polling-ccp | gcp-pub-sub-firewall-logs-via-ama | gcp-pub-sub-firewall-logs-ccf | gcp-pub-sub-firewall-logs-ccp | gcp-pub-sub-firewall-logs-preview
GitHubWebhookV2,GitHub (using Webhooks) V2,GitHub,Azure Function,github-using-webhooks-v2 | github-using-webhooks-v2-using-azure-functions | github-using-webhooks-v2-using-azure-function | github-using-webhooks-v2-via-codeless-connector-framework | github-using-webhooks-v2-via-legacy-agent | github-using-webhooks-v2-polling-ccf | github-using-webhooks-v2-polling-ccp | github-using-webhooks-v2-via-ama | github-using-webhooks-v2-ccf | github-using-webhooks-v2-ccp | github-using-webhooks-v2-preview
HVPollingIDAzureFunctions,HackerView Intergration,CTM360,Azure Function,hackerview-intergration | hackerview-intergration-using-azure-functions | hackerview-intergration-using-azure-function | hackerview-intergration-via-codeless-connector-framework | hackerview-intergration-via-legacy-agent | hackerview-intergration-polling-ccf | hackerview-intergration-polling-ccp | hackerview-intergration-via-ama | hackerview-intergration-ccf | hackerview-intergration-ccp | hackerview-intergration-preview
HYASProtect,HYAS Protect,HYAS Protect,Azure Function,hyas-protect | hyas-protect-using-azure-functions | hyas-protect-using-azure-function | hyas-protect-via-codeless-connector-framework | hyas-protect-via-legacy-agent | hyas-protect-polling-ccf | hyas-protect-polling-ccp | hyas-protect-via-ama | hyas-protect-ccf | hyas-protect-ccp | hyas-protect-preview
ibossAma,iboss via AMA,iboss,AMA,iboss-via-ama | iboss-using-azure-functions | iboss-using-azure-function | iboss-via-codeless-connector-framework | iboss-via-legacy-agent | iboss-polling-ccf | iboss-polling-ccp | iboss-ccf | iboss-ccp | iboss-preview | iboss
SentinelIllumioInsightsGraphCCP,Illumio Insights Graph,Illumio Insight,CCF,illumio-insights-graph | illumio-insights-graph-using-azure-functions | illumio-insights-graph-using-azure-function | illumio-insights-graph-via-codeless-connector-framework | illumio-insights-graph-via-legacy-agent | illumio-insights-graph-polling-ccf | illumio-insights-graph-polling-ccp | illumio-insights-graph-via-ama | illumio-insights-graph-ccf | illumio-insights-graph-ccp | illumio-insights-graph-preview
Island_Admin_Polling,Island Enterprise Browser Admin Events (Legacy),Island,CCF,island-enterprise-browser-admin-events-legacy | island-enterprise-browser-admin-events-legacy-using-azure-functions | island-enterprise-browser-admin-events-legacy-using-azure-function | island-enterprise-browser-admin-events-legacy-via-codeless-connector-framework | island-enterprise-browser-admin-events-legacy-via-legacy-agent | island-enterprise-browser-admin-events-legacy-polling-ccf | island-enterprise-browser-admin-events-legacy-polling-ccp | island-enterprise-browser-admin-events-legacy-via-ama | island-enterprise-browser-admin-events-legacy-ccf | island-enterprise-browser-admin-events-legacy-ccp | island-enterprise-browser-admin-events-legacy-preview
Island_User_Polling,Island Enterprise Browser User Events (Legacy),Island,CCF,island-enterprise-browser-user-events-legacy | island-enterprise-browser-user-events-legacy-using-azure-functions | island-enterprise-browser-user-events-legacy-using-azure-function | island-enterprise-browser-user-events-legacy-via-codeless-connector-framework | island-enterprise-browser-user-events-legacy-via-legacy-agent | island-enterprise-browser-user-events-legacy-polling-ccf | island-enterprise-browser-user-events-legacy-polling-ccp | island-enterprise-browser-user-events-legacy-via-ama | island-enterprise-browser-user-events-legacy-ccf | island-enterprise-browser-user-events-legacy-ccp | island-enterprise-browser-user-events-legacy-preview
IslandV2,Island Enterprise Browser V2,Island,CCF,island-enterprise-browser-v2 | island-enterprise-browser-v2-using-azure-functions | island-enterprise-browser-v2-using-azure-function | island-enterprise-browser-v2-via-codeless-connector-framework | island-enterprise-browser-v2-via-legacy-agent | island-enterprise-browser-v2-polling-ccf | island-enterprise-browser-v2-polling-ccp | island-enterprise-browser-v2-via-ama | island-enterprise-browser-v2-ccf | island-enterprise-browser-v2-ccp | island-enterprise-browser-v2-preview
LookoutCloudSecurityDataConnector,Lookout Cloud Security for Microsoft Sentinel,Lookout Cloud Security Platform for Microsoft Sentinel,Azure Function,lookout-cloud-security-for-microsoft-sentinel | lookout-cloud-security-for-microsoft-sentinel-using-azure-functions | lookout-cloud-security-for-microsoft-sentinel-using-azure-function | lookout-cloud-security-for-microsoft-sentinel-via-codeless-connector-framework | lookout-cloud-security-for-microsoft-sentinel-via-legacy-agent | lookout-cloud-security-for-microsoft-sentinel-polling-ccf | lookout-cloud-security-for-microsoft-sentinel-polling-ccp | lookout-cloud-security-for-microsoft-sentinel-via-ama | lookout-cloud-security-for-microsoft-sentinel-ccf | lookout-cloud-security-for-microsoft-sentinel-ccp | lookout-cloud-security-for-microsoft-sentinel-preview
LumenThreatFeedConnectorV2,Lumen Defender Threat Feed Data Connector V2,Lumen Defender Threat Feed,Azure Function (TI Upload API),lumen-defender-threat-feed-data-connector-v2 | lumen-defender-threat-feed-data-connector-v2-using-azure-functions | lumen-defender-threat-feed-data-connector-v2-using-azure-function | lumen-defender-threat-feed-data-connector-v2-via-codeless-connector-framework | lumen-defender-threat-feed-data-connector-v2-via-legacy-agent | lumen-defender-threat-feed-data-connector-v2-polling-ccf | lumen-defender-threat-feed-data-connector-v2-polling-ccp | lumen-defender-threat-feed-data-connector-v2-via-ama | lumen-defender-threat-feed-data-connector-v2-ccf | lumen-defender-threat-feed-data-connector-v2-ccp | lumen-defender-threat-feed-data-connector-v2-preview
LumenThreatFeedConnectorV2PrivateNetworking,Lumen Defender Threat Feed Data Connector V2 (using Azure Functions Flex Consumption Plan with Private Networking),Lumen Defender Threat Feed,Azure Function (TI Upload API),lumen-defender-threat-feed-data-connector-v2-using-azure-functions-flex-consumption-plan-with-private-networking | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-using-azure-functions | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-using-azure-function | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-via-codeless-connector-framework | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-via-legacy-agent | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-polling-ccf | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-polling-ccp | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-via-ama | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-ccf | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-ccp | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking-preview | lumen-defender-threat-feed-data-connector-v2-flex-consumption-plan-with-private-networking
meshStackEventLogsDefinition,meshStack Event Logs,meshStack,CCF,meshstack-event-logs | meshstack-event-logs-using-azure-functions | meshstack-event-logs-using-azure-function | meshstack-event-logs-via-codeless-connector-framework | meshstack-event-logs-via-legacy-agent | meshstack-event-logs-polling-ccf | meshstack-event-logs-polling-ccp | meshstack-event-logs-via-ama | meshstack-event-logs-ccf | meshstack-event-logs-ccp | meshstack-event-logs-preview
M365Assets,"Microsoft 365 Assets (formerly, Office 365)",Microsoft 365 Assets,Native,microsoft-365-assets-formerly-office-365 | microsoft-365-assets-formerly-office-365-using-azure-functions | microsoft-365-assets-formerly-office-365-using-azure-function | microsoft-365-assets-formerly-office-365-via-codeless-connector-framework | microsoft-365-assets-formerly-office-365-via-legacy-agent | microsoft-365-assets-formerly-office-365-polling-ccf | microsoft-365-assets-formerly-office-365-polling-ccp | microsoft-365-assets-formerly-office-365-via-ama | microsoft-365-assets-formerly-office-365-ccf | microsoft-365-assets-formerly-office-365-ccp | microsoft-365-assets-formerly-office-365-preview
MiroAuditLogsDataConnector,Miro Audit Logs (Enterprise Plan),Miro,CCF,miro-audit-logs-enterprise-plan | miro-audit-logs-enterprise-plan-using-azure-functions | miro-audit-logs-enterprise-plan-using-azure-function | miro-audit-logs-enterprise-plan-via-codeless-connector-framework | miro-audit-logs-enterprise-plan-via-legacy-agent | miro-audit-logs-enterprise-plan-polling-ccf | miro-audit-logs-enterprise-plan-polling-ccp | miro-audit-logs-enterprise-plan-via-ama | miro-audit-logs-enterprise-plan-ccf | miro-audit-logs-enterprise-plan-ccp | miro-audit-logs-enterprise-plan-preview
MiroContentLogsDataConnector,Miro Content Logs (Enterprise Plan + Enterprise Guard),Miro,CCF,miro-content-logs-enterprise-plan-enterprise-guard | miro-content-logs-enterprise-plan--enterprise-guard | miro-content-logs-enterprise-plan-enterprise-guard-using-azure-functions | miro-content-logs-enterprise-plan-enterprise-guard-using-azure-function | miro-content-logs-enterprise-plan-enterprise-guard-via-codeless-connector-framework | miro-content-logs-enterprise-plan-enterprise-guard-via-legacy-agent | miro-content-logs-enterprise-plan-enterprise-guard-polling-ccf | miro-content-logs-enterprise-plan-enterprise-guard-polling-ccp | miro-content-logs-enterprise-plan-enterprise-guard-via-ama | miro-content-logs-enterprise-plan-enterprise-guard-ccf | miro-content-logs-enterprise-plan-enterprise-guard-ccp | miro-content-logs-enterprise-plan-enterprise-guard-preview
MorphisecCCF,Morphisec API Data Connector (via Codeless Connector Framework),Morphisec,CCF,morphisec-api-data-connector-via-codeless-connector-framework | morphisec-api-data-connector-using-azure-functions | morphisec-api-data-connector-using-azure-function | morphisec-api-data-connector-via-legacy-agent | morphisec-api-data-connector-polling-ccf | morphisec-api-data-connector-polling-ccp | morphisec-api-data-connector-via-ama | morphisec-api-data-connector-ccf | morphisec-api-data-connector-ccp | morphisec-api-data-connector-preview | morphisec-api-data-connector
Netclean_ProActive_Incidents,Netclean ProActive Incidents,NetClean ProActive,REST Pull API,netclean-proactive-incidents | netclean-proactive-incidents-using-azure-functions | netclean-proactive-incidents-using-azure-function | netclean-proactive-incidents-via-codeless-connector-framework | netclean-proactive-incidents-via-legacy-agent | netclean-proactive-incidents-polling-ccf | netclean-proactive-incidents-polling-ccp | netclean-proactive-incidents-via-ama | netclean-proactive-incidents-ccf | netclean-proactive-incidents-ccp | netclean-proactive-incidents-preview
Netskope,Netskope,Netskope,Azure Function,netskope | netskope-using-azure-functions | netskope-using-azure-function | netskope-via-codeless-connector-framework | netskope-via-legacy-agent | netskope-polling-ccf | netskope-polling-ccp | netskope-via-ama | netskope-ccf | netskope-ccp | netskope-preview
NonameSecurityMicrosoftSentinel,Noname Security for Microsoft Sentinel,Noname API Security Solution for Microsoft Sentinel,REST Pull API,noname-security-for-microsoft-sentinel | noname-security-for-microsoft-sentinel-using-azure-functions | noname-security-for-microsoft-sentinel-using-azure-function | noname-security-for-microsoft-sentinel-via-codeless-connector-framework | noname-security-for-microsoft-sentinel-via-legacy-agent | noname-security-for-microsoft-sentinel-polling-ccf | noname-security-for-microsoft-sentinel-polling-ccp | noname-security-for-microsoft-sentinel-via-ama | noname-security-for-microsoft-sentinel-ccf | noname-security-for-microsoft-sentinel-ccp | noname-security-for-microsoft-sentinel-preview
