missing_from,connector_title,connector_id,solution_name,solution_publish_date,collection_method,learn_slug,learn_url,learn_table_count,learn_tables,tried_slugs,sentinelninja_url,generated_at
learn,Azure Data Lake Storage Gen1,AzureDataLakeStorageGen1_CCP,Azure Data Lake Storage Gen1,2025-12-13,Azure Diagnostics,,,,,azure-data-lake-storage-gen1 | azuredatalakestoragegen1 | azure-data-lake-storage-gen1-using-azure-functions | azure-data-lake-storage-gen1-using-azure-function | azure-data-lake-storage-gen1-via-codeless-connector-framework | azure-data-lake-storage-gen1-via-legacy-agent | azure-data-lake-storage-gen1-polling-ccf | azure-data-lake-storage-gen1-polling-ccp | azure-data-lake-storage-gen1-via-ama | azure-data-lake-storage-gen1-ccf | azure-data-lake-storage-gen1-ccp | azure-data-lake-storage-gen1-preview | azure-data-lake-storage-gen1-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/azuredatalakestoragegen1_ccp.html,2026-05-22 06:59 UTC
learn,Bitsight data connector,BitSight,BitSight,2024-02-20,Azure Function,,,,,bitsight-data-connector | bitsightdataconnector | bitsight-data-connector-using-azure-functions | bitsight-data-connector-using-azure-function | bitsight-data-connector-via-codeless-connector-framework | bitsight-data-connector-via-legacy-agent | bitsight-data-connector-polling-ccf | bitsight-data-connector-polling-ccp | bitsight-data-connector-via-ama | bitsight-data-connector-ccf | bitsight-data-connector-ccp | bitsight-data-connector-preview | bitsight-data-connector-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/bitsight.html,2026-05-22 06:59 UTC
learn,blacklens.io,blacklens_io,Blacklens,2026-04-13,REST Pull API,,,,,blacklens-io | blacklensio | blacklens-io-using-azure-functions | blacklens-io-using-azure-function | blacklens-io-via-codeless-connector-framework | blacklens-io-via-legacy-agent | blacklens-io-polling-ccf | blacklens-io-polling-ccp | blacklens-io-via-ama | blacklens-io-ccf | blacklens-io-ccp | blacklens-io-preview | blacklens-io-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/blacklens_io.html,2026-05-22 06:59 UTC
learn,BloodHound Enterprise Data Connector (using Azure Functions),BloodHoundEnterprise,BloodHound Enterprise,2021-05-04,Azure Function,,,,,bloodhound-enterprise-data-connector-using-azure-functions | bloodhoundenterprisedataconnectorusingazurefunctions | bloodhound-enterprise-data-connector-using-azure-function | bloodhound-enterprise-data-connector-via-codeless-connector-framework | bloodhound-enterprise-data-connector-via-legacy-agent | bloodhound-enterprise-data-connector-polling-ccf | bloodhound-enterprise-data-connector-polling-ccp | bloodhound-enterprise-data-connector-via-ama | bloodhound-enterprise-data-connector-ccf | bloodhound-enterprise-data-connector-ccp | bloodhound-enterprise-data-connector-preview | bloodhound-enterprise-data-connector-standalone | bloodhound-enterprise-data-connector | bloodhoundenterprisedataconnector,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/bloodhoundenterprise.html,2026-05-22 06:59 UTC
learn,Cisco ASA via Legacy Agent,CiscoASA,CiscoASA,2025-12-12,AMA,,,,,cisco-asa-via-legacy-agent | ciscoasavialegacyagent | cisco-asa-using-azure-functions | cisco-asa-using-azure-function | cisco-asa-via-codeless-connector-framework | cisco-asa-polling-ccf | cisco-asa-polling-ccp | cisco-asa-via-ama | cisco-asa-ccf | cisco-asa-ccp | cisco-asa-preview | cisco-asa-standalone | cisco-asa | ciscoasa,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/ciscoasa.html,2026-05-22 06:59 UTC
learn,CITRIX SECURITY ANALYTICS,Citrix,Citrix Analytics for Security,2022-05-06,REST Pull API,,,,,citrix-security-analytics | citrixsecurityanalytics | citrix-security-analytics-using-azure-functions | citrix-security-analytics-using-azure-function | citrix-security-analytics-via-codeless-connector-framework | citrix-security-analytics-via-legacy-agent | citrix-security-analytics-polling-ccf | citrix-security-analytics-polling-ccp | citrix-security-analytics-via-ama | citrix-security-analytics-ccf | citrix-security-analytics-ccp | citrix-security-analytics-preview | citrix-security-analytics-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/citrix.html,2026-05-22 06:59 UTC
learn,Common Event Format (CEF),CEF,Common Event Format,2025-12-13,AMA,,,,,common-event-format-cef | commoneventformatcef | common-audit-format-cef | commonauditformatcef | common-activity-format-cef | commonactivityformatcef | common-events-format-cef | commoneventsformatcef | common-activities-format-cef | commonactivitiesformatcef | common-event-format-cef-using-azure-functions | common-event-format-cef-using-azure-function | common-event-format-cef-via-codeless-connector-framework | common-event-format-cef-via-legacy-agent | common-event-format-cef-polling-ccf | common-event-format-cef-polling-ccp | common-event-format-cef-via-ama | common-event-format-cef-ccf | common-event-format-cef-ccp | common-event-format-cef-preview | common-event-format-cef-standalone | common-event-format | commoneventformat | common-audit-format | commonauditformat | common-activity-format | commonactivityformat | common-events-format | commoneventsformat | common-activities-format | commonactivitiesformat | common-event-format-using-azure-functions | common-event-format-using-azure-function | common-event-format-via-codeless-connector-framework | common-event-format-via-legacy-agent | common-event-format-polling-ccf | common-event-format-polling-ccp | common-event-format-via-ama | common-event-format-ccf | common-event-format-ccp | common-event-format-preview | common-event-format-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/cef.html,2026-05-22 06:59 UTC
learn,Common Event Format (CEF) via AMA,CefAma,Common Event Format,2025-12-13,AMA,,,,,common-event-format-cef-via-ama | commoneventformatcefviaama | common-audit-format-cef-via-ama | commonauditformatcefviaama | common-activity-format-cef-via-ama | commonactivityformatcefviaama | common-events-format-cef-via-ama | commoneventsformatcefviaama | common-activities-format-cef-via-ama | commonactivitiesformatcefviaama | common-event-format-cef-using-azure-functions | common-event-format-cef-using-azure-function | common-event-format-cef-via-codeless-connector-framework | common-event-format-cef-via-legacy-agent | common-event-format-cef-polling-ccf | common-event-format-cef-polling-ccp | common-event-format-cef-ccf | common-event-format-cef-ccp | common-event-format-cef-preview | common-event-format-cef-standalone | common-event-format-cef | commoneventformatcef | common-audit-format-cef | commonauditformatcef | common-activity-format-cef | commonactivityformatcef | common-events-format-cef | commoneventsformatcef | common-activities-format-cef | commonactivitiesformatcef,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/cefama.html,2026-05-22 06:59 UTC
learn,Contrast ADR Push Connector,ContrastADRCCF,ContrastADR,2025-01-18,CCF Push,,,,,contrast-adr-push-connector | contrastadrpushconnector | contrast-adr-push-connector-using-azure-functions | contrast-adr-push-connector-using-azure-function | contrast-adr-push-connector-via-codeless-connector-framework | contrast-adr-push-connector-via-legacy-agent | contrast-adr-push-connector-polling-ccf | contrast-adr-push-connector-polling-ccp | contrast-adr-push-connector-via-ama | contrast-adr-push-connector-ccf | contrast-adr-push-connector-ccp | contrast-adr-push-connector-preview | contrast-adr-push-connector-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/contrastadrccf.html,2026-05-22 06:59 UTC
learn,Cyber Blind Spot Integration,CBSPollingIDAzureFunctions,CTM360,2026-03-09,Azure Function,,,,,cyber-blind-spot-integration | cyberblindspotintegration | cyber-blind-spot-integration-using-azure-functions | cyber-blind-spot-integration-using-azure-function | cyber-blind-spot-integration-via-codeless-connector-framework | cyber-blind-spot-integration-via-legacy-agent | cyber-blind-spot-integration-polling-ccf | cyber-blind-spot-integration-polling-ccp | cyber-blind-spot-integration-via-ama | cyber-blind-spot-integration-ccf | cyber-blind-spot-integration-ccp | cyber-blind-spot-integration-preview | cyber-blind-spot-integration-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/cbspollingidazurefunctions.html,2026-05-22 06:59 UTC
learn,CyberArkEPM,CyberArkEPM,CyberArkEPM,2022-04-10,Azure Function,,,,,cyberarkepm | cyberarkepm-using-azure-functions | cyberarkepm-using-azure-function | cyberarkepm-via-codeless-connector-framework | cyberarkepm-via-legacy-agent | cyberarkepm-polling-ccf | cyberarkepm-polling-ccp | cyberarkepm-via-ama | cyberarkepm-ccf | cyberarkepm-ccp | cyberarkepm-preview | cyberarkepm-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/cyberarkepm.html,2026-05-22 06:59 UTC
learn,Egress Iris Connector,EgressSiemPolling,Egress Iris,2024-03-11,CCF,,,,,egress-iris-connector | egressirisconnector | egress-iris-connector-using-azure-functions | egress-iris-connector-using-azure-function | egress-iris-connector-via-codeless-connector-framework | egress-iris-connector-via-legacy-agent | egress-iris-connector-polling-ccf | egress-iris-connector-polling-ccp | egress-iris-connector-via-ama | egress-iris-connector-ccf | egress-iris-connector-ccp | egress-iris-connector-preview | egress-iris-connector-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/egresssiempolling.html,2026-05-22 06:59 UTC
learn,ESET Inspect,ESETInspect,ESET Inspect,2022-06-01,Azure Function,,,,,eset-inspect | esetinspect | eset-inspect-using-azure-functions | eset-inspect-using-azure-function | eset-inspect-via-codeless-connector-framework | eset-inspect-via-legacy-agent | eset-inspect-polling-ccf | eset-inspect-polling-ccp | eset-inspect-via-ama | eset-inspect-ccf | eset-inspect-ccp | eset-inspect-preview | eset-inspect-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/esetinspect.html,2026-05-22 06:59 UTC
learn,Fortinet FortiWeb Web Application Firewall via AMA,FortinetFortiWebAma,Fortinet FortiWeb Cloud WAF-as-a-Service connector for Microsoft Sentinel,2025-12-13,AMA,,,,,fortinet-fortiweb-web-application-firewall-via-ama | fortinetfortiwebwebapplicationfirewallviaama | fortinet-fortiweb-web-application-firewall-using-azure-functions | fortinet-fortiweb-web-application-firewall-using-azure-function | fortinet-fortiweb-web-application-firewall-via-codeless-connector-framework | fortinet-fortiweb-web-application-firewall-via-legacy-agent | fortinet-fortiweb-web-application-firewall-polling-ccf | fortinet-fortiweb-web-application-firewall-polling-ccp | fortinet-fortiweb-web-application-firewall-ccf | fortinet-fortiweb-web-application-firewall-ccp | fortinet-fortiweb-web-application-firewall-preview | fortinet-fortiweb-web-application-firewall-standalone | fortinet-fortiweb-web-application-firewall | fortinetfortiwebwebapplicationfirewall,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/fortinetfortiwebama.html,2026-05-22 06:59 UTC
learn,GCP Pub/Sub Firewall Logs,GCPFirewallLogsCCPDefinition,Google Cloud Platform Firewall Logs,2025-12-12,CCF,,,,,gcp-pub-sub-firewall-logs | gcp-pubsub-firewall-logs | gcppubsubfirewalllogs | gcp-pub-sub-firewall-logs-using-azure-functions | gcp-pub-sub-firewall-logs-using-azure-function | gcp-pub-sub-firewall-logs-via-codeless-connector-framework | gcp-pub-sub-firewall-logs-via-legacy-agent | gcp-pub-sub-firewall-logs-polling-ccf | gcp-pub-sub-firewall-logs-polling-ccp | gcp-pub-sub-firewall-logs-via-ama | gcp-pub-sub-firewall-logs-ccf | gcp-pub-sub-firewall-logs-ccp | gcp-pub-sub-firewall-logs-preview | gcp-pub-sub-firewall-logs-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/gcpfirewalllogsccpdefinition.html,2026-05-22 06:59 UTC
learn,HackerView Intergration,HVPollingIDAzureFunctions,CTM360,2026-03-09,Azure Function,,,,,hackerview-intergration | hackerviewintergration | hackerview-intergration-using-azure-functions | hackerview-intergration-using-azure-function | hackerview-intergration-via-codeless-connector-framework | hackerview-intergration-via-legacy-agent | hackerview-intergration-polling-ccf | hackerview-intergration-polling-ccp | hackerview-intergration-via-ama | hackerview-intergration-ccf | hackerview-intergration-ccp | hackerview-intergration-preview | hackerview-intergration-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/hvpollingidazurefunctions.html,2026-05-22 06:59 UTC
learn,HYAS Protect,HYASProtect,HYAS Protect,2023-09-26,Azure Function,,,,,hyas-protect | hyasprotect | hyas-protect-using-azure-functions | hyas-protect-using-azure-function | hyas-protect-via-codeless-connector-framework | hyas-protect-via-legacy-agent | hyas-protect-polling-ccf | hyas-protect-polling-ccp | hyas-protect-via-ama | hyas-protect-ccf | hyas-protect-ccp | hyas-protect-preview | hyas-protect-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/hyasprotect.html,2026-05-22 06:59 UTC
learn,iboss via AMA,ibossAma,iboss,2026-02-09,AMA,,,,,iboss-via-ama | ibossviaama | iboss-using-azure-functions | iboss-using-azure-function | iboss-via-codeless-connector-framework | iboss-via-legacy-agent | iboss-polling-ccf | iboss-polling-ccp | iboss-ccf | iboss-ccp | iboss-preview | iboss-standalone | iboss,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/ibossama.html,2026-05-22 06:59 UTC
learn,Illumio Insights Graph,SentinelIllumioInsightsGraphCCP,Illumio Insight,2025-12-14,CCF,,,,,illumio-insights-graph | illumioinsightsgraph | illumio-insights-graph-using-azure-functions | illumio-insights-graph-using-azure-function | illumio-insights-graph-via-codeless-connector-framework | illumio-insights-graph-via-legacy-agent | illumio-insights-graph-polling-ccf | illumio-insights-graph-polling-ccp | illumio-insights-graph-via-ama | illumio-insights-graph-ccf | illumio-insights-graph-ccp | illumio-insights-graph-preview | illumio-insights-graph-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/sentinelillumioinsightsgraphccp.html,2026-05-22 06:59 UTC
learn,Island Enterprise Browser V2,IslandV2,Island,2026-04-05,CCF,,,,,island-enterprise-browser-v2 | islandenterprisebrowserv2 | island-enterprise-browser-using-azure-functions | island-enterprise-browser-using-azure-function | island-enterprise-browser-via-codeless-connector-framework | island-enterprise-browser-via-legacy-agent | island-enterprise-browser-polling-ccf | island-enterprise-browser-polling-ccp | island-enterprise-browser-via-ama | island-enterprise-browser-ccf | island-enterprise-browser-ccp | island-enterprise-browser-preview | island-enterprise-browser-standalone | island-enterprise-browser | islandenterprisebrowser,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/islandv2.html,2026-05-22 06:59 UTC
learn,Lookout Cloud Security for Microsoft Sentinel,LookoutCloudSecurityDataConnector,Lookout Cloud Security Platform for Microsoft Sentinel,2023-02-17,Azure Function,,,,,lookout-cloud-security-for-microsoft-sentinel | lookoutcloudsecurityformicrosoftsentinel | lookout-cloud-security-for-microsoft-sentinel-using-azure-functions | lookout-cloud-security-for-microsoft-sentinel-using-azure-function | lookout-cloud-security-for-microsoft-sentinel-via-codeless-connector-framework | lookout-cloud-security-for-microsoft-sentinel-via-legacy-agent | lookout-cloud-security-for-microsoft-sentinel-polling-ccf | lookout-cloud-security-for-microsoft-sentinel-polling-ccp | lookout-cloud-security-for-microsoft-sentinel-via-ama | lookout-cloud-security-for-microsoft-sentinel-ccf | lookout-cloud-security-for-microsoft-sentinel-ccp | lookout-cloud-security-for-microsoft-sentinel-preview | lookout-cloud-security-for-microsoft-sentinel-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/lookoutcloudsecuritydataconnector.html,2026-05-22 06:59 UTC
learn,Lumen Defender Threat Feed Data Connector V2,LumenThreatFeedConnectorV2,Lumen Defender Threat Feed,2026-02-04,Azure Function (TI Upload API),,,,,lumen-defender-threat-feed-data-connector-v2 | lumendefenderthreatfeeddataconnectorv2 | lumen-defender-threat-feed-data-connector-using-azure-functions | lumen-defender-threat-feed-data-connector-using-azure-function | lumen-defender-threat-feed-data-connector-via-codeless-connector-framework | lumen-defender-threat-feed-data-connector-via-legacy-agent | lumen-defender-threat-feed-data-connector-polling-ccf | lumen-defender-threat-feed-data-connector-polling-ccp | lumen-defender-threat-feed-data-connector-via-ama | lumen-defender-threat-feed-data-connector-ccf | lumen-defender-threat-feed-data-connector-ccp | lumen-defender-threat-feed-data-connector-preview | lumen-defender-threat-feed-data-connector-standalone | lumen-defender-threat-feed-data-connector | lumendefenderthreatfeeddataconnector,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/lumenthreatfeedconnectorv2.html,2026-05-22 06:59 UTC
learn,Lumen Defender Threat Feed Data Connector V2 (using Azure Functions Flex Consumption Plan with Private Networking),LumenThreatFeedConnectorV2PrivateNetworking,Lumen Defender Threat Feed,2026-02-04,Azure Function (TI Upload API),,,,,lumen-defender-threat-feed-data-connector-v2-using-azure-functions-flex-consumption-plan-with-private-networking | lumendefenderthreatfeeddataconnectorv2usingazurefunctionsflexconsumptionplanwithprivatenetworking | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-using-azure-functions | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-using-azure-function | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-via-codeless-connector-framework | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-via-legacy-agent | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-polling-ccf | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-polling-ccp | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-via-ama | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-ccf | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-ccp | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-preview | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking-standalone | lumen-defender-threat-feed-data-connector-flex-consumption-plan-with-private-networking | lumendefenderthreatfeeddataconnectorflexconsumptionplanwithprivatenetworking | lumen-defender-threat-feed-data-connector-v2 | lumendefenderthreatfeeddataconnectorv2 | lumen-defender-threat-feed-data-connector-using-azure-functions | lumen-defender-threat-feed-data-connector-using-azure-function | lumen-defender-threat-feed-data-connector-via-codeless-connector-framework | lumen-defender-threat-feed-data-connector-via-legacy-agent | lumen-defender-threat-feed-data-connector-polling-ccf | lumen-defender-threat-feed-data-connector-polling-ccp | lumen-defender-threat-feed-data-connector-via-ama | lumen-defender-threat-feed-data-connector-ccf | lumen-defender-threat-feed-data-connector-ccp | lumen-defender-threat-feed-data-connector-preview | lumen-defender-threat-feed-data-connector-standalone | lumen-defender-threat-feed-data-connector | lumendefenderthreatfeeddataconnector,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/lumenthreatfeedconnectorv2privatenetworking.html,2026-05-22 06:59 UTC
learn,meshStack Event Logs,meshStackEventLogsDefinition,meshStack,2026-04-16,CCF,,,,,meshstack-event-logs | meshstackeventlogs | meshstack-audit-logs | meshstackauditlogs | meshstack-activity-logs | meshstackactivitylogs | meshstack-events-logs | meshstackeventslogs | meshstack-activities-logs | meshstackactivitieslogs | meshstack-event-logs-using-azure-functions | meshstack-event-logs-using-azure-function | meshstack-event-logs-via-codeless-connector-framework | meshstack-event-logs-via-legacy-agent | meshstack-event-logs-polling-ccf | meshstack-event-logs-polling-ccp | meshstack-event-logs-via-ama | meshstack-event-logs-ccf | meshstack-event-logs-ccp | meshstack-event-logs-preview | meshstack-event-logs-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/meshstackeventlogsdefinition.html,2026-05-22 06:59 UTC
learn,"Microsoft 365 Assets (formerly, Office 365)",M365Assets,Microsoft 365 Assets,2025-06-20,Native,,,,,microsoft-365-assets-formerly-office-365 | microsoft365assetsformerlyoffice365 | microsoft-365-assets-formerly-office-365-using-azure-functions | microsoft-365-assets-formerly-office-365-using-azure-function | microsoft-365-assets-formerly-office-365-via-codeless-connector-framework | microsoft-365-assets-formerly-office-365-via-legacy-agent | microsoft-365-assets-formerly-office-365-polling-ccf | microsoft-365-assets-formerly-office-365-polling-ccp | microsoft-365-assets-formerly-office-365-via-ama | microsoft-365-assets-formerly-office-365-ccf | microsoft-365-assets-formerly-office-365-ccp | microsoft-365-assets-formerly-office-365-preview | microsoft-365-assets-formerly-office-365-standalone | microsoft-365-assets | microsoft365assets | microsoft-365-assets-using-azure-functions | microsoft-365-assets-using-azure-function | microsoft-365-assets-via-codeless-connector-framework | microsoft-365-assets-via-legacy-agent | microsoft-365-assets-polling-ccf | microsoft-365-assets-polling-ccp | microsoft-365-assets-via-ama | microsoft-365-assets-ccf | microsoft-365-assets-ccp | microsoft-365-assets-preview | microsoft-365-assets-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/m365assets.html,2026-05-22 06:59 UTC
learn,Miro Audit Logs (Enterprise Plan),MiroAuditLogsDataConnector,Miro,2026-01-08,CCF,,,,,miro-audit-logs-enterprise-plan | miroauditlogsenterpriseplan | miro-activity-logs-enterprise-plan | miroactivitylogsenterpriseplan | miro-events-logs-enterprise-plan | miroeventslogsenterpriseplan | miro-event-logs-enterprise-plan | miroeventlogsenterpriseplan | miro-activities-logs-enterprise-plan | miroactivitieslogsenterpriseplan | miro-audit-logs-enterprise-plan-using-azure-functions | miro-audit-logs-enterprise-plan-using-azure-function | miro-audit-logs-enterprise-plan-via-codeless-connector-framework | miro-audit-logs-enterprise-plan-via-legacy-agent | miro-audit-logs-enterprise-plan-polling-ccf | miro-audit-logs-enterprise-plan-polling-ccp | miro-audit-logs-enterprise-plan-via-ama | miro-audit-logs-enterprise-plan-ccf | miro-audit-logs-enterprise-plan-ccp | miro-audit-logs-enterprise-plan-preview | miro-audit-logs-enterprise-plan-standalone | miro-audit-logs | miroauditlogs | miro-activity-logs | miroactivitylogs | miro-events-logs | miroeventslogs | miro-event-logs | miroeventlogs | miro-activities-logs | miroactivitieslogs | miro-audit-logs-using-azure-functions | miro-audit-logs-using-azure-function | miro-audit-logs-via-codeless-connector-framework | miro-audit-logs-via-legacy-agent | miro-audit-logs-polling-ccf | miro-audit-logs-polling-ccp | miro-audit-logs-via-ama | miro-audit-logs-ccf | miro-audit-logs-ccp | miro-audit-logs-preview | miro-audit-logs-standalone,https://oshezaf.github.io/sentinelninja/Solutions%20Docs/connectors/miroauditlogsdataconnector.html,2026-05-22 06:59 UTC
