sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2838994,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit (Spelevo) targeting vulnerabilities in client applications, which aligns with initial access tactics as it aims to compromise systems by exploiting public-facing applications.",int to ext,,,,,,8,Malware,"The rule indicates a successful detection of an exploit kit (Spelevo), which is associated with active exploitation attempts targeting client endpoints.","exploit,http,cookie,vbs,Spelevo EK**"
2029125,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects suspicious VBS encoding patterns commonly associated with exploit kits, indicating an attempt to gain initial access through malicious payloads delivered via web applications.",ext to int,,,,,,8,Malware,"The rule detects suspicious VBS encoding associated with exploit kits, indicating a potential successful compromise.","exploitkit,vbs,suspicious,client"
2014542,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects HTTP traffic indicating a potential exploit kit redirect, which is often used to gain initial access to a system via vulnerabilities in public-facing applications.",ext to int,,,,,,6,Malware,"Rule detects a successful exploit kit redirect, indicating potential compromise.","exploit,redirect,tds,http,TDS**"
2014544,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects HTTP traffic indicative of exploit kits, which are commonly used for initial access by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects potential exploitation attempts through an exploit kit, indicating a successful compromise may be occurring.","exploit,tds,cookie,http,TDS**"
2029122,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit landing page, which is typically used to gain initial access by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,7,Malware,"The rule detects a successful compromise through an exploit kit landing page, indicating potential malware delivery.","exploit,http,landing,kit"
2026421,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects network traffic indicative of exploit kits targeting vulnerabilities in web applications, which is a common method for gaining initial access to a system.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a potential successful compromise via an exploit kit, indicating a significant risk to the client endpoint.","exploit,http,keyexchange,underminer,Underminer EK**"
2829427,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a social engineering exploit kit (BlackTDS) that typically targets vulnerabilities in client applications, indicating an attempt at initial access through malicious content delivered to the client endpoint.",ext to int,,,,,,6,Social Engineering,"The rule detects a specific exploit kit related to social engineering tactics, indicating a successful compromise in the context of exploit kits.","socialengineering,exploitkit,favicon,client,TDS**"
2831446,Initial Access,Initial Access,TA0001,Spear Phishing,T1566,"The rule detects a social engineering attempt through a redirect chain, which is indicative of phishing tactics aimed at gaining initial access to a target's environment.",ext to int,,,,,,8,Social Engineering,"The rule detects a successful exploit kit redirect associated with a known malware family (SocGholish), indicating a potential compromise of client endpoints.","soceng,redirect,exploitkit,client,SocEng**"
2831861,Initial Access,Initial Access,TA0001,Spear Phishing,T1566,"The rule indicates a social engineering attack via an exploit kit, which typically involves redirecting users to malicious sites to exploit vulnerabilities or harvest information, aligning with initial access methods.",ext to int,,,,,,7,Social Engineering,"The rule detects a successful exploit kit interaction with a redirect chain, indicating a potential compromise of client endpoints through social engineering tactics.","soceng,redirect,cookie,exploitkit,SocEng**"
2015574,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with exploit kits, which are commonly used to gain initial access to a target system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,7,Malware,"The rule detects potential exploitation via an exploit kit, indicating a successful compromise of client systems.","exploit,flash,encryption,kit"
2816807,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit targeting vulnerabilities in client applications, indicating an attempt to gain initial access to a system.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a specific exploit kit targeting a known vulnerability, indicating a successful compromise attempt.","exploit,kit,silverlight,http"
2823583,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects a Flash exploit used by the Sednit exploit kit, which is typically employed to gain initial access to a victim's system through vulnerabilities in client applications.",ext to int,,,,,,8,Malware,"The rule detects a successful exploit attempt from an external source targeting internal clients, indicating a high potential for compromise.","exploit,flash,targeted,client"
2823584,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit targeting vulnerabilities in a web browser, which is commonly used for initial access to compromise client endpoints.",ext to int,,,,,,7,Malware,"The rule detects a successful exploit attempt targeting client endpoints, indicating a significant security impact.","exploit,flash,sednit,targeted"
2823585,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit targeting a client endpoint through a web browser plugin, indicating an attempt to gain initial access via a known vulnerability.",ext to int,,,,,,8,Malware,"The rule detects an inbound Flash exploit from the Sednit exploit kit, indicating a successful compromise attempt targeting client endpoints.","exploit,flash,sednit,targeted"
2830626,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit (GreenFlash/Sundown EK) that is designed to deliver malicious payloads through malformed files, indicating an initial access attempt via a public-facing application.",ext to int,,,,,,8,Malware,"The rule detects a successful compromise via a known exploit kit (GreenFlash/Sundown), indicating active malicious activity targeting client endpoints.","exploit,gif,inbound,kit"
2014446,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential landing pages for exploit kits, which are often used to gain initial access to a target system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,7,Malware,"The rule indicates a possible landing page for an exploit kit, suggesting a successful compromise could occur if users interact with it.","exploit,http,dynamicdns,landingpage"
2020721,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects exploit attempts targeting a web application, specifically through a crafted URI, indicating an initial access attempt by an attacker leveraging an exploit kit.",int to ext,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects traffic associated with exploit kits, indicating a successful compromise attempt, which poses a significant threat to the network.","exploit,http,rig,uri"
2824220,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The Suricata rule identifies potential exploitation attempts via a landing page associated with an exploit kit, indicating an initial access phase where attackers aim to compromise client systems.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a potential exploit kit landing page, which is often the first step in a successful compromise chain. While it does not confirm a compromise, it indicates a significant threat requiring further investigation.","exploitkit,landing,http,sundown,Exploit_Kit_Sundown**"
2015846,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,The rule detects a specific exploit kit (NeoSploit) that is often used to gain initial access to a target system by exploiting vulnerabilities in public-facing applications.,ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a specific exploit kit (NeoSploit) associated with successful compromises, indicating a significant threat to the network.","exploitkit,http,payload,signature"
2018297,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects encrypted binaries associated with exploit kits, indicating an attempt to exploit vulnerabilities in public-facing applications to gain initial access to the network.",ext to int,,,,,,8,Malware,"The rule detects an encrypted binary associated with an exploit kit, indicating a successful compromise rather than just a potential threat.","exploit,kit,encrypted,binary"
2827801,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an inbound Flash exploit from the RIG exploit kit, which is typically used to gain initial access to a target system by exploiting vulnerabilities in applications exposed to the internet.",ext to int,,,,,,8,Malware,"The rule detects a successful exploit attempt from an external source targeting internal clients, indicating a high security impact.","exploit,flash,rig,client"
2028976,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential payloads from an exploit kit targeting client endpoints, indicating an attempt to gain initial access through exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,8,Malware,"The rule detects a possible payload from the PurpleFox exploit kit, indicating a successful compromise attempt targeting client endpoints.","exploit,framework,payload,http"
2832337,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a potential payload request from an exploit kit, indicating that an attacker may have exploited a vulnerability in a public-facing application to gain initial access.",int to ext,,,,,,8,Malware,"The rule detects a possible payload request from an exploit kit, indicating a successful compromise attempt, which poses a significant threat to the network.","exploit,payload,http,ek"
2823458,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The RIG Exploit Kit is designed to compromise client systems through the exploitation of vulnerabilities in public-facing applications, specifically targeting outdated versions of Adobe Flash and other plugins.",ext to int,,,,,,7,Malware,"The rule detects an exploit kit that targets vulnerabilities in client systems, indicating a successful compromise may occur if the exploit is executed.","exploitkit,flash,client,malware,Exploit_kit_RIG**"
2816339,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic related to exploit kits, specifically targeting vulnerabilities in applications (e.g., Flash) to gain initial access to the network.",ext to int,,,,,,7,Malware,"The rule detects a payload associated with an exploit kit, indicating a successful compromise attempt, which poses a significant security threat.","exploit,flash,payload,http"
2028981,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential payloads from exploit kits, which are often used to gain initial access to a victim's system by exploiting vulnerabilities in public-facing applications.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a potential payload from an exploit kit, indicating a successful compromise attempt targeting client endpoints, which poses a significant security risk.","exploit,payload,http,framework"
2028973,Initial Access,Drive-by Compromise,T1189,Malicious Flash Object,T1203.003,"The rule detects HTTP requests that indicate potential exploitation via a Flash object, which is commonly used in drive-by compromise attacks to gain initial access to a victim's machine.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects a potential exploit kit request, indicating a successful compromise attempt targeting client endpoints, which can lead to further exploitation.","exploit,flash,request,endpoint"
2028865,Initial Access,Drive-by Compromise,T1189,Exploit Public-Facing Application,T1190,"The rule detects a payload download associated with the Spelevo exploit kit, indicating an attempt to compromise a client endpoint through a web application, which aligns with initial access tactics.",ext to int,,,,,,8,Malware,"The rule detects a successful payload download from an exploit kit, indicating a potential compromise of the client endpoint.","exploit,vbs,download,payload,Spelevo EK**"
2016869,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects POST requests indicative of exploit kits, which are often used to gain initial access by exploiting vulnerabilities in web applications.",int to ext,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a post-exploit payload download, indicating a successful compromise and potential for further exploitation.","exploit,http,payload,kit"
2014314,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a drive-by download attack, where malicious content is delivered to a user through compromised websites, allowing attackers to gain initial access to the victim's system.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a potential successful compromise through a drive-by download, which is associated with exploit kits used by APT groups. While it does not confirm a compromise, the context suggests a significant risk, warranting a score above 5.","driveby,exploitkit,payload,download,DriveBy**"
2052128,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects DNS queries for a domain associated with an exploit kit, indicating an attempt to deliver malicious payloads to users, which aligns with initial access techniques.",ext to int,,,,,,3,Malware,"The rule detects a DNS query related to a known exploit kit domain, indicating potential malicious intent but not a confirmed compromise.","exploit,dns,kit,lookup,Exploit_Kit**"
2052129,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with an exploit kit targeting users through a fake browser update, indicating an attempt to gain initial access via a malicious domain.",ext to int,,,,,,6,Malware,"The rule detects an exploit kit domain, indicating a potential successful compromise through malicious software delivery.","exploit,malicious,tls,domain,Exploit_Kit**"
2810974,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic associated with exploit kits targeting vulnerabilities in web applications, indicating an attempt to gain initial access to a system through an exploit.",ext to int,,,,,,8,Zero-Day Exploits,"The rule detects a known exploit kit targeting vulnerabilities in Flash, indicating a successful compromise with potential for significant impact on the network.","exploit,http,kit,flash"
2815818,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule targets exploit kits like Nuclear EK that aim to compromise client systems by exploiting vulnerabilities in public-facing applications, primarily through malicious HTTP requests.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects potential delivery of the Nuclear Exploit Kit, which is known for successfully compromising systems and delivering malware.","exploit,nuclear,http,landing,Exploit_Kit, Nuclear**"
2815183,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit attempt through the Nuclear Exploit Kit, which targets vulnerabilities in client-facing applications like Adobe Flash. This aligns with the Initial Access phase as attackers aim to compromise systems by exploiting vulnerabilities.",ext to int,,,,,,8,Malware,"The rule detects a potential successful exploitation attempt targeting client endpoints, which could lead to malware installation.","exploit,nuclear,http,client,Exploit_Kit, Nuclear**"
2027145,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit attempt targeting a vulnerability in Adobe Flash, which is indicative of an initial access attempt by an attacker using an exploit kit.",ext to int,,,,,,8,Malware,"The rule detects an exploit attempt from an external source targeting a client endpoint, indicating a successful compromise attempt through an exploit kit.","exploit,flash,spelevo,http,Spelevo EK**"
2026426,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic patterns indicative of an exploit kit targeting web applications, specifically looking for SWF file requests that could be used to exploit vulnerabilities in client-side applications. This aligns with the Initial Access phase as the goal is to compromise the client endpoint through malicious content.",ext to int,,,,,,8,Malware,"The rule detects a request associated with an exploit kit (Underminer EK) which indicates a successful compromise attempt, warranting a high impact score.","exploit,http,swf,underminer,Underminer EK**"
2823457,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit (RIG EK) that targets vulnerabilities in client applications, specifically Adobe Flash, to gain initial access to the system.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates potential exploitation of vulnerabilities via the RIG Exploit Kit, which can lead to successful compromises if the target is vulnerable.","exploit,flash,rig,http,Exploit_kit_RIG**"
2022466,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects HTTP responses indicative of a possible exploit kit redirect, commonly used in drive-by compromise attacks to gain initial access to a user's system.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule indicates a potential successful exploit kit redirect, which could lead to further malicious activities or compromises within the network.","exploit,redirect,http,tds,TDS**"
2021765,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a potential exploit kit, specifically the Nuclear Exploit Kit, which is designed to compromise client systems through the exploitation of vulnerabilities in public-facing applications, leading to initial access.",ext to int,,,,,,8,Malware,"The rule detects a potential payload from the Nuclear Exploit Kit, which is known to deliver malware and indicates a successful compromise of client endpoints.","exploit,payload,nuclear,kit,Exploit_Kit, Nuclear**"
2029582,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects exploit kits that are typically used to gain initial access by exploiting vulnerabilities in web applications, specifically targeting client endpoints.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects an exploit kit targeting client endpoints, indicating a successful compromise attempt rather than just a potential one.","exploit,http,client,kit"
2824909,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation through the Sundown Exploit Kit, which targets client endpoints via compromised web pages, indicating an attempt at initial access to the system.",ext to int,,,,,,7,Malware,"The rule detects a possible payload from the Sundown Exploit Kit, indicating a successful exploit attempt that could lead to malware installation on client systems.","exploit,payload,http,client,Exploit_Kit_Sundown**"
2024350,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects suspicious HTTP GET requests indicative of malvertising, which often leads to exploit kits or scam landing pages, representing an initial access attempt by adversaries.",ext to int,,,,,,6,Malvertising,"The rule detects a suspicious GET request associated with a known malvertising campaign that can lead to exploit kits, indicating a successful compromise could occur.","exploit,malvertising,http,redirect"
2025912,Initial Access,Initial Access,TA0001,Malicious Link,T1203.001,"The rule detects potential malvertising that redirects users to exploit kits, indicating an attempt to gain initial access through malicious links.",ext to int,,,,,,7,Malware,"The rule indicates a potential successful compromise through a malvertising redirect to an exploit kit, which can lead to malware infection.","malvertising,exploitkit,redirect,javascript"
2025916,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploit kit traffic targeting web browsers, indicating an attempt to gain initial access through vulnerabilities in public-facing applications.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects a possible landing page for an exploit kit, indicating a successful compromise attempt that could lead to further exploitation.","exploit,web,client,underminer,Underminer EK**"
2026424,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects patterns indicative of exploit kits targeting vulnerabilities in web browsers, which is commonly associated with initial access attempts by attackers.",ext to int,,,,,,6,Malware,"The rule detects an exploit kit plugin check, indicating potential successful exploitation attempts targeting client endpoints.","exploit,kit,web,client,Underminer EK**"
2026425,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule identifies network traffic indicative of an exploit kit, specifically targeting vulnerabilities in web browsers to deliver malicious payloads, which aligns with initial access attempts by attackers.",ext to int,,,,,,8,Malware,The rule detects an exploit kit that indicates a successful compromise targeting client endpoints.,"exploit,kit,flash,response,Underminer EK**"
2832458,Initial Access,Drive-by Compromise,T1189,Malicious Flash Content,T1203.003,"The rule detects an exploit kit attempting to deliver a Flash payload via a web request, indicative of an initial access attempt through malicious content in a web browser.",ext to int,,,,,,8,Malware,"The rule detects a specific exploit kit (GreenFlash Sundown EK) that indicates a successful compromise attempt targeting client endpoints, which can lead to malware infection.","exploit,flash,http,kit"
2016414,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects payloads associated with exploit kits, which are often used to gain initial access to a system by exploiting vulnerabilities in web applications.",int to ext,,,,,,8,Malware,"This rule detects a payload download from an exploit kit, indicating a successful compromise that could lead to malware infection.","exploit,http,payload,download"
2016499,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects traffic indicative of an exploit kit payload download, which is commonly associated with initial access attempts through exploiting vulnerabilities in public-facing applications.",int to ext,,,,,,7,Malware,"The rule detects a payload download from an exploit kit, indicating a successful compromise where malware may be delivered to the internal network.","exploit,payload,http,kit"
2021786,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploit kit activity, specifically targeting vulnerabilities in web applications to deliver malicious payloads, which aligns with the Initial Access phase.",ext to int,,,,,,8,Malware,"The rule detects a known exploit kit that is likely to be used for successful compromises, indicating a significant security threat.","exploit,download,http,malicious"
2024180,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule targets an exploit kit payload download, indicating an attempt to gain initial access through exploiting vulnerabilities in client applications.",ext to int,,,,,,7,Malware,"The rule detects a successful payload download from an exploit kit, indicating a high potential for compromise.","exploit,payload,http,detection,Exploit_Kit_Terror**"
2016976,Initial Access,Initial Access,TA0040,Exploit Public-Facing Application,T1190,"The rule detects payload downloads associated with exploit kits, which are typically used to gain initial access to a system by exploiting vulnerabilities in public-facing applications.",int to ext,,,,,,8,Malware,"The rule detects a payload download from an exploit kit, indicating a successful compromise attempt, which can lead to malware infection.","exploit,download,http,payload"
2021407,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,The rule targets exploit kits that are commonly used to gain initial access to systems by exploiting vulnerabilities in public-facing applications.,ext to int,,,,,,7,Malware,"The rule detects traffic indicative of an exploit kit, suggesting a successful compromise attempt, which poses a significant security risk.","exploitkit,http,landing,campaign"
2856773,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit that targets vulnerabilities in public-facing applications, indicating an attempt to gain initial access to the system.",ext to int,,,,,,7,Advanced Persistent Threats (APTs),"The rule detects an exploit kit indicating a potential successful compromise, which poses a significant risk to the network.","exploitkit,tds,client,http,Exploit_Kit, Parrot TDS, TDS**"
2052246,Initial Access,Initial Access,TA0001,Exploitation for Client Execution,T1203,"The rule detects DNS queries related to an exploit kit, indicating an attempt to gain initial access through vulnerabilities in client applications, specifically targeting web browsers.",ext to int,,,,,,4,Malware,"The rule alerts on a DNS lookup associated with an exploit kit, indicating potential malicious activity, but does not confirm a successful compromise.","exploit,dns,ta569,tds,Exploit_Kit, ta569, TDS**"
2052247,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential exploitation attempts against web browsers via an exploit kit, indicating an initial access attempt by adversaries.",ext to int,,,,,,6,Malware,"The rule detects a potential exploit kit being used, which indicates a successful compromise of the client endpoint.","exploitkit,tls,sni,ta569,Exploit_Kit, ta569, TDS**"
2856816,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit attempting to deliver malicious payloads through HTTP responses, indicative of initial access attempts by exploiting vulnerabilities in client applications.",ext to int,,,,,,7,Malware,"The rule detects a potential exploit kit being used to deliver malicious payloads, indicating a successful compromise attempt.","exploit,cookie,inbound,kit,Exploit_Kit, TDS**"
2831076,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule indicates a command-and-control (CnC) check-in from an infected machine, which aligns with the Command and Control phase of an attack, specifically utilizing application layer protocols for communication.",int to ext,,,,,,8,Command and Control (C2),"The rule detects a successful check-in from an infected machine to an external command-and-control server, indicating a potential active compromise.","command,control,checkin,exploitkit,TDS**"
2015717,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects the use of a specific SSL certificate associated with known exploit kits, indicating that the malware may be using encrypted channels for command and control communication.",ext to int,,,,,,8,Advanced Persistent Threats (APTs),"The rule detects the usage of a known malicious SSL certificate associated with various exploit kits, indicating a high likelihood of a successful compromise.","exploit,ssl,malicious,certificate,SSL_Malicious_Cert**"
2855358,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects a request to a fake Chrome update landing page, indicating an attempt to exploit users through a public-facing application, which aligns with initial access tactics.",ext to int,,,,,,7,Malware,"The rule detects a request related to an exploit kit, indicating potential successful compromise through malicious payloads.","exploit,trojan,http,landing"
2048570,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects a malicious redirect to a payload that exploits a user���������s interaction with a fake Chrome update landing page, indicating an attempt to gain initial access through deceptive means.",ext to int,,,,,,7,Malware,"The rule detects a redirect to a payload indicative of a successful compromise, as it relates to an exploit kit, which is a direct threat to the network.","exploitkit,redirect,trojan,http"
2856319,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects requests associated with exploit kits, indicating an attempt to gain initial access through a fake Chrome update landing page, which is characteristic of exploiting public-facing applications.",ext to int,,,,,,7,Malware,"The rule detects a request associated with an exploit kit, indicating a potential successful compromise attempt.","exploit,trojan,http,landing"
2856349,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit lure request, indicating an attempt to exploit a vulnerability in a public-facing application, which aligns with the Initial Access phase of an attack.",int to ext,,,,,,6,Malware,"The rule detects a lure request associated with an exploit kit, indicating a successful compromise attempt targeting client endpoints.","exploit,http,request,lure,Exploit_Kit, ZPHP**"
2856410,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an exploit kit lure request targeting a web application, indicating an attempt to gain initial access through exploitation.",int to ext,,,,,,7,Malware,"The rule detects a lure request indicative of an exploit kit, suggesting a successful compromise attempt targeting a client endpoint.","exploit,http,lure,kit,ZPHP**"
2856411,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule indicates detection of an exploit kit lure request targeting a web application, which aligns with the Initial Access phase where attackers exploit vulnerabilities in public-facing applications to gain entry into a network.",int to ext,,,,,,7,Malware,"The rule detects a lure request indicative of an exploit kit, suggesting a successful compromise attempt, thus warranting a higher impact score.","exploit,http,request,lure,ZPHP**"
2020500,Initial Access,Initial Access,TA0001,Drive-by Compromise,T1189,"The rule detects potential exploitation through a drive-by attack, where users are compromised via malicious content loaded while browsing, indicative of initial access techniques.",ext to int,,,,,,6,Malware,"The rule detects a likely malicious executable being served from an external web server, indicating a potential successful compromise via an exploit kit, which warrants a higher impact score.","driveby,exploitkit,malicious,http,DriveBy**"
