sid,attack_phase,technique_name,technique_number,sub_technique_name,sub_technique_number,attack_reason,traffic_direction,cve_number,cve_creation_date,cve_impact_score,cve_exploitability_score,cve_description,impact_score,category,impact_score_reason,tags
2027757,Initial Access,Initial Access,TA0001,Spear Phishing Link,T1566.002,"The rule detects suspicious DNS queries for a potentially malicious top-level domain (.to), indicating an attempt to access a malicious resource, which aligns with initial access tactics.",ext to int,,,,,,2,Malware,"The rule detects a DNS query for a suspicious TLD (.to), which may indicate potential malicious activity, but does not confirm a successful compromise.","dns,query,suspicious,domain"
2027758,Initial Access,Reconnaissance,TA0043,Domain Generation Algorithms,T1568.002,"The rule detects DNS queries for a suspicious .cc domain, which is often associated with malicious activity, indicating potential initial access attempts through reconnaissance.",ext to int,,,,,,2,Malware,"The rule detects a DNS query for a suspicious .cc domain, which is indicative of potential malicious activity but does not confirm a successful compromise.","dns,query,suspicious,tld"
2012811,Initial Access,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to potentially malicious .tk domains, which are often used for command and control purposes, indicating an attempt to establish initial access.",ext to int,,,,,,3,Malware,"The rule detects DNS queries to a .tk domain, which can be associated with malicious activity, but does not indicate a successful compromise.","dns,query,hostile,suspicious"
2016778,Initial Access,Initial Access,TA0001,Domain Generation Algorithms,T1483,"The rule detects DNS queries to potentially malicious .pw domains, which are often used by attackers for initial access through domain generation algorithms.",ext to int,,,,,,3,Malware,"The rule detects DNS queries to potentially malicious domains, indicating suspicious activity but not confirming a successful compromise.","dns,query,hostile,abuse"
2016413,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS replies that indicate potential command and control traffic, specifically associated with a sinkhole for known malicious domains, which is used to redirect or block malicious traffic.",any to int,,,,,,4,Malware,"The rule indicates a DNS reply related to a known sinkhole, which suggests potential malicious activity but does not confirm a successful compromise.","dns,sinkhole,trojan,activity"
2016418,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potentially malicious DNS replies that could indicate a command and control communication channel established by an attacker, which aligns with the Command and Control phase of an attack.",any to int,,,,,,4,Malware,The rule detects DNS replies indicating potential malicious activity but does not confirm a successful compromise.,"dns,sinkhole,trojan,activity"
2016419,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects abnormal DNS reply patterns that may indicate a command and control communication, specifically through DNS tunneling or similar techniques used by attackers to maintain control over compromised systems.",any to int,,,,,,4,Malware,"The rule detects a DNS reply that may indicate a sinkhole response, which could be associated with malware activity, but does not confirm a successful compromise.","dns,sinkhole,trojan,abuse"
2016422,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS replies that may indicate malicious activity, such as command and control communication, leveraging DNS for data exfiltration or remote access.",any to int,,,,,,4,Malware,"The rule detects potentially malicious DNS replies, but does not indicate a successful compromise.","dns,sinkhole,trojan,abuse"
2016423,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS replies that may indicate malicious command and control activity, as attackers often use DNS for data exfiltration or to communicate with compromised systems.",any to int,,,,,,3,DNS Spoofing/Poisoning,"The rule detects a DNS reply that may indicate a sinkhole, which is often used for redirection in malicious activities, but does not confirm a successful compromise.","dns,sinkhole,trojan,activity"
2016591,Command and Control,Command and Control,T1071,Application Layer Protocol,T1071.001,"The rule detects DNS replies that indicate potential command and control activity, specifically targeting a known malicious IP address, suggesting that the traffic is being used for communication between compromised systems and an attacker.",any to int,,,,,,3,Malware,"The rule detects a DNS reply from a known malicious IP, indicating potential malicious activity, but does not confirm a successful compromise.","dns,sinkhole,trojan,blacklist"
2814577,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects potential DNS tunneling, which is often used by attackers to establish command and control channels, allowing them to communicate with compromised systems.",ext to int,,,,,,6,Command and Control (C2),"The rule indicates a potential encrypted shell tunnel, suggesting a successful compromise or ongoing command and control activity.","dns,tunneling,encrypted,abuse"
2100257,Discovery,Reconnaissance,TA0043,DNS Interrogation,T1592,"The rule detects attempts to query the version of a DNS service, which is a common reconnaissance technique used by attackers to gather information about the target's network infrastructure.",ext to int,,,,,,4,Malware,"The rule detects an attempted reconnaissance via DNS, which does not indicate a successful compromise.","dns,recon,attempt,version"
2101435,Discovery,Discovery,T1083,File and Directory Discovery,T1083,"The rule detects attempts to query DNS for information related to 'bind', which is often used to gather information about the network environment, indicating reconnaissance activity.",ext to int,,,,,,3,DNS Spoofing/Poisoning,"The rule detects an attempt to abuse the DNS protocol, which is indicative of reconnaissance activity rather than a confirmed compromise.","dns,recon,attempt,abuse"
2011911,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule indicates detection of a DNS query related to a command and control channel, suggesting an established communication path between the compromised host and the attacker.",ext to int,,,,,,6,Command and Control (C2),"The rule detects a successful installation message related to a known C2 channel, indicating potential compromise.","dns,c2,botnet,install"
2016569,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known command and control domain, indicating potential communication between compromised hosts and an attacker-controlled server, which is characteristic of command and control activity.",ext to int,,,,,,4,Command and Control (C2),"The rule detects a DNS query for a domain associated with potential command and control activity, but does not confirm a successful compromise.","dns,c2,apt,targeted"
2016571,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a DNS query to a known command and control (C2) domain, indicating potential communication between an infected host and an external attacker-controlled server.",ext to int,,,,,,4,Command and Control (C2),"The rule detects a potential C2 domain used in APT activity, but does not confirm a successful compromise.","dns,c2,apt,targeted"
2016570,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a known command and control domain, indicating potential malicious activity where an attacker may be using DNS for C2 communication.",ext to int,,,,,,4,Command and Control (C2),The rule detects a DNS query to a known C2 domain but does not confirm a successful compromise.,"dns,c2,apt,targeted"
2013016,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects DNS queries for a known illegal site, indicating an attempt to access external services for malicious purposes, fitting the Initial Access phase.",ext to int,,,,,,4,Malware,"The rule detects a DNS query for a known illegal site, indicating potential malicious intent, but does not confirm a successful compromise.","dns,policy,illegal,query"
2018438,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects DNS queries to a specific domain associated with DNS tunneling, which is commonly used for command and control communication.",ext to int,,,,,,4,Data Exfiltration,"The rule indicates potential DNS tunneling, which can be used for data exfiltration. However, it does not confirm a successful compromise, hence the score is below 5.","dns,tunneling,query,suspicious"
2023013,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects a malicious SSL certificate associated with Quakbot's command and control communications, indicating an established C2 channel using application layer protocols.",ext to int,,,,,,8,Command and Control (C2),"The rule detects a malicious SSL certificate associated with Quakbot CnC, indicating a successful compromise and potential command and control communication.","malicious,certificate,command,control,SSL_Malicious_Cert**"
2009981,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential SQL injection attempts targeting an FTP service, indicating an attacker is trying to exploit a vulnerability in a public-facing application to gain initial access.",ext to int,,,,,,8,SQL Injection,"The rule detects a potential successful SQL injection attempt against a web application, indicating a high risk of data compromise.","sql,injection,ftp,attempt,SQL_Injection**"
2009982,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects potential SQL injection attempts targeting a public-facing FTP service, indicating an attempt to exploit vulnerabilities for initial access.",ext to int,,,,,,8,SQL Injection,"The rule detects a potential SQL injection attempt that could lead to a successful compromise of the web application, allowing unauthorized access or data manipulation.","sql,injection,ftp,attempt,SQL_Injection**"
2009983,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects potential SQL injection attempts targeting a web application, which falls under Initial Access as attackers exploit vulnerabilities to gain entry into the system.",ext to int,,,,,,8,SQL Injection,"The rule indicates a potential SQL injection attack aimed at a web application, which can lead to successful compromise and data exfiltration.","sql,injection,ftp,probe,SQL_Injection**"
2009984,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects an SQL injection attempt targeting an FTP service, which is a method used by attackers to gain initial access to a system by exploiting vulnerabilities in publicly accessible applications.",ext to int,,,,,,8,SQL Injection,"The rule detects an attempted SQL injection, which can lead to a successful compromise of the database, allowing attackers to manipulate or extract sensitive data.","sql,ftp,injection,probe,SQL_Injection**"
2009985,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects SQL injection attempts targeting a public-facing FTP service, which is a common method for attackers to gain initial access to systems.",ext to int,,,,,,7,SQL Injection,"The rule detects a potential successful SQL injection attempt targeting a web application, which can lead to data compromise and unauthorized access.","sql,injection,ftp,attempt,SQL_Injection**"
2010081,Initial Access,Initial Access,TA0001,Exploit Public Facing Application,T1190,"The rule detects an SQL injection attempt targeting a web application, which is a common method for attackers to gain initial access by exploiting vulnerabilities in publicly accessible applications.",ext to int,,,,,,7,SQL Injection,"The rule detects an attempted SQL injection exploit, indicating a successful compromise of a web application could lead to significant data breaches and unauthorized access.","sql,injection,ftp,attempt,SQL_Injection**"
2101888,Initial Access,Exploitation for Client Execution,T1203,Exploitation of Remote Services,T1210,"The rule detects an overflow attempt in the FTP service, indicating an exploitation attempt that could lead to unauthorized access, fitting the Initial Access phase.",ext to int,CVE-2002-0826,8/12/02 4:00,6.4,10,Buffer overflow in WS_FTP FTP Server 3.1.1 allows remote authenticated users to execute arbitrary code via a long SITE CPWD command.,6,Command and Control (C2),"The rule detects a potential buffer overflow attempt that could lead to a successful compromise of the FTP service, thus warranting a moderate impact score.","overflow,ftp,exploit,anomaly"
2048464,Initial Access,Exploit Public-Facing Application,T1190,Application Layer Protocol,T1071.001,"The rule detects potential exploitation attempts against the FTP service, specifically targeting a known vulnerability in WS_FTP, which aligns with the Initial Access phase where attackers seek to exploit public-facing applications.",ext to int,CVE-2023-40044,9/27/23 15:18,5.9,2.8,"In WS_FTP Server versions prior to 8.7.4 and 8.8.2, a pre-authenticated attacker could leverage a .NET deserialization vulnerability in the Ad Hoc Transfer module to execute remote commands on the underlying WS_FTP Server operating system.",4,Malware,"The rule detects a potentially vulnerable version of WS_FTP in the banner response, but does not confirm a successful compromise.","ftp,vulnerability,banner,scan"
2016688,Command and Control,Command and Control,TA0011,Application Layer Protocol,T1071,"The rule detects outbound FTP traffic that indicates potential downloading of a malicious Java archive (.jar) file, which is commonly used in command and control scenarios.",ext to int,,,,,,6,Data Exfiltration,"The rule detects potential outbound FTP traffic indicating a successful download of a .jar file, which could be used for malicious purposes, suggesting a compromise has occurred.","ftp,outbound,download,jar"
2100334,Discovery,Discovery,TA0007,File and Directory Discovery,T1083,"The rule detects the presence of a '.forward' file in FTP traffic, which can indicate an attacker is trying to discover sensitive files or configurations on the server.",ext to int,,,,,,4,Malware,The rule detects a suspicious filename related to potential malware but does not indicate a confirmed compromise.,"ftp,suspicious,filename,exploit"
2100336,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an attempt to exploit a vulnerability in the FTP service by issuing a command that could lead to unauthorized access, indicating an initial access attempt.",ext to int,CVE-1999-0082,11/11/88 5:00,10,10,CWD ~root command in ftpd allows root access.,6,Command and Control (C2),"The rule detects a specific command that could indicate an attempt to exploit a vulnerability in the FTP service, suggesting a successful compromise.","ftp,exploit,anomaly,authentication"
2100349,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects a potential overflow exploit in the FTP service, indicating an attempt to exploit a vulnerability in a public-facing application, which aligns with the Initial Access phase.",ext to int,CVE-1999-0368,2/9/99 5:00,10,10,"Buffer overflows in wuarchive ftpd (wu-ftpd) and ProFTPD lead to remote root access, a.k.a. palmetto.",6,Command and Control (C2),The rule detects a potential buffer overflow vulnerability in FTP that could lead to a successful compromise.,"ftp,overflow,attempt,exploit"
2100354,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects suspicious FTP login attempts that could indicate an attempt to exploit the FTP service for unauthorized access, aligning with the Initial Access phase.",ext to int,,,,,,3,Suspicious Activity,"The rule detects a potential scan for vulnerabilities, which does not indicate a successful compromise.","ftp,scan,suspicious,login"
2100355,Credential Access,Credential Access,TA0006,Credential Dumping,T1003,"The rule detects suspicious login attempts via FTP, indicating potential credential access activities.",ext to int,,,,,,3,Suspicious Activity,The rule indicates a suspicious login attempt but does not confirm a successful compromise.,"ftp,suspicious,login,pass"
2100356,Credential Access,Credential Access,TA0006,Credential Dumping,T1003,"The rule detects an attempt to retrieve a file named 'passwd' via FTP, which is commonly associated with credential dumping activities.",ext to int,,,,,,4,Data Breach,"The rule indicates an attempt to retrieve a file named 'passwd' via FTP, which is suspicious but does not confirm a successful compromise.","ftp,credential,suspicious,retrieval"
2100357,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects suspicious FTP login attempts, which can indicate an attempt to exploit vulnerabilities in the FTP service for initial access to the network.",ext to int,,,,,,4,Suspicious Activity,"The rule detects a suspicious login attempt via FTP, but does not indicate a successful compromise.","ftp,scan,suspicious,login"
2100358,Discovery,Reconnaissance,TA0043,Network Service Scanning,T1046,"The rule detects a specific pattern associated with FTP scanning, indicating an attempt to discover services or vulnerabilities on the network.",ext to int,,,,,,3,Suspicious Login,"The rule detects a potential scan rather than a successful compromise, resulting in a lower impact score.","ftp,scan,suspicious,login"
2100359,Initial Access,Initial Access,TA0001,External Remote Services,T1133,"The rule detects a suspicious FTP scan using the 'pass -satan' command, indicating an attempt to exploit vulnerabilities in the FTP service for initial access.",ext to int,,,,,,4,Suspicious Login,The rule detects a potential scanning activity (satan scan) but does not confirm a successful compromise.,"satan,ftp,scan,suspicious"
2100361,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an FTP SITE EXEC attempt, which indicates an exploitation attempt against the FTP service, aligning with initial access tactics where attackers try to gain entry through application vulnerabilities.",ext to int,CVE-1999-0080,11/30/95 5:00,10,10,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",6,Command and Control (C2),"The rule detects a specific exploit attempt (SITE EXEC) that indicates a successful compromise, warranting a higher impact score.","ftp,exploit,attempt,bad"
2100362,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects specific parameters in FTP traffic that could indicate an attempt to exploit vulnerabilities in the FTP service, which aligns with initial access tactics where attackers seek to gain entry into a network through public-facing applications.",ext to int,CVE-1999-0202,1/1/97 5:00,6.4,10,"The GNU tar command, when used in FTP sessions, may allow an attacker to execute arbitrary commands.",5,Malware,The rule detects potentially malicious FTP traffic with known vulnerabilities but does not confirm a successful compromise.,"ftp,exploit,parameters,compression"
2101229,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects potentially malicious FTP commands (CWD with '..'), indicating an attempt to exploit the FTP service to gain unauthorized access, which aligns with the Initial Access phase.",ext to int,,,,,,3,Malware,"The rule detects a potentially malicious command (CWD with '..') in FTP traffic, which could indicate an attempt to traverse directories. However, it does not confirm a successful compromise.","ftp,command,exploit,anomaly"
2101379,Initial Access,Exploit Public-Facing Application,T1190,Buffer Overflow,T1203,"The rule detects an overflow attempt in the FTP service using the STAT command, indicating an exploitation attempt against a public-facing application.",ext to int,CVE-2001-0325,5/3/01 4:00,6.4,10,Buffer overflow in QNX RTP 5.60 allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a large number of arguments to the stat command.,6,Advanced Persistent Threats (APTs),"The rule detects an overflow attempt on FTP, indicating a potential successful compromise.","ftp,overflow,attempt,exploit"
2101529,Initial Access,Exploitation for Client Execution,T1203,Exploitation of Vulnerability,T1203.001,"The rule detects an attempted overflow exploit against the FTP service, which aligns with initial access tactics where attackers exploit vulnerabilities to gain entry into a system.",ext to int,CVE-1999-0838,12/1/99 5:00,2.9,10,Buffer overflow in Serv-U FTP 2.5 allows remote users to conduct a denial of service via the SITE command.,6,Malware,The rule detects an overflow attempt which indicates a potential successful compromise.,"overflow,ftp,attempt,exploit"
2101562,Initial Access,Exploitation for Client Execution,TA0041,Exploitation of Vulnerability,T1203,"The rule detects an overflow attempt via the FTP 'SITE CHOWN' command, which indicates an exploitation attempt targeting a vulnerability in the FTP service, aligning with the Initial Access phase.",ext to int,CVE-2001-0065,2/12/01 5:00,10,10,Buffer overflow in bftpd 1.0.13 allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long SITE CHOWN command.,6,Command and Control (C2),The rule detects an attempt to exploit a known vulnerability in the FTP service that could lead to unauthorized access or control over the FTP server.,"overflow,ftp,attempt,exploit"
2101621,Initial Access,Exploitation,TA0041,Exploitation of Remote Services,T1210,"The rule detects an attempt to exploit a buffer overflow vulnerability in the FTP service, which is a method attackers may use to gain initial access to a system.",ext to int,,,,,,6,Advanced Persistent Threats (APTs),"The rule detects a command overflow attempt, indicating a potential successful compromise of the FTP service, which can lead to further exploitation.","ftp,overflow,attempt,exploit"
2101622,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an FTP RNFR command with a suspicious payload, indicating an attempt to exploit vulnerabilities in the FTP service, which aligns with initial access techniques.",ext to int,,,,,,3,Miscellaneous,"The rule detects an FTP command that may indicate an attempt to exploit the FTP service, but it does not confirm a successful compromise.","ftp,exploit,attempt,misc"
2101623,Discovery,Network Service Discovery,T1046,Protocol Discovery,T1018,"The rule detects invalid FTP MODE commands, which may indicate an attacker probing the FTP service to understand its capabilities and configurations, characteristic of network service discovery.",ext to int,,,,,,3,Malware,"The rule detects an invalid FTP MODE command, which may indicate misuse or misconfiguration rather than a successful compromise.","ftp,invalid,command,protocol"
2101624,Initial Access,Initial Access,TA0001,Exploitation of Remote Services,T1210,"The rule detects a potentially large PWD command in FTP traffic, which could indicate an attempt to exploit the FTP service for unauthorized access, fitting within the Initial Access phase.",ext to int,,,,,,3,Malware,"The rule detects a large PWD command in FTP traffic, which may indicate an attempt to exploit the FTP service, but does not confirm a successful compromise.","ftp,command,anomaly,protocol"
2101672,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects attempts to exploit the FTP service by sending a specific command (CWD) that may indicate an attempt to manipulate the server, which aligns with gaining initial access through exploitation.",ext to int,CVE-2001-0421,7/2/01 4:00,4.9,10,"FTP server in Solaris 8 and earlier allows local and remote attackers to cause a core dump in the root directory, possibly with world-readable permissions, by providing a valid username with an invalid password followed by a CWD ~ command, which could release sensitive information such as shadowed passwords, or fill the disk partition.",6,Denial of Service (DoS),"The rule detects an attempt to exploit a known vulnerability in the FTP service, indicating a successful compromise could lead to denial of service.","ftp,cwd,dos,exploit"
2101728,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects attempts to exploit vulnerabilities in the FTP service, specifically through the use of the CWD command, which is indicative of an initial access attempt via exploitation.",ext to int,CVE-2001-0421,7/2/01 4:00,4.9,10,"FTP server in Solaris 8 and earlier allows local and remote attackers to cause a core dump in the root directory, possibly with world-readable permissions, by providing a valid username with an invalid password followed by a CWD ~ command, which could release sensitive information such as shadowed passwords, or fill the disk partition.",6,Denial of Service (DoS),"The rule detects a specific exploit attempt that could lead to a denial of service, indicating a successful compromise.","ftp,cwd,dos,exploit"
2101734,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an attempted overflow exploit against the FTP service, indicating an attacker's attempt to gain initial access through a vulnerability in a public-facing application.",ext to int,CVE-1999-1510,5/17/99 4:00,6.4,10,"Buffer overflows in Bisonware FTP server prior to 4.1 allow remote attackers to cause a denial of service, and possibly execute arbitrary commands, via long (1) USER, (2) LIST, or (3) CWD commands.",6,Command and Control (C2),"The rule detects an overflow attempt which indicates a successful compromise may be attempted, thus warranting a higher impact score.","ftp,overflow,attempt,exploit"
2101779,Initial Access,Initial Access,TA0001,Exploit Public-Facing Application,T1190,"The rule detects an attempt to exploit the FTP service by sending a CWD command, indicative of an initial access attempt through a public-facing application.",ext to int,,,,,,4,Denial of Service (DoS),"The rule detects an FTP command that may indicate a denial-of-service attempt, but does not confirm a successful compromise.","ftp,exploit,dos,cwd"
2101864,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects attempts to exploit the FTP service using the 'SITE NEWER' command, indicating an initial access attempt through a publicly accessible application.",ext to int,CVE-1999-0880,10/1/99 4:00,2.9,10,"Denial of service in WU-FTPD via the SITE NEWER command, which does not free memory properly.",4,Denial of Service (DoS),The rule detects an attempted exploit but does not confirm a successful compromise.,"ftp,attempt,dos,exploit"
2101919,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects attempts to exploit vulnerabilities in the FTP service, specifically through buffer overflow attempts via the CWD command, indicating an initial access attempt by an attacker.",ext to int,CVE-1999-0219,7/1/97 4:00,6.9,10,Buffer overflow in FTP Serv-U 2.5 allows remote authenticated users to cause a denial of service (crash) via a long (1) CWD or (2) LS (list) command.,6,Advanced Persistent Threats (APTs),"The rule detects an attempted overflow exploit on the FTP service, indicating a successful compromise attempt.","ftp,overflow,attempt,exploit"
2101920,Initial Access,Exploit Public-Facing Application,TA0040,Exploitation of Remote Services,T1210,"The rule detects an overflow attempt using the FTP 'SITE NEWER' command, indicating an exploitation attempt against a public-facing FTP service, which aligns with initial access.",ext to int,CVE-1999-0800,3/12/01 5:00,2.9,10,The GetFile.cfm file in Allaire Forums allows remote attackers to read files through a parameter to GetFile.cfm.,6,Malware,"The rule detects an attempted overflow exploit targeting the FTP service, indicating a potential successful compromise.","ftp,overflow,attempt,exploit"
2101921,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an overflow attempt via the FTP service, indicating an exploitation attempt targeting a vulnerability in a public-facing application, which aligns with the Initial Access phase.",ext to int,CVE-2000-0040,12/23/99 5:00,10,10,glFtpD allows local users to gain privileges via metacharacters in the SITE ZIPCHK command.,6,Command and Control (C2),"The rule detects an attempted overflow exploit on an FTP service, indicating a successful compromise attempt.","overflow,ftp,attempt,exploit"
2101927,Collection,Collection,TA0009,Data from Information Repositories,T1213,"The rule detects the transfer of 'authorized_keys' files over FTP, indicating potential collection of sensitive authentication information.",ext to int,,,,,,4,Data Breach,"The rule detects the transfer of a sensitive file ('authorized_keys'), which could indicate a potential data breach or unauthorized access, but does not confirm a successful compromise.","ftp,file,transfer,suspicious"
2101928,Initial Access,Initial Access,TA0001,Exploitation of Public-Facing Application,T1190,"The rule detects an FTP shadow retrieval attempt, indicating an exploitation of the FTP service to gain unauthorized access to sensitive files, which aligns with the Initial Access phase.",ext to int,,,,,,6,Data Breach,"The rule detects a potential unauthorized attempt to retrieve sensitive files (shadow files) via FTP, indicating a successful compromise may have occurred.","ftp,suspicious,retrieval,shadow"
2101942,Initial Access,Exploitation,TA0041,Exploitation of Remote Services,T1210,"The rule detects an attempted overflow exploit on the FTP service using the RMDIR command, which indicates an initial access attempt through exploitation of a remote service.",ext to int,,,,,,6,Command and Control (C2),"The rule detects an attempted overflow exploit on the FTP service, indicating a successful compromise could lead to unauthorized access.","ftp,overflow,attempt,exploit"
2101972,Initial Access,Exploitation,TA0040,Exploitation of Remote Services,T1210,"The rule detects an overflow attempt in the FTP PASS command, indicating an exploitation attempt to gain unauthorized access, which aligns with the Initial Access phase.",ext to int,CVE-1999-1519,11/17/99 5:00,2.9,10,Gene6 G6 FTP Server 2.0 allows a remote attacker to cause a denial of service (resource exhaustion) via a long (1) user name or (2) password.,7,Malware,"The rule detects an attempted exploit that could lead to a successful compromise of the FTP service, warranting a higher impact score.","ftp,overflow,attempt,exploit"
