ExternalIndicatorId,"TimeGenerated [UTC]",TenantId,SourceSystem,Action,ActivityGroupNames,AdditionalInformation,ApplicationId,AzureTenantId,ConfidenceScore,Description,DiamondModel,"ExpirationDateTime [UTC]",IndicatorId,ThreatType,Active,KillChainActions,KillChainC2,KillChainDelivery,KillChainExploitation,KillChainReconnaissance,KillChainWeaponization,KnownFalsePositives,MalwareNames,PassiveOnly,ThreatSeverity,Tags,TrafficLightProtocolLevel,EmailEncoding,EmailLanguage,EmailRecipient,EmailSenderAddress,EmailSenderName,EmailSourceDomain,EmailSourceIpAddress,EmailSubject,EmailXMailer,"FileCompileDateTime [UTC]","FileCreatedDateTime [UTC]",FileHashType,FileHashValue,FileMutexName,FileName,FilePacker,FilePath,FileSize,FileType,DomainName,NetworkIP,NetworkPort,NetworkDestinationAsn,NetworkDestinationCidrBlock,NetworkDestinationIP,NetworkCidrBlock,NetworkDestinationPort,NetworkProtocol,NetworkSourceAsn,NetworkSourceCidrBlock,NetworkSourceIP,NetworkSourcePort,Url,UserAgent,IndicatorProvider,Type
"indicator--164cf226-a747-5bc1-8795-47a8db966576","8/28/2023, 7:11:44.010 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:09.000 AM",E5859EA2B7EFF21A2E8F7F940DA53C6F4B45E7BA0F9ABEB6E485B06DFCD84686,Malware,true,,,,,,,,,,5,,red,,,,,,,"212.227.126.135",,,"8/28/2023, 6:43:17.000 AM",,SHA256,58090CF03262493D86F4BF9B4B2DAC65DB59D55FC4DE001F53417B89C528C28C,,"body.htm",,,24612,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--6d8e1c2a-6349-5ac7-b8da-e5507741a091","8/28/2023, 7:11:43.894 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:00.000 AM",38179278BE6087A66EEB29F1B69E349134865DE4BA748F823CA8A8F44FC80A68,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:30:39.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--fd122cca-9a51-5c99-96dc-22e82a80da76","8/28/2023, 7:11:43.917 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:03.000 AM",2FA23DC3106DF201174567894618F3E366C6F22B64234233C459B091F19423EF,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:33:35.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--bee8ef60-ae53-5c54-9f26-afb4ff78a797","8/28/2023, 7:11:43.941 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:04.000 AM",DC1E5B07A64ACA0846070A704FA50D31D1A419A5BB6D2162992F49D5582621F5,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:36:43.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--ecdaa66b-f870-51ca-82f3-923452f85e4c","8/28/2023, 7:11:43.965 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:07.000 AM",DBD41F234E611C0780CCB7935F7738FF708355B1B00E26C9DA6A163A7143D401,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:39:31.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--220639c0-68e6-5dc2-abfe-5101907ebc4c","8/28/2023, 7:11:43.990 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:08.000 AM",38EB5855B1179B96B9DF41A739F3426AE00CD7383B83F0ACE7DA175AD32F9BF4,Malware,true,,,,,,,,,,5,,red,,,,,,,"210.143.104.183",,,"8/28/2023, 6:42:56.000 AM",,SHA256,0F3BA4E8FD825D0952B11D85607F7B09A1C7852F80D605F6335B0029902D4873,,"body.htm",,,3350,"text/plain",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--0aad5e11-22b0-52fa-bbb2-d39b0634bb10","8/28/2023, 7:11:44.027 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:09.000 AM",45D1927832BED02920BE050BA2176D6775927A58EFD6EAB76C1101D2D98F3A63,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:44:56.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--06f0a772-21b7-5329-ba83-22fbb61606c7","8/28/2023, 7:11:43.888 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:00.000 AM",61D9AC94D411848748584D69CF9D196B51740C346B4FE6B7066378A1CA16A8D0,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:30:13.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--bc10165d-9315-5362-ab49-977120628fc9","8/28/2023, 7:11:43.910 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:03.000 AM",F4964857A4C035CF09857B69293EFED7CE3D4A5D9EAD0DEB7996F7DF3A13351E,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:33:03.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
"indicator--58bb3ae6-685b-5c23-8b83-763dcaa37fec","8/28/2023, 7:11:43.936 AM","9205e39d-9c6f-488c-8ecf-3c29542c7add",SecurityGraph,block,,,,"3adb963c-8e61-48e8-a06d-6dbb0dacea39",100,"Mimecast Regional Threat Intel",,"9/27/2023, 7:10:04.000 AM",D9FB9847A735DDE0893FB20A8FF310B5279E4ADE1A50DB46E93CC82BBEFD0A58,Malware,true,,,,,,,,,,5,,red,,,,,,,"12.196.177.42",,,"8/28/2023, 6:36:03.000 AM",,SHA256,2AA38A1EE874CD499769C0C3E0FF267AA31F7E3E0CB8F20EE6D8C21EE3F4AEA1,,"AWB #8347630147.htm",,,15855,"text/html",,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
