TimeGenerated [UTC],EventProduct,Computer,EventType,EventSeverity,EventStartTime,SrcIpAddr,ClientIdentity,SrcUserName,HttpRequestMethod,UrlOriginal,HttpVersion,HttpStatusCode,HttpResponseBodyBytes,HttpReferrerOriginal,HttpUserAgentOriginal,ClassName,DvcAction,EventMessage,RawData
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:05.000 p.m.",10.23.10.31,-,-,GET,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10239",,,,,,"10.23.10.31 - - [02/Aug/2023:20:15:05 -0600] ""GET /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10239"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:05.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:15:05 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:07.000 p.m.",10.23.10.31,-,-,GET,/TestPage/haloip/documentos/recepcion/buscarDocRecepcion.jsp,HTTP/1.1,200,"19788",,,,,,"10.23.10.31 - - [02/Aug/2023:20:15:07 -0600] ""GET /TestPage/Recepcion.jsp HTTP/1.1"" 200 19788"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:07.000 p.m.",10.23.10.31,-,-,GET,/TestPage/js/Calendar/btn_del_small_gif,HTTP/1.1,404,"1061",,,,,,"10.23.10.31 - - [02/Aug/2023:20:15:07 -0600] ""GET /TestPage/js/Calendar/btn_del_small_gif HTTP/1.1"" 404 1061"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:07.000 p.m.",10.23.10.31,-,-,GET,/TestPage/js/Calendar/btn_close_small_gif,HTTP/1.1,404,"1065",,,,,,"10.23.10.31 - - [02/Aug/2023:20:15:07 -0600] ""GET /TestPage/js/Calendar/btn_close_small_gif HTTP/1.1"" 404 1065"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:23.000 p.m.",10.23.10.165,-,-,GET,/TestPage/cerrarsesion.jsp,HTTP/1.1,200,"521",,,,,,"10.23.10.165 - - [02/Aug/2023:20:15:23 -0600] ""GET /TestPage/cerrarsesion.jsp HTTP/1.1"" 200 521"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:23.000 p.m.",10.23.10.145,-,-,GET,/TestPage/login.jsp,HTTP/1.1,200,"2264",,,,,,"10.23.10.145 - - [02/Aug/2023:20:15:23 -0600] ""GET /TestPage/login.jsp HTTP/1.1"" 200 2264"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:24.000 p.m.",10.23.10.165,-,-,GET,/TestPage/tema/imagenes/business_bg.png,HTTP/1.1,404,"1061",,,,,,"10.23.10.165 - - [02/Aug/2023:20:15:24 -0600] ""GET /TestPage/tema/imagenes/business_bg.png HTTP/1.1"" 404 1061"
"2023-08-03, 2:16:02.483 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:15:30.000 p.m.",10.23.10.165,-,-,GET,/TestPage/tema/imagenes/business_bg.png,HTTP/1.1,404,"1061",,,,,,"10.23.10.165 - - [02/Aug/2023:20:15:30 -0600] ""GET /TestPage/tema/imagenes/business_bg.png HTTP/1.1"" 404 1061"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:27.000 p.m.",10.23.10.45,-,-,POST,/TestPage/haloip/stop/archive.jsp,HTTP/1.1,200,"12687",,,,,,"10.23.10.45 - - [02/Aug/2023:20:07:27 -0600] ""POST /TestPage/haloip/stop/archive.jsp HTTP/1.1"" 200 12687"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:27.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:07:27 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:45.000 p.m.",10.23.10.31,-,-,POST,/TestPage/checklogin.jsp,HTTP/1.1,302,"-",,,,,,"10.23.10.31 - - [02/Aug/2023:20:07:45 -0600] ""POST /TestPage/checklogin.jsp HTTP/1.1"" 302 -"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:46.000 p.m.",10.23.10.31,-,-,GET,/TestPage/haloip/Arriba.jsp,HTTP/1.1,200,"2219",,,,,,"10.23.10.31 - - [02/Aug/2023:20:07:46 -0600] ""GET /TestPage/haloip/Arriba.jsp HTTP/1.1"" 200 2219"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:46.000 p.m.",10.23.10.145,-,-,GET,/TestPage/haloip/centro.jsp,HTTP/1.1,200,"8260",,,,,,"10.23.10.145 - - [02/Aug/2023:20:07:46 -0600] ""GET /TestPage/haloip/centro.jsp HTTP/1.1"" 200 8260"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:49.000 p.m.",10.23.10.45,-,-,POST,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10920",,,,,,"10.23.10.45 - - [02/Aug/2023:20:07:49 -0600] ""POST /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10920"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:50.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:07:50 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:50.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:07:50 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:52.000 p.m.",10.23.10.145,-,-,GET,/TestPage/js/notaCredito.js?p=0.20740703780311065,HTTP/1.1,200,"5454",,,,,,"10.23.10.145 - - [02/Aug/2023:20:07:52 -0600] ""GET /TestPage/js/notaCredito.js?p=0.20740703780311065 HTTP/1.1"" 200 5454"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:52.000 p.m.",10.23.10.12,-,-,GET,/TestPage/css/nano.css,HTTP/1.1,404,"1037",,,,,,"10.23.10.12 - - [02/Aug/2023:20:07:52 -0600] ""GET /TestPage/css/nano.css HTTP/1.1"" 404 1037"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:52.000 p.m.",10.23.10.12,-,-,GET,/TestPage/js/hoverIntent.js?_=1691028472742,HTTP/1.1,404,"1037",,,,,,"10.23.10.12 - - [02/Aug/2023:20:07:52 -0600] ""GET /TestPage/js/hoverIntent.js?_=1691028472742 HTTP/1.1"" 404 1037"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:07:52.000 p.m.",10.23.10.145,-,-,GET,/TestPage/js/nano.js?_=1691028472743,HTTP/1.1,404,"1033",,,,,,"10.23.10.145 - - [02/Aug/2023:20:07:52 -0600] ""GET /TestPage/js/nano.js?_=1691028472743 HTTP/1.1"" 404 1033"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:08:08.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/archive.jsp,HTTP/1.1,200,"12693",,,,,,"10.23.10.31 - - [02/Aug/2023:20:08:08 -0600] ""POST /TestPage/haloip/stop/archive.jsp HTTP/1.1"" 200 12693"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:08:08.000 p.m.",10.23.10.12,-,-,GET,/TestPage/images/golf.gif,HTTP/1.1,404,"1039",,,,,,"10.23.10.12 - - [02/Aug/2023:20:08:08 -0600] ""GET /TestPage/images/golf.gif HTTP/1.1"" 404 1039"
"2023-08-03, 2:09:33.149 a.m.",Tomcat,Server01,AccessLog,,"2023-08-02, 8:08:20.000 p.m.",10.23.10.31,-,-,POST,/TestPage/haloip/stop/scripted.jsp,HTTP/1.1,200,"10924",,,,,,"10.23.10.31 - - [02/Aug/2023:20:08:20 -0600] ""POST /TestPage/haloip/stop/scripted.jsp HTTP/1.1"" 200 10924"
