"TimeGenerated [UTC]",Description,"event_module",instanceId,"original_host",Severity,src,user,SeverityDescription,"Event Name",SyslogMessage
"8/28/2025, 7:00:06.120 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""6a8735a9-ded4-4e0e-aa26-b15b5b9c20a4"" Result=""0"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 7:00:09.949 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,LRSVBRALL,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""4d2e15a3-2621-4fcd-99cb-b7b98f683a58"" Result=""0"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 7:00:19.885 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231CLOUD,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""5245af19-9342-46b2-9b9f-f7f9b3e3f91b"" Result=""0"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 7:00:22.592 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,WIN2022,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""30c047b2-e4c8-4472-82f9-ed06376cd89f"" Result=""0"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 11:11:57.466 AM","Delete backup Backup Job 2 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.","Veeam Backup & Replication",42402,VBR1231,critical,"Delete backup Backup Job 2 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.","N\asja",Critical,"Four-Eyes Authorization Request Created","[categoryId=0 instanceId=42402 Operation=""Delete backup Backup Job 2 - ga12dc_replica"" OperationId=""100"" InitiatorFullInfo=""<ModifiedUserInfo fullName=""N\asja"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Delete backup Backup Job 2 - ga12dc_replica event has been initiated by N\asja and requires an additional approval.""]"
"8/29/2025, 1:37:08.092 PM","Backup job 'test job ololo' has been deleted.","Veeam Backup & Replication",23090,WIN2022,critical,"Backup job 'test job ololo' has been deleted.",unknown,Critical,"Job Deleted","[categoryId=0 instanceId=23090 JobID=""3b119d34-b06f-48a2-9770-40780d763dae"" JobType=""0"" Platform=""0"" JobName=""test job ololo"" ChangesXML=""<changes><object id=""3b119d34-b06f-48a2-9770-40780d763dae"" /></changes>"" UserName=""N\asja"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup job 'test job ololo' has been deleted.""]"
"8/29/2025, 1:37:08.098 PM","'1' objects has been deleted for 'test job ololo'.","Veeam Backup & Replication",32120,WIN2022,high,"'1' objects has been deleted for 'test job ololo'.","N\asja",High,"Objects for Job Deleted","[categoryId=0 instanceId=32120 JobID=""3b119d34-b06f-48a2-9770-40780d763dae"" JobType=""0"" Platform=""N\A"" JobName=""test job ololo"" ChangesXML=""<changes><object id=""576266c0-142d-4fdf-9efd-a201667616f0"" /></changes>"" UserName=""N\asja"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""'1' objects has been deleted for 'test job ololo'.""]"
"8/25/2025, 3:40:46.781 PM","Detach backup from job Backup Job 16 f102 has been initiated by N\SYSTEM.","Veeam Backup & Replication",41200,WIN2022,information,"Detach backup from job Backup Job 16 f102 has been initiated by N\SYSTEM.",unknown,Information,"Detaching Backups Started","[categoryId=0 instanceId=41200 UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Detach backup from job Backup Job 16 f102 has been initiated by N\SYSTEM.""]"
"8/27/2025, 7:00:05.768 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""30507cb9-0cfb-4365-9bba-6b4c5c8b7c24"" Result=""0"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/27/2025, 7:00:12.978 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,WIN2022,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""a3373369-0938-4b28-a1eb-1afdb3dc2972"" Result=""0"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/27/2025, 7:00:21.517 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,LRSVBRALL,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""26940296-db84-4430-a5b7-cb28173de5ee"" Result=""0"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/27/2025, 7:00:23.890 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR12REPOSITORY,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""1b6932e4-a28b-4114-9c65-16414e9b9892"" Result=""0"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/27/2025, 7:00:24.588 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,CLOUD12A,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""e785fe00-1de7-485b-9b19-92914268ba1b"" Result=""0"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/27/2025, 7:00:26.625 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231CLOUD,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""5bde84e4-1438-4b61-abdf-5c4d469bdddc"" Result=""0"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:06.554 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,LRSVBRALL,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""3a7427c9-50ff-41ec-8476-8efb7f20e31b"" Result=""0"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:07.717 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231CLOUD,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""d7d0eca0-624e-496d-afb4-65e46cc863e7"" Result=""0"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:19.108 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,CLOUD12A,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""52ad0400-6566-4b98-ba0f-c8c9e17dc7ab"" Result=""0"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:20.731 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,WIN2022,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""afad23dc-c6e4-461b-bbc3-5fcf6b3e1e5d"" Result=""0"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:25.405 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR1231,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""8438d700-6b9c-459c-a9c1-cf91abb38e7e"" Result=""0"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/26/2025, 7:00:29.414 AM","Malware detection session has finished with Success.","Veeam Backup & Replication",42210,VBR12REPOSITORY,information,"Malware detection session has finished with Success.",unknown,Information,"Malware Detection Session Finished","[categoryId=0 instanceId=42210 SessionID=""5fd839c0-06d9-4e6e-9e1e-c02ab54232b0"" Result=""0"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Malware detection session has finished with Success.""]"
"8/28/2025, 11:12:59.011 AM","Disable four-eyes authorization event has been initiated by N\asja and requires an additional approval.","Veeam Backup & Replication",42402,VBR1231,critical,"Disable four-eyes authorization event has been initiated by N\asja and requires an additional approval.","N\asja",Critical,"Four-Eyes Authorization Request Created","[categoryId=0 instanceId=42402 Operation=""Disable four-eyes authorization"" OperationId=""103"" InitiatorFullInfo=""<ModifiedUserInfo fullName=""N\asja"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Disable four-eyes authorization event has been initiated by N\asja and requires an additional approval.""]"
"8/28/2025, 11:13:32.186 AM","Four-eyes authorization has been disabled by N\asja.","Veeam Backup & Replication",42401,VBR1231,critical,"Four-eyes authorization has been disabled by N\asja.","N\asja",Critical,"Four-Eyes Authorization Disabled","[categoryId=0 instanceId=42401 Operation=""Four-eyes authorization has been disabled"" OperationId=""1"" InitiatorFullInfo=""<ModifiedUserInfo fullName=""N\asja"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Four-eyes authorization has been disabled by N\asja.""]"
"8/28/2025, 11:37:09.340 AM","Backup job 'Backup vmos' has been deleted.","Veeam Backup & Replication",23090,VBR1231,critical,"Backup job 'Backup vmos' has been deleted.",unknown,Critical,"Job Deleted","[categoryId=0 instanceId=23090 JobID=""26141111-7263-43b3-bc49-4e0120ce37a4"" JobType=""0"" Platform=""0"" JobName=""Backup vmos"" ChangesXML=""<changes><object id=""26141111-7263-43b3-bc49-4e0120ce37a4"" /></changes>"" UserName=""N\asja"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup job 'Backup vmos' has been deleted.""]"
"8/28/2025, 11:37:09.348 AM","'1' objects has been deleted for 'Backup vmos'.","Veeam Backup & Replication",32120,VBR1231,high,"'1' objects has been deleted for 'Backup vmos'.","N\asja",High,"Objects for Job Deleted","[categoryId=0 instanceId=32120 JobID=""26141111-7263-43b3-bc49-4e0120ce37a4"" JobType=""0"" Platform=""N\A"" JobName=""Backup vmos"" ChangesXML=""<changes><object id=""aa9f8933-5aca-4214-80ad-4aa3b3fa74be"" /></changes>"" UserName=""N\asja"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""'1' objects has been deleted for 'Backup vmos'.""]"
"8/28/2025, 12:05:19.583 PM","Backup server has lost connection to backup repository Repo_for_ScaleOut.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Repo_for_ScaleOut.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""6af657aa-86e9-4b9c-9554-cb629e37bb38"" HostName=""This server"" ObjectName=""Repo_for_ScaleOut"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Repo_for_ScaleOut.""]"
"8/28/2025, 12:05:19.606 PM","Backup server has lost connection to backup repository Repo_Secondary.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Repo_Secondary.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""0d473b3b-509e-4cec-9a1d-9a71394cecf2"" HostName=""This server"" ObjectName=""Repo_Secondary"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Repo_Secondary.""]"
"8/28/2025, 12:05:19.618 PM","Backup server has lost connection to backup repository Backup Repository 1.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Backup Repository 1.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""5b991e3d-4be9-45d7-bb22-3d68b1873d5d"" HostName=""This server"" ObjectName=""Backup Repository 1"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Backup Repository 1.""]"
"8/28/2025, 12:05:19.624 PM","Backup server has lost connection to backup repository Backup Repository 2.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Backup Repository 2.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""b317e480-4b78-49ca-80ed-376d97e6cacd"" HostName=""This server"" ObjectName=""Backup Repository 2"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Backup Repository 2.""]"
"8/28/2025, 12:05:19.633 PM","Backup server has lost connection to backup repository Backup Repository from vbr11.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Backup Repository from vbr11.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""5b4c3179-133c-4579-b3e7-6b4306516c35"" HostName=""This server"" ObjectName=""Backup Repository from vbr11"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Backup Repository from vbr11.""]"
"8/28/2025, 12:05:19.644 PM","Backup server has lost connection to backup repository Default Backup Repository.","Veeam Backup & Replication",21224,VBR1231,critical,"Backup server has lost connection to backup repository Default Backup Repository.",unknown,Critical,"Connection to Backup Repository Lost","[categoryId=0 instanceId=21224 HostID=""6745a759-2205-4cd2-b172-8ec8f7e60ef8"" ObjectID=""88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec"" HostName=""This server"" ObjectName=""Default Backup Repository"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Backup server has lost connection to backup repository Default Backup Repository.""]"
