"TimeGenerated [UTC]",Description,"event_module",instanceId,"original_host",Platform,Severity,Version,JobSessionID,JobID,JobResult,JobResultMessage,JobType,JobTypeDescription,Allowance,SyslogMessage
"8/28/2025, 5:22:24.927 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""b1bd3fb1-b338-4fa8-91cc-e0c4b2199453"" OibID=""f102b7db-a845-4c2a-9f1e-7b8dbf083ca6"" OriginalOibID=""f102b7db-a845-4c2a-9f1e-7b8dbf083ca6"" CreationTime=""08/28/2025 17:21:09"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244496"" VmName=""lrsf1131"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1131 task has finished with 'Success' state.""]"
"8/28/2025, 5:22:29.585 PM","Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ","Veeam Backup & Replication",490,WIN2022,11,none,1,"a3394b80-c3f8-49ec-8622-9194bf85c15b","c330aa4c-c701-4eb2-97f0-c4702604ef18",2,Failed,13003,"File Backup Copy Job",true,"[categoryId=0 instanceId=490 JobSessionID=""a3394b80-c3f8-49ec-8622-9194bf85c15b"" JobID=""c330aa4c-c701-4eb2-97f0-c4702604ef18"" JobResult=""2"" JobType=""13003"" Platform=""11"" WillBeRetried=""False"" JobName=""nas job  scheduked (Copy) 1"" SourceType=""5"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ""]"
"8/28/2025, 5:22:54.107 PM","Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ","Veeam Backup & Replication",490,WIN2022,11,none,1,"7f3b499e-7b01-4a6f-929a-97bc0103753f","c330aa4c-c701-4eb2-97f0-c4702604ef18",2,Failed,13003,"File Backup Copy Job",true,"[categoryId=0 instanceId=490 JobSessionID=""7f3b499e-7b01-4a6f-929a-97bc0103753f"" JobID=""c330aa4c-c701-4eb2-97f0-c4702604ef18"" JobResult=""2"" JobType=""13003"" Platform=""11"" WillBeRetried=""False"" JobName=""nas job  scheduked (Copy) 1"" SourceType=""5"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Backup Copy job 'nas job  scheduked (Copy) 1' finished with Failed. Job details: Error: Agent: Failed to process method {MetaExtent.InitExtent}: S3 error: Access denied. Code: SignatureDoesNotMatch Failed to query folder on google. Path: [/Veeam/Store/win2022.n.local-gated] ""]"
"8/28/2025, 5:23:16.416 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""16bc365e-9190-4400-b3ad-7884497fb2a9"" OibID=""d94bd2de-452d-4616-a1da-79bc585829a8"" OriginalOibID=""d94bd2de-452d-4616-a1da-79bc585829a8"" CreationTime=""08/28/2025 17:22:04"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243899"" VmName=""lrsf572"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf572 task has finished with 'Success' state.""]"
"8/28/2025, 5:23:45.175 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""f0e891d5-1bc7-4e3a-9849-6b56da6ab5f3"" OibID=""050a60b7-0594-4922-bb41-d1ebbf58a1fb"" OriginalOibID=""050a60b7-0594-4922-bb41-d1ebbf58a1fb"" CreationTime=""08/28/2025 17:22:27"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244463"" VmName=""lrsf1100"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1100 task has finished with 'Success' state.""]"
"8/28/2025, 5:24:45.377 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""2ffebc8b-cc06-435d-a325-0f158bf7b4d9"" OibID=""ac902171-ab5f-4e9c-b2a6-c97a9e7176b4"" OriginalOibID=""ac902171-ab5f-4e9c-b2a6-c97a9e7176b4"" CreationTime=""08/28/2025 17:23:26"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244500"" VmName=""lrsf1135"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1135 task has finished with 'Success' state.""]"
"8/28/2025, 5:24:59.081 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""e8f78b56-b094-4567-9a9f-e3b911eb3993"" OibID=""0b977c4a-2323-4e79-af5d-861b47224823"" OriginalOibID=""0b977c4a-2323-4e79-af5d-861b47224823"" CreationTime=""08/28/2025 17:23:46"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244461"" VmName=""lrsf1098"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1098 task has finished with 'Success' state.""]"
"8/28/2025, 5:25:52.625 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""daec8e56-4439-49c6-bb01-8be0bc876ff0"" OibID=""450962b5-cf40-48d0-bb16-fc8e107a1b74"" OriginalOibID=""450962b5-cf40-48d0-bb16-fc8e107a1b74"" CreationTime=""08/28/2025 17:24:42"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243833"" VmName=""lrsf506"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf506 task has finished with 'Success' state.""]"
"8/28/2025, 5:26:12.406 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""2453daa6-692b-41c5-9f9e-afcaa14d8676"" OibID=""c00d8f58-6b64-4954-a5f1-ebcd0f1b5797"" OriginalOibID=""c00d8f58-6b64-4954-a5f1-ebcd0f1b5797"" CreationTime=""08/28/2025 17:25:02"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244499"" VmName=""lrsf1134"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1134 task has finished with 'Success' state.""]"
"8/28/2025, 5:27:08.044 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""e76fab2a-ed12-4c42-90ba-0c7b9b2741b3"" OibID=""05edfb96-0618-4a9c-b597-558227b4727b"" OriginalOibID=""05edfb96-0618-4a9c-b597-558227b4727b"" CreationTime=""08/28/2025 17:25:57"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243416"" VmName=""lrsf129"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf129 task has finished with 'Success' state.""]"
"8/28/2025, 5:27:36.277 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""501c8b81-e4f2-4c89-832c-1c1e57787842"" OibID=""8a4b2ae2-d4d0-4afc-8ffd-1371ee2fd49b"" OriginalOibID=""8a4b2ae2-d4d0-4afc-8ffd-1371ee2fd49b"" CreationTime=""08/28/2025 17:26:23"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-244367"" VmName=""lrsf1013"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf1013 task has finished with 'Success' state.""]"
"8/28/2025, 5:28:24.313 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""8fd5c06f-5d7d-42d5-ba00-c4c3fe1c04f8"" OibID=""9fd015c6-bde4-4993-ae6c-a8f4291ea136"" OriginalOibID=""9fd015c6-bde4-4993-ae6c-a8f4291ea136"" CreationTime=""08/28/2025 17:27:13"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243206"" VmName=""lrsf38"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf38 task has finished with 'Success' state.""]"
"8/28/2025, 5:28:56.376 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""38c789dc-7893-4822-8402-fe85212656f9"" OibID=""f9e7afde-9cc6-42b2-8bd4-2a99ce52c6f6"" OriginalOibID=""f9e7afde-9cc6-42b2-8bd4-2a99ce52c6f6"" CreationTime=""08/28/2025 17:27:45"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243408"" VmName=""lrsf122"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf122 task has finished with 'Success' state.""]"
"8/28/2025, 5:29:41.514 PM","Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM.","Veeam Backup & Replication",150,LRSVBRALL,0,none,1,"5b8ade6a-e395-410d-bc68-b8b85c64305e","e6c6fc01-1a48-4975-a5b4-522bcc677b09",0,Success,0,"Backup Job",true,"[categoryId=0 instanceId=150 JobSessionID=""5b8ade6a-e395-410d-bc68-b8b85c64305e"" JobID=""e6c6fc01-1a48-4975-a5b4-522bcc677b09"" JobType=""0"" TaskSessionID=""a76fcd56-065f-4973-b2f1-bf57f5ac4734"" OibID=""2af0896d-1ea0-4ccb-8c1d-fe73084e2032"" OriginalOibID=""2af0896d-1ea0-4ccb-8c1d-fe73084e2032"" CreationTime=""08/28/2025 17:28:28"" Status=""0"" JobDescription=""Created by LRSVBRALL\Administrator at 3/14/2025 6:58 AM."" SourceHostName=""oceanvc.n.local"" VmRef=""vm-243426"" VmName=""lrsf138"" TransferredGb=""0.000"" Platform=""0"" IsRetry=""False"" SourceType=""2"" VbrHostName=""lrsvbrall.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""VM lrsf138 task has finished with 'Success' state.""]"
