"TimeGenerated [UTC]",Computer,user,Description,Result,SyslogMessage,instanceId
"8/28/2025, 3:46:19.082 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 3:58:13.428 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 4:16:34.221 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 4:49:42.042 PM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 5:00:14.681 PM",VBR1231CLOUD,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 5:00:24.042 PM",VBR12REPOSITORY,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>d858e28e-bed1-427b-b858-cc242278ca7a</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 5:00:36.976 PM",CLOUD12A,SYSTEM,"Configuration backup has been completed. Result: Warning.",Warning,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Configuration backup has been completed. Result: Warning.""]",40700
"8/28/2025, 5:00:46.180 PM",WIN2022,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 7:41:50.921 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 7:49:16.420 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 8:19:55.318 AM",VBR1231,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.2.3617"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 8:19:59.642 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 8:20:31.548 AM",VBR1231,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.2.3617"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/29/2025, 8:20:39.555 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 7:46:03.034 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 7:55:00.108 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 7:57:54.611 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/28/2025, 8:04:17.735 AM",WIN2022,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/26/2025, 10:18:42.949 AM",VBR1231,"N\SYSTEM","Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""N\SYSTEM"" loginType=""0"" />"" VbrHostName=""vbr1231.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/26/2025, 5:00:29.782 PM",VBR12REPOSITORY,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>d858e28e-bed1-427b-b858-cc242278ca7a</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""VBR12repository.n.local"" VbrVersion=""12.3.0.310"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
"8/26/2025, 5:00:42.227 PM",CLOUD12A,SYSTEM,"Configuration backup has been completed. Result: Warning.",Warning,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""cloud12a.n.local"" VbrVersion=""12.2.0.334"" Version=""1"" Description=""Configuration backup has been completed. Result: Warning.""]",40700
"8/26/2025, 5:00:46.831 PM",VBR1231CLOUD,SYSTEM,"Configuration backup has been completed. Result: Warning.",Warning,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>88788f9e-d8f5-4eb4-bc4f-9b3f5403bcec</RepositoryId><RepositoryName>Default Backup Repository</RepositoryName><RetentionPolicy>10</RetentionPolicy><StorageEncryptionEnabled>False</StorageEncryptionEnabled><StorageCryptoKeyId>00000000-0000-0000-0000-000000000000</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""vbr1231cloud.n.local"" VbrVersion=""12.3.1.1139"" Version=""1"" Description=""Configuration backup has been completed. Result: Warning.""]",40700
"8/26/2025, 5:00:50.717 PM",WIN2022,SYSTEM,"Configuration backup has been completed. Result: Failed.",Failed,"[categoryId=0 instanceId=40700 ConfigurationBackupSpecXML=""<ConfigurationBackupJobSpec><RepositoryId>881b0ec0-84ad-4800-9d78-a8889e48699a</RepositoryId><RepositoryName>5gb</RepositoryName><RetentionPolicy>20</RetentionPolicy><StorageEncryptionEnabled>True</StorageEncryptionEnabled><StorageCryptoKeyId>018fdfde-0bad-45a3-b8f1-14b1ed1623f6</StorageCryptoKeyId></ConfigurationBackupJobSpec>"" UserFullInfo=""<ModifiedUserInfo fullName=""SYSTEM"" loginType=""4"" />"" VbrHostName=""win2022.n.local"" VbrVersion=""12.3.0.288"" Version=""1"" Description=""Configuration backup has been completed. Result: Failed.""]",40700
