Alert,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Date
Suspicious Attachment Opened,1. Validate the alert.,2. Inspect the attachment. Review the process that opened it and its behaviors.,3. Check for other suspicious activities in the machine timeline.,"4. Locate unfamiliar processes in the process tree. Check files for prevalence, their locations, and digital signatures.",5. Submit relevant files for deep analysis and review file behaviors.,6. Identify unusual system activity with system owners.,"7. Scope the incident. Find related machines, network addresses, and files in the incident graph.","8. Contain and mitigate the breach. Stop suspicious processes, isolate affected machines, decommission compromised accounts or reset passwords, block IP addresses and URLs, and install security updates.","9. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,2/24/2021
Password spray attack against Azure AD application,"1. Use Cloud Authentication - In the cloud, we see billions of sign-ins to Microsoft systems every day. Our security detection algorithms allow us to detect and block attacks as they’re happening. Because these are real time detection and protection systems driven from the cloud, they are available only when doing Azure AD authentication in the cloud (including Pass-Through Authentication).","2. If your using AAD, then your covered with Smart Lockout. If your using ADFS, enable Smart Lockout - https://docs.microsoft.com/windows-server/identity/ad-fs/operations/configure-ad-fs-extranet-smart-lockout-protection.",3. Use Attack Simulator to proactively evaluate your security posture and make adjustments - https://techcommunity.microsoft.com/t5/microsoft-security-and/announcing-the-public-preview-of-attack-simulator-for-office-365/ba-p/162412.,"4. Work with your Identity Global Admin and Enable MFA. A password is the key to accessing an account, but in a successful password spray attack, the attacker has guessed the correct password. To stop them, we need to use something more than just a password to distinguish between the account owner and the attacker. The three ways to do this are below:",4a. Risk-based MFA.,4b. Always-on MFA.,4c. Azure MFA as Primary Auth.,"5. NOTE: We strongly recommend enabling always-on multi-factor authentication for all admins in your organization, especially subscription owners and tenant admins. Seriously, go do this right now. For the best experience for the rest of your users, we recommend risk-based multi-factor authentication, which is available with Azure AD Premium P2 licenses. Otherwise, use Azure MFA for cloud authentication and ADFS. In ADFS, upgrade to ADFS on Windows Server 2016 to use Azure MFA as primary authentication, especially for all your extranet access.","6. Escalate and contact your incident response team, or contact Microsoft support for forensic analysis and remediation services.",,,,,,,,,,,2/24/2021
Anonymous IP address,"1. This risk event type indicates sign-ins from an anonymous IP address (e.g. Tor browser, anonymizer VPNs). Such IP addresses are commonly used by actors who want to hide their login telemetry (IP address, location, device, etc.) for potentially malicious intent. For more information - https://go.microsoft.com/fwlink/?linkid=2016442",2. Validate that the IP Address is Malicious.,3. Run Playbook Get-IPReputation - This pulls down known malicious info about the IP from VirusTotal.,"4. If no results return, IP is not listed. Validate the login with the User.","5. If results from VT are malicious, run VT Query in Sentinel.","6. Create a Bookmark, assign entities.",7. Attach Bookmark to current Incident.,8. Make notes of what known IOC's are associated with the IP Address.,"9. Validate the login with the User if this step hasn't been done already.","10. After validation, if the login was malicious, have the user reset their password.","11. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,2/24/2021
Adaptive application control policy violation was audited,1. Review the list of applications that were run.,2. Review the application control policy that is applied to this machine by visiting the Adaptive Application Controls section in the Azure Security Center portal.,"3. Review the list of existing rules in each of the rule collections (publisher/path/hash), and identify the rules that have triggered an audit event for the above applications.","4. If you have identified a rule that should allow the above applications to run, review the users that ran them.","5. In case you wish to allow them and change the application control policy applied to this machine policy group, make sure to add them to the appropriate rules that you have identified in step #3. Otherwise - contact the specific user and escalate this alert for further investigation.","6. If the above applications are not currently allowed by one of the rules that you have identified in step #3, and in case that you wish to allow them, make sure to add a new rule to this machine policy group.",,,,,,,,,,,,,,2/24/2021
Port Scan Detected,"1. Network scans may indicate legitimate activity, for example a new network device or new functionality on a device. Scanning activity may also be malicious.","2. For example the source device performing the scan may be carrying out network reconnaissance in order to test for and leverage potential vulnerabilities. If this succeeds, system configuration data and other critical information retrieved can be sent to attackers.","3. If the source device is an approved scanner, define it as a Scanning Device.","4. Escalate and contact your incident response team, or contact Microsoft support for forensic analysis and remediation services.",,,,,,,,,,,,,,,,2/24/2021
Traffic detected from IP addresses recommended for blocking,1. Click the link: Investigate in Azure Defender.,2. Review the IP addresses and determine if they should be communicating with the virtual machine.,"3. Enforce the hardening rule recommended by Security Center which will allow access only to recommended IP addresses. You can edit the rule's properties and change the IP addresses to be allowed, or alternatively edit the Network Security Group's rules directly.","4. Escalate and contact your incident response team, or contact Microsoft support for forensic analysis and remediation services.",,,,,,,,,,,,,,,,2/25/2021
Sign-in for different Locations than Subsidiaries,1. Click https://portal.azure.com/?#blade/Microsoft_AAD_IAM/SecurityMenuBlade/RiskyUsers.,2. Review the IP addresses and determine if typically logins using that IP.,3. Validate the login with the User.,4. Confirm User has been Compromised.,5. Escalate to your Incident Response Team or Resolve as False Positive and dismiss the Alert and downgrade the User Risk.,,,,,,,,,,,,,,,2/26/2021
Email messages containing malware removed after delivery,1. Validate and scope the alert.,"2. Find related mailboxes, sender addresses, and files in the incident graph.",3. Validate the malware was removed from the users email.,4. Confirm the scope by looking up the sender under Campains,5. Open Campaign Report to validate findings.,6. Save Campaign Report as Evidence to Incident.,7. Escalate to your IR Team or Resolve by Soft Deleting any remaining Email with malware attached.,,,,,,,,,,,,,2/26/2021
Email reported by user as malware or phish,1. Validate and scope the alert.,"2. Find related mailboxes, sender addresses, and files in the incident graph.",3. Validate the malware was removed from the users email.,4. Confirm the scope by looking up the sender under Campains,5. Open Campaign Report to validate findings.,6. Save Campaign Report as Evidence to Incident.,7. Escalate to your IR Team or Resolve by Soft Deleting any remaining Email with malware attached. ,,,,,,,,,,,,,2/26/2021
Suspicious authentication activity,1. Enforce the use of strong passwords and do not re-use them across multiple resources and services,"2. In case this is an Azure Virtual Machine, set up an NSG allow list of only expected IP addresses or ranges.","3. In case this is an Azure Virtual Machine, lock down access to it using network JIT","4. Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,,,,,3/10/2021
Suspicious attachment opened,1. Validate the alert.,2. Inspect the attachment. Review the process that opened it and its behaviors.,3. Check for other suspicious activities in the machine timeline.,"4. Locate unfamiliar processes in the process tree. Check files for prevalence, their locations, and digital signatures.",5. Submit relevant files for deep analysis and review file behaviors.,6. Identify unusual system activity with system owners.,"7. Scope the incident. Find related machines, network addresses, and files in the incident graph.","8. Contain and mitigate the breach. Stop suspicious processes, isolate affected machines, decommission compromised accounts or reset passwords, block IP addresses and URLs, and install security updates.","9. Escalate to your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,3/10/2021
A malicious file was detected based on indication provided by O365,1. Validate the alert and scope the suspected breach.,"2. Find related machines, network addresses, and files in the incident graph.",3. Check for other suspicious activities in the machine timeline.,"4. Locate unfamiliar processes in the process tree. Check files for prevalence, their locations, and digital signatures.",5. Submit relevant files for deep analysis and review file behaviors.,6. Identify unusual system activity with system owners.,"7. If you have validated the alert, contain and mitigate the breach.","8. Record relevant artifacts, including those you need in mitigation rules.",9. Stop suspicious processes. Block prevalent malware files across the network.,10. Isolate affected machines.,"11. Identify potentially compromised accounts. If necessary, reset passwords and decommission accounts.","12. Block relevant emails, websites, and IP addresses. Remove attack emails from mailboxes.",13. Update antimalware signatures and run full scans.,14. Make sure the machine is completely updated and all your software has the latest patch.,"15. Deploy the latest security updates for Windows, web browsers, and other applications.","16. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",17. Aditional Actions to Consider - Install and run Microsoft’s Malicious Software Removal Tool (see https://www.microsoft.com/download/malicious-software-removal-tool-details.aspx),18. Aditional Actions to Consider - Run Microsoft’s Autoruns utility and try to identify unknown applications that are configured to run at login (see https://technet.microsoft.com/sysinternals/bb963902.aspx).,19. Aditional Actions to Consider - Run Process Explorer and try to identify unknown running processes (see https://technet.microsoft.com/sysinternals/bb896653.aspx).,3/10/2021
'Phonzy' malware was prevented,1. Collect artifacts and determine scope.,"2. Review the machine timeline for suspicious activities that may have occurred before and after the time of the alert, and record additional related artifacts (files, IPs/URLs).",3. Look for the presence of relevant artifacts on other systems. Identify commonalities and differences between potentially compromised systems.,4. Submit relevant files for deep analysis and review resulting detailed behavioral information.,5. Submit undetected files to the MMPC malware portal.,6. Initiate containment & mitigation.,7. Contact the user to verify intent and initiate local remediation actions as needed.,8. Update AV signatures and run a full scan. The scan might reveal and remove previously-undetected malware components.,"9. Ensure that the machine has the latest security updates. In particular, ensure that you have installed the latest software, web browser, and Operating System versions.","10. If credential theft is suspected, reset all relevant users passwords.",11. Block communication with relevant URLs or IPs at the organization’s perimeter.,"12. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,3/10/2021
'EICAR_Test_File' malware was prevented,1. Collect artifacts and determine scope.,"2. Review the machine timeline for suspicious activities that may have occurred before and after the time of the alert, and record additional related artifacts (files, IPs/URLs).",3. Look for the presence of relevant artifacts on other systems. Identify commonalities and differences between potentially compromised systems.,4. Submit relevant files for deep analysis and review resulting detailed behavioral information.,5. Submit undetected files to the MMPC malware portal.,6. Initiate containment & mitigation.,7. Contact the user to verify intent and initiate local remediation actions as needed.,8. Update AV signatures and run a full scan. The scan might reveal and remove previously-undetected malware components.,"9. Ensure that the machine has the latest security updates. In particular, ensure that you have installed the latest software, web browser, and Operating System versions.","10. If credential theft is suspected, reset all relevant users passwords.",11. Block communication with relevant URLs or IPs at the organization’s perimeter.,"12. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,3/18/2021
'Genasom' ransomware was prevented,1. Collect artifacts and determine scope.,"2. Review the machine timeline for suspicious activities that may have occurred before and after the time of the alert, and record additional related artifacts (files, IPs/URLs).",3. Look for the presence of relevant artifacts on other systems. Identify commonalities and differences between potentially compromised systems.,4. Submit relevant files for deep analysis and review resulting detailed behavioral information.,5. Submit undetected files to the MMPC malware portal.,6. Initiate containment & mitigation.,7. Contact the user to verify intent and initiate local remediation actions as needed.,8. Update AV signatures and run a full scan. The scan might reveal and remove previously-undetected malware components.,"9. Ensure that the machine has the latest security updates. In particular, ensure that you have installed the latest software, web browser, and Operating System versions.","10. If credential theft is suspected, reset all relevant users passwords.",11. Block communication with relevant URLs or IPs at the organization’s perimeter.,"12. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,3/18/2021
'WannaCrypt' ransomware was prevented,1. Collect artifacts and determine scope.,"2. Review the machine timeline for suspicious activities that may have occurred before and after the time of the alert, and record additional related artifacts (files, IPs/URLs).",3. Look for the presence of relevant artifacts on other systems. Identify commonalities and differences between potentially compromised systems.,4. Submit relevant files for deep analysis and review resulting detailed behavioral information.,5. Submit undetected files to the MMPC malware portal.,6. Initiate containment & mitigation.,7. Contact the user to verify intent and initiate local remediation actions as needed.,8. Update AV signatures and run a full scan. The scan might reveal and remove previously-undetected malware components.,"9. Ensure that the machine has the latest security updates. In particular, ensure that you have installed the latest software, web browser, and Operating System versions.","10. If credential theft is suspected, reset all relevant users passwords.",11. Block communication with relevant URLs or IPs at the organization’s perimeter.,"12. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,3/18/2021
Connection to a custom network indicator,1. Check the destination address. Note that this alert can be triggered by safe or reputable addresses in your custom indicator list.,"2. Review the process that initiated the connection. If the process is unfamiliar and the executable not a signed system file, submit the file for deep analysis and review detailed behavioral information from the analysis results. Initiate an antivirus scan to find previously undetected malware.","3. If you've confirmed this activity to be malicious, contain and mitigate the breach. Stop suspicious processes, isolate affected machines, decommission compromised accounts or reset their passwords, block IP addresses and URLs, and install security updates.","4. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,,,,,,3/18/2021
Post-delivery detection of suspicious attachment,1. Validate the alert.,2. Inspect the attachment. Review the process that opened it and its behaviors.,3. Check for other suspicious activities in the machine timeline.,"4. Locate unfamiliar processes in the process tree. Check files for prevalence, their locations, and digital signatures.",5. Submit relevant files for deep analysis and review file behaviors.,6. Identify unusual system activity with system owners.,"7. Scope the incident. Find related machines, network addresses, and files in the incident graph.","8. Contain and mitigate the breach. Stop suspicious processes, isolate affected machines, decommission compromised accounts or reset passwords, block IP addresses and URLs, and install security updates.","9. Escalate - Contact your incident response team, or contact Microsoft support for investigation and remediation services.",,,,,,,,,,,3/18/2021
