TimeGenerated [UTC],proto_d,proto_text_s,local_ip_s,local_min_port_d,local_max_port_d,local_country_codes_s,local_as_info_s,local_tags_s,local_unique_ports_d,local_top_services_s,peer_ip_s,peer_min_port_d,peer_max_port_d,peer_country_codes_s,peer_as_info_s,peer_tags_s,peer_unique_ports_d,peer_top_services_s,event_count_d,first_seen_s,last_seen_s,ip_s,start_date_s,end_date_s,Type
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.12,49961,49991,"[""US""]","[{""asn"":62809,""as_name"":""EXPOHL, US""}]",,21,"[{""service_name"":"""",""port"":49991,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49990,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49989,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49988,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49987,""proto_number"":6,""description"":""""}]",84,2024-07-15,2024-07-15,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,443,443,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""https"",""port"":443,""proto_number"":6,""description"":""http protocol over TLS/SSL""}]",2.2.2.13,5300,65496,"[""CH""]","[{""asn"":559,""as_name"":""SWITCH Peering requests: peering@switch.ch, CH""}]",,30,"[{""service_name"":"""",""port"":65496,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":65461,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":64748,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":63994,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":63938,""proto_number"":6,""description"":""""}]",80,2024-06-28,2024-07-14,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,443,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,"[{""service_name"":""https"",""port"":443,""proto_number"":6,""description"":""http protocol over TLS/SSL""},{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.14,13331,63559,"[""KE""]","[{""asn"":13335,""as_name"":""CLOUDFLARENET, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":210,""name"":""cloudflare"",""children"":null}]}]",20,"[{""service_name"":"""",""port"":63559,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":59969,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":51819,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49625,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":45141,""proto_number"":6,""description"":""""}]",40,2024-06-17,2024-07-07,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.15,56650,57068,"[""IT""]","[{""asn"":203591,""as_name"":""TECNOGENERAL, IT""}]",,20,"[{""service_name"":"""",""port"":57068,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":57024,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":57008,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":56990,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":56972,""proto_number"":6,""description"":""""}]",40,2024-07-16,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",1,ICMP,1.1.1.1,2048,2048,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":2048,""proto_number"":1,""description"":""""}]",2.2.2.16,0,0,"[""IN""]","[{""asn"":150008,""as_name"":""PEL-AS-IN Pioneer Elabs Ltd., IN""}]",,1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",33,2024-06-17,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,80,80,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""http"",""port"":80,""proto_number"":6,""description"":""World Wide Web HTTP""}]",2.2.2.17,34970,59602,"[""VN""]","[{""asn"":56150,""as_name"":""VHOST-AS-VN Viet Solutions Services Trading Company Limited, VN""}]",,6,"[{""service_name"":"""",""port"":59602,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":58194,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":56186,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":42028,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":40502,""proto_number"":6,""description"":""""}]",30,2024-06-27,2024-07-06,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",1,ICMP,1.1.1.1,0,2048,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,"[{""service_name"":"""",""port"":2048,""proto_number"":1,""description"":""""},{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",2.2.2.18,0,0,"[""BR""]","[{""asn"":262493,""as_name"":""Webby Tecnologia Ltda, BR""}]","[{""id"":177,""name"":""vpn"",""children"":[{""id"":903,""name"":""ipsec"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",24,2024-06-20,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",17,UDP,1.1.1.1,222,222,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""rsh-spx"",""port"":222,""proto_number"":17,""description"":""Berkeley rshd with SPX auth""}]",2.2.2.19,33896,58718,"[""IN""]","[{""asn"":4755,""as_name"":""TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN""}]",,6,"[{""service_name"":"""",""port"":58718,""proto_number"":17,""description"":""""},{""service_name"":"""",""port"":53396,""proto_number"":17,""description"":""""},{""service_name"":"""",""port"":51705,""proto_number"":17,""description"":""""},{""service_name"":"""",""port"":39672,""proto_number"":17,""description"":""""},{""service_name"":"""",""port"":36871,""proto_number"":17,""description"":""""}]",23,2024-06-17,2024-07-14,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",1,ICMP,1.1.1.1,0,0,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",2.2.2.20,0,0,"[""US""]","[{""asn"":400317,""as_name"":""GOLDCONNECT, US""}]",,1,"[{""service_name"":"""",""port"":0,""proto_number"":1,""description"":""""}]",22,2024-06-19,2024-07-16,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
"7/17/2024, 5:00:02 PM",6,TCP,1.1.1.1,443,443,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",1,"[{""service_name"":""https"",""port"":443,""proto_number"":6,""description"":""http protocol over TLS/SSL""}]",2.2.2.21,18375,63617,"[""KE""]","[{""asn"":13335,""as_name"":""CLOUDFLARENET, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":210,""name"":""cloudflare"",""children"":null}]}]",10,"[{""service_name"":"""",""port"":63617,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":58791,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":53499,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":51413,""proto_number"":6,""description"":""""},{""service_name"":"""",""port"":49205,""proto_number"":6,""description"":""""}]",20,2024-06-18,2024-07-04,1.1.1.1,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Communications_CL
