TimeGenerated [UTC],ip_s,port_d,protocol_d,protocol_text_s,service_s,banner_s,banner_sha1_s,first_seen_s,last_seen_s,country_codes_s,as_info_s,tags_s,event_count_d,start_date_s,end_date_s,Type
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,ECS (cha/8094),377bb7a4e311f17f2a74b9fd5d478202f6a14,2024-06-21,2024-07-13,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,404 - Not Found,377bb7a4e311f17f2a74b9fd5d478202f6a15,2024-06-21,2024-07-13,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,443,6,TCP,https,"TLS/1.1 cipher:0xc013, www.example.org, www.example.org, example.net, example.edu, example.com, example.org, www.example.com, www.example.edu, www.example.net",377bb7a4e311f17f2a74b9fd5d478202f6a16,2024-06-21,2024-07-13,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",5,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Sat, 13 Jul 2024 14:43:14 GMT
Server: ECS (sac/2508)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a17,2024-07-13,2024-07-13,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Thu, 11 Jul 2024 02:29:44 GMT
Server: ECS (nyd/D16B)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a18,2024-07-11,2024-07-11,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,443,6,TCP,https,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Fri, 12 Jul 2024 04:54:15 GMT
Server: ECS (laa/7B10)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a19,2024-07-12,2024-07-12,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Thu, 04 Jul 2024 16:10:01 GMT
Server: ECS (dad/5FA3)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a20,2024-07-04,2024-07-04,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Sun, 07 Jul 2024 11:14:40 GMT
Server: ECS (sac/2508)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a21,2024-07-07,2024-07-07,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,443,6,TCP,https,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Sun, 14 Jul 2024 22:00:08 GMT
Server: ECS (sac/2508)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a22,2024-07-14,2024-07-14,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
"7/17/2024, 6:40:22 AM",1.1.1.3,80,6,TCP,http,"HTTP/1.1 404 Not Found
Content-Type: text/html
Date: Thu, 11 Jul 2024 03:25:05 GMT
Server: ECS (dce/2694)
Content-Length: 345",377bb7a4e311f17f2a74b9fd5d478202f6a23,2024-07-11,2024-07-11,"[""US""]","[{""asn"":15133,""as_name"":""EDGECAST, US""}]","[{""id"":176,""name"":""cdn"",""children"":[{""id"":206,""name"":""edgecast"",""children"":null}]}]",2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_OpenPorts_CL
