2022-05-15 00:00:00.197 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598000/usage.xml; database=Meters; success=true;
2022-05-15 00:04:00.236 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598240/host-raw.xml; database=Meters; success=true;
2022-05-15 00:04:00.238 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598240/server-raw.xml; database=Meters; success=true;
2022-05-15 00:05:00.263 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598300/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:05:00.278 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598300/host-raw.xml; database=Meters; success=true;
2022-05-15 00:05:00.280 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598300/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:05:00.292 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598300/server-raw.xml; database=Meters; success=true;
2022-05-15 00:06:00.019 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598360/host-raw.xml; database=Meters; success=true;
2022-05-15 00:06:00.023 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598360/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:06:00.034 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598360/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:06:00.043 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598360/server-raw.xml; database=Meters; success=true;
2022-05-15 00:07:00.302 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:07:00.309 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598420/host-raw.xml; database=Meters; success=true;
2022-05-15 00:07:00.312 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:07:00.315 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:07:00.329 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598420/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:07:00.341 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:07:00.345 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:07:00.357 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598420/server-raw.xml; database=Meters; success=true;
2022-05-15 00:07:00.360 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:07:00.363 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:07:00.374 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:07:00.386 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598420/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:08:00.066 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598480/host-raw.xml; database=Meters; success=true;
2022-05-15 00:08:00.071 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598480/server-raw.xml; database=Meters; success=true;
2022-05-15 00:08:00.074 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598480/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:08:00.087 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598480/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:09:00.158 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598540/server-raw.xml; database=Meters; success=true;
2022-05-15 00:09:00.163 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598540/host-raw.xml; database=Meters; success=true;
2022-05-15 00:09:00.164 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598540/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:09:00.175 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598540/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:10:00.199 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598600/server-raw.xml; database=Meters; success=true;
2022-05-15 00:10:00.205 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598600/host-raw.xml; database=Meters; success=true;
2022-05-15 00:10:00.208 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598600/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:10:00.220 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598600/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:11:00.245 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598660/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:11:00.262 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598660/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:11:00.275 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598660/host-raw.xml; database=Meters; success=true;
2022-05-15 00:11:00.278 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598660/server-raw.xml; database=Meters; success=true;
2022-05-15 00:12:00.062 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598720/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:12:00.075 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598720/server-raw.xml; database=Meters; success=true;
2022-05-15 00:12:00.078 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598720/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:12:00.089 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598720/host-raw.xml; database=Meters; success=true;
2022-05-15 00:13:00.083 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598780/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:13:00.099 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:13:00.103 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598780/host-raw.xml; database=Meters; success=true;
2022-05-15 00:13:00.105 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598780/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:13:00.117 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:13:00.120 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:13:00.132 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:13:00.135 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:13:00.147 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:13:00.150 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:13:00.161 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:13:00.173 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598780/server-raw.xml; database=Meters; success=true;
2022-05-15 00:14:00.100 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598840/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:14:00.114 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598840/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:14:00.125 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598840/host-raw.xml; database=Meters; success=true;
2022-05-15 00:14:00.127 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598840/server-raw.xml; database=Meters; success=true;
2022-05-15 00:15:00.084 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598900/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:15:00.100 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598900/server-raw.xml; database=Meters; success=true;
2022-05-15 00:15:00.103 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598900/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:15:00.115 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598900/host-raw.xml; database=Meters; success=true;
2022-05-15 00:16:00.058 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598960/server-raw.xml; database=Meters; success=true;
2022-05-15 00:16:00.064 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598960/host-raw.xml; database=Meters; success=true;
2022-05-15 00:16:00.066 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598960/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:16:00.078 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598960/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:17:00.157 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599020/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:17:00.174 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599020/server-raw.xml; database=Meters; success=true;
2022-05-15 00:17:00.178 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599020/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:17:00.192 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599020/host-raw.xml; database=Meters; success=true;
2022-05-15 00:18:00.155 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:18:00.161 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599080/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:18:00.175 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:18:00.178 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:18:00.192 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:18:00.196 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599080/server-raw.xml; database=Meters; success=true;
2022-05-15 00:18:00.199 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:18:00.211 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:18:00.214 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599080/host-raw.xml; database=Meters; success=true;
2022-05-15 00:18:00.217 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:18:00.229 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:18:00.241 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599080/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:19:00.072 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599140/host-raw.xml; database=Meters; success=true;
2022-05-15 00:19:00.077 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599140/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:19:00.089 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599140/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:19:00.102 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599140/server-raw.xml; database=Meters; success=true;
2022-05-15 00:20:00.274 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599200/server-raw.xml; database=Meters; success=true;
2022-05-15 00:20:00.279 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599200/host-raw.xml; database=Meters; success=true;
2022-05-15 00:20:00.281 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599200/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:20:00.294 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599200/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:21:00.084 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599260/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:21:00.099 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599260/server-raw.xml; database=Meters; success=true;
2022-05-15 00:21:00.102 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599260/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:21:00.118 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599260/host-raw.xml; database=Meters; success=true;
2022-05-15 00:22:00.218 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599320/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:22:00.234 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599320/server-raw.xml; database=Meters; success=true;
2022-05-15 00:22:00.239 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599320/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:22:00.253 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599320/host-raw.xml; database=Meters; success=true;
2022-05-15 00:23:00.071 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599380/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:23:00.093 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599380/server-raw.xml; database=Meters; success=true;
2022-05-15 00:23:00.096 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599380/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:23:00.110 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599380/host-raw.xml; database=Meters; success=true;
2022-05-15 00:24:00.196 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599440/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:24:00.215 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:24:00.218 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599440/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:24:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599440/host-raw.xml; database=Meters; success=true;
2022-05-15 00:24:00.233 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:24:00.236 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599440/server-raw.xml; database=Meters; success=true;
2022-05-15 00:24:00.238 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:24:00.251 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:24:00.255 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:24:00.269 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:24:00.273 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:24:00.286 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:25:00.126 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599500/host-raw.xml; database=Meters; success=true;
2022-05-15 00:25:00.130 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599500/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:25:00.142 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599500/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:25:00.153 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599500/server-raw.xml; database=Meters; success=true;
2022-05-15 00:26:00.041 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599560/host-raw.xml; database=Meters; success=true;
2022-05-15 00:26:00.046 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599560/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:26:00.057 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599560/server-raw.xml; database=Meters; success=true;
2022-05-15 00:26:00.060 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599560/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:27:00.251 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599620/server-raw.xml; database=Meters; success=true;
2022-05-15 00:27:00.257 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599620/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:27:00.271 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599620/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:27:00.284 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599620/host-raw.xml; database=Meters; success=true;
2022-05-15 00:28:00.171 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599680/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:28:00.186 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599680/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:28:00.198 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599680/host-raw.xml; database=Meters; success=true;
2022-05-15 00:28:00.201 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599680/server-raw.xml; database=Meters; success=true;
2022-05-15 00:29:00.034 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599740/host-raw.xml; database=Meters; success=true;
2022-05-15 00:29:00.039 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599740/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:29:00.050 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599740/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:29:00.063 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599740/server-raw.xml; database=Meters; success=true;
2022-05-15 00:30:00.211 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599800/host-raw.xml; database=Meters; success=true;
2022-05-15 00:30:00.216 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-day.xml; database=Meters; success=true;
2022-05-15 00:30:00.219 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-hour.xml; database=Meters; success=true;
2022-05-15 00:30:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/host-hour.xml; database=Meters; success=true;
2022-05-15 00:30:00.234 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599800/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:30:00.247 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599800/server-raw.xml; database=Meters; success=true;
2022-05-15 00:30:00.251 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-hour.xml; database=Meters; success=true;
2022-05-15 00:30:00.256 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599800/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:30:00.268 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-day.xml; database=Meters; success=true;
2022-05-15 00:30:00.281 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/server-day.xml; database=Meters; success=true;
2022-05-15 00:30:00.284 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/databases-day.xml; database=Meters; success=true;
2022-05-15 00:30:00.298 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652598060/forest-hour.xml; database=Meters; success=true;
2022-05-15 00:31:00.162 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599860/server-raw.xml; database=Meters; success=true;
2022-05-15 00:31:00.168 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599860/host-raw.xml; database=Meters; success=true;
2022-05-15 00:31:00.170 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599860/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:31:00.183 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599860/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:32:00.112 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599920/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:32:00.129 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599920/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:32:00.144 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599920/host-raw.xml; database=Meters; success=true;
2022-05-15 00:32:00.146 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599920/server-raw.xml; database=Meters; success=true;
2022-05-15 00:33:00.076 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599980/forest-raw.xml; database=Meters; success=true;
2022-05-15 00:33:00.091 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599980/databases-raw.xml; database=Meters; success=true;
2022-05-15 00:33:00.104 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599980/server-raw.xml; database=Meters; success=true;
2022-05-15 00:33:00.107 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652599980/host-raw.xml; database=Meters; success=true;
2022-05-15 00:34:00.054 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1652600040/server-raw.xml; database=Meters; success=true;
