TenantId,SourceSystem,MG,ManagementGroupName,TimeGenerated [UTC],Computer,RawData,InfobloxInsightID_s,cid_s,cmac_s,count_d,qip_s,location_s,osVersion_s,threatLevelMax_s,threatIndicatorDistinctCount_s,timeMax_t [UTC],timeMin_t [UTC],user_s,InfobloxInsightID_g,InfobloxInsightLogType_s,Type,_ResourceId
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:38.624 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/26/2024, 6:00:00.000 PM","2/26/2024, 6:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.040 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,4,127.0.0.1,,iOS 16.5.1,-1,4,"2/23/2024, 2:00:00.000 PM","2/22/2024, 6:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.528 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/21/2024, 7:00:00.000 PM","2/21/2024, 7:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.856 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/20/2024, 12:00:00.000 PM","2/20/2024, 12:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:40.157 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,4,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/12/2024, 7:00:00.000 PM","2/12/2024, 7:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:40.962 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/6/2024, 5:00:00.000 PM","2/6/2024, 5:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:41.408 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/5/2024, 5:00:00.000 PM","2/5/2024, 5:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:41.060 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,,iOS 16.5.1,-1,1,"2/17/2024, 2:00:00.000 PM","2/17/2024, 1:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:40.612 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"2/11/2024, 5:00:00.000 PM","2/11/2024, 5:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:39.839 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Madrid,Spain",iOS 16.5.1,-1,1,"3/5/2024, 11:00:00.000 AM","3/5/2024, 11:00:00.000 AM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:57:41.122 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,1,127.0.0.1,"Valencia,Spain",iOS 16.5.1,-1,1,"2/9/2024, 12:00:00.000 PM","2/9/2024, 12:00:00.000 PM",default_user,76290ad6-f44a-4a77-8d14-2f233fa9aff3,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:02.049 AM",,,,,00:00:00:00:00:00,721,127.0.0.1,,,3,3,"3/6/2024, 4:00:00.000 AM","2/5/2024, 6:00:00.000 AM",bob,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:02.312 AM",,,,,00:00:00:00:00:00,3252,127.0.0.1,,,3,4,"3/6/2024, 4:00:00.000 AM","2/23/2024, 11:00:00.000 PM",dmcpoyle,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:01.913 AM",,,,,00:00:00:00:00:00,719,127.0.0.1,,Microsoft Windows Server 2016 (93%),3,1,"3/6/2024, 4:00:00.000 AM","2/5/2024, 6:00:00.000 AM",alice,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:02.671 AM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,6,127.0.0.1,"Madrid,Spain",iOS 16.5.1,3,2,"2/10/2024, 9:00:00.000 PM","2/5/2024, 7:00:00.000 AM",default_user,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:03.045 AM",,,,,00:00:00:00:00:00,220,127.0.0.1,,,3,2,"2/10/2024, 4:00:00.000 AM","2/5/2024, 4:00:00.000 PM",ckelly,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/6/2024, 5:59:03.608 AM",,,,,,1,127.0.0.1,,,3,1,"2/5/2024, 4:00:00.000 PM","2/5/2024, 4:00:00.000 PM",,ea13f9a0-89d5-4308-9abf-bd57fcab4a43,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:25.119 PM",,,,,00:00:00:00:00:00,101,127.0.0.1,,Microsoft Windows Server 2016 (93%),3,14,"3/4/2024, 3:00:00.000 PM","2/28/2024, 9:00:00.000 PM",alice,a9306716-8b84-4569-987e-d97cfd1fe03e,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:28.805 PM",,,,,,5,127.0.0.1,,Linux 3.2 - 4.9 (96%),3,2,"2/18/2024, 2:00:00.000 PM","2/17/2024, 11:00:00.000 PM",,a9306716-8b84-4569-987e-d97cfd1fe03e,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:38.052 PM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,5,127.0.0.1,"Bengaluru,India",iOS 17.2.1,3,1,"2/27/2024, 3:00:00.000 PM","2/27/2024, 3:00:00.000 PM",Gsimmons@,0a284717-2645-48d0-af6b-ec14b9e81ed4,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:39.465 PM",,,,,00:00:00:00:00:00,99,127.0.0.1,,Microsoft Windows Server 2016 (93%),3,21,"3/4/2024, 3:00:00.000 PM","2/29/2024, 2:00:00.000 AM",alice,0a284717-2645-48d0-af6b-ec14b9e81ed4,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:40.421 PM",,,,,,3,127.0.0.1,,Linux 3.2 - 4.9 (96%),3,1,"2/12/2024, 6:00:00.000 PM","2/12/2024, 6:00:00.000 PM",,0a284717-2645-48d0-af6b-ec14b9e81ed4,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:37.994 PM",,,,,00:00:00:00:00:00,406,127.0.0.1,,,3,86,"3/4/2024, 3:00:00.000 PM","2/12/2024, 6:00:00.000 PM",bob,0a284717-2645-48d0-af6b-ec14b9e81ed4,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:47.902 PM",,,,,00:00:00:00:00:00,33,127.0.0.1,,Microsoft Windows Server 2016 (93%),3,6,"3/4/2024, 1:00:00.000 PM","2/29/2024, 8:00:00.000 PM",alice,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:51.046 PM",,,,,,26,127.0.0.1,,Linux 3.2 - 4.9 (96%),3,1,"2/18/2024, 4:00:00.000 PM","2/17/2024, 9:00:00.000 PM",,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:54.995 PM",,,,,00:00:00:00:00:00,19,127.0.0.1,,,3,1,"2/7/2024, 4:00:00.000 PM","2/5/2024, 5:00:00.000 AM",,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:55.515 PM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,2,127.0.0.1,"Madrid,Spain",iOS 16.5.1,3,1,"2/6/2024, 4:00:00.000 PM","2/6/2024, 4:00:00.000 PM",default_user,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:26.326 PM",,,,,00:00:00:00:00:00,362,127.0.0.1,,,3,38,"3/4/2024, 3:00:00.000 PM","2/3/2024, 6:00:00.000 PM",bob,a9306716-8b84-4569-987e-d97cfd1fe03e,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:27.903 PM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,7,127.0.0.1,"Bengaluru,India",Windows 11 Enterprise,3,1,"3/1/2024, 4:00:00.000 AM","3/1/2024, 4:00:00.000 AM",ngouder,a9306716-8b84-4569-987e-d97cfd1fe03e,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:28.200 PM",,,,83b0f901cb42445390e4055adc9d5bc8:cb68395096935af4b8c9d66352d1346c,00:00:00:00:00:00,11,127.0.0.1,"Bengaluru,India",Windows 11 Enterprise,3,1,"2/28/2024, 6:00:00.000 AM","2/28/2024, 6:00:00.000 AM",ngouder,a9306716-8b84-4569-987e-d97cfd1fe03e,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:47.039 PM",,,,,00:00:00:00:00:00,327,127.0.0.1,,,3,34,"3/4/2024, 2:00:00.000 PM","2/4/2024, 12:00:00.000 AM",bob,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:48.784 PM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,160,127.0.0.1,"Madrid,Spain",iOS 16.5.1,3,46,"2/28/2024, 9:00:00.000 PM","2/3/2024, 9:00:00.000 PM",default_user,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:50.189 PM",,,,,00:00:00:00:00:00,1,127.0.0.1,,,3,1,"2/23/2024, 9:00:00.000 PM","2/23/2024, 9:00:00.000 PM",,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
1e1956bc-a7d2-455e-9ab1-4a9153ebf07a,RestAPI,,,"3/4/2024, 4:48:51.903 PM",,,,91bee276cd491216baa6bddf7fcdc31c:cb68395096935af4b8c9d66352d1346c,,10,127.0.0.1,"Madrid,Spain",iOS 16.5.1,3,5,"2/13/2024, 1:00:00.000 PM","2/13/2024, 1:00:00.000 PM",default_user,7c59e278-2f46-4e46-b0ee-50c9e39ea057,Asset,InfobloxInsightAssets_CL,
