TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"Count_s","Age_s","Bulletins_s","CVE_IDs_s","Classification_s","Computer_ID_s","Computer_Name_s","Custom_Field_s","Files_s","Install_Status_s","KB_Articles_s","Last_Logged_In_User_s","MAC_Address_s","MS_Guid_s","OS_Type_s","Operating_System_s","Patch_Mean_Time_to_Patch_90__s","Patch_List_Ids_s","Product_s","Release_Date_s","Severity_s","Size_in_Bytes_s","Superseded_s","Tanium_UID_s","Title_s","Uninstallable_s","Urls_s",Type,"_ResourceId"
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-unattended-upgrades",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","8/10/2020",Medium,48472,False,,"unattended-upgrades 2.3ubuntu0.3 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","Not Available",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","Not Available",Low,24414,False,,"mde-netfilter 100.69.59 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-netplan.io",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/29/2022",Medium,88044,False,,"netplan.io 0.104-0ubuntu2~20.04.2 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libmm-glib0",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","12/14/2021",Medium,202640,False,,"libmm-glib0 1.18.6-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libqmi-glib5",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","10/26/2021",Medium,642000,False,,"libqmi-glib5 1.30.4-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-motd-news-config",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","2/18/2022",Medium,4348,False,,"motd-news-config 11ubuntu5.6 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libmbim-proxy",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","9/1/2021",Medium,6012,False,,"libmbim-proxy 1.26.2-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-openssh-client",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","1/6/2022",Medium,671020,False,,"openssh-client 1:8.2p1-4ubuntu0.5 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-modemmanager",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","12/13/2021",Medium,895044,False,,"modemmanager 1.18.6-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-ubuntu-advantage-tools",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","8/29/2022",Medium,145760,False,,"ubuntu-advantage-tools 27.10.1~20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-snapd",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","5/5/2022",Medium,35582388,False,,"snapd 2.55.5+20.04 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-python3-apt",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","2/14/2022",Medium,153532,False,,"python3-apt 2.0.0ubuntu0.20.04.8 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libtss2-esys0",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","1/19/2020",Medium,225856,False,,"libtss2-esys0 2.3.2-1ubuntu0.20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libkmod2",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/14/2020",Medium,45328,False,,"libkmod2 27-1ubuntu2.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-ubuntu-release-upgrader-core",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","4/19/2022",Medium,24392,False,,"ubuntu-release-upgrader-core 1:20.04.39 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-passwd",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","8/5/2021",Medium,796512,False,,"passwd 1:4.8.1-1ubuntu5.20.04.2 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libnetplan0",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/29/2022",Medium,82476,False,,"libnetplan0 0.104-0ubuntu2~20.04.2 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","Not Available",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","Not Available",Low,112232344,False,,"mdatp 101.80.97-insiderfast in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libapt-pkg6.0",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","7/4/2021",Medium,838924,False,,"libapt-pkg6.0 2.0.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libkeyutils1",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","10/20/2019",Medium,10252,False,,"libkeyutils1 1.6-6ubuntu1.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,security,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-isc-dhcp-client",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","5/27/2021",Medium,246360,False,,"isc-dhcp-client 4.4.1-2.1ubuntu5.20.04.3 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-apt-transport-https",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","5/17/2022",Medium,1704,False,,"apt-transport-https 2.0.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-keyutils",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","10/20/2019",Medium,44788,False,,"keyutils 1.6-6ubuntu1.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-openssh-sftp-server",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","1/6/2022",Medium,51452,False,,"openssh-sftp-server 1:8.2p1-4ubuntu0.5 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-login",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","8/5/2021",Medium,220204,False,,"login 1:4.8.1-1ubuntu5.20.04.2 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,security,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libc6",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/1/2022",Medium,2722476,False,,"libc6 2.31-0ubuntu9.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-walinuxagent",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","1/4/2022",Medium,190520,False,,"walinuxagent 2.2.46-0ubuntu1.2 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-python-apt-common",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","2/14/2022",Medium,17120,False,,"python-apt-common 2.0.0ubuntu0.20.04.8 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-python3-distupgrade",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","4/19/2022",Medium,104120,False,,"python3-distupgrade 1:20.04.39 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-openssh-server",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","1/6/2022",Medium,376880,False,,"openssh-server 1:8.2p1-4ubuntu0.5 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-update-notifier-common",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","12/14/2021",Medium,132640,False,,"update-notifier-common 3.192.30.11 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-kmod",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/14/2020",Medium,94820,False,,"kmod 27-1ubuntu2.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,security,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libc-bin",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/1/2022",Medium,633428,False,,"libc-bin 2.31-0ubuntu9.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,security,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-locales",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","3/1/2022",Medium,3869104,False,,"locales 2.31-0ubuntu9.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libqmi-proxy",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","10/26/2021",Medium,5908,False,,"libqmi-proxy 1.30.4-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-apt-utils",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","7/4/2021",Medium,213212,False,,"apt-utils 2.0.9 in focal",False,,"TaniumPatchListApplicability_CL",
"1743a992-7987-443a-a7b3-d81ea00c55b2",RestAPI,,,"9/8/2022, 9:35:09.655 AM",,,1,600,"N/A",None,updates,819210364,"Ubuntu18-03.ifbisumyoagebfazyno4pil52h.xx.internal.cloudapp.net",None,,"Not Installed","LAUNCHPAD-libmbim-glib4",reboot,,,Linux,"Ubuntu 20.04.4 LTS",,"1,3","Ubuntu 20","9/1/2021",Medium,122744,False,,"libmbim-glib4 1.26.2-1~ubuntu20.04.1 in focal",False,,"TaniumPatchListApplicability_CL",
