TimeGenerated [UTC],issuer_s,issuer_common_name_s,common_name_s,subject_s,port_d,first_seen_s,last_seen_s,self_signed_b,not_before_s,not_after_s,valid_days_d,md5_g,sha1_s,sha256_s,css_color_s,ip_s,start_date_s,end_date_s,Type
"7/17/2024, 5:53:32 AM","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,www.example.org,"CN=www.example.org, O=Internet Corporation for Assigned Names and Numbers, L=Los Angeles, ST=California, C=US",443,2024-06-21,2024-07-13,FALSE,2024-01-30,2025-03-01,397,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#b382d9,2.2.2.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:37 AM","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,www.example.org,"CN=www.example.org, O=Internet Corporation for Assigned Names and Numbers, L=Los Angeles, ST=California, C=US",443,2024-06-21,2024-07-13,FALSE,2024-01-30,2025-03-01,397,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#b382d9,2.2.2.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Root CA V1,Netflix Internal Services Root CA V1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",443,2024-06-21,2024-07-13,TRUE,2018-04-22,2048-04-23,10959,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#70c4e0,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"serialNumber=i-0655b773d971585ea, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",443,2024-06-21,2024-06-21,FALSE,2024-06-21,2024-07-05,14,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#58afaf,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"serialNumber=i-000199d2b0f4644fa, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",443,2024-07-08,2024-07-08,FALSE,2024-07-08,2024-07-22,14,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"serialNumber=i-066dc3ac461e42a76, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",443,2024-07-13,2024-07-13,FALSE,2024-07-13,2024-07-27,14,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#5d79b1,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"serialNumber=i-0ef20224ece32ff42, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",443,2024-07-02,2024-07-02,FALSE,2024-07-02,2024-07-16,14,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#ce96fa,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 5:53:25 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Intermediate Prod CA V9, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Intermediate Prod CA V9,,"serialNumber=i-0fd7c4ef06bd78362, OU=Platform Security, O=Netflix Inc, L=Los Gatos, ST=California, C=US",443,2024-06-27,2024-06-27,FALSE,2024-06-27,2024-07-11,14,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#68cccc,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 6:20:03 AM","CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,www.example.org,"CN=www.example.org, O=Internet Corporation for Assigned Names and Numbers, L=Los Angeles, ST=California, C=US",443,2024-06-21,2024-07-13,FALSE,2024-01-30,2025-03-01,397,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#b382d9,2.2.2.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
"7/17/2024, 6:20:17 AM","emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",Netflix Internal Services Root CA V1,Netflix Internal Services Root CA V1,"emailAddress=platformsecurity@netflix.com, OU=Platform Security, O=Netflix Inc, CN=Netflix Internal Services Root CA V1, L=Los Gatos, ST=California, C=US, emailAddress=platformsecurity@netflix.com",443,2024-06-21,2024-07-13,TRUE,2018-04-22,2048-04-23,10959,6fa9f4d-1784-4ed-d21a-c5f2b4b9adb,05fe10f65eac66ad2bd2aa845ea0567a748c,74794fc4b66ddc21690d507b3d6350455809ae2872c285742cb613cd24h,#70c4e0,1.1.1.2,2024-06-17,2024-07-16,Cymru_Scout_IP_Data_Summary_Certs_CL
