Alert,Description,Tactic,Severity,Provider,Detection Service
Detected obfuscated command line,Attackers use increasingly complex obfuscation techniques to evade detections that run against the underlying data. Analysis of host data on %{Compromised Host} detected suspicious indicators of obfuscation on the commandline.,-,Informational,Windows,Azure Defender
Detected possible execution of keygen executable,Analysis of host data on %{Compromised Host} detected execution of a process whose name is indicative of a keygen tool; such tools are typically used to defeat software licensing mechanisms but their download is often bundled with other malicious software. Activity group GOLD has been known to make use of such keygens to covertly gain back door access to hosts that they compromise.,-,Medium,Windows,Azure Defender
Detected possible execution of malware dropper,Analysis of host data on %{Compromised Host} detected a filename that has previously been associated with one of activity group GOLD's methods of installing malware on a victim host.,-,High,Windows,Azure Defender
Detected potentially suspicious use of Telegram tool,"Analysis of host data shows installation of Telegram, a free cloud-based instant messaging service that exists both for mobile and desktop system. Attackers are known to abuse this service to transfer malicious binaries to any other computer, phone, or tablet.",-,Medium,Windows,Azure Defender
Detected suppression of legal notice displayed to users at logon,Analysis of host data on %{Compromised Host} detected changes to the registry key that controls whether a legal notice is displayed to users when they log on. Microsoft security analysis has determined that this is a common activity undertaken by attackers after having compromised a host.,-,Low,Windows,Azure Defender
Detected suspicious combination of HTA and PowerShell,"mshta.exe (Microsoft HTML Application Host) which is a signed Microsoft binary is being used by the attackers to launch malicious PowerShell commands. Attackers often resort to having an HTA file with inline VBScript. When a victim browses to the HTA file and chooses to run it, the PowerShell commands and scripts that it contains are executed. Analysis of host data on %{Compromised Host} detected mshta.exe launching PowerShell commands.",-,Medium,Windows,Azure Defender
Detected suspicious commandline arguments,Analysis of host data on %{Compromised Host} detected suspicious commandline arguments that have been used in conjunction with a reverse shell used by activity group HYDROGEN.,-,High,Windows,Azure Defender
Detected suspicious commandline used to start all executables in a directory,Analysis of host data has detected a suspicious process running on %{Compromised Host}. The commandline indicates an attempt to start all executables (*.exe) that may reside in a directory. This could be an indication of a compromised host.,-,Medium,Windows,Azure Defender
Detected suspicious credentials in commandline,Analysis of host data on %{Compromised Host} detected a suspicious password being used to execute a file by activity group BORON. This activity group has been known to use this password to execute Pirpi malware on a victim host.,-,High,Windows,Azure Defender
Detected suspicious document credentials,"Analysis of host data on %{Compromised Host} detected a suspicious, common precomputed password hash used by malware being used to execute a file. Activity group HYDROGEN has been known to use this password to execute malware on a victim host.",-,High,Windows,Azure Defender
Detected suspicious execution of VBScript.Encode command,"Analysis of host data on %{Compromised Host} detected the execution of VBScript.Encode command. This encodes the scripts into unreadable text, making it more difficult for users to examine the code. Microsoft threat research shows that attackers often use encoded VBscript files as part of their attack to evade detection systems. This could be legitimate activity, or an indication of a compromised host.",-,Medium,Windows,Azure Defender
Detected suspicious execution via rundll32.exe,"Analysis of host data on %{Compromised Host} detected rundll32.exe being used to execute a process with an uncommon name, consistent with the process naming scheme previously seen used by activity group GOLD when installing their first stage implant on a compromised host.",-,High,Windows,Azure Defender
Detected suspicious file cleanup commands,"Analysis of host data on %{Compromised Host} detected a combination of systeminfo commands that has previously been associated with one of activity group GOLD's methods of performing post-compromise self-cleanup activity. While 'systeminfo.exe' is a legitimate Windows tool, executing it twice in succession, followed by a delete command in the way that has occurred here is rare.",-,High,Windows,Azure Defender
Detected suspicious file creation,Analysis of host data on %{Compromised Host} detected creation or execution of a process which has previously indicated post-compromise action taken on a victim host by activity group BARIUM. This activity group has been known to use this technique to download additional malware to a compromised host after an attachment in a phishing doc has been opened.,-,High,Windows,Azure Defender
Detected suspicious named pipe communications,"Analysis of host data on %{Compromised Host} detected data being written to a local named pipe from a Windows console command. Named pipes are known to be a channel used by attackers to task and communicate with a malicious implant. This could be legitimate activity, or an indication of a compromised host.",-,High,Windows,Azure Defender
Detected suspicious network activity,"Analysis of network traffic from %{Compromised Host} detected suspicious network activity. Such traffic, while possibly benign, is typically used by an attacker to communicate with malicious servers for downloading of tools, command-and-control and exfiltration of data. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.",-,Low,Windows,Azure Defender
Detected suspicious new firewall rule,Analysis of host data detected a new firewall rule has been added via netsh.exe to allow traffic from an executable in a suspicious location.,-,Medium,Windows,Azure Defender
Detected suspicious use of Cacls to lower the security state of the system,"Attackers use myriad ways like brute force, spear phishing etc. to achieve initial compromise and get a foothold on the network. Once initial compromise is achieved they often take steps to lower the security settings of a system. Cacls—short for change access control list is Microsoft Windows native command-line utility often used for modifying the security permission on folders and files. A lot of time the binary is used by the attackers to lower the security settings of a system. This is done by giving Everyone full access to some of the system binaries like ftp.exe, net.exe, wscript.exe etc. Analysis of host data on %{Compromised Host} detected suspicious use of Cacls to lower the security of a system.",-,Medium,Windows,Azure Defender
Detected suspicious use of FTP -s Switch,"Analysis of process creation data from the %{Compromised Host} detected the use of the FTP ""-s:filename"" switch. This switch is used to specify an FTP script file for the client to run. Malware or malicious processes are known to use this FTP switch (-s:filename) to point to a script file which is configured to connect to a remote FTP server and download additional malicious binaries.",-,Medium,Windows,Azure Defender
Detected suspicious use of Pcalua.exe to launch executable code,"Analysis of host data on %{Compromised Host} detected the use of pcalua.exe to launch executable code. Pcalua.exe is component of the Microsoft Windows ""Program Compatibility Assistant"" which detects compatibility issues during the installation or execution of a program. Attackers are known to abuse functionality of legitimate Windows system tools to perform malicious actions, for example using pcalua.exe with the -a switch to launch malicious executables either locally or from remote shares.",-,Medium,Windows,Azure Defender
Detected the disabling of critical services,"The analysis of host data on %{Compromised Host} detected execution of ""net.exe stop"" command being used to stop critical services like SharedAccess or Windows Security Center. The stopping of either of these services can be indication of a malicious behavior.",-,Medium,Windows,Azure Defender
Digital currency mining related behavior detected,Analysis of host data on %{Compromised Host} detected the execution of a process or command normally associated with digital currency mining.,-,High,Windows,Azure Defender
Dynamic PS script construction,"Analysis of host data on %{Compromised Host} detected a PowerShell script being constructed dynamically. Attackers sometimes use this approach of progressively building up a script in order to evade IDS systems. This could be legitimate activity, or an indication that one of your machines has been compromised.",-,Medium,Windows,Azure Defender
Executable found running from a suspicious location,"Analysis of host data detected an executable file on %{Compromised Host} that is running from a location in common with known suspicious files. This executable could either be legitimate activity, or an indication of a compromised host.",-,High,Windows,Azure Defender
Fileless attack technique detected,"The memory of the process specified below contains evidence of a fileless attack technique. Fileless attacks are used by attackers to execute code while evading detection by security software. Specific behaviors include:1) Shellcode, which is a small piece of code typically used as the payload in the exploitation of a software vulnerability.2) Executable image injected into the process, such as in a code injection attack.3) Active network connections. See NetworkConnections below for details.4) Function calls to security sensitive operating system interfaces. See Capabilities below for referenced OS capabilities.5) Process hollowing, which is a technique used by malware in which a legitimate process is loaded on the system to act as a container for hostile code.6) Contains a thread that was started in a dynamically allocated code segment. This is a common pattern for process injection attacks.",DefenseEvasion / Execution,High,Windows,Azure Defender
Fileless attack behavior detected,"The memory of the process specified contains behaviors commonly used by fileless attacks. Specific behaviors include:1) Shellcode, which is a small piece of code typically used as the payload in the exploitation of a software vulnerability.2) Active network connections. See NetworkConnections below for details.3) Function calls to security sensitive operating system interfaces. See Capabilities below for referenced OS capabilities.4) Contains a thread that was started in a dynamically allocated code segment. This is a common pattern for process injection attacks.",DefenseEvasion,Low,Windows,Azure Defender
Fileless attack toolkit detected,"The memory of the process specified contains a fileless attack toolkit: [toolkit name]. Fileless attack toolkits use techniques that minimize or eliminate traces of malware on disk, and greatly reduce the chances of detection by disk-based malware scanning solutions. Specific behaviors include:1) Well-known toolkits and crypto mining software.2) Shellcode, which is a small piece of code typically used as the payload in the exploitation of a software vulnerability.3) Injected malicious executable in process memory.",DefenseEvasion,Medium,Windows,Azure Defender
High risk software detected,"Analysis of host data from %{Compromised Host} detected the usage of software that has been associated with the installation of malware in the past. A common technique utilized in the distribution of malicious software is to package it within otherwise benign tools such as the one seen in this alert. Upon using these tools, the malware can be silently installed in the background.",-,Medium,Windows,Azure Defender
Local Administrators group members were enumerated,"Machine logs indicate a successful enumeration on group %{Enumerated Group Domain Name}%{Enumerated Group Name}. Specifically, %{Enumerating User Domain Name}%{Enumerating User Name} remotely enumerated the members of the %{Enumerated Group Domain Name}%{Enumerated Group Name} group. This activity could either be legitimate activity, or an indication that a machine in your organization has been compromised and used to reconnaissance %{vmname}.",-,Informational,Windows,Azure Defender
Malicious SQL activity,Machine logs indicate that '%{process name}' was executed by account: %{user name}. This activity is considered malicious.,-,High,Windows,Azure Defender
Malicious firewall rule created by ZINC server implant [seen multiple times],"A firewall rule was created using techniques that match a known actor, ZINC. The rule was possibly used to open a port on %{Compromised Host} to allow for Command & Control communications. This behavior was seen [x] times today on the following machines: [Machine names]",-,High,Windows,Azure Defender
Multiple Domain Accounts Queried,"Analysis of host data has determined that an unusual number of distinct domain accounts are being queried within a short time period from %{Compromised Host}. This kind of activity could be legitimate, but can also be an indication of compromise.",-,Medium,Windows,Azure Defender
Possible credential dumping detected [seen multiple times],Analysis of host data has detected use of native windows tool (e.g. sqldumper.exe) being used in a way that allows to extract credentials from memory. Attackers often use these techniques to extract credentials that they then further use for lateral movement and privilege escalation. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Windows,Azure Defender
Potential attempt to bypass AppLocker detected,"Analysis of host data on %{Compromised Host} detected a potential attempt to bypass AppLocker restrictions. AppLocker can be configured to implement a policy that limits what executables are allowed to run on a Windows system. The command-line pattern similar to that identified in this alert has been previously associated with attacker attempts to circumvent AppLocker policy by using trusted executables (allowed by AppLocker policy) to execute untrusted code. This could be legitimate activity, or an indication of a compromised host.",-,High,Windows,Azure Defender
PsExec execution detected,Analysis of host data indicates that the process %{Process Name} was executed by PsExec utility. PsExec can be used for running processes remotely. This technique might be used for malicious purposes.,-,Informational,Windows,Azure Defender
Ransomware indicators detected [seen multiple times],"Analysis of host data indicates suspicious activity traditionally associated with lock-screen and encryption ransomware. Lock screen ransomware displays a full-screen message preventing interactive use of the host and access to its files. Encryption ransomware prevents access by encrypting data files. In both cases a ransom message is typically displayed, requesting payment in order to restore file access. This behavior was seen [x] times today on the following machines: [Machine names]",-,High,Windows,Azure Defender
Ransomware indicators detected,"Analysis of host data indicates suspicious activity traditionally associated with lock-screen and encryption ransomware. Lock screen ransomware displays a full-screen message preventing interactive use of the host and access to its files. Encryption ransomware prevents access by encrypting data files. In both cases a ransom message is typically displayed, requesting payment in order to restore file access.",-,High,Windows,Azure Defender
Rare SVCHOST service group executed,The system process SVCHOST was observed running a rare service group. Malware often uses SVCHOST to masquerade its malicious activity.,-,Informational,Windows,Azure Defender
Sticky keys attack detected,"Analysis of host data indicates that an attacker may be subverting an accessibility binary (for example sticky keys, onscreen keyboard, narrator) in order to provide backdoor access to the host %{Compromised Host}.",-,Medium,Windows,Azure Defender
Successful brute force attack,"Several sign in attempts were detected from the same source. Some successfully authenticated to the host.This resembles a burst attack, in which an attacker performs numerous authentication attempts to find valid account credentials.",-,Medium/High,Windows,Azure Defender
Suspect integrity level indicative of RDP hijacking,Analysis of host data has detected the tscon.exe running with SYSTEM privileges - this can be indicative of an attacker abusing this binary in order to switch context to any other logged on user on this host; it is a known attacker technique to compromise additional user accounts and move laterally across a network.,-,Medium,Windows,Azure Defender
Suspect service installation,Analysis of host data has detected the installation of tscon.exe as a service: this binary being started as a service potentially allows an attacker to trivially switch to any other logged on user on this host by hijacking RDP connections; it is a known attacker technique to compromise additional user accounts and move laterally across a network.,-,Medium,Windows,Azure Defender
Suspected Kerberos Golden Ticket attack parameters observed,Analysis of host data detected commandline parameters consistent with a Kerberos Golden Ticket attack.,-,Medium,Windows,Azure Defender
Suspicious Account Creation Detected,"Analysis of host data on %{Compromised Host} detected creation or use of a local account %{Suspicious account name} : this account name closely resembles a standard Windows account or group name '%{Similar To Account Name}'. This is potentially a rogue account created by an attacker, so named in order to avoid being noticed by a human administrator.",-,Medium,Windows,Azure Defender
Suspicious Activity Detected,"Analysis of host data has detected a sequence of one or more processes running on %{machine name} that have historically been associated with malicious activity. While individual commands may appear benign the alert is scored based on an aggregation of these commands. This could either be legitimate activity, or an indication of a compromised host.",-,Medium,Windows,Azure Defender
Suspicious PowerShell Activity Detected,"Analysis of host data detected a PowerShell script running on %{Compromised Host} that has features in common with known suspicious scripts. This script could either be legitimate activity, or an indication of a compromised host.",-,High,Windows,Azure Defender
Suspicious PowerShell cmdlets executed,Analysis of host data indicates execution of known malicious PowerShell PowerSploit cmdlets.,-,Medium,Windows,Azure Defender
Suspicious SQL activity,Machine logs indicate that '%{process name}' was executed by account: %{user name}. This activity is uncommon with this account.,-,Medium,Windows,Azure Defender
Suspicious SVCHOST process executed,The system process SVCHOST was observed running in an abnormal context. Malware often uses SVCHOST to masquerade its malicious activity.,-,High,Windows,Azure Defender
Suspicious Screensaver process executed,The process '%{process name}' was observed executing from an uncommon location. Files with the .scr extensions are screen saver files and are normally reside and execute from the Windows system directory.,-,Medium,Windows,Azure Defender
Suspicious Volume Shadow Copy Activity,"Analysis of host data has detected a shadow copy deletion activity on the resource. Volume Shadow Copy (VSC) is an important artifact that stores data snapshots. Some malware and specifically Ransomware, targets VSC to sabotage backup strategies.",-,High,Windows,Azure Defender
Suspicious WindowPosition registry value detected,"Analysis of host data on %{Compromised Host} detected an attempted WindowPosition registry configuration change that could be indicative of hiding application windows in non-visible sections of the desktop. This could be legitimate activity, or an indication of a compromised machine: this type of activity has been previously associated with known adware (or unwanted software) such as Win32/OneSystemCare and Win32/SystemHealer and malware such as Win32/Creprote. When the WindowPosition value is set to 201329664, (Hex: 0x0c00 0c00, corresponding to X-axis=0c00 and the Y-axis=0c00) this places the console app's window in a non-visible section of the user's screen in an area that is hidden from view below the visible start menu/taskbar. Known suspect Hex value includes, but not limited to c000c000",-,Low,Windows,Azure Defender
Suspicious authentication activity,"Although none of them succeeded, some of them used accounts were recognized by the host. This resembles a dictionary attack, in which an attacker performs numerous authentication attempts using a dictionary of predefined account names and passwords in order to find valid credentials to access the host. This indicates that some of your host account names might exist in a well-known account name dictionary.",-,Medium,Windows,Azure Defender
Suspicious code segment detected,"Indicates that a code segment has been allocated by using non-standard methods, such as reflective injection and process hollowing. The alert provides additional characteristics of the code segment that have been processed to provide context for the capabilities and behaviors of the reported code segment.",-,Medium,Windows,Azure Defender
Suspicious double extension file executed,Analysis of host data indicates an execution of a process with a suspicious double extension. This extension may trick users into thinking files are safe to be opened and might indicate the presence of malware on the system.,-,High,Windows,Azure Defender
Suspicious download using Certutil detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected the use of certutil.exe, a built-in administrator utility, for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Windows,Azure Defender
Suspicious download using Certutil detected,"Analysis of host data on %{Compromised Host} detected the use of certutil.exe, a built-in administrator utility, for the download of a binary instead of its mainstream purpose that relates to manipulating certificates and certificate data. Attackers are known to abuse functionality of legitimate administrator tools to perform malicious actions, for example using certutil.exe to download and decode a malicious executable that will then be subsequently executed.",-,Medium,Windows,Azure Defender
Suspicious process executed [seen multiple times],"Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on the machine, often associated with attacker attempts to access credentials. This behavior was seen [x] times today on the following machines: [Machine names]",-,High,Windows,Azure Defender
Suspicious process executed,"Machine logs indicate that the suspicious process: '%{Suspicious Process}' was running on the machine, often associated with attacker attempts to access credentials.",-,High,Windows,Azure Defender
Suspicious process name detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected a process whose name is suspicious, for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity, or an indication that one of your machines has been compromised. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Windows,Azure Defender
Suspicious process name detected,"Analysis of host data on %{Compromised Host} detected a process whose name is suspicious, for example corresponding to a known attacker tool or named in a way that is suggestive of attacker tools that try to hide in plain sight. This process could be legitimate activity, or an indication that one of your machines has been compromised.",-,Medium,Windows,Azure Defender
Suspicious process termination burst,"Analysis of host data indicates a suspicious process termination burst in %{Machine Name}. Specifically, %{NumberOfCommands} processes were killed between %{Begin} and %{Ending}.",-,Low,Windows,Azure Defender
Suspicious system process executed,The system process %{process name} was observed running in an abnormal context. Malware often uses this process name to masquerade its malicious activity.,-,High,Windows,Azure Defender
Suspiciously named process detected,Analysis of host data on %{Compromised Host} detected a process whose name is very similar to but different from a very commonly run process (%{Similar To Process Name}). While this process could be benign attackers are known to sometimes hide in plain sight by naming their malicious tools to resemble legitimate process names.,-,Medium,Windows,Azure Defender
Unusual process execution detected,"Analysis of host data on %{Compromised Host} detected the execution of a process by %{User Name} that was unusual. Accounts such as %{User Name} tend to perform a limited set of operations, this execution was determined to be out of character and may be suspicious.",-,High,Windows,Azure Defender
VBScript HTTP object allocation detected,Creation of a VBScript file using Command Prompt has been detected. The following script contains HTTP object allocation command. This action can be used to download malicious files.,-,High,Windows,Azure Defender
Windows registry persistence method detected,Analysis of host data has detected an attempt to persist an executable in the Windows registry. Malware often uses such a technique to survive a boot.,-,Low,Windows,Azure Defender
A kernel module was loaded,A kernel module was loaded in the host %{compromised host} using the command %{Command used} by the user %{user}.,-,Low,Linux,Azure Defender
A kernel module was removed,A kernel module was removed in the host %{compromised host} using the command %{Command used} by the user %{user}.,-,Medium,Linux,Azure Defender
A new user was added to the sudoers group,"Host data analysis detected that a user was added to the sudoers group, which enables its members to run commands with high privileges.",PrivilegeEscalation,Low,Linux,Azure Defender
Abnormal Termination(VM_AbnormalDaemonTermination ),Analysis of host data on %{Compromised Host} detected a daemon process terminating abnormally.,Exploitation,Low,Linux,Azure Defender
Access of htaccess file detected,"Analysis of host data on %{Compromised Host} detected possible manipulation of a htaccess file. Htaccess is a powerful configuration file that allows you to make multiple changes to a web server running the Apache Web software including basic redirect functionality, or for more advanced functions such as basic password protection. Attackers will often modify htaccess files on machines they have compromised to gain persistence.",-,Medium,Linux,Azure Defender
An history file has been cleared,Analysis of host data indicates that the command history log file has been cleared. Attackers may do this to cover their traces. The operation was performed by user: '%{user name}'.,-,Medium,Linux,Azure Defender
Attempt to stop apt-daily-upgrade.timer service detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected an attempt to stop apt-daily-upgrade.timer service. In some recent attacks, attackers have been observed stopping this service, to download malicious files and granting execution privileges for their attack. This behavior was seen [x] times today on the following machines: [Machine names]",-,Low,Linux,Azure Defender
Attempt to stop apt-daily-upgrade.timer service detected,"Analysis of host data on %{Compromised Host} detected an attempt to stop apt-daily-upgrade.timer service. In some recent attacks, attackers have been observed stopping this service, to download malicious files and granting execution privileges for their attack.",-,Low,Linux,Azure Defender
Behavior similar to common Linux bots detected [seen multiple times],Analysis of host data on %{Compromised Host} detected the execution of a process normally associated with common Linux botnets. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Behavior similar to common Linux bots detected,Analysis of host data on %{Compromised Host} detected the execution of a process normally associated with common Linux botnets.,-,Medium,Linux,Azure Defender
Behavior similar to Fairware ransomware detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected the execution of rm -rf commands applied to suspicious locations. As rm -rf will recursively delete files, it is normally used on discrete folders. In this case, it is being used in a location that could remove a lot of data. Fairware ransomware is known to execute rm -rf commands in this folder. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Azure Defender
Behavior similar to Fairware ransomware detected,"Analysis of host data on %{Compromised Host} detected the execution of rm -rf commands applied to suspicious locations. As rm -rf will recursively delete files, it is normally used on discrete folders. In this case, it is being used in a location that could remove a lot of data. Fairware ransomware is known to execute rm -rf commands in this folder.",-,Medium,Linux,Azure Defender
Behavior similar to ransomware detected [seen multiple times],"Analysis of host data on %{Compromised Host} detected the execution of files that have resemblance of known ransomware that can prevent users from accessing their system or personal files, and demands ransom payment in order to regain access. This behavior was seen [x] times today on the following machines: [Machine names]",-,High,Linux,Azure Defender
Burst of log deletions may indicate actions of an attacker [seen multiple times),Analysis of host data on [machine] detected a large number of system log files being removed. Attackers often perform this for defense evasion.This behavior was seen over 100 times today on the following machines: [machine name],DefenseEvasion,Low,Linux,Azure Defender
Burst of log deletions may indicate actions of an attacker,Analysis of host data on [machine] detected a large number of system log files being removed. Attackers often perform this for defense evasion.,DefenseEvasion,Low,Linux,Azure Defender
Container with a miner image detected,Machine logs indicate execution of a Docker container that runs an image associated with a digital currency mining. This behavior can possibly indicate that your resources are abused by an attacker.,-,High,Linux,Azure Defender
Detected anomalous mix of upper and lower case characters in command line,"Analysis of host data on %{Compromised Host} detected a command line with anomalous mix of upper and lower case characters. This kind of pattern, while possibly benign, is also typical of attackers trying to hide from case-sensitive or hash-based rule matching when performing administrative tasks on a compromised host.",-,Medium,Linux,Azure Defender
Detected file download from a known malicious source [seen multiple times],Analysis of host data has detected the download of a file from a known malware source on %{Compromised Host}. This behavior was seen over [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Detected file download from a known malicious source,Analysis of host data has detected the download of a file from a known malware source on %{Compromised Host}.,-,Medium,Linux,Azure Defender
Detected persistence attempt [seen multiple times],"Analysis of host data on %{Compromised Host} has detected installation of a startup script for single-user mode. It is extremely rare that any legitimate process needs to execute in that mode, so this may indicate that an attacker has added a malicious process to every run-level to guarantee persistence. This behavior was seen [x] times today on the following machines: [Machine names]",-,Medium,Linux,Azure Defender
Detected persistence attempt,"Host data analysis has detected that a startup script for single-user mode has been installed.Because it's rare that any legitimate process would be required to run in that mode, this might indicate that an attacker has added a malicious process to every run-level to guarantee persistence.",Persistence,Medium,Linux,Azure Defender
Detected suspicious file download [seen multiple times],Analysis of host data has detected suspicious download of remote file on %{Compromised Host}. This behavior was seen 10 times today on the following machines: [Machine name],-,Low,Linux,Azure Defender
Detected suspicious file download,Analysis of host data has detected suspicious download of remote file on %{Compromised Host}.,-,Low,Linux,Azure Defender
Detected suspicious network activity,"Analysis of network traffic from %{Compromised Host} detected suspicious network activity. Such traffic, while possibly benign, is typically used by an attacker to communicate with malicious servers for downloading of tools, command-and-control and exfiltration of data. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.",-,Low,Linux,Azure Defender
Detected suspicious use of the nohup command [seen multiple times],Analysis of host data has detected suspicious use of the nohup command on %{Compromised Host}. Attackers have been seen running the command nohup from a temporary directory to allow their executables to run in the background. It is not normal to see this command run on files located in a temporary directory. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Detected suspicious use of the nohup command,Analysis of host data has detected suspicious use of the nohup command on %{Compromised Host}. Attackers have been seen running the command nohup from a temporary directory to allow their executables to run in the background. It is not normal to see this command run on files located in a temporary directory.,-,Medium,Linux,Azure Defender
Detected suspicious use of the useradd command [seen multiple times],Analysis of host data has detected suspicious use of the useradd command on %{Compromised Host}. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Detected suspicious use of the useradd command,Analysis of host data has detected suspicious use of the useradd command on %{Compromised Host}.,-,Medium,Linux,Azure Defender
Digital currency mining related behavior detected,Analysis of host data on %{Compromised Host} detected the execution of a process or command normally associated with digital currency mining.,-,High,Linux,Azure Defender
Disabling of auditd logging [seen multiple times],The Linux Audit system provides a way to track security-relevant information on the system. It records as much information about the events that are happening on your system as possible. Disabling auditd logging could hamper discovering violations of security policies used on the system. This behavior was seen [x] times today on the following machines: [Machine names],-,Low,Linux,Azure Defender
Executable found running from a suspicious location,"Analysis of host data detected an executable file on %{Compromised Host} that is running from a location in common with known suspicious files. This executable could either be legitimate activity, or an indication of a compromised host.",-,High,Linux,Azure Defender
Exploitation of Xorg vulnerability [seen multiple times],Analysis of host data on %{Compromised Host} detected the user of Xorg with suspicious arguments. Attackers may use this technique in privilege escalation attempts. This behavior was seen [x] times today on the following machines: [Machine names],-,Medium,Linux,Azure Defender
Exposed Docker daemon detected,"Machine logs indicate that your Docker daemon (dockerd) exposes a TCP socket. By default, Docker configuration, does not use encryption or authentication when a TCP socket is enabled. This enables full access to the Docker daemon, by anyone with access to the relevant port.",-,Medium,Linux,Azure Defender
Failed SSH brute force attack,Failed brute force attacks were detected from the following attackers: %{Attackers}. Attackers were trying to access the host with the following user names: %{Accounts used on failed sign in to host attempts}.,-,Medium,Linux,Azure Defender
Hidden file execution detected,"Analysis of host data indicates that a hidden file was executed by %{user name}. This activity could either be legitimate activity, or an indication of a compromised host.",-,Informational,Linux,Azure Defender
