TenantId,TimeGenerated [UTC],SourceSystem,Action,ActivityGroupNames,AdditionalInformation,ApplicationId,AzureTenantId,ConfidenceScore,Description,DiamondModel,ExternalIndicatorId,ExpirationDateTime [UTC],IndicatorId,ThreatType,Active,KillChainActions,KillChainC2,KillChainDelivery,KillChainExploitation,KillChainReconnaissance,KillChainWeaponization,KnownFalsePositives,MalwareNames,PassiveOnly,ThreatSeverity,Tags,TrafficLightProtocolLevel,EmailEncoding,EmailLanguage,EmailRecipient,EmailSenderAddress,EmailSenderName,EmailSourceDomain,EmailSourceIpAddress,EmailSubject,EmailXMailer,FileCompileDateTime [UTC],FileCreatedDateTime [UTC],FileHashType,FileHashValue,FileMutexName,FileName,FilePacker,FilePath,FileSize,FileType,DomainName,NetworkIP,NetworkPort,NetworkDestinationAsn,NetworkDestinationCidrBlock,NetworkDestinationIP,NetworkCidrBlock,NetworkDestinationPort,NetworkProtocol,NetworkSourceAsn,NetworkSourceCidrBlock,NetworkSourceIP,NetworkSourcePort,Url,UserAgent,IndicatorProvider,Type
2f6ff951-1800-43fd-b53b-00000000010,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000010,1,Role: Location from which a payload is obtained,,indicator--77854686-48b0-9a39-2e58-a5460cd77693,"1/1/10000, 12:00:00 AM",9843F3A11A45C3E8CC6097290880D94B15B5521B196B144B4D2F5F083FC8ECF1,Domain Name,TRUE,,,,,,,,,,,"[""threatID-324696""]",unknown,,,,,,,,,,,,,,,,,,,,www.mentospk.online,,,,,,,,,,,,,http://www.paintellensburg.com/he2a/,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000011,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000011,30,Role: Command and control location used by malware,,indicator--ad7796d3-9da3-afaf-1942-e06f0b7e44f7,"1/1/10000, 12:00:00 AM",68EA2EEC84AEC06CC91AD48D91679A039FF76A2C465D9C5FFA68FDAE74154745,File,TRUE,,,,,,,,,,,"[""threatID-320417""]",unknown,,,,,,,,,,,,,,,,,,,,www.earticlesdirect.com,,,,,,,,,,,,,https://783ecd0e.eb2ba1a4ef967759ebcfc8f4.workers.dev/,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000012,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000012,100,Role: URL provided in email as means for infection,,indicator--ffbc7939-dfd2-ff0e-b626-eae2e13523f7,"1/1/10000, 12:00:00 AM",3DDDBC51EE3E3A90127D641B8DC3F542A91AF08581F7DF4B51443D5F97302768,URL,TRUE,,,,,,,,,,,"[""threatID-320398""]",unknown,,,,,,,,,,,,,,,,,,,,www.kgconstrucoes.com,,,,,,,,,,,,,,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000013,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000013,50,Role: Download,,indicator--16d955b1-828f-69f9-b9e4-092ae76871f3,"1/1/10000, 12:00:00 AM",06C71D4E9C8BFB178D1154B2D9AA21ECF291978375611D91AC6330C5BE9CD0D6,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320864""]",unknown,,,,,,,,,,,,,,,,,,,,www.judiangka.boats/322430,,,,,,,,,,,,,https://api.getjusto.com/redirect?to=https://56754548765254787143098.excel-international.in/.danceingwithallyougat/withipoplive/allnawaiste/index.php?userid=,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000014,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000014,1,Role: Attachment,,indicator--5309cfda-16a2-0336-96d4-440fed754c14,"1/1/10000, 12:00:00 AM",13CBEE40CB0143B1B89B724322FE22D57EF9B027B5B802A07EDEADDA918C38A8,URL,TRUE,,,,,,,,,,,"[""threatID-320872""]",unknown,,,,,,,,,,,,,,,,,,,,www.samefood.co.uk/322429,,,,,,,,,,,,,https://broadwayadvisory.com/new/se/sf_rand_string_lowercase6,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000015,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000015,30,Role: Drop,,indicator--33c81b5f-30aa-9b5b-93f1-0b4578d2916e,"1/1/10000, 12:00:00 AM",41A1F2C609828F3DD184997B6444D7F647D562EEEABC0815B2790B11F09D7B67,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320860""]",unknown,,,,,,,,,,,,,,,,,,,,www.94ebuy.com/322429,,,,,,,,,,,,,https://dnewsdaily.shop/fv/host%5B18%5D/admin/js/mp.php,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000016,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000016,100,Role: Creds Phishing,,indicator--39040a08-6b89-1e97-bb06-4e81201973c1,"1/1/10000, 12:00:00 AM",DDE91E792100C6F8A42A405667349D18A3C2EDEAF1D3866FF38B7E9ED531B516,File,TRUE,,,,,,,,,,,"[""threatID-320868""]",unknown,,,,,,,,,,,,,,,,,,,,www.kyosaiohruri.com/322434,,,,,,,,,,,,,https://gteck1.box.com/s/on4t6ax55n8vjpunwq2ht8jj974dd3z0,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000017,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000017,50,Role: 3rd party location used by malware to identify the IP address of the infected machine,,indicator--f2d0b2bd-32fc-aae4-62fd-5818f93a1602,"1/1/10000, 12:00:00 AM",60A71BADFBC619A00C67E4BF5BD86AD695F5493D8F627A1F6D5E6E59A91B8E0D,URL,TRUE,,,,,,,,,,,"[""threatID-320414""]",unknown,,,,,,,,,,,,,,,,,,,,www.comedyescape.show,,,,,,,,,,,,,https://dot-antique-wok.glitch.me,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000018,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000018,1,Role: Credential Phishing,,indicator--88f489a5-bca0-6080-c92c-2f50aa6890b0,"1/1/10000, 12:00:00 AM",B097B0B4F7BAA5FF15939E13713F85E03B1C1E86379AAC77FC39E67F88854F1B,Domain Name,TRUE,,,,,,,,,,,"[""threatID-320423""]",unknown,,,,,,,,,,,,,,,,,,,,www.henryerayenteaches.africa,,,,,,,,,,,,,https://sanitidom.com/tu/,,,ThreatIntelligenceIndicator
2f6ff951-1800-43fd-b53b-00000000019,"6/27/2023, 7:31:19 AM",Cofense Intelligence,alert,,,,2f6ff951-1800-43fd-b53b-00000000019,30,Role: Location from which a payload is obtained,,indicator--838e8b72-838a-2790-c0ff-60119ab7beb3,"1/1/10000, 12:00:00 AM",5D8DE1B303F135F62E167F6A731D8599E20DD8C6B0B73DF035551480C9FC8D54,File,TRUE,,,,,,,,,,,"[""threatID-324696""]",unknown,,,,,,,,,,,,,,,,,,,,www.sustainalistapothecary.com/322429,,,,,,,,,,,,,http://www.myjbtest.net/he2a/,,,ThreatIntelligenceIndicator
