TenantId,SourceSystem,TimeGenerated [Local Time],ReceiptTime,DeviceVendor,DeviceProduct,DeviceEventClassID,LogSeverity,OriginalLogSeverity,DeviceAction,SimplifiedDeviceAction,Computer,CommunicationDirection,DeviceFacility,DestinationPort,DestinationIP,DeviceAddress,DeviceName,Message,Protocol,SourcePort,SourceIP,RemoteIP,RemotePort,MaliciousIP,ThreatSeverity,IndicatorThreatType,ThreatDescription,ThreatConfidence,ReportReferenceLink,MaliciousIPLongitude,MaliciousIPLatitude,MaliciousIPCountry,DeviceVersion,Activity,ApplicationProtocol,EventCount,DestinationDnsDomain,DestinationServiceName,DestinationTranslatedAddress,DestinationTranslatedPort,DeviceDnsDomain,DeviceExternalID,DeviceInboundInterface,DeviceNtDomain,DeviceOutboundInterface,DevicePayloadId,ProcessName,DeviceTranslatedAddress,DestinationHostName,DestinationMACAddress,DestinationNTDomain,DestinationProcessId,DestinationUserPrivileges,DestinationProcessName,DeviceTimeZone,DestinationUserID,DestinationUserName,DeviceMacAddress,ProcessID,EndTime [Local Time],ExternalID,FileCreateTime,FileHash,FileID,FileModificationTime,FilePermission,FileType,FileName,FileSize,ReceivedBytes,OldFileCreateTime,OldFileHash,OldFileID,OldFileModificationTime,OldFileName,OldFilePath,OldFilePermission,OldFileSize,OldFileType,SentBytes,RequestClientApplication,RequestContext,RequestCookies,RequestMethod,SourceMACAddress,SourceNTDomain,SourceDnsDomain,SourceServiceName,SourceTranslatedAddress,SourceTranslatedPort,SourceProcessId,SourceUserPrivileges,SourceProcessName,StartTime [Local Time],SourceUserID,EventType,DeviceCustomIPv6Address1,DeviceCustomIPv6Address1Label,DeviceCustomIPv6Address2,DeviceCustomIPv6Address2Label,DeviceCustomIPv6Address3,DeviceCustomIPv6Address3Label,DeviceCustomIPv6Address4,DeviceCustomIPv6Address4Label,DeviceCustomFloatingPoint1,DeviceCustomFloatingPoint1Label,DeviceCustomFloatingPoint2,DeviceCustomFloatingPoint2Label,DeviceCustomFloatingPoint3,DeviceCustomFloatingPoint3Label,DeviceCustomFloatingPoint4,DeviceCustomFloatingPoint4Label,DeviceCustomNumber1,DeviceCustomNumber1Label,DeviceCustomNumber2,DeviceCustomNumber2Label,DeviceCustomNumber3,DeviceCustomNumber3Label,DeviceCustomString1,DeviceCustomString1Label,DeviceCustomString2,DeviceCustomString2Label,DeviceCustomString3,DeviceCustomString3Label,DeviceCustomString4,DeviceCustomString4Label,DeviceCustomString5,DeviceCustomString5Label,DeviceCustomString6,DeviceCustomString6Label,DeviceCustomDate1,DeviceCustomDate1Label,DeviceCustomDate2,DeviceCustomDate2Label,FlexDate1,FlexDate1Label,FlexNumber1,FlexNumber1Label,FlexNumber2,FlexNumber2Label,FlexString1,FlexString1Label,FlexString2,FlexString2Label,Type
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/7/2022, 2:23:36.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,9,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (Acrobat.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10596,,2328cfd7cc1b81166c7f009344623d590ce133c893d1a4578c1db38e2f2560ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explorer.exe,Initiated by,C:\\WINDOWS\\Explorer.EXE,Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 11:49:11.000 AM",,Palo Alto Networks,Cortex XDR,XDR Agent,8,,Detected (Reported),Detected (Reported),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,WildFire Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,10635,,1324FCF650F537F745C04EAEDAEFD6BB054F6D42AB5656EE708823AAF3EAD54D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notepad.exe,Initiated by,"""C:\\Users\\anonymous9396\\Desktop\\notepad.exe""",Initiator CMD,SIGNATURE_UNAVAILABLE-None,Signature,,CGO name,,CGO CMD,SIGNATURE_UNAVAILABLE-None,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 11:55:11.000 AM",,Palo Alto Networks,Cortex XDR,XDR Agent,8,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,WildFire Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,10636,,1324FCF650F537F745C04EAEDAEFD6BB054F6D42AB5656EE708823AAF3EAD54D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,notepad.exe,Initiated by,"""C:\\Users\\anonymous9396\\Desktop\\notepad.exe""",Initiator CMD,SIGNATURE_INVALID-None,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 12:04:41.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Initiated by,,Initiator CMD,SIGNATURE_UNAVAILABLE-None,Signature,firefox.exe,CGO name,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 12:04:42.000 PM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10638,,35d0ac46fbb4c1a4dd6999e822911fc1c46bcb1278c6b754313df00dfed21f99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 3:07:42.000 PM",,Palo Alto Networks,Cortex XDR,XDR Agent,8,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,WildFire Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,10640,,FE6B59E2E848662383D12D875D658C5DE520AC2B571834BAB7E6D1256E3C61B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SamsungMagician.exe,Initiated by,"""C:\\Program Files (x86)\\Samsung\\Samsung Magician\\SamsungMagician.exe"" /AUTOHIDE",Initiator CMD,"SIGNATURE_SIGNED-Samsung Electronics Co., Ltd.",Signature,svchost.exe,CGO name,C:\\WINDOWS\\system32\\svchost.exe -k netsvcs -p -s Schedule,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 3:13:12.000 PM",,Palo Alto Networks,Cortex XDR,XDR Agent,8,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,WildFire Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,10650,,C58E21DF16863050DF986CBD01A06BE02264E970D4F522F4B96100FA5C87CFA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GameBar.exe,Initiated by,"""C:\\Program Files\\WindowsApps\\Microsoft.XboxGamingOverlay_5.722.3302.0_x64__8wekyb3d8bbwe\\GameBar.exe"" -ServerName:App.AppXbdkk0yrkwpcgeaem8zk81k8py1eaahny.mca",Initiator CMD,SIGNATURE_UNAVAILABLE-None,Signature,sihost.exe,CGO name,sihost.exe,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/12/2022, 3:13:13.000 PM",,Palo Alto Networks,Cortex XDR,XDR Agent,8,,Prevented (Blocked),Prevented (Blocked),cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,WildFire Malware,,,,,,,,,,,,,,,,,,,,,,,,,,,10651,,C58E21DF16863050DF986CBD01A06BE02264E970D4F522F4B96100FA5C87CFA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GameBar.exe,Initiated by,"""C:\\Program Files\\WindowsApps\\Microsoft.XboxGamingOverlay_5.722.3302.0_x64__8wekyb3d8bbwe\\GameBar.exe"" -ServerName:App.AppXbdkk0yrkwpcgeaem8zk81k8py1eaahny.mca",Initiator CMD,SIGNATURE_UNAVAILABLE-None,Signature,sihost.exe,CGO name,sihost.exe,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/10/2022, 11:44:06.000 AM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10624,,35d0ac46fbb4c1a4dd6999e822911fc1c46bcb1278c6b754313df00dfed21f99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/4/2022, 9:42:06.000 AM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10282,,ea9792f93b4b41383c5845d7c2d0f0ad09dcb33f933916357811d9230c8af413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,explorer.exe,Initiated by,C:\\WINDOWS\\Explorer.EXE,Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,explorer.exe,CGO name,C:\\WINDOWS\\Explorer.EXE,CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/4/2022, 10:02:35.000 AM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10285,,4883c4def1bf06dd804bbfee3afb2c7d4ee2040a39ae1ca9f35f996e01a6a7ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OUTLOOK.EXE,Initiated by,"""C:\\Program Files\\Microsoft Office\\root\\Office16\\OUTLOOK.EXE""",Initiator CMD,SIGNATURE_SIGNED-Microsoft Corporation,Signature,OUTLOOK.EXE,CGO name,"""C:\\Program Files\\Microsoft Office\\root\\Office16\\OUTLOOK.EXE""",CGO CMD,SIGNATURE_SIGNED-Microsoft Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
2d122424-xxxxxxxxxxx-xxxx-xxxxxxxx788xxx,OpsManager,"4/4/2022, 10:02:36.000 AM",,Palo Alto Networks,Cortex XDR,XDR IOC,8,,Detected,Detected,cortexxdr,,None,,,,,,,,,,,,,,,,,,,,Cortex XDR 3.2.0,IOC (firefox.exe),,,,,,,,,,,,,,,,,,,,,,,,,,,10284,,79521a82ef42bae4c17f6a0ece83693592989ce511714dd9b0fb2b3d6b21b08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,firefox.exe,Initiated by,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -osint -url ""https://ind01.safelinks.protection.outlook.com/?url\=https%3A%2F%2Fin-f.co%2Fp8j_Asgf_4Q&data\=04%7C01%7Cyogesh.khandge%40inspiraenterprise.com%7Ce67078f56e3e4bedf87d08da15e9428e%7C714b18ad29e84936b513cff7177cf64c%7C1%7C0%7C637846388834647010%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata\=0dHkEse6OmsJTGN29lGNtgjf1qibwinmcjpUCZ5s0%2BM%3D&reserved\=0""",Initiator CMD,SIGNATURE_SIGNED-Mozilla Corporation,Signature,firefox.exe,CGO name,"""C:\\Program Files (x86)\\Mozilla Firefox\\firefox.exe"" -osint -url ""https://ind01.safelinks.protection.outlook.com/?url\=https%3A%2F%2Fin-f.co%2Fp8j_Asgf_4Q&data\=04%7C01%7Cyogesh.khandge%40inspiraenterprise.com%7Ce67078f56e3e4bedf87d08da15e9428e%7C714b18ad29e84936b513cff7177cf64c%7C1%7C0%7C637846388834647010%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000&sdata\=0dHkEse6OmsJTGN29lGNtgjf1qibwinmcjpUCZ5s0%2BM%3D&reserved\=0""",CGO CMD,SIGNATURE_SIGNED-Mozilla Corporation,CGO Signature,,,,,,,,,,,,,,,CommonSecurityLog
