Activity	AdditionalExtensions	DeviceAction	DeviceCustomString1	DeviceCustomString1Label	DeviceCustomString2	DeviceCustomString2Label	DeviceEventClassID	DeviceVendor	LogSeverity	Message	SimplifiedDeviceAction	SourceHostName	SourceUserName	PersistenceTimestamp [UTC]	TimeGenerated [UTC]	TenantId	Type	_ResourceId
Manual Scanning event	details_profileName=tikhdm-tamper_no_dc;details_quarantineId=-619094204;details_alertType=riskware;details_alertSource=sp.evt.fixinf.alert;details_profileId=29250511;details_profileVersion=1615563545;details_filePath=C:\tmp\samples\f6.exe;details_name=Riskware:W32/F-Secure_testfile.A;details_hostIpAddress=192.168.79.132/24;details_fileScanningType=riskware;details_userName=DESKTOP-V94MVCO\tikhdm;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	quarantined	C:\tmp\samples\f6.exe	Infected object	Riskware:W32/F-Secure_testfile.A	Malware	manualScanning.quarantined	WithSecure	4	"Riskware:W32/F-Secure_testfile.A" was detected on accessing "f6.exe" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	DESKTOP-V94MVCO\tikhdm	2/15/2024, 1:19:35.926 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=uninstall;details_alertType=tamper_protection.uninstall.block;details_initiator=C:\Program Files\CCleaner\CCleaner64.exe;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_initiatorHash=sha1;details_command=msiexec.exe /X{CCFF4D01-D56D-4B52-8583-4D1923B617AC};details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	"CCleaner64.exe" was blocked from uninstalling the product	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DataGuard event	details_profileName=tikhdm-tamper;details_targetData=C:\Users\tikhdm\Documents\HELP.doc;details_profileId=19325830;details_profileVersion=1620202654;details_filePath=C:\tmp\ckdmckewcme.exe;details_name=Trojan:W32/CryptoRansomwareBehavior.B!DeepGuard;details_hostIpAddress=192.168.220.128/24;details_userName=DESKTOP-V94MVCO\tikhdm;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					dataGuard.blocked	WithSecure	4	DataGuard blocked access to "HELP.doc"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-V94MVCO\tikhdm	2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Manual Scanning event	details_profileName=TA_TEST_2;details_quarantineId=-125014214;details_alertType=file;details_alertSource=sp.evt.ods.alert;details_profileId=910739;details_profileVersion=1554102659;details_filePath=C:\Temp-Scan\eicar.com, C:\Windows\SysWOW64\eicar.com, C:\Windows\eicar.com, c:\eicar.com;details_name=EICAR_Test_File;details_fileScanningType=fileInfection;details_userName=GTN-WIN7\tadmin;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	quarantined	C:\Temp-Scan\eicar.com, C:\Windows\SysWOW64\eicar.com, C:\Windows\eicar.com, c:\eicar.com	Infected object	EICAR_Test_File	Malware	manualScanning.quarantined	WithSecure	4	"EICAR_Test_File" was detected on accessing "eicar.com" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	GTN-WIN7\tadmin	2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_profileName=ext-radzma2-company-2-profile;details_reason=BP_Illegal;details_process=microsoftedgecp.exe;details_alertType=online_safety.illegal_page.block;details_profileId=20453148;details_profileVersion=1591102700;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_url=hxxps://illegal.fstestdomain.com;details_accountName=antkma-sep-company	blocked					reputationBasedBrowsing.blocked	WithSecure	4	Webpage "hxxps://illegal.fstestdomain.com" was blocked due to reputation rated prohibited	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Application Control event	details_profileName=kimean-tests;details_parentReputation=0;details_targetPrevalence=0;details_alertType=application_control.file_access.block;details_profileVersion=1596189057;details_parentPath=C:\Windows\System32\notepad.exe;details_targetPath=C:\Users\gtn-user\protected_document.txt;details_userName=LAZARUS\gtn-user;details_clientTimestamp=1708003169000;details_profileId=18191988;details_targetSha1=0a0a9f2a6772942557ab5355d76af442f8f65e01;details_hostIpAddress=10.133.2.189/22;details_parentPrevalence=100;details_ruleName=file access test;details_targetReputation=101;details_ruleId=6b324d95-80e5-4929-8970-4f75740adbb8;details_ruleEvent=file_access;details_accountName=antkma-sep-company	blocked					applicationControl.blocked	WithSecure	4	Application Control blocked file_access of "C:\Users\gtn-user\protected_document.txt" based on rule "file access test"	blocked	NTBt3ZRBQ2i7F4d	LAZARUS\gtn-user	2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Manual Scanning event	details_profileName=TA_TEST_2;details_quarantineId=-125014214;details_creator=C:\Program Files\Far Manager\Far.exe;details_alertType=file;details_alertSource=sp.evt.fixinf.alert;details_profileVersion=1554102659;details_filePath=C:\Temp-Scan\eicar.com, C:\Windows\SysWOW64\eicar.com, C:\Windows\eicar.com, c:\eicar.com;details_subItem=C:\tmp\samples.7z\[1] samples.7z\[1] f11.exe;details_userName=GTN-WIN7\tadmin;details_clientTimestamp=1708003169000;details_creatorSha1=dc3e119de3c46c5913cbdc504827797bd633c610;details_profileId=910739;details_name=EICAR_Test_File;details_fileScanningType=fileInfection;details_accountName=antkma-sep-company	quarantined	C:\Temp-Scan\eicar.com, C:\Windows\SysWOW64\eicar.com, C:\Windows\eicar.com, c:\eicar.com	Infected object	EICAR_Test_File	Malware	manualScanning.quarantined	WithSecure	4	"EICAR_Test_File" was detected on accessing "eicar.com" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	GTN-WIN7\tadmin	2/15/2024, 1:19:35.927 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=registry;details_path=HKLM\Software\F-Secure;details_alertType=tamper_protection.registry.block;details_requestType=reg_delete_key;details_initiator=initiator_path;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	"initiator_path" was blocked from deleting a key at "HKLM\Software\F-Secure"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.928 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_profileName=kimean-tests;details_reason=WF_Denied;details_process=chrome.exe;details_alertType=online_safety.denied_page.block;details_profileId=18191988;details_profileVersion=1593756003;details_hostIpAddress=10.133.2.189/22;details_userName=DESKTOP-OSI09NE\gtn-user;details_clientTimestamp=1708003169000;details_url=denied.com;details_accountName=antkma-sep-company	blocked					browsingProtection.blocked	WithSecure	4	Webpage was blocked due to domain name being blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-OSI09NE\gtn-user	2/15/2024, 1:19:35.928 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_container=C:\tmp\samples.7z;details_quarantineId=-265365135;details_creator=C:\Program Files\Far Manager\Far.exe;details_alertType=file;details_created=1637844306;details_filePath=C:\tmp\samples.7z\[1] samples.7z\[1] f11.exe;details_subItem=[1] samples.7z\[1] f11.exe;details_reputation=150;details_userName=ta-uwosevgi;details_clientTimestamp=1708003169000;details_url=http://unrated.fstestdomain.com:80/test_samples/capricorn/ad2-test-nv0-mv80-0-with-overlay.exx;details_creatorSha1=dc3e119de3c46c5913cbdc504827797bd633c610;details_prevalence=40;details_accessOperation=open-read;details_accessorHash=aaaccf081725c91162a1cead2ecb0402af40c145;details_name=ta-Infection:W32/F-Secure_rolajozu.A;details_modified=1637844306;details_containerSha1=fffff19de3c46c5913cbdc504827797bd633c610;details_fileScanningType=fileInfection;details_containerMailbox=false;details_accessorPath=C:\Windows\explorer.exe;details_containerSize=65533;details_accountName=antkma-sep-company	disinfected	C:\tmp\samples.7z\[1] samples.7z\[1] f11.exe	Infected object	ta-Infection:W32/F-Secure_rolajozu.A	Malware	fileScanning.disinfected	WithSecure	4	"ta-Infection:W32/F-Secure_rolajozu.A" was detected on accessing "[1] f11.exe" and it was disinfected	disinfected	NTBt3ZRBQ2i7F4d	ta-uwosevgi	2/15/2024, 1:19:35.928 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_profileName=ext-radzma2-company-2-profile;details_reason=BP_Harmful;details_process=microsoftedgecp.exe;details_alertType=online_safety.harmful_page.block;details_profileId=20453148;details_profileVersion=1591102700;details_hostIpAddress=10.133.3.197/22;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_url=hxxps://malicious.fstestdomain.com;details_accountName=antkma-sep-company	blocked					reputationBasedBrowsing.blocked	WithSecure	4	Webpage "hxxps://malicious.fstestdomain.com" was blocked due to reputation rated harmful	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.935 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Content Control event	details_profileName=kimean-tests;details_reason=WF_Category;details_process=chrome.exe;details_alertType=online_safety.category_page.block;details_profileId=18191988;details_profileVersion=1594027281;details_hostIpAddress=10.133.2.189/22;details_categories=social_networking;details_userName=DESKTOP-OSI09NE\gtn-user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					webContentControl.blocked	WithSecure	4	Web content control blocked webpage due to category "social_networking" being disallowed	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-OSI09NE\gtn-user	2/15/2024, 1:19:35.935 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Real - time Scanning event	details_profileName=dejavu-sop-own-profile;details_alertType=memory;details_alertSource=sp.evt.oas.alert;details_profileId=6938825;details_profileVersion=1586336729;details_name=Testfile:W64/Memtest.A!Mem;details_userName=DESKTOP-5N2HPM3\Administrator;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	quarantined					realtimeScanning.quarantined	WithSecure	4	"Testfile:W64/Memtest.A!Mem" was detected on accessing "" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	DESKTOP-5N2HPM3\Administrator	2/15/2024, 1:19:35.936 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
DataGuard event	details_profileName=tikhdm-tamper;details_targetData=C:\Vault1\test.txt;details_alertType=access_control.file.block;details_vaultId=2;details_profileId=19325830;details_profileVersion=1636467049;details_filePath=C:\Windows\System32\notepad.exe;details_hostIpAddress=192.168.220.128/24;details_userName=DESKTOP-V94MVCO\tikhdm;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					dataGuard.blocked	WithSecure	4	DataGuard blocked access to "test.txt"	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-V94MVCO\tikhdm	2/15/2024, 1:19:35.936 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
File Scanning event	details_profileName=tikhdm-open;details_quarantineId=945389557;details_alertType=file;details_alertSource=sp.evt.oas.alert;details_created=1637844306;details_profileVersion=1637591578;details_filePath=C:\Users\tikhdm\Downloads\ad2-test-nv0-mv80-0-with-overlay.exe;details_scanOnClose=false;details_userName=TIKHDM-TESTVM\tikhdm;details_clientTimestamp=1708003169000;details_url=http://unrated.fstestdomain.com:80/test_samples/capricorn/ad2-test-nv0-mv80-0-with-overlay.exx;details_accessFlags=FILE_EXECUTE,FILE_LIST_DIRECTORY,FILE_READ_ATTRIBUTES,FILE_READ_DATA,FILE_READ_EA,FILE_TRAVERSE,READ_CONTROL,SYNCHRONIZE;details_sha1=48cd7f69188d03f3fb375cde8f6e0de330071fa7;details_accessOperation=open-read;details_size=30216;details_profileId=40402373;details_accessorHash=aaaccf081725c91162a1cead2ecb0402af40c145;details_name=TR/AD.TestFile.Y;details_hostIpAddress=192.168.220.128/24;details_modified=1637844306;details_fileScanningType=fileInfection;details_accessorPath=C:\Windows\explorer.exe;details_accountName=antkma-sep-company	quarantined	C:\Users\tikhdm\Downloads\ad2-test-nv0-mv80-0-with-overlay.exe	Infected object	TR/AD.TestFile.Y	Malware	fileScanning.quarantined	WithSecure	4	"TR/AD.TestFile.Y" was detected on accessing "ad2-test-nv0-mv80-0-with-overlay.exe" and it was quarantined	quarantined	NTBt3ZRBQ2i7F4d	TIKHDM-TESTVM\tikhdm	2/15/2024, 1:19:35.937 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Device Control event	details_appliedRule=USB Mass Storage Devices;details_alertType=device_control.device.blocked;details_userName=WIN-0EIO0V71FA8\Administrator;details_clientTimestamp=1708003169000;details_deviceId=PCI\VEN_8086&DEV_7020&SUBSYS_11001AF4&REV_01\3&13C0B0C5&0&0A;details_deviceName=Intel(R) 82371SB PCI to USB Universal Host Controller;details_accountName=antkma-sep-company	blocked					deviceControl.blocked	WithSecure	4	The device "Intel(R) 82371SB PCI to USB Universal Host Controller" was blocked based on the following rule: "USB Mass Storage Devices"	blocked	NTBt3ZRBQ2i7F4d	WIN-0EIO0V71FA8\Administrator	2/15/2024, 1:19:35.937 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_reason=BP_Harmful;details_alertType=online_safety.page.block;details_categories=alcoholAndTobacco,gambling;details_clientTimestamp=1708003169000;details_url=harmful.com;details_accountName=antkma-sep-company	blocked					browsingProtection.blocked	WithSecure	4	Action: "Blocked" Subject: "N/A"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.937 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
XFENCE event	details_processHash=1ee4abe7466df9e1ebdda00785490b89263be8c9a68f202fe2bba2aada973aa2;details_processTeamId=A9W4RHWN8P;details_alertType=xfence.blocked;details_processPath=/Users/test/Desktop/xfencetest;details_profileId=3756096;details_profileVersion=1518606300;details_parentPath=/bin/bash;details_targetPath=/Users/test/Desktop/.dat.nosync0b46.NUgzBZ;details_clientTimestamp=1708003169000;details_operation=write;details_accountName=antkma-sep-company	blocked					xFence.blocked	WithSecure	4	XFENCE blocked write access to "/Users/test/Desktop/.dat.nosync0b46.NUgzBZ"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_reason=BP_Harmful;details_alertType=online_safety.page.block;details_categories=alcoholAndTobacco,gambling;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					browsingProtection.blocked	WithSecure	4	Action: "Blocked" Subject: "N/A"	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Manual Scanning event	details_path=/root/eicar.com.malware;details_alertType=on_demand_scanner.spyware.delete;details_infectionName=EICAR_Test_File;details_fileScanningType=spyware;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	deleted	/root/eicar.com.malware	Infected object	EICAR_Test_File	Malware	manualScanning.deleted	WithSecure	4	"EICAR_Test_File" was detected on accessing "eicar.com.malware" and it was deleted	deleted	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Web Traffic Scanning event	details_profileName=ext-radzma2-company-2-profile;details_computerName=DESKTOP-UCETTHQ;details_websiteUrl=hxxp://www.gtn/test_samples/ransomware/r3testsample.exe;details_profileId=20453148;details_profileVersion=1590476237;details_filePath=\\?\C:\windows\systemapps\microsoft.microsoftedge_8wekyb3d8bbwe\microsoftedgecp.exe;details_name=hxxp://www.gtn/test_samples/ransomware/r3testsample.exe;details_userName=DESKTOP-UCETTHQ\gtn-user;details_clientTimestamp=1708003169000;details_userPrincipalName=gtn-user@domain.com;details_accountName=antkma-sep-company	blocked	hxxp://www.gtn/test_samples/ransomware/r3testsample.exe	Infected object	microsoftedgecp.exe	Malware	webTrafficScanning.blocked	WithSecure	4	The malicious web page "hxxp://www.gtn/test_samples/ransomware/r3testsample.exe" accessed by "microsoftedgecp.exe" was blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-UCETTHQ\gtn-user	2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Browsing Protection event	details_profileName=kimean-tests;details_reason=WF_Denied;details_process=chrome.exe;details_alertType=online_safety.denied_page.block;details_profileId=18191988;details_profileVersion=1593756003;details_hostIpAddress=10.133.2.189/22;details_userName=DESKTOP-OSI09NE\gtn-user;details_clientTimestamp=1708003169000;details_accountName=antkma-sep-company	blocked					browsingProtection.blocked	WithSecure	4	Webpage was blocked due to domain name being blocked	blocked	NTBt3ZRBQ2i7F4d	DESKTOP-OSI09NE\gtn-user	2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Application Control event	details_profileName=kimean-tests;details_alertType=application_control.installation_start.block;details_profileVersion=1596189057;details_installerPath=C:\Users\name\AppData\Local\Temp\Temp1_B-RISK-2019-03 (1).zip\setup.msi;details_targetPath=C:\Windows\System32\msiexec.exe;details_userName=LAZARUS\gtn-user;details_clientTimestamp=1708003169000;details_installerSubject=Test MSI;details_profileId=18191988;details_targetSha1=5d6102f5a170e982c7735bfc2b9c1a0a0d435fd1;details_hostIpAddress=10.133.2.189/22;details_ruleName=Default block rule;details_ruleId=00000000000000000000000000000000;details_ruleEvent=installation_start;details_accountName=antkma-sep-company	blocked					applicationControl.blocked	WithSecure	4	Application Control blocked installation_start of "C:\Windows\System32\msiexec.exe" based on rule "Default block rule"	blocked	NTBt3ZRBQ2i7F4d	LAZARUS\gtn-user	2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
Tamper Protection event	details_actionType=service;details_alertType=tamper_protection.service.block;details_initiatorSignerName=Microsoft Windows;details_service=fshoster;details_initiator=initiator_path;details_initiatorCertificateHash=c6857c85920cd149a3d709a5a5a33161782e2cca73d2eefcc29dce2a6eeff8df;details_ipAddress=192.168.12.33/8;details_clientTimestamp=1708003169000;details_initiatorHash=da0edfbdbffaaaca65326ee337bed0ddc8443aa7;details_command=net stop fshoster;details_accountName=antkma-sep-company	blocked					tamperProtection.blocked	WithSecure	4	Service "fshoster" was blocked from stop	blocked	NTBt3ZRBQ2i7F4d		2/15/2024, 1:19:35.938 PM	2/15/2024, 1:37:37.517 PM	ed3e4895-b351-43cc-be22-ef289ce865b3	WsSecurityEvents_CL	
