2022-05-18 11:50:50.361 event=audit-configuration-change; audit-enabled; success=true; user=senitized@senitized; roles=admin;
2022-07-04 00:03:00.248 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918180/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:04:00.044 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918240/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:04:00.063 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918240/host-raw.xml; database=Meters; success=true;
2022-07-04 00:04:00.066 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918240/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:04:00.081 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918240/server-raw.xml; database=Meters; success=true;
2022-07-04 00:05:00.093 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918300/host-raw.xml; database=Meters; success=true;
2022-07-04 00:05:00.098 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918300/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:05:00.114 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918300/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:05:00.129 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918300/server-raw.xml; database=Meters; success=true;
2022-07-04 00:06:00.032 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918360/server-raw.xml; database=Meters; success=true;
2022-07-04 00:06:00.038 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918360/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:06:00.055 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918360/host-raw.xml; database=Meters; success=true;
2022-07-04 00:06:00.060 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918360/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:07:00.260 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:07:00.279 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:07:00.283 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:07:00.298 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:07:00.315 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918420/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:07:00.332 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:07:00.348 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918420/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:07:00.363 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:07:00.367 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:07:00.371 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918420/host-raw.xml; database=Meters; success=true;
2022-07-04 00:07:00.373 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918420/server-raw.xml; database=Meters; success=true;
2022-07-04 00:07:00.377 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:08:00.209 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918480/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:08:00.228 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918480/host-raw.xml; database=Meters; success=true;
2022-07-04 00:08:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918480/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:08:00.247 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918480/server-raw.xml; database=Meters; success=true;
2022-07-04 00:09:00.173 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918540/host-raw.xml; database=Meters; success=true;
2022-07-04 00:09:00.179 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918540/server-raw.xml; database=Meters; success=true;
2022-07-04 00:09:00.182 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918540/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:09:00.199 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918540/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:10:00.210 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918600/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:10:00.229 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918600/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:10:00.244 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918600/server-raw.xml; database=Meters; success=true;
2022-07-04 00:10:00.248 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918600/host-raw.xml; database=Meters; success=true;
2022-07-04 00:11:00.242 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918660/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:11:00.260 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918660/server-raw.xml; database=Meters; success=true;
2022-07-04 00:11:00.263 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918660/host-raw.xml; database=Meters; success=true;
2022-07-04 00:11:00.266 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918660/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:12:00.040 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918720/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:12:00.057 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918720/host-raw.xml; database=Meters; success=true;
2022-07-04 00:12:00.060 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918720/server-raw.xml; database=Meters; success=true;
2022-07-04 00:12:00.064 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918720/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:13:00.284 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:13:00.307 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:13:00.310 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918780/server-raw.xml; database=Meters; success=true;
2022-07-04 00:13:00.313 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918780/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:13:00.329 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:13:00.344 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918780/host-raw.xml; database=Meters; success=true;
2022-07-04 00:13:00.347 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:13:00.364 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:13:00.380 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918780/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:13:00.396 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:13:00.400 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:13:00.404 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:14:00.123 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918840/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:14:00.141 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918840/server-raw.xml; database=Meters; success=true;
2022-07-04 00:14:00.145 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918840/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:14:00.161 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918840/host-raw.xml; database=Meters; success=true;
2022-07-04 00:15:00.224 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918900/server-raw.xml; database=Meters; success=true;
2022-07-04 00:15:00.233 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918900/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:15:00.250 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918900/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:15:00.266 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918900/host-raw.xml; database=Meters; success=true;
2022-07-04 00:16:00.207 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918960/server-raw.xml; database=Meters; success=true;
2022-07-04 00:16:00.213 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918960/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:16:00.229 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918960/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:16:00.244 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918960/host-raw.xml; database=Meters; success=true;
2022-07-04 00:17:00.069 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919020/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:17:00.087 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919020/server-raw.xml; database=Meters; success=true;
2022-07-04 00:17:00.091 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919020/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:17:00.111 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919020/host-raw.xml; database=Meters; success=true;
2022-07-04 00:18:00.093 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919080/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:18:00.111 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919080/host-raw.xml; database=Meters; success=true;
2022-07-04 00:18:00.114 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919080/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:18:00.130 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919080/server-raw.xml; database=Meters; success=true;
2022-07-04 00:19:00.078 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919140/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:19:00.097 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:19:00.100 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:19:00.117 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:19:00.136 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919140/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:19:00.151 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919140/host-raw.xml; database=Meters; success=true;
2022-07-04 00:19:00.154 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:19:00.170 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:19:00.174 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:19:00.178 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919140/server-raw.xml; database=Meters; success=true;
2022-07-04 00:19:00.181 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:19:00.185 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:20:00.255 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919200/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:20:00.274 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919200/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:20:00.289 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919200/server-raw.xml; database=Meters; success=true;
2022-07-04 00:20:00.292 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919200/host-raw.xml; database=Meters; success=true;
2022-07-04 00:21:00.188 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919260/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:21:00.206 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919260/server-raw.xml; database=Meters; success=true;
2022-07-04 00:21:00.210 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919260/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:21:00.225 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919260/host-raw.xml; database=Meters; success=true;
2022-07-04 00:22:00.041 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919320/server-raw.xml; database=Meters; success=true;
2022-07-04 00:22:00.046 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919320/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:22:00.063 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919320/host-raw.xml; database=Meters; success=true;
2022-07-04 00:22:00.066 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919320/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:23:00.106 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919380/host-raw.xml; database=Meters; success=true;
2022-07-04 00:23:00.112 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919380/server-raw.xml; database=Meters; success=true;
2022-07-04 00:23:00.115 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919380/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:23:00.132 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919380/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:24:00.150 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:24:00.171 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:24:00.175 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919440/server-raw.xml; database=Meters; success=true;
2022-07-04 00:24:00.180 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919440/host-raw.xml; database=Meters; success=true;
2022-07-04 00:24:00.182 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:24:00.198 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:24:00.215 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:24:00.231 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919440/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:24:00.249 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:24:00.254 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:24:00.259 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:24:00.263 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919440/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:25:00.050 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919500/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:25:00.071 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919500/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:25:00.088 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919500/host-raw.xml; database=Meters; success=true;
2022-07-04 00:25:00.091 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919500/server-raw.xml; database=Meters; success=true;
2022-07-04 00:26:00.233 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919560/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:26:00.251 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919560/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:26:00.268 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919560/server-raw.xml; database=Meters; success=true;
2022-07-04 00:26:00.272 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919560/host-raw.xml; database=Meters; success=true;
2022-07-04 00:27:00.206 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919620/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:27:00.225 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919620/host-raw.xml; database=Meters; success=true;
2022-07-04 00:27:00.228 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919620/server-raw.xml; database=Meters; success=true;
2022-07-04 00:27:00.232 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919620/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:28:00.118 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919680/server-raw.xml; database=Meters; success=true;
2022-07-04 00:28:00.124 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919680/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:28:00.139 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919680/host-raw.xml; database=Meters; success=true;
2022-07-04 00:28:00.142 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919680/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:29:00.165 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-day.xml; database=Meters; success=true;
2022-07-04 00:29:00.171 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919740/host-raw.xml; database=Meters; success=true;
2022-07-04 00:29:00.174 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-day.xml; database=Meters; success=true;
2022-07-04 00:29:00.190 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-day.xml; database=Meters; success=true;
2022-07-04 00:29:00.207 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/forest-hour.xml; database=Meters; success=true;
2022-07-04 00:29:00.224 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919740/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:29:00.241 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919740/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:29:00.257 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919740/server-raw.xml; database=Meters; success=true;
2022-07-04 00:29:00.261 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-day.xml; database=Meters; success=true;
2022-07-04 00:29:00.265 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/server-hour.xml; database=Meters; success=true;
2022-07-04 00:29:00.268 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/host-hour.xml; database=Meters; success=true;
2022-07-04 00:29:00.272 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656918060/databases-hour.xml; database=Meters; success=true;
2022-07-04 00:30:00.129 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919800/host-raw.xml; database=Meters; success=true;
2022-07-04 00:30:00.134 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919800/server-raw.xml; database=Meters; success=true;
2022-07-04 00:30:00.138 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919800/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:30:00.154 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919800/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:31:00.033 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919860/host-raw.xml; database=Meters; success=true;
2022-07-04 00:31:00.038 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919860/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:31:00.055 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919860/server-raw.xml; database=Meters; success=true;
2022-07-04 00:31:00.059 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919860/forest-raw.xml; database=Meters; success=true;
2022-07-04 00:32:00.159 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919920/databases-raw.xml; database=Meters; success=true;
2022-07-04 00:32:00.178 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919920/server-raw.xml; database=Meters; success=true;
2022-07-04 00:32:00.182 event=document-insert; type=insert; uri=/11722862357710891600/10299693159587595206/1656919920/forest-raw.xml; database=Meters; success=true;
