OperationName,Level,ActivityStatus,ActivitySubstatus,ResourceGroup,SubscriptionId,CorrelationId,Caller,CallerIpAddress,Category,HTTPRequest,Properties,EventSubmissionTimestamp [UTC],Authorization,ResourceId,OperationId,ResourceProvider,Resource,EventDataId,TimeGenerated [UTC]
Create or Update Application Gateway WAF Policy,Informational,Accepted,Created (HTTP Status Code: 201),camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,e2b3b58a-c83e-447f-8628-6d86831b75b0,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""44cea563-d278-4afc-9388-547b67a90dcd"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""PUT""
}","{
  ""statusCode"": ""Created"",
  ""serviceRequestId"": ""6c142d27-22ea-4ee0-a7c8-7625bff32817"",
  ""responseBody"": ""{\""name\"":\""camila-waf-appgw\"",\""id\"":\""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Network/ApplicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw\"",\""etag\"":\""W/\\\""87734c5e-23b3-4614-8874-d0412dc039ff\\\""\"",\""type\"":\""Microsoft.Network/ApplicationGatewayWebApplicationFirewallPolicies\"",\""location\"":\""eastus\"",\""tags\"":{\""createddate\"":\""04/14/2021\"",\""owner\"":\""cammart\""},\""properties\"":{\""provisioningState\"":\""Updating\"",\""customRules\"":[],\""policySettings\"":{\""requestBodyCheck\"":true,\""maxRequestBodySizeInKb\"":128,\""fileUploadLimitInMb\"":100,\""state\"":\""Enabled\"",\""mode\"":\""Detection\""},\""managedRules\"":{\""managedRuleSets\"":[{\""ruleSetType\"":\""OWASP\"",\""ruleSetVersion\"":\""3.1\"",\""ruleGroupOverrides\"":[]}],\""exclusions\"":[]}}}"",
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw"",
  ""message"": ""Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:24.138 PM","{
  ""action"": ""Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw,0aaa0438-8175-4f6a-9d2b-8238e4399132,Microsoft.Network,camila-waf-appgw,2232cfeb-9f03-48cb-8fb7-7ad0b9c0cfb4,"4/26/2021, 5:27:03.850 PM"
Delete Virtual Network,Informational,Succeeded,,camila-appgw2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,fde7daa6-8382-4c76-9842-155826e44a1e,cammart@buildseccxpninja.onmicrosoft.com,,Administrative,,"{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw2/providers/Microsoft.Network/virtualNetworks/VN-SPOKE2"",
  ""message"": ""Microsoft.Network/virtualNetworks/delete"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:29:16.151 PM","{
  ""action"": ""Microsoft.Resources/subscriptions/resourceGroups/delete"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila-appgw2""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw2/providers/Microsoft.Network/virtualNetworks/VN-SPOKE2,3839a7e5-bd9c-4369-b066-41ca4476f689,Microsoft.Network,VN-SPOKE2,2ade42fc-7974-4b73-af01-ffe5c9846ae0,"4/26/2021, 5:27:02.753 PM"
Delete Network Interface,Informational,Succeeded,,camila-appgw1,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,8c0ebf61-3343-4b67-8d4c-42308f1712c3,cammart@buildseccxpninja.onmicrosoft.com,,Administrative,,"{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw1/providers/Microsoft.Network/networkInterfaces/Nic1"",
  ""message"": ""Microsoft.Network/networkInterfaces/delete"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:23.139 PM","{
  ""action"": ""Microsoft.Resources/subscriptions/resourceGroups/delete"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila-appgw1""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw1/providers/Microsoft.Network/networkInterfaces/Nic1,f3dc6c7a-85ed-48f9-b519-891cb6258c3a,Microsoft.Network,Nic1,00cd6386-be52-42dd-929e-78a5a01026c9,"4/26/2021, 5:27:02.597 PM"
Microsoft.Authorization/policies/modify/action,Informational,Succeeded,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,e2b3b58a-c83e-447f-8628-6d86831b75b0,cammart@buildseccxpninja.onmicrosoft.com,,Policy,,"{
  ""isComplianceCheck"": ""False"",
  ""resourceLocation"": ""eastus"",
  ""ancestors"": ""ContosoBuildMG,5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b"",
  ""policies"": ""[{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/8cdb58d6ced947079bd63c71/\"",\""policyAssignmentName\"":\""8cdb58d6ced947079bd63c71\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""createddate\""}},\""policyExemptionIds\"":[]},{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/30662a5cc3524fc78a2e178d/\"",\""policyAssignmentName\"":\""30662a5cc3524fc78a2e178d\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""owner\""}},\""policyExemptionIds\"":[]}]"",
  ""fields"": ""[{\""operation\"":\""Add\"",\""field\"":\""tags[createddate]\"",\""value\"":\""04/14/2021\""},{\""operation\"":\""Add\"",\""field\"":\""tags[owner]\"",\""value\"":\""cammart\""}]"",
  ""skippedFields"": ""[]"",
  ""conflictingFields"": """",
  ""eventCategory"": ""Policy"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw"",
  ""message"": ""Microsoft.Authorization/policies/modify/action"",
  ""hierarchy"": """"
}","4/26/2021, 5:28:24.138 PM","{
  ""action"": ""Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw,0aaa0438-8175-4f6a-9d2b-8238e4399132,Microsoft.Network,camila-waf-appgw,9352fa03-b136-4ad5-bb19-fa891939571c,"4/26/2021, 5:27:02.520 PM"
Delete Virtual Network,Informational,Succeeded,,camila-appgw2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,fde7daa6-8382-4c76-9842-155826e44a1e,cammart@buildseccxpninja.onmicrosoft.com,,Administrative,,"{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw2/providers/Microsoft.Network/virtualNetworks/VN-SPOKE1"",
  ""message"": ""Microsoft.Network/virtualNetworks/delete"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:23.139 PM","{
  ""action"": ""Microsoft.Resources/subscriptions/resourceGroups/delete"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila-appgw2""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila-appgw2/providers/Microsoft.Network/virtualNetworks/VN-SPOKE1,f14f0c97-b5ee-46ff-9ba3-01c312f81793,Microsoft.Network,VN-SPOKE1,a97da055-9893-440b-8d0c-05ebe3d3a989,"4/26/2021, 5:27:02.482 PM"
Create or Update Application Gateway WAF Policy,Informational,Started,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,e2b3b58a-c83e-447f-8628-6d86831b75b0,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""44cea563-d278-4afc-9388-547b67a90dcd"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""PUT""
}","{
  ""requestbody"": ""{\""location\"":\""eastus\"",\""tags\"":{},\""properties\"":{\""customRules\"":[],\""policySettings\"":{\""fileUploadLimitInMb\"":100,\""maxRequestBodySizeInKb\"":128,\""mode\"":\""Detection\"",\""requestBodyCheck\"":true,\""state\"":\""Enabled\""},\""managedRules\"":{\""exclusions\"":[],\""managedRuleSets\"":[{\""ruleSetType\"":\""OWASP\"",\""ruleSetVersion\"":\""3.1\"",\""ruleGroupOverrides\"":[]}]}}}"",
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw"",
  ""message"": ""Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:24.138 PM","{
  ""action"": ""Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourcegroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw,0aaa0438-8175-4f6a-9d2b-8238e4399132,Microsoft.Network,camila-waf-appgw,e7677c15-9b57-49b0-8673-0a749d438ed7,"4/26/2021, 5:27:02.320 PM"
Create Deployment,Informational,Accepted,Created (HTTP Status Code: 201),camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,e2b3b58a-c83e-447f-8628-6d86831b75b0,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba9135011"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""PUT""
}","{
  ""statusCode"": ""Created"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:38.134 PM","{
  ""action"": ""Microsoft.Resources/deployments/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,f6c8ad8f-8cad-42d8-9c27-f1a22a7cf198,Microsoft Resources,Microsoft.WafPolicy-20210426132608,61c07bd2-64ef-43c9-a87e-ec3af0132c6b,"4/26/2021, 5:27:01.785 PM"
Create Deployment,Informational,Started,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,e2b3b58a-c83e-447f-8628-6d86831b75b0,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba9135011"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""PUT""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/write"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:28:38.133 PM","{
  ""action"": ""Microsoft.Resources/deployments/write"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,f6c8ad8f-8cad-42d8-9c27-f1a22a7cf198,Microsoft Resources,Microsoft.WafPolicy-20210426132608,5d3fb60d-41a9-4a37-903f-64cb02955bf7,"4/26/2021, 5:27:01.105 PM"
Validate Deployment,Informational,Succeeded,OK (HTTP Status Code: 200),camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,ac6f5d82-dc07-44cc-88be-48f277088aa9,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba9135010"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""POST""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/validate/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:29:03.161 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,33e7faf0-c130-4338-b3bb-7b3e8a44a751,Microsoft Resources,Microsoft.WafPolicy-20210426132608,b0bd404c-1658-415e-9376-a6081ea6cfa0,"4/26/2021, 5:27:00.982 PM"
Microsoft.Authorization/policies/modify/action,Informational,Succeeded,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,ac6f5d82-dc07-44cc-88be-48f277088aa9,cammart@buildseccxpninja.onmicrosoft.com,,Policy,,"{
  ""isComplianceCheck"": ""False"",
  ""resourceLocation"": ""eastus"",
  ""ancestors"": ""ContosoBuildMG,5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b"",
  ""policies"": ""[{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/8cdb58d6ced947079bd63c71/\"",\""policyAssignmentName\"":\""8cdb58d6ced947079bd63c71\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""createddate\""}},\""policyExemptionIds\"":[]},{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/30662a5cc3524fc78a2e178d/\"",\""policyAssignmentName\"":\""30662a5cc3524fc78a2e178d\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""owner\""}},\""policyExemptionIds\"":[]}]"",
  ""fields"": ""[{\""operation\"":\""Add\"",\""field\"":\""tags[createddate]\"",\""value\"":\""04/14/2021\""},{\""operation\"":\""Add\"",\""field\"":\""tags[owner]\"",\""value\"":\""cammart\""}]"",
  ""skippedFields"": ""[]"",
  ""conflictingFields"": """",
  ""eventCategory"": ""Policy"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw"",
  ""message"": ""Microsoft.Authorization/policies/modify/action"",
  ""hierarchy"": """"
}","4/26/2021, 5:29:03.161 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw,33e7faf0-c130-4338-b3bb-7b3e8a44a751,Microsoft.Network,camila-waf-appgw,d32fc411-18e5-4382-a517-9964364383da,"4/26/2021, 5:27:00.892 PM"
Validate Deployment,Informational,Started,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,ac6f5d82-dc07-44cc-88be-48f277088aa9,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba9135010"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""POST""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/validate/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:29:03.161 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,33e7faf0-c130-4338-b3bb-7b3e8a44a751,Microsoft Resources,Microsoft.WafPolicy-20210426132608,37aa3d98-9455-488b-918b-757a25a0e898,"4/26/2021, 5:27:00.532 PM"
Validate Deployment,Informational,Succeeded,OK (HTTP Status Code: 200),camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,6d958fe2-1b0b-4a3c-a216-93c18a95f6cc,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba913500d"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""POST""
}","{
  ""statusCode"": ""OK"",
  ""serviceRequestId"": null,
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/validate/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:27:38.130 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,2842e2f9-28ca-47d9-acf9-2fbe78bdd1f8,Microsoft Resources,Microsoft.WafPolicy-20210426132608,20ff2eb3-3d93-4419-b90c-769bfbff4c0e,"4/26/2021, 5:26:57.920 PM"
Microsoft.Authorization/policies/modify/action,Informational,Succeeded,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,6d958fe2-1b0b-4a3c-a216-93c18a95f6cc,cammart@buildseccxpninja.onmicrosoft.com,,Policy,,"{
  ""isComplianceCheck"": ""False"",
  ""resourceLocation"": ""eastus"",
  ""ancestors"": ""ContosoBuildMG,5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b"",
  ""policies"": ""[{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/8cdb58d6ced947079bd63c71/\"",\""policyAssignmentName\"":\""8cdb58d6ced947079bd63c71\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""createddate\""}},\""policyExemptionIds\"":[]},{\""policyDefinitionId\"":\""/providers/Microsoft.Authorization/policyDefinitions/ea3f2387-9b95-492a-a190-fcdc54f7b070/\"",\""policyDefinitionName\"":\""ea3f2387-9b95-492a-a190-fcdc54f7b070\"",\""policyDefinitionEffect\"":\""modify\"",\""policyAssignmentId\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG/providers/Microsoft.Authorization/policyAssignments/30662a5cc3524fc78a2e178d/\"",\""policyAssignmentName\"":\""30662a5cc3524fc78a2e178d\"",\""policyAssignmentScope\"":\""/providers/Microsoft.Management/managementGroups/ContosoBuildMG\"",\""policyAssignmentParameters\"":{\""tagName\"":{\""value\"":\""owner\""}},\""policyExemptionIds\"":[]}]"",
  ""fields"": ""[{\""operation\"":\""Add\"",\""field\"":\""tags[createddate]\"",\""value\"":\""04/14/2021\""},{\""operation\"":\""Add\"",\""field\"":\""tags[owner]\"",\""value\"":\""cammart\""}]"",
  ""skippedFields"": ""[]"",
  ""conflictingFields"": """",
  ""eventCategory"": ""Policy"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw"",
  ""message"": ""Microsoft.Authorization/policies/modify/action"",
  ""hierarchy"": """"
}","4/26/2021, 5:27:38.130 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Network/applicationGatewayWebApplicationFirewallPolicies/camila-waf-appgw,2842e2f9-28ca-47d9-acf9-2fbe78bdd1f8,Microsoft.Network,camila-waf-appgw,df199929-a089-4e9c-9c98-9dd635f14cca,"4/26/2021, 5:26:57.830 PM"
Validate Deployment,Informational,Started,,camila2,1c61ccbf-70b3-45a3-a1fb-848ce46d70a6,6d958fe2-1b0b-4a3c-a216-93c18a95f6cc,cammart@buildseccxpninja.onmicrosoft.com,68.49.156.93,Administrative,"{
  ""clientRequestId"": ""0ff77b04-a376-45ce-ac80-031ba913500d"",
  ""clientIpAddress"": ""68.49.156.93"",
  ""method"": ""POST""
}","{
  ""eventCategory"": ""Administrative"",
  ""entity"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608"",
  ""message"": ""Microsoft.Resources/deployments/validate/action"",
  ""hierarchy"": ""5f1060f2-d9a4-4f59-bf9c-1dd8f3604a4b/ContosoBuildMG/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6""
}","4/26/2021, 5:27:38.130 PM","{
  ""action"": ""Microsoft.Resources/deployments/validate/action"",
  ""scope"": ""/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608""
}",/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/camila2/providers/Microsoft.Resources/deployments/Microsoft.WafPolicy-20210426132608,2842e2f9-28ca-47d9-acf9-2fbe78bdd1f8,Microsoft Resources,Microsoft.WafPolicy-20210426132608,3022926d-6c05-4d9d-94a0-911f4001f957,"4/26/2021, 5:26:57.385 PM"
