Name,Role,RoleAssigneeName,EffectiveUserName,RoleAssigneeType,CustomRecipientWriteScope,CustomConfigWriteScope,RecipientReadScope,ConfigReadScope,RecipientWriteScope,ConfigWriteScope,AssignmentMethod
Insider Risk Management Admin-Organization Management,Insider Risk Management Admin,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Insider Risk Management Investigation-Insider Risk Management,Insider Risk Management Investigation,Insider Risk Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Insider Risk Management Investigation-Insider Risk Management In,Insider Risk Management Investigation,Insider Risk Management Investigators,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Insider Risk Management Investigation-Organization Management,Insider Risk Management Investigation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Journaling-Compliance Management,Journaling,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Organization Management,Journaling,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Organization Management-Delegating,Journaling,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Journaling-Records Management,Journaling,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Legal Hold-Discovery Management,Legal Hold,Discovery Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Legal Hold-Organization Management,Legal Hold,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
Legal Hold-Organization Management-Delegating,Legal Hold,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,None,Direct
LegalHoldApplication-Organization Management-Delegating,LegalHoldApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Organization Management,Mail Enabled Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Enabled Public Folders-Organization Management-Delegating,Mail Enabled Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Organization Management,Mail Recipient Creation,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Organization Management-Delegating,Mail Recipient Creation,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipient Creation-Recipient Management,Mail Recipient Creation,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Organization Management,Mail Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Organization Management-Delegating,Mail Recipients,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Recipients-Recipient Management,Mail Recipients,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Tips-Organization Management,Mail Tips,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mail Tips-Organization Management-Delegating,Mail Tips,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Import Export-Organization Management-Delegating,Mailbox Import Export,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Mailbox Search-Discovery Management,Mailbox Search,Discovery Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Mailbox Search-Organization Management-Delegating,Mailbox Search,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
MailboxSearchApplication-Organization Management-Delegating,MailboxSearchApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
MeetingGraphApplication-Organization Management-Delegating,MeetingGraphApplication,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Compliance Management,Message Tracking,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Organization Management,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Organization Management-Delegating,Message Tracking,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Recipient Management,Message Tracking,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Message Tracking-Records Management,Message Tracking,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Organization Management,Migration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Organization Management-Delegating,Migration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Migration-Recipient Management,Migration,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Organization Management,Move Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Organization Management-Delegating,Move Mailboxes,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Move Mailboxes-Recipient Management,Move Mailboxes,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
My Custom Apps-Default Role Assignment Policy,My Custom Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Custom Apps-Default Role Assignment Policy-1,My Custom Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Custom Apps-Organization Management-Delegating,My Custom Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Marketplace Apps-Default Role Assignment Policy,My Marketplace Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Marketplace Apps-Default Role Assignment Policy-1,My Marketplace Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My Marketplace Apps-Organization Management-Delegating,My Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My ReadWriteMailbox Apps-Default Role Assignment Policy,My ReadWriteMailbox Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My ReadWriteMailbox Apps-Default Role Assignment Policy-1,My ReadWriteMailbox Apps,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
My ReadWriteMailbox Apps-Organization Management-Delegating,My ReadWriteMailbox Apps,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyBaseOptions-Default Role Assignment Policy,MyBaseOptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyBaseOptions-Default Role Assignment Policy-1,MyBaseOptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyBaseOptions-Organization Management-Delegating,MyBaseOptions,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyContactInformation-Default Role Assignment Policy,MyContactInformation,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyContactInformation-Default Role Assignment Policy-1,MyContactInformation,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyContactInformation-Organization Management-Delegating,MyContactInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyDistributionGroupMembership-Default Role Assignment Policy,MyDistributionGroupMembership,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,None,MyGAL,None,Direct
MyDistributionGroupMembership-Default Role Assignment Policy-1,MyDistributionGroupMembership,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,None,MyGAL,None,Direct
MyDistributionGroupMembership-Organization Management-Delegating,MyDistributionGroupMembership,Organization Management,All Group Members,RoleGroup,,,MyGAL,None,MyGAL,None,Direct
MyDistributionGroups-Default Role Assignment Policy,MyDistributionGroups,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
MyDistributionGroups-Default Role Assignment Policy-1,MyDistributionGroups,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
MyDistributionGroups-Organization Management-Delegating,MyDistributionGroups,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MyDistributionGroups,None,Direct
MyMailboxDelegation-Organization Management-Delegating,MyMailboxDelegation,Organization Management,All Group Members,RoleGroup,,,MyGAL,OrganizationConfig,MailboxICanDelegate,None,Direct
MyMailSubscriptions-Default Role Assignment Policy,MyMailSubscriptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyMailSubscriptions-Default Role Assignment Policy-1,MyMailSubscriptions,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyMailSubscriptions-Organization Management-Delegating,MyMailSubscriptions,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyProfileInformation-Default Role Assignment Policy,MyProfileInformation,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyProfileInformation-Default Role Assignment Policy-1,MyProfileInformation,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyProfileInformation-Organization Management-Delegating,MyProfileInformation,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyRetentionPolicies-Default Role Assignment Policy,MyRetentionPolicies,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyRetentionPolicies-Default Role Assignment Policy-1,MyRetentionPolicies,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyRetentionPolicies-Organization Management-Delegating,MyRetentionPolicies,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyTextMessaging-Default Role Assignment Policy,MyTextMessaging,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyTextMessaging-Default Role Assignment Policy-1,MyTextMessaging,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyTextMessaging-Organization Management-Delegating,MyTextMessaging,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Default Role Assignment Policy,MyVoiceMail,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Default Role Assignment Policy-1,MyVoiceMail,Default Role Assignment Policy,All Policy Assignees,RoleAssignmentPolicy,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
MyVoiceMail-Organization Management-Delegating,MyVoiceMail,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
O365SupportViewConfig-O365 Support View Only,O365SupportViewConfig,O365 Support View Only,O365 Support View Only,PartnerLinkedRoleGroup,,,Organization,OrganizationConfig,None,None,Direct
OfficeExtensionApplication-Organization Management-Delegating,OfficeExtensionApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
Org Custom Apps-Organization Management,Org Custom Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Custom Apps-Organization Management-Delegating,Org Custom Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Org Marketplace Apps-Organization Management-Delegating,Org Marketplace Apps,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Client Access-Organization Management,Organization Client Access,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Client Access-Organization Management-Delegating,Organization Client Access,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Configuration-Organization Management,Organization Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Configuration-Organization Management-Delegating,Organization Configuration,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Transport Settings-Organization Management,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Organization Transport Settings-Organization Management-Delegati,Organization Transport Settings,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Privacy Management Admin-Organization Management,Privacy Management Admin,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Privacy Management Admin-Privacy Management,Privacy Management Admin,Privacy Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Privacy Management Admin-Privacy Management Administrators,Privacy Management Admin,Privacy Management Administrators,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Privacy Management Investigation-Organization Management,Privacy Management Investigation,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Privacy Management Investigation-Privacy Management,Privacy Management Investigation,Privacy Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Privacy Management Investigation-Privacy Management Investigator,Privacy Management Investigation,Privacy Management Investigators,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
Public Folders-Organization Management,Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Public Folders-Organization Management-Delegating,Public Folders,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Organization Management-Delegating,Recipient Policies,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Recipient Policies-Recipient Management,Recipient Policies,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Remote and Accepted Domains-Organization Management,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Remote and Accepted Domains-Organization Management-Delegating,Remote and Accepted Domains,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Help Desk,Reset Password,Help Desk,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Organization Management,Reset Password,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Organization Management-Delegating,Reset Password,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Reset Password-Recipient Management,Reset Password,Recipient Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Compliance Management,Retention Management,Compliance Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Organization Management-Delegating,Retention Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Retention Management-Records Management,Retention Management,Records Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Role Management-Organization Management-Delegating,Role Management,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Organization Management,Security Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Organization Management-Delegating,Security Admin,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Admin-Security Administrator,Security Admin,Security Administrator,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Group Creation and Membership-Organization Management,Security Group Creation and Membership,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Group Creation and Membership-Organization Management-D,Security Group Creation and Membership,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Organization Management,Security Reader,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Organization Management-Delegating,Security Reader,Organization Management,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
Security Reader-Security Reader,Security Reader,Security Reader,All Group Members,RoleGroup,,,Organization,OrganizationConfig,Organization,OrganizationConfig,Direct
SendMailApplication-Organization Management-Delegating,SendMailApplication,Organization Management,All Group Members,RoleGroup,,,Self,OrganizationConfig,Self,OrganizationConfig,Direct
SensitivityLabelAdministrator-Organization Management-Delegating,SensitivityLabelAdministrator,Organization Management,All Group Members,RoleGroup,,,Organization,None,Organization,None,Direct
