"TableName","ContentType","Name","ResourceId"
"GitHubRepoLogs_CL","Parsers","GitHubRepoLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/github repo log data parser"
"ABAPAuditLog_CL","Parsers","SAPAuditLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapauditlog"
"ABAPAuditLog_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAPChangeDocsLog_CL","Parsers","SAPChangeDocsLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapchangedocslog"
"ABAPChangeDocsLog_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAPCRLog_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAPCRLog_CL","Parsers","SAPCRLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapcrlog"
"ABAPJobLog_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAPJobLog_CL","Parsers","SAPJobLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapjoblog"
"GitHubAuditLogPolling_CL","AnalyticsRules","(Preview) GitHub - Repository was destroyed","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/Admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/0b85a077-8ba5-4cb5-90f7-1e882afe10c3"
"GitHubAuditLogPolling_CL","AnalyticsRules","(Preview) GitHub - A payment method was removed","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/Admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/0b85a077-8ba5-4cb5-90f7-1e882afe10c4"
"GitHubAuditLogPolling_CL","AnalyticsRules","(Preview) GitHub - Repository was created","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/Admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/0b85a077-8ba5-4cb5-90f7-1e882afe10c2"
"GitHubAuditLogPolling_CL","AnalyticsRules","(Preview) GitHub - Oauth application - a client secret was removed","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/Admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/0b85a077-8ba5-4cb5-90f7-1e882afe10c5"
"GitHubAuditLogPolling_CL","Parsers","GitHubAuditLog","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/github audit log data parser"
"GitHubAuditLogPolling_CL","Parsers","GitHubAuditData","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/github data parser"
"GitHubAuditLogPolling_CL","Parsers","GitHubAuditData","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/githubauditdata"
"MDE_TVM_PublicExploits_CL","AnalyticsRules","Installed software with public exploit detected","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/2db415c3-15d1-418c-b312-36575fbad46e"
"MDE_TVM_PublicExploits_CL","AnalyticsRules","High Severity Vulnerability detected on HVA","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/c6964645-e11b-4354-a99b-89d3f413517f"
"ABAP_AGR_TCODES_CL","Parsers","SAP_AGR_TCODES","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_tcodes"
"ABAP_AGR_TCODES_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_USR01_CL","Parsers","SAP_USR01","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_usr01"
"ABAP_USR01_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_USR02_CL","Parsers","SAP_USR02","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_usr02"
"ABAP_USR02_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_AGR_1251_CL","Parsers","SAP_AGR_1251","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_1251"
"ABAP_AGR_1251_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_AGR_USERS_CL","Parsers","SAP_AGR_USERS","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_users"
"ABAP_AGR_USERS_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"SAP_HeartBeat_CL","Parsers","SAPConnectorHealth","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectorhealth"
"SAP_HeartBeat_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"SAP_HeartBeat_CL","Parsers","SAPHeartBeat","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapheartbeat"
"SAP_HeartBeat_CL","Parsers","SAPSystems","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapsystems"
"ABAP_AGR_PROF_CL","Parsers","SAP_AGR_PROF","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_prof"
"ABAP_AGR_PROF_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_UST04_CL","Parsers","SAP_UST04","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_ust04"
"ABAP_UST04_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_USR21_CL","Parsers","SAP_USR21","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_usr21"
"ABAP_USR21_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_ADCP_CL","Parsers","SAP_ADCP","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_adcp"
"ABAP_ADCP_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_USR05_CL","Parsers","SAP_USR05","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_usr05"
"ABAP_USR05_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_DEVACCESS_CL","Parsers","SAP_DEVACCESS","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_devaccess"
"ABAP_DEVACCESS_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_AGR_DEFINE_CL","Parsers","SAP_AGR_DEFINE","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_define"
"ABAP_AGR_DEFINE_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_PAHI_CL","Parsers","SAP_PAHI","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_pahi"
"ABAP_PAHI_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_AGR_AGRS_CL","Parsers","SAP_AGR_AGRS","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_agrs"
"ABAP_AGR_AGRS_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ABAP_AGR_FLAGS_CL","Parsers","SAP_AGR_FLAGS","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sap_agr_flags"
"ABAP_AGR_FLAGS_CL","Parsers","SAPConnectorOverview","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/sapconnectoroverview"
"ZPPAA_CL","Parsers","DOW_ZPA_CxE","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/956c72a1-d8ac-4825-9753-0c3daf714cdf_dow_zpa_cxe"
"SecurityEvent_CL","HuntingQueries","Solorigate Inventory check","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/solorigateinventorycheck"
"SecurityEventTT_CL","AnalyticsRules","Tiander EventID 101","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/f066825d-dd41-4313-aec1-5c7276b333e5"
"SecurityEventTT_CL","AnalyticsRules","Tiander Alert 101","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/providers/Microsoft.SecurityInsights/alertRules/b37edd8d-afc3-44ec-b2b1-7aefee226072"
"SecurityEventTT_CL","Parsers","Tiander_Function1","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/1a8c984a-e74f-4747-afba-2a1b0f8e7b4d_tiander_function1"
"SecurityEventTT_CL","Playbooks","Tiander-USX-Validation","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/Admin/providers/Microsoft.Logic/workflows/Tiander-USX-Validation"
"NetskopeWebtxData_CL","Parsers","NetskopeWebTransactions","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/savedSearches/netskopewebtransactions"
