"Name","TableType","TableSubType","Plan","RetentionInDays","TotalRetention","ColumnCount","ResourceId"
"ABAP_USR21_CL","CustomLog","Classic","Analytics","365","365","13","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USR21_CL"
"ABAP_ADCP_CL","CustomLog","Classic","Analytics","90","730","43","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_ADCP_CL"
"ABAP_USR05_CL","CustomLog","Classic","Analytics","365","365","6","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USR05_CL"
"ABAP_USER_ADDR_CL","CustomLog","Classic","Analytics","365","365","22","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USER_ADDR_CL"
"ABAP_DEVACCESS_CL","CustomLog","Classic","Analytics","365","365","4","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_DEVACCESS_CL"
"ABAP_AGR_DEFINE_CL","CustomLog","Classic","Analytics","365","365","14","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_DEFINE_CL"
"ABAP_PAHI_CL","CustomLog","Classic","Analytics","90","90","10","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_PAHI_CL"
"ABAP_AGR_AGRS_CL","CustomLog","Classic","Analytics","365","365","6","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_AGRS_CL"
"ABAP_USRSTAMP_CL","CustomLog","Classic","Analytics","365","365","9","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_USRSTAMP_CL"
"ABAP_AGR_FLAGS_CL","CustomLog","Classic","Analytics","365","365","13","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ABAP_AGR_FLAGS_CL"
"ZPPAA_CL","CustomLog","Classic","Analytics","365","365","4","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/ZPPAA_CL"
"RSASecurID_Admin_CL","CustomLog","Classic","Analytics","365","365","23","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/RSASecurID_Admin_CL"
"SecurIDAdminAuditLogs_CL","CustomLog","Classic","Analytics","365","365","24","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/SecurIDAdminAuditLogs_CL"
"SecurityEvent_CL","CustomLog","Classic","Analytics","365","365","24","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/SecurityEvent_CL"
"SecurityEventTT_CL","CustomLog","Classic","Analytics","365","365","8","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/SecurityEventTT_CL"
"NetskopeWebtxErrors_CL","CustomLog","Classic","Analytics","365","365","2","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/NetskopeWebtxErrors_CL"
"NetskopeWebtxData_CL","CustomLog","Classic","Analytics","365","365","150","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/NetskopeWebtxData_CL"
"cfsaudit_CL","CustomLog","Classic","Analytics","365","365","155","/subscriptions/1c61ccbf-70b3-45a3-a1fb-848ce46d70a6/resourceGroups/admin/providers/Microsoft.OperationalInsights/workspaces/adminsoc/tables/cfsaudit_CL"
